# Teks menu Master Looter dalam Bahasa Indonesia (id). Terjemahan mesin; belum
# diperiksa oleh penutur asli. Koreksi dipersilakan di GitHub
# (github.com/shin2344234/master-looter) atau di halaman Nexus mod ini.
#
# Satu baris per teks: bahasa Inggris asli, satu tab, lalu terjemahannya.
# Baris yang diawali # diabaikan, \n berarti ganti baris, dan baris tanpa
# terjemahan setelah tab tetap ditampilkan dalam bahasa Inggris.
# Setiap %d, %s, %.1f, dan penanda lain harus tetap berada di urutan yang
# sama, karena nilainya disisipkan saat game berjalan; baris yang mengubah
# penanda ini diabaikan saat dimuat agar tidak menampilkan nilai yang salah.
#
# Simpan file dengan nama ini di sebelah MasterLooter.asi untuk menimpa
# salinan bawaan di dalam plugin.

  bag full	  tas penuh
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Dua hal yang menampung sesuatu. Peti, kotak, dan node rampasan yang kamu buka, yang jarang merespons peristiwa penjarahan. Dan apa pun di tanah yang tugasnya menampung sesuatu: botol, toples, periuk tanah liat, kantung air, vas, dan kotak penyimpanan yang kamu letakkan. Nonaktif secara bawaan, dan nonaktif berarti serak berisi tembikar dibiarkan di tempatnya. Kotak hadiah tidak termasuk, karena itu rampasan tersendiri dan masuk ke Harta dan kenang-kenangan di tab Kelas.\n\nApa yang keluar dari peti tidak diperiksa terhadap filtermu. Gim menyerahkan isinya sekaligus dan mod tidak pernah melihatnya sebagai objek, jadi untuk itu sakelar ini bersifat semua atau tidak sama sekali.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Belum terikat sampai kamu mengaturnya. Game menyebut pengambilan barang bertuan sebagai pencurian dan menjadikanmu buronan karenanya, jadi ini sakelar yang ingin kamu aktifkan sebentar lalu nonaktifkan lagi, yang kurang cocok untuk sebuah menu.
Unidentified nodes	Node tak dikenal
unidentified nodes off	node tak dikenal nonaktif
unidentified: could be a fish, a flying insect or a bird	tak dikenal: bisa jadi ikan, serangga terbang, atau burung
unidentified: could be an insect or a small animal	tak dikenal: bisa jadi serangga atau hewan kecil
unnamed item	item tanpa nama
Unsellable items	Item tak terjual
Use this language	Gunakan bahasa ini
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Memakai pemeriksaan Take or Steal milik game sendiri; barang bertuan dilewati sampai pemeriksaan itu teramati sekali.
using the player's own field	memakai field milik pemain sendiri
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Sayur, buah, dan biji-bijian: ubi jalar, barli, kubis, apel, anggur, dan sisa makanan hasil tani atau kumpulan lainnya, masih di tanaman atau tergeletak lepas. Dulu ini masuk Barang di tanah, itulah sebabnya menonaktifkan Tanaman tetap mengosongkan ladang: dari 72 slot koleksi di game, 44 adalah tanaman pangan dan hanya 28 adalah tanaman.
Verbose log	Log rinci
Verdict	Putusan
waiting	menunggu
waiting for the game to check an item	menunggu game memeriksa item
waiting for the game to check ownership once	menunggu game memeriksa kepemilikan sekali
Waiting for the world to load.	Menunggu dunia dimuat.
Watch	Pantau
Watch mode	Mode pantau
Watch mode (menu stays up, you keep playing)	Mode pantau (menu tetap terbuka, kamu terus bermain)
Watch mode: the game has your controls. %s to interact, %s to close.	Mode pantau: game memegang kontrolmu. %s untuk berinteraksi, %s untuk menutup.
Weapons and armor	Senjata dan zirah
What enters the working list at all. The ranges below are clamped to it.	Apa saja yang masuk ke daftar kerja. Jangkauan di bawah dibatasi olehnya.
What to collect	Apa yang dikumpulkan
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Memutar engkol untukmu dan mengambil apa yang naik, dengan menjalankan transisi status yang sama seperti saat kamu menahan tombol interaksi. Sumur sama sekali tidak memunculkan event loot, jadi ini adalah pemutaran ulang urutan yang sudah direkam, bukan game yang diminta sesuatu. Nonaktif secara default, karena sumur yang salah diproses adalah sumur yang tertinggal tanpa embernya.
Wood	Kayu
wood off	kayu nonaktif
World (actor manager)	Dunia (actor manager)
worn by someone	dikenakan orang lain
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Perlengkapan yang dikenakan yang dijatuhkan musuh saat mati. Murah dan berat, tapi berlimpah.
worn or carried by you	dikenakan atau dibawa olehmu
worth %lld copper	senilai %lld tembaga
Wrap the swapchain	Bungkus swapchain
Write translation template	Tulis template terjemahan
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Menulis MasterLooter.template.txt di sebelah plugin, berisi setiap baris yang sudah ditampilkan menu di sesi ini. Buka semua tab dulu, karena satu baris baru muncul setelah digambar. Terjemahkan sisi kanan tiap catatan, simpan sebagai MasterLooter.<language>.txt, lalu masukkan nama bahasa itu di sini.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Menulis pengaturan saat ini ke \"%s\". Muat, ubah sesukamu, lalu simpan kembali.
Writes the settings as they are now, named %s.	Menulis pengaturan saat ini, dengan nama %s.
yes	ya
your rules refuse all ore, jewels and stone	aturanmu menolak bijih, permata, dan batu
your rules refuse all stone	aturanmu menolak semua batu
your rules refuse everything this node holds	aturanmu menolak semua yang ada di node ini
part of a mechanism, not loose loot	bagian dari mekanisme, bukan jarahan lepas
yours, just out of your hand	milikmu, baru saja lepas dari tanganmu
%d last time	%d terakhir kali
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Cadangan ditulis saat gim dimulai dengan pengaturan yang berubah sejak yang terakhir, dan dua belas terakhir disimpan, di MasterLooter.backups di sebelah plugin. Preset berada di MasterLooter.presets. Salin salah satu folder untuk menyimpannya lewat instal ulang.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Kombinasi tombol keyboard atau kontroler membuka penyimpanan itu dari mana saja, dan menekannya lagi menutupnya. Tombol penyimpanan lain langsung beralih ke sana.
a Master Looter key	tombol Master Looter
a Master Looter shortcut	pintasan Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Sesaat setelah item tiba di tas, Private Storage Master memindahkannya ke penyimpanan pertama di bawah ini yang menerimanya, gerakan yang sama seperti yang akan kamu lakukan sendiri di penyimpanan itu. Hanya yang dipungut Master Looter yang dipindahkan, tidak pernah yang kamu pungut dengan tangan, dan dari mayat atau bangkai hanya yang diizinkan aturan itemmu. Tidak ada yang berpindah selama penyimpanan terbuka atau di luar permainan bebas, kunci, dokumen, item quest, dan apa pun di daftar Jangan pernah pindahkan tetap di tempatnya, dan yang tidak diterima penyimpanan mana pun tetap di tas.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Hewan peliharaan memungut apa pun yang disukainya dan gim ini tidak punya sakelar untuk itu. Aktif: hewan peliharaan diberi tahu tidak sebelum meraih item lepas yang ditolak aturan item, tag, kelas, atau ambang nilaimu, dan apa pun yang diambilnya dari mayat yang ditolak aturan item, tag, atau kelasmu dihapus dari inventaris begitu tiba, dengan pemberitahuan yang menyebutkan apa yang hilang. Item quest dan item terlindungi tidak pernah dihapus, dan tidak ada yang sudah ada di tasmu yang disentuh.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Apa pun yang kamu pungut sendiri tidak pernah dihapus, baik ada hewan peliharaan atau tentara bayaran yang keluar maupun tidak.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Hewan peliharaan atau pendamping yang menjarah mayat memasukkan temuannya ke tasmu. Aktif, item itu masuk ke penyimpanan dengan cara yang sama seperti pungutan Master Looter sendiri, selama aturan itemmu mengizinkannya. Item lepas yang dipungut hewan peliharaan dilaporkan gim sebagai pungutanmu sendiri, jadi itu tetap di tas.
a seed planted in your camp farm	benih yang ditanam di kebun perkemahanmu
Add	Tambah
add an item: type 3+ letters of its name	tambah item: ketik 3+ huruf dari namanya
also %s	juga %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	urat bijih, diserahkan ke beliungmu selama Tambang urat bijih untukmu nonaktif
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Paling banyak satu baris per detik, menyebutkan setiap penyimpanan dan berapa banyak yang masuk ke dalamnya. Nonaktif, tidak ada yang ditampilkan dan hanya masuk ke log.
Click again to reset	Klik lagi untuk mengatur ulang
Detailed log	Log rinci
Drop refused loot from bodies	Jatuhkan rampasan yang ditolak dari mayat
Each item goes to the first storage in this list that takes it.	Setiap item masuk ke penyimpanan pertama di daftar ini yang menerimanya.
Empty: auto-store may move anything a storage takes.	Kosong: penyimpanan otomatis boleh memindahkan apa pun yang diterima penyimpanan.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Ukuran setiap penyimpanan dan berapa banyak slot yang terpakai, ditulis ke PrivateStorageMaster.log. Lampirkan ke laporan ukuran.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Untuk mod kapasitas JSON: ukuran penyimpanan di bawah ini diabaikan, dan gim, atau mod itu, yang memutuskan.
game size (%d)	ukuran gim (%d)
Game window	Jendela gim
hold a button, then press the one that opens it (Escape cancels)	tahan satu tombol, lalu tekan tombol yang membukanya (Escape membatalkan)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Tahan satu atau lebih tombol, lalu tekan tombol yang membuka penyimpanan. Tombol yang ditekan disembunyikan dari gim selama tombol lain ditahan.
Hold other keys back while Ctrl is down	Tahan tombol lain selama Ctrl ditekan
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Berapa banyak slot Penyimpanan Pribadi yang berasal dari ekspansi yang kamu beli dan dari cerita. Total pada penggeser menghitungnya juga, jadi ukuran dasar adalah total dikurangi ini.
item %u	item %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Item yang selalu ditinggalkan penyimpanan otomatis di tas. Bawaannya adalah semua mata uang: perak, kantong koin, batangan emas, dana dan perbekalan kemah, token, dan obligasi. Atur ulang ke bawaan di bawah ini mengembalikan daftar itu.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Pengaturannya berada di PrivateStorageMaster.ini di sebelah plugin. Perubahan di sini langsung disimpan di sana.
Last error	Kesalahan terakhir
Leave every size alone	Biarkan semua ukuran apa adanya
left as the game has them	dibiarkan seperti yang dimiliki gim
load a save to see it	muat save untuk melihatnya
more matches; type more of the name	lebih banyak kecocokan; ketik lebih banyak dari namanya
Never move	Jangan pernah pindahkan
no item by that name that is not listed already	tidak ada item dengan nama itu yang belum terdaftar
none seen	belum ada yang terlihat
not found, bound keys also reach the game	tidak ditemukan, tombol yang terikat juga mencapai gim
Not on this game version: Private Storage Master could not find the move it needs.	Tidak pada versi gim ini: Private Storage Master tidak dapat menemukan fungsi pemindahan yang dibutuhkannya.
nothing	tidak ada
now %d of %d used	sekarang %d dari %d terpakai
off, see the error below	nonaktif, lihat kesalahan di bawah
off, the mod is disabled	nonaktif, mod dinonaktifkan
on XInput slot %d	di slot XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Aktif, hanya jumlah yang baru tiba yang dipindahkan, jadi makanan dan ramuan yang sudah kamu bawa tetap di tas. Nonaktif, seluruh tumpukan pergi.
Only move what was picked up	Hanya pindahkan yang baru dipungut
Open now	Buka sekarang
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	tekan tombol, dengan Ctrl, Shift, atau Alt jika kamu mau (Escape membatalkan)
Private Storage expansions	Ekspansi Penyimpanan Pribadi
Private Storage Master %s for game build %s	Private Storage Master %s untuk build gim %s
Private Storage Master did not hand over its defaults	Private Storage Master tidak menyerahkan pengaturan bawaannya
Private Storage Master did not hand over its store loot settings.	Private Storage Master tidak menyerahkan pengaturan penyimpanan rampasannya.
Private Storage Master on	Private Storage Master aktif
Private Storage Master refused the change	Private Storage Master menolak perubahan itu
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi juga terpasang. Keduanya mengubah bagian gim yang sama; hapus yang itu.
Put what Master Looter picks up into storage	Masukkan yang dipungut Master Looter ke penyimpanan
read from the save	dibaca dari save
Reload from the ini	Muat ulang dari ini
Remove	Hapus
Reset to defaults	Atur ulang ke bawaan
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Menggeledah mayat atau bangkai menyerahkan semua yang dibawanya, dan mod baru melihatnya setelah masuk ke tas. Aktif: apa pun dari itu yang ditolak aturan item, tag, kelas, atau ambang nilaimu langsung diletakkan kembali ke tanah di sampingmu, lewat penjatuhan yang sama yang digunakan gim saat kamu menjatuhkan sesuatu sendiri, satu tumpukan per tumpukan. Ini mencakup penggeledahan mod sendiri dan mayat yang dijarah hewan peliharaan atau pendamping, yang item ditolaknya juga mendarat di sampingmu. Mayat yang kamu geledah sendiri menyimpan apa yang dibayarkannya. Uang, dokumen, item quest, dan item terlindungi tetap di tas.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Menggeledah orang yang kamu bunuh, sekali per mayat. Hewan masuk ke Bangkai. Hasil penggeledahan tiba sebelum filtermu melihatnya, sama seperti bangkai, dan Jatuhkan rampasan yang ditolak dari mayat di bawah Umum meletakkan kembali apa yang ditolak.
set	diatur
set this launch	diatur untuk peluncuran ini
Settings file	File pengaturan
Show a notice when loot is stored	Tampilkan pemberitahuan saat rampasan disimpan
Size changes take effect the next time the game starts.	Perubahan ukuran berlaku saat gim dimulai lagi.
Sizes	Ukuran
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Menguliti hewan yang kamu bunuh, sekali per bangkai. Manusia masuk ke Mayat. Mod tidak pernah melihat hasil menguliti sebelum tiba, jadi filtermu tidak bisa mencegahnya masuk. Agar yang ditolak diletakkan kembali ke tanah, aktifkan Jatuhkan rampasan yang ditolak dari mayat di bawah Umum.
Some changes take effect the next time the game starts.	Beberapa perubahan berlaku saat gim dimulai lagi.
Stop pets looting bodies	Cegah hewan peliharaan menjarah mayat
Stop pets picking up loose items	Cegah hewan peliharaan memungut barang di tanah
Storage	Penyimpanan
Storage keys	Tombol penyimpanan
Storage sizes	Ukuran penyimpanan
Store loot	Simpan rampasan
Store what your pet loots from bodies	Simpan yang dijarah hewan peliharaanmu dari mayat
Storing loot needs a newer Private Storage Master.	Menyimpan rampasan membutuhkan Private Storage Master yang lebih baru.
the size dump	data ukuran
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Gim bertanya sebelum hewan peliharaan mengambil item yang tergeletak di tanah, dan ini menjawab tidak. Hewan peliharaan melewatinya begitu saja dan tidak ada yang perlu dihapus sesudahnya. Apakah tentara bayaran diberi pertanyaan yang sama belum diuji.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Gim bertanya secara terpisah sebelum hewan peliharaan menjarah mayat, dan ini menjawab tidak. Aktifkan salah satu dari keduanya dan bukan yang lain jika kamu ingin hewan peliharaan menjarah mayat tapi tidak memungut barang lepas, atau sebaliknya.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Ikatan tombol dibawa dari PrivateStorageAnywhere.ini pada peluncuran pertama.
the key-block toggle	sakelar pemblokiran tombol
The list is full at %d items.	Daftar penuh pada %d item.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Totalnya, termasuk ekspansi yang dibeli dan slot cerita. Ujung kiri mempertahankan ukuran gim.
This chest holds one of each collectible, so its slots cannot be changed.	Peti ini menyimpan satu dari setiap barang koleksi, jadi slotnya tidak bisa diubah.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Tab ini membutuhkan versi Private Storage Master yang cocok dengan versi Master Looter ini.
Turn that on and off	Aktifkan dan nonaktifkan itu
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Selama Ctrl, atau pengubah apa pun yang digunakan tombol penyimpananmu, ditahan, tombol lain ditahan dari gim, jadi selip dari tombol penyimpanan tidak memicu skill. Gerakan, Space, Tab, Enter, Escape, Alt+F4, dan tombol yang digunakan gim dengan Ctrl (Z, Shift, +) tetap tersalur.
working	berfungsi
Write the size dump to the log	Tulis data ukuran ke log
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Menulis setiap penekanan tombol, pembukaan, dan penutupan ke PrivateStorageMaster.log, dan menyimpan 24 sesi terakhir. Nonaktif, log menyimpan ringkasan awal, kesalahan, dan data ukuran, serta dua sesi terakhir.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Menulis setiap penekanan tombol, pembukaan, dan penutupan ke PrivateStorageMaster.log. Nonaktif, log menyimpan ringkasan awal, kesalahan, dan data ukuran.
your own camp farm (off)	kebun perkemahanmu sendiri (nonaktif)
%d of %d, the rest do not stack	%d dari %d, sisanya tidak menumpuk.
%s %s for game build %s	%s %s untuk build gim %s
%s refused the change: %s	%s menolak perubahan itu: %s
Empty your big stacks before turning this down or off.	Kosongkan tumpukan besarmu sebelum menurunkan atau mematikan ini.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Batas setiap item yang bisa menumpuk dikalikan saat gim dimulai. Pengaturan ini disimpan di file ini milik mod itu sendiri begitu kamu memilihnya.
Item stacks: %s	Tumpukan item: %s
Items raised	Item yang dinaikkan
Largest limit	Batas terbesar
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Menurunkan pengali tidak mengecilkan tumpukan yang sudah kamu bangun. Slot yang memuat lebih banyak dari yang sekarang diizinkan gim akan tetap menyimpan isinya sampai kamu mengeluarkan sebagian, dan apa pun di atas batas baru bisa hilang.
Off	Nonaktif
off	nonaktif
Raising stack limits	Menaikkan batas tumpukan
Restart the game for the multiplier you picked to take effect.	Mulai ulang gim agar pengali yang kamu pilih berlaku.
Saved	Tersimpan
Stack multiplier	Pengali tumpukan
Stacks	Tumpukan
stacks are the size the game ships	tumpukan berukuran seperti bawaan gim
That mod did not hand over its stack settings.	Mod itu tidak menyerahkan pengaturan tumpukannya.
This launch	Sesi ini
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Tab ini membutuhkan Stack Master, atau build Private Storage Master yang menaikkan batas tumpukan.
Why	Mengapa
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Kebanyakan barang bisa kamu tumpuk sampai 100 di gim ini, jadi pada x10 tumpukannya menampung 1000. Ini berlaku untuk semua yang bisa menumpuk, dan tidak pernah untuk yang tidak bisa, seperti senjata dan baju zirah, dan tumpukan terdalam dalam gim berhenti pada batas yang dilaporkan mod itu di atas. Pengali dibaca saat gim dimulai, jadi gim harus dimulai ulang sebelum perubahan itu terlihat.
Some items reached the largest stack that mod allows, %d, and stopped there.	Sebagian item mencapai tumpukan terbesar yang diizinkan mod itu, %d, dan berhenti di situ.
x%d, by %s	x%d, oleh %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s telah mengalah untuk mod lain, jadi mengubahnya di sini tidak akan berpengaruh. Mod itu bukan yang bisa dijangkau menu ini, jadi atur pengalinya langsung di sana.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s bukan mod yang mengatur ukuran tumpukan, jadi mengubahnya di sini tidak akan berpengaruh. Sebagai gantinya, atur pengali di %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Pengali yang lebih besar berlaku segera setelah dipilih. Yang lebih kecil menunggu peluncuran berikutnya.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	Kebanyakan barang bisa kamu tumpuk sampai 100 di gim ini, jadi pada x10 tumpukannya menampung 1000. Ini berlaku untuk semua yang bisa menumpuk, dan tidak pernah untuk yang tidak bisa, seperti senjata dan baju zirah, dan tumpukan terdalam dalam gim berhenti pada batas yang dilaporkan mod itu di atas. Memilih pengali yang lebih besar langsung berlaku; yang lebih kecil menunggu peluncuran berikutnya, karena tumpukan yang sudah terbentuk tidak bisa dikecilkan di bawah isinya.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Menunggu mulai ulang, atau pilih lagi di dunia permainan dan langsung berlaku.
you dropped this	kamu menjatuhkannya
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Makhluk yang tidak diberi item sendiri oleh game, seperti koloni kunang-kunang, dinilai oleh sakelar ini dan oleh tab Kelas, tempat koloni kunang-kunang dihitung sebagai insect. Tidak ada aturan tag atau item yang bisa menjangkaunya, karena tidak ada item untuk dicocokkan.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Sejak Private Storage Master 1.1.4, Arrow juga ada di daftar secara bawaan, jadi anak panah yang kamu pungut kembali tetap di tabung panah.
a placed Field Pot or Bonfire	panci lapangan atau api unggun yang dipasang
Keep the menu on screen while you play. %s brings it back.	Jaga menu tetap di layar selagi kamu bermain. %s memunculkannya lagi.
Watch mode: the game has your controls. %s to interact.	Mode pantau: game memegang kontrolmu. %s untuk berinteraksi.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Satu tombol saja. Kombinasi Ctrl dan Alt tidak pernah dibaca, karena tombol-tombol ini diam selama Ctrl atau Alt ditahan.
