# Textul meniului Master Looter in limba romana (ro). Traducere automata;
# niciun vorbitor nativ nu a verificat-o inca. Corecturile sunt binevenite pe
# GitHub (github.com/shin2344234/master-looter) sau pe pagina de Nexus a
# modului.
#
# O linie per text: originalul in engleza, o tabulare, apoi traducerea.
# Liniile care incep cu # sunt ignorate. \n reprezinta o schimbare de linie.
# O linie fara nimic dupa tabulare ramane afisata in engleza, deci un fisier
# partial tradus este perfect utilizabil. Pastreaza fiecare %d, %s, %.1f si
# celelalte substituente exact cum apar si in aceeasi ordine: sunt inlocuite
# cu numere si nume in timpul rularii.
#
# Salveaza ca MasterLooter.ro.txt langa MasterLooter.asi pentru a suprascrie
# copia inclusa in plugin, apoi seteaza Language=ro in MasterLooter.ini sau
# scrie limba in meniul General, Language.
  bag full	  inventar plin
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Două lucruri care conțin lucruri. Cuferele, lăzile și punctele de pradă pe care le deschizi și care rareori răspund la evenimentul de jefuire. Și orice de pe jos a cărui treabă este să conțină ceva: sticle, borcane, oale de lut, burdufuri, vaze și lăzile de depozitare pe care le așezi tu. Oprit din start, iar oprit înseamnă că un raft de ceramică rămâne unde este. Cutiile de recompensă nu intră aici, fiindcă acelea sunt pradă în sine și țin de Comori și suveniruri din fila Clase.\n\nCe iese dintr-un cufăr nu este verificat față de filtrele tale. Jocul predă conținutul dintr-o singură mișcare, iar modul nu îl vede niciodată ca obiecte, așa că pentru acelea acest comutator este totul sau nimic.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Neasignat până îl setezi. Jocul numește furt luarea bunurilor deținute și îți pune recompensă pe cap pentru asta, deci acesta e comutatorul pe care vrei să-l activezi pentru o clipă și să-l dezactivezi la loc, ceva ce se potrivește prost cu un meniu.
Unidentified nodes	Puncte neidentificate
unidentified nodes off	puncte neidentificate dezactivate
unidentified: could be a fish, a flying insect or a bird	neidentificat: ar putea fi pește, insectă zburătoare sau pasăre
unidentified: could be an insect or a small animal	neidentificat: ar putea fi insectă sau animal mic
unnamed item	obiect fără nume
Unsellable items	Obiecte nevandabile
Use this language	Folosește această limbă
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Folosește propria verificare a jocului de tip Ia sau Fură; bunurile deținute sunt ignorate până când aceasta a fost observată o dată.
using the player's own field	folosind câmpul propriu al jucătorului
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Legume, fructe și cereale: cartof dulce, orz, varză, mere, struguri și restul hranei cultivate sau culese, fie pe plantă, fie căzută pe jos. Acestea răspundeau înainte la Obiecte de pe jos, de-aia dezactivarea lui Plante tot golea un câmp: din cele 72 de socluri de colectare din joc, 44 sunt culturi și doar 28 sunt plante.
Verbose log	Jurnal detaliat
Verdict	Verdict
waiting	așteaptă
waiting for the game to check an item	așteaptă ca jocul să verifice un obiect
waiting for the game to check ownership once	așteaptă ca jocul să verifice proprietatea o dată
Waiting for the world to load.	Se așteaptă încărcarea lumii.
Watch	Observă
Watch mode	Mod observare
Watch mode (menu stays up, you keep playing)	Mod observare (meniul rămâne deschis, tu continui să joci)
Watch mode: the game has your controls. %s to interact, %s to close.	Mod observare: jocul are controalele tale. %s pentru a interacționa, %s pentru a închide.
Weapons and armor	Arme și armuri
What enters the working list at all. The ranges below are clamped to it.	Ce ajunge deloc în lista de lucru. Distanțele de mai jos sunt limitate la aceasta.
What to collect	Ce să colectezi
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Învârte manivela pentru tine și ia ce iese, acționând aceleași tranziții de stare pe care le acționează jocul când ții apăsat butonul de interacțiune. O fântână nu generează niciun eveniment de loot, deci asta este o redare a unei secvențe capturate, nu o cerere adresată jocului. Dezactivat implicit, pentru că o fântână greșită rămâne fără găleata ei.
Wood	Lemn
wood off	lemn dezactivat
World (actor manager)	Lume (administrator de actori)
worn by someone	purtat de cineva
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Echipament purtat pe care inamicii îl lasă când mor. Ieftin și greu, dar din abundență.
worn or carried by you	purtat sau cărat de tine
worth %lld copper	valorează %lld aramă
Wrap the swapchain	Încapsulează swapchain-ul
Write translation template	Scrie șablonul de traducere
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Scrie MasterLooter.template.txt lângă plugin, conținând fiecare linie afișată de meniu în această sesiune. Deschide mai întâi fiecare filă, pentru că o linie apare doar după ce a fost desenată. Tradu partea dreaptă a fiecărei înregistrări, salveaz-o ca MasterLooter.<language>.txt și pune acea limbă aici.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Scrie setările așa cum sunt acum în \"%s\". Încarc-o, schimbă ce vrei, apoi salveaz-o la loc.
Writes the settings as they are now, named %s.	Scrie setările așa cum sunt acum, denumite %s.
yes	da
your rules refuse all ore, jewels and stone	regulile tale refuză minereul, gemele și piatra
your rules refuse all stone	regulile tale refuză toată piatra
your rules refuse everything this node holds	regulile tale refuză tot ce conține acest punct
part of a mechanism, not loose loot	parte dintr-un mecanism, nu pradă răzleață
yours, just out of your hand	al tău, tocmai scăpat din mână
%d last time	%d ultima dată
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	O copie de rezervă este scrisă când jocul pornește cu setări schimbate față de ultima, iar ultimele douăsprezece sunt păstrate, în MasterLooter.backups, lângă plugin. Presetările se află în MasterLooter.presets. Copiază oricare dintre foldere ca s-o păstrezi la o reinstalare.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	O combinație de tastă sau de controler deschide acel depozit de oriunde, și tot ea îl închide la loc. Tasta altui depozit trece direct la el.
a Master Looter key	o tastă din Master Looter
a Master Looter shortcut	o comandă rapidă din Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	La puțin timp după ce un obiect ajunge în inventar, Private Storage Master îl mută în primul depozit de mai jos care îl acceptă, aceeași mutare pe care ai face-o tu la depozit. Se mută doar ce a ridicat Master Looter, niciodată ce ai ridicat tu cu mâna, iar de la un cadavru sau o carcasă doar ce permit regulile tale de obiecte. Nimic nu se mută cât timp un depozit este deschis sau în afara jocului liber, cheile, documentele, obiectele de misiune și orice se află pe lista de nemutat rămân pe loc, iar ce niciun depozit nu acceptă rămâne în inventar.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Un animal jefuiește ce îi place și jocul nu are niciun comutator pentru asta. Pornit: animalului i se spune nu înainte să întindă laba spre un obiect liber pe care regulile tale de obiecte, etichetele, clasele sau pragul de valoare îl refuză, iar ce ia de la un cadavru și regulile tale de obiecte, etichetele sau clasele refuză este șters din inventar imediat ce ajunge, cu un mesaj care spune ce a dispărut. Obiectele de misiune și cele protejate nu sunt niciodată șterse, iar nimic din ce se află deja în inventarul tău nu este atins.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Nimic din ce ridici tu însuți nu este șters vreodată, fie că ai sau nu un animal ori un mercenar cu tine.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Un animal sau un însoțitor care jefuiește un cadavru pune ce a găsit în inventarul tău. Pornit, acele obiecte merg în depozit la fel ca ridicările proprii ale lui Master Looter, atât timp cât regulile tale de obiecte le permit. Obiectele libere pe care le ridică un animal sunt raportate de joc ca fiind propriile tale ridicări, așa că acelea rămân în inventar.
a seed planted in your camp farm	o sămânță plantată în ferma ta de tabără
Add	Adaugă
add an item: type 3+ letters of its name	adaugă un obiect: scrie 3+ litere din numele lui
also %s	de asemenea %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	un zăcământ de minereu, lăsat pentru târnăcopul tău cât timp Minează zăcămintele pentru tine este dezactivat
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Cel mult o linie pe secundă, numind fiecare depozit și câte au intrat în el. Dezactivat, nu se afișează nimic și merge doar în jurnal.
Click again to reset	Apasă din nou pentru resetare
Detailed log	Jurnal detaliat
Drop refused loot from bodies	Aruncă înapoi pe jos prada refuzată de la cadavre
Each item goes to the first storage in this list that takes it.	Fiecare obiect merge la primul depozit din această listă care îl acceptă.
Empty: auto-store may move anything a storage takes.	Gol: depozitarea automată poate muta orice acceptă un depozit.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Dimensiunea fiecărui depozit și câte sloturi sunt folosite, scrise în PrivateStorageMaster.log. Atașează-l la un raport de dimensiune.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Pentru mod-uri de capacitate JSON: dimensiunile de depozit de mai jos sunt ignorate și jocul, sau acel mod, decide.
game size (%d)	dimensiunea jocului (%d)
Game window	Fereastra jocului
hold a button, then press the one that opens it (Escape cancels)	ține apăsat un buton, apoi apasă pe cel care îl deschide (Escape anulează)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Ține apăsate unul sau mai multe butoane, apoi apasă pe cel care deschide depozitul. Butonul apăsat este ascuns de joc cât timp celelalte sunt ținute.
Hold other keys back while Ctrl is down	Blochează celelalte taste cât timp Ctrl este apăsat
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Câte sloturi de Depozit Privat provin din expansiuni cumpărate și din poveste. Totalul cursorului le numără, așa că dimensiunea de bază este totalul minus acestea.
item %u	obiect %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Obiecte pe care depozitarea automată le lasă mereu în inventar. Implicit este orice monedă: argint, pungi cu monede, lingouri de aur, fonduri și provizii de tabără, jetoane și obligațiuni. Resetează la implicit de mai jos aduce înapoi acea listă.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Setările sale trăiesc în PrivateStorageMaster.ini, lângă plugin. Schimbările de aici sunt salvate acolo imediat.
Last error	Ultima eroare
Leave every size alone	Nu atinge nicio dimensiune
left as the game has them	așa cum le are jocul
load a save to see it	încarcă o salvare ca s-o vezi
more matches; type more of the name	mai multe rezultate; scrie mai mult din nume
Never move	Nu muta niciodată
no item by that name that is not listed already	niciun obiect cu acel nume care să nu fie deja listat
none seen	niciunul văzut
not found, bound keys also reach the game	negăsit, tastele atribuite ajung și ele la joc
Not on this game version: Private Storage Master could not find the move it needs.	Nu în această versiune a jocului: Private Storage Master nu a putut găsi mutarea de care are nevoie.
nothing	nimic
now %d of %d used	acum %d din %d folosite
off, see the error below	dezactivat, vezi eroarea de mai jos
off, the mod is disabled	oprit, modul este dezactivat
on XInput slot %d	pe slotul XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Pornit, se mută doar cantitatea care tocmai a sosit, așa că mâncarea și poțiunile pe care le purtai deja rămân în inventar. Dezactivat, pleacă tot teancul.
Only move what was picked up	Mută doar ce a fost ridicat
Open now	Deschide acum
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	apasă o tastă, cu Ctrl, Shift sau Alt dacă vrei (Escape anulează)
Private Storage expansions	Expansiuni de Depozit Privat
Private Storage Master %s for game build %s	Private Storage Master %s pentru versiunea de joc %s
Private Storage Master did not hand over its defaults	Private Storage Master nu a predat valorile implicite
Private Storage Master did not hand over its store loot settings.	Private Storage Master nu a predat setările sale de depozitare a prăzii.
Private Storage Master on	Private Storage Master pornit
Private Storage Master refused the change	Private Storage Master a refuzat schimbarea
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi este de asemenea instalat. Cele două schimbă aceleași părți ale jocului; elimină-l pe acela.
Put what Master Looter picks up into storage	Pune în depozit ce ridică Master Looter
read from the save	citit din salvare
Reload from the ini	Reîncarcă din ini
Remove	Elimină
Reset to defaults	Resetează la implicit
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Percheziționarea unui cadavru sau a unei carcase predă tot ce conține, iar modul îl vede abia după ce ajunge în inventar. Pornit: ce refuză regulile tale de obiecte, etichetele, clasele sau pragul de valoare este pus înapoi pe jos lângă tine, prin aceeași cădere pe care o folosește jocul când arunci ceva tu însuți, o grămadă per teanc. Acoperă atât percheziționările proprii ale modului, cât și cadavrele pe care le jefuiește un animal sau un însoțitor, ale căror obiecte refuzate cad tot lângă tine. Un cadavru pe care îl percheziționezi tu însuți păstrează ce a plătit. Banii, documentele, obiectele de misiune și cele protejate rămân în inventar.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Percheziționarea oamenilor pe care îi ucizi, o dată per cadavru. Animalele intră la Carcase. Ce aduce o percheziție ajunge înainte ca filtrele tale s-o vadă, la fel ca la o carcasă, iar Aruncă înapoi pe jos prada refuzată de la cadavre, din General, pune înapoi pe jos ce refuză.
set	setează
set this launch	setează pentru această pornire
Settings file	Fișier de setări
Show a notice when loot is stored	Afișează un mesaj când prada este depozitată
Size changes take effect the next time the game starts.	Schimbările de dimensiune au efect abia la următoarea pornire a jocului.
Sizes	Dimensiuni
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Jupuirea animalelor pe care le ucizi, o dată per carcasă. Oamenii intră la Cadavre umane. Modul nu vede niciodată ce aduce jupuirea înainte să ajungă, așa că filtrele tale nu o pot opri să sosească. Ca să pui înapoi pe jos ce refuză, activează Aruncă înapoi pe jos prada refuzată de la cadavre, din General.
Some changes take effect the next time the game starts.	Unele schimbări au efect abia la următoarea pornire a jocului.
Stop pets looting bodies	Împiedică animalele să jefuiască cadavre
Stop pets picking up loose items	Împiedică animalele să ridice obiecte libere
Storage	Depozit
Storage keys	Taste de depozit
Storage sizes	Dimensiuni de depozit
Store loot	Depozitează prada
Store what your pet loots from bodies	Depozitează ce jefuiește animalul tău de la cadavre
Storing loot needs a newer Private Storage Master.	Depozitarea prăzii are nevoie de un Private Storage Master mai nou.
the size dump	raportul de dimensiuni
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Jocul întreabă înainte ca un animal să ia un obiect aflat pe jos, și asta răspunde nu. Animalul trece pe lângă el și nu mai trebuie șters nimic după aceea. Dacă un mercenar pune aceeași întrebare nu a fost testat.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Jocul întreabă separat înainte ca un animal să jefuiască un cadavru, și asta răspunde nu. Activează una din cele două și nu pe cealaltă dacă vrei ca un animal să dezbrace cadavre dar să nu adune obiecte libere, sau invers.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Atribuirile de taste au fost preluate din PrivateStorageAnywhere.ini la prima rulare.
the key-block toggle	comutatorul de blocare a tastelor
The list is full at %d items.	Lista este plină la %d obiecte.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Totalul, incluzând expansiunile cumpărate și sloturile din poveste. Capătul din stânga păstrează dimensiunea jocului.
This chest holds one of each collectible, so its slots cannot be changed.	Acest cufăr ține câte unul din fiecare obiect de colecție, așa că sloturile lui nu pot fi schimbate.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Această filă are nevoie de o versiune de Private Storage Master care se potrivește cu această versiune de Master Looter.
Turn that on and off	Pornește și oprește asta
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Cât timp Ctrl, sau orice modificator pe care îl folosesc tastele tale de depozit, este ținut apăsat, celelalte taste sunt blocate de la joc, așa că o alunecare de pe o tastă de depozit nu declanșează o abilitate. Mișcarea, Space, Tab, Enter, Escape, Alt+F4 și tastele pe care jocul le folosește cu Ctrl (Z, Shift, +) tot ajung la joc.
working	funcționează
Write the size dump to the log	Scrie raportul de dimensiuni în jurnal
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Scrie fiecare apăsare de tastă, deschidere și închidere în PrivateStorageMaster.log, și păstrează ultimele 24 de sesiuni. Dezactivat, jurnalul păstrează rezumatul de pornire, erorile și raportul de dimensiuni, și ultimele două sesiuni.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Scrie fiecare apăsare de tastă, deschidere și închidere în PrivateStorageMaster.log. Dezactivat, jurnalul păstrează rezumatul de pornire, erorile și raportul de dimensiuni.
your own camp farm (off)	ferma ta proprie de tabără (dezactivat)
%d of %d, the rest do not stack	%d din %d, restul nu se adună în teanc
%s %s for game build %s	%s %s pentru versiunea de joc %s
%s refused the change: %s	%s a refuzat schimbarea: %s
Empty your big stacks before turning this down or off.	Golește-ți teancurile mari înainte să reduci asta sau s-o dezactivezi.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Limita fiecărui obiect care se adună în teanc este multiplicată când pornește jocul. Setarea este salvată în ini-ul propriu al acelui mod imediat ce o alegi.
Item stacks: %s	Teancuri de obiecte: %s
Items raised	Obiecte ridicate
Largest limit	Cea mai mare limită
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Reducerea multiplicatorului nu micșorează un teanc pe care l-ai construit deja. Un slot care conține mai mult decât permite acum jocul păstrează ce are până scoți ceva din el, iar tot ce depășește noua limită se poate pierde.
Off	Dezactivat
off	dezactivat
Raising stack limits	Creșterea limitelor de teanc
Restart the game for the multiplier you picked to take effect.	Repornește jocul ca multiplicatorul ales de tine să intre în vigoare.
Saved	Salvat
Stack multiplier	Multiplicator de teanc
Stacks	Teancuri
stacks are the size the game ships	teancurile au mărimea cu care a fost lansat jocul
That mod did not hand over its stack settings.	Modul acela nu și-a predat setările de teanc.
This launch	Această pornire
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Această filă are nevoie de Stack Master, sau de o versiune de Private Storage Master care crește limitele de teanc.
Why	De ce
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Majoritatea lucrurilor le poți aduna în teancuri de 100 în joc, așa că la x10 încap 1000. Se aplică la tot ce se adună în teanc, și niciodată la ce nu se adună, cum ar fi armele și armura, iar cele mai adânci teancuri din joc se opresc la limita pe care modul acela o raportează mai sus. Multiplicatorul este citit când pornește jocul, așa că jocul trebuie repornit ca să se vadă.
Some items reached the largest stack that mod allows, %d, and stopped there.	Unele obiecte au ajuns la cel mai mare teanc pe care îl permite modul acela, %d, și s-au oprit acolo.
x%d, by %s	x%d, de la %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s s-a dat la o parte pentru alt mod, deci modificarea lui aici nu ar face nimic. Acel mod nu este unul pe care acest meniu îl poate accesa, deci setează multiplicatorul direct în el.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s nu este modul care stabilește dimensiunile teancurilor, deci modificarea lui aici nu ar face nimic. În schimb, setează multiplicatorul în %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Un multiplicator mai mare are efect imediat ce este ales. Unul mai mic așteaptă următoarea pornire.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	Majoritatea lucrurilor le poți aduna în teancuri de 100 în joc, așa că la x10 încap 1000. Se aplică la tot ce se adună în teanc, și niciodată la ce nu se adună, cum ar fi armele și armura, iar cele mai adânci teancuri din joc se opresc la limita pe care modul acela o raportează mai sus. Alegerea unui multiplicator mai mare are efect imediat; unul mai mic așteaptă următoarea pornire, pentru că un teanc deja format nu poate fi micșorat sub ce conține.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Așteaptă o repornire, sau alege-l din nou afară în lume și intră în vigoare imediat.
you dropped this	l-ai aruncat tu
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	O creatură căreia jocul nu îi dă un obiect propriu, cum ar fi o colonie de licurici, este judecată de acest comutator și de fila Clase, unde o colonie de licurici contează ca insect. Nicio regulă de etichetă sau obiect nu o poate atinge, pentru că nu există niciun obiect cu care să fie comparată.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	De la Private Storage Master 1.1.4 și Arrow este implicit pe listă, așa că săgețile pe care le aduni înapoi rămân în tolbă.
a placed Field Pot or Bonfire	o oală de câmp sau un foc de tabără amplasat
Keep the menu on screen while you play. %s brings it back.	Ține meniul pe ecran cât timp joci. %s îl aduce înapoi.
Watch mode: the game has your controls. %s to interact.	Mod observare: jocul are controalele tale. %s pentru a interacționa.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	O singură tastă. Combinațiile cu Ctrl și Alt nu sunt citite niciodată, pentru că aceste taste tac cât timp Ctrl sau Alt e apăsat.
