# Master Looter menu text, Traditional Chinese (繁體中文).
# Translated by dofo7777.
#
# One string per line: the English, a tab, then the translation. Lines
# starting with # are ignored, \n is a line break, and a line with nothing
# after the tab is shown in English.
# Every %d, %s and %.1f has to survive in the same order, because these are
# printed with the numbers substituted in. A line that changes them is
# ignored at load rather than risked.
#
# This copy is built into the plugin. To change it without rebuilding, put a
# file of this name next to MasterLooter.asi and it will be read instead.
#
# dofo7777 的翻譯之後新增的行，是機器翻譯，
# 尚未經過任何人校對，歡迎至 GitHub（github.com/shin2344234/master-looter）或 Nexus 頁面提出修正。

  bag full	  背包已滿
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	兩種裝東西的東西。一種是你會打開的箱子、板條箱與掉落組資源點，它們很少會回應拾取事件。另一種是地上那些本職就是盛裝東西的物件：瓶子、罐子、陶盆、水袋、花瓶，以及你自己擺放的儲物箱。預設關閉，關閉意味著一整架陶器會原封不動地留在那裡。獎勵箱不在此列，因為那本身就是戰利品，歸類別頁籤中的寶物與紀念品管。\n\n從箱子裡出來的東西不會拿去和你的過濾規則比對。遊戲會一次性把內容物交出來，模組從來看不到它們作為獨立物件的樣子，所以對這些東西而言，這個開關是要麼全收、要麼全不收。
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	在你設定之前不會綁定任何按鍵。遊戲會把拾取有主物品視為偷竊並對你發布懸賞金，所以這是一個你會想開一下就關掉的開關，並不適合放在選單裡操作。
Unidentified nodes	未識別資源點
unidentified nodes off	未識別資源點已關閉
unidentified: could be a fish, a flying insect or a bird	未識別：可能是魚類、飛蟲或鳥類
unidentified: could be an insect or a small animal	未識別：可能是昆蟲或小型動物
unnamed item	未命名物品
Unsellable items	無法出售的物品
Use this language	使用此語言
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	使用遊戲原生的「拿取或偷竊」判定；在尚未偵測到該判定前，有主之物將被略過。
using the player's own field	使用玩家自身欄位
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	蔬菜、水果與穀物：地瓜、大麥、高麗菜、蘋果、葡萄，以及其他種植或採集而來的食物，無論是還長在植株上還是散落在地上。這些過去歸「地面物品」管理，這也是為什麼關閉「植物」開關時，田地仍會被清空：遊戲中的 72 個採集點裡，有 44 個是農作物，只有 28 個是植物。
Verbose log	詳細記錄檔
Verdict	判定結果
waiting	等待中
waiting for the game to check an item	等待遊戲檢查物品
waiting for the game to check ownership once	等待遊戲進行首次所有權檢查
Waiting for the world to load.	正在等待世界載入。
Watch	監視
Watch mode	監視模式
Watch mode (menu stays up, you keep playing)	監視模式（選單保持開啟，同時可繼續遊玩）
Watch mode: the game has your controls. %s to interact, %s to close.	監視模式：控制權由遊戲接管。按 %s 進行互動，按 %s 關閉。
Weapons and armor	武器與防具
What enters the working list at all. The ranges below are clamped to it.	決定哪些物品可進入工作清單。下方的各項範圍均受限於此。
What to collect	拾取目標
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	自動為你搖動轆轤把手並拾取打上來的東西，做法是驅動與你按住互動鍵時遊戲自己會走的相同狀態轉換。水井完全不會發出拾取事件，所以這其實是在重播一段已擷取到的流程，而不是向遊戲詢問任何東西。預設為關閉，因為一旦處理錯誤，水井就會少了水桶孤零零地立在原地。
Wood	木材
wood off	木材已關閉
World (actor manager)	世界（Actor 管理器）
worn by someone	他人穿戴中
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	敵人死亡時掉落的穿戴裝備。價值低、份量重，但數量很多。
worn or carried by you	自身穿戴或攜帶
worth %lld copper	價值 %lld 銅幣
Wrap the swapchain	包裝交換鏈
Write translation template	匯出翻譯範本
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	在外掛程式同目錄下匯出 MasterLooter.template.txt，包含本次工作階段中選單顯示過的每一行文字。請先打開所有分頁標籤，因為文字只有在繪製過後才會出現。翻譯每筆記錄右側的內容，另存為 MasterLooter.<language>.txt，並在此處填入該語言代碼。
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	將目前的設定寫入 \"%s\"。你可以載入它，隨心修改後再儲存回去。
Writes the settings as they are now, named %s.	將目前的設定命名為 %s 寫入。
yes	是
your rules refuse all ore, jewels and stone	你的規則拒絕了礦石、寶石與石頭
your rules refuse all stone	你的規則拒絕了所有石頭
your rules refuse everything this node holds	你的規則拒絕了這個資源點裡的一切
part of a mechanism, not loose loot	機關的一部分，不是散落的戰利品
yours, just out of your hand	你的物品，剛離手
# 以下各行是在 2026 年 9 月 21 日以機器翻譯新增，尚未經過人工校對。
%d last time	上次 %d 個
%d of %d, the rest do not stack	%d/%d，其餘不堆疊
%s %s for game build %s	%s %s (遊戲版本 %s)
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s 已讓位給另一個模組，因此在這裡變更不會有任何作用。這個選單無法觸及那個模組，請直接在該模組中設定倍率。
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s 並不是負責設定堆疊容量的模組，因此在這裡變更不會有任何作用。請改到 %s 中設定倍率。
%s refused the change: %s	%s 拒絕了這項變更：%s
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	遊戲啟動時，若設定自上次以來有變更，就會寫入一份備份，最多保留最近 12 份，儲存於外掛程式同目錄下的 MasterLooter.backups 中。預設集儲存於 MasterLooter.presets 中。重新安裝遊戲前可複製任一資料夾予以保留。
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	選擇較大的倍率會立即生效。選擇較小的倍率則要等到下次啟動才會生效。
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	一個按鍵或控制器組合鍵可以在任何地方開啟該儲物空間，再按一次則關閉。按下另一個儲物空間的按鍵會直接切換過去。
a Master Looter key	一個 Master Looter 按鍵
a Master Looter shortcut	一個 Master Looter 快捷鍵
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	物品進入背包後片刻，Private Storage Master 就會把它移動到下方清單中第一個願意收下它的儲物空間，做法與你親自在儲物空間前操作時相同。只有 Master Looter 拾取的物品才會被移動，你親手撿的東西永遠不會被移動，而來自屍體或生物遺骸的物品，也只有你的物品規則允許的部分才會被移動。儲物空間開啟時、或不在自由遊玩中時，一律不會移動任何東西；鑰匙、文件、任務物品以及永不移動清單上的一切都會留在原處；沒有任何儲物空間願意收下的東西，則會留在背包裡。
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	寵物想撿什麼就撿什麼，而遊戲本身沒有任何開關能管這件事。開啟後：寵物在伸手去拿你的物品規則、標籤、類別或價值下限會拒絕的散落物品之前，就會被回答「不」；而牠從屍體上拿走、且你的物品規則、標籤或類別會拒絕的東西，則會在進入背包的那一刻被刪除，並由提示告訴你消失了什麼。任務物品與受保護的物品永遠不會被刪除，已經在你背包裡的東西也不會被動到。
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	寵物或同伴搜刮屍體時，找到的東西會放進你的背包。開啟後，只要你的物品規則允許，這些物品就會和 Master Looter 自己拾取的東西一樣被移動到儲物空間。寵物撿起的散落物品，遊戲會回報成你自己的拾取行為，所以這些東西仍會留在背包裡。
a seed planted in your camp farm	種在你營地農場裡的種子
Add	新增
add an item: type 3+ letters of its name	新增物品：輸入名稱中至少 3 個字元
also %s	也 %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	一條礦脈，在「自動為你挖礦」關閉時留給你的鎬子處理
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	最多每秒一行，列出每個儲物空間的名稱與存入的數量。關閉時畫面上不會顯示任何內容，只會寫入記錄檔。
Click again to reset	再次點擊以重設
Detailed log	詳細記錄檔
Drop refused loot from bodies	丟棄屍體拒收物品
Each item goes to the first storage in this list that takes it.	每件物品都會存入此清單中第一個願意收下它的儲物空間。
Empty your big stacks before turning this down or off.	調低或關閉此項之前，請先把你的大堆疊清空。
Empty: auto-store may move anything a storage takes.	空的：自動存入功能可能會移動儲物空間願意收下的任何東西。
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	遊戲啟動時，每件可堆疊物品的上限都會依倍率放大。選定後，這項設定會立即儲存到該模組自己的 ini 中。
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	每個儲物空間的容量，以及目前使用了多少格，都會寫入 PrivateStorageMaster.log。回報容量問題時請檢附此檔案。
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	適用於使用 JSON 調整容量的模組：以下的儲物空間容量會被忽略，改由遊戲或該模組決定。
game size (%d)	遊戲原生容量 (%d)
Game window	遊戲視窗
hold a button, then press the one that opens it (Escape cancels)	按住一個按鍵，再按下用來開啟它的按鍵（按 Escape 取消）
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	按住一或多個按鍵，接著按下用來開啟該儲物空間的按鍵。按著其餘按鍵時，遊戲不會看到那個按鍵被按下。
Hold other keys back while Ctrl is down	Ctrl 按下時攔截其他按鍵
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	有多少私人儲物空間的格數來自你購買的擴充與劇情進度。滑桿的總數已把它們算進去，所以基礎容量等於總數減去這些格數。
item %u	物品 %u
Item stacks: %s	物品堆疊：%s
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	自動存入功能永遠不會移動的物品。預設包含所有貨幣：白銀、錢袋、金條、營地資金與補給、代幣與債券。下方的「重設為預設值」可以把這份清單還原。
Items raised	已提升的物品數
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	它的設定存放在外掛程式旁的 PrivateStorageMaster.ini 中。這裡所做的變更會立即儲存到該檔案。
Largest limit	最大上限
Last error	上一個錯誤
Leave every size alone	所有容量都保持不變
left as the game has them	維持遊戲原本的設定
load a save to see it	載入存檔即可查看
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	調低倍率不會讓你已經疊好的堆疊縮小。一格裡如果裝的比現在遊戲允許的還多，會維持原狀直到你取出一些為止，而超過新上限的部分則可能會遺失。
more matches; type more of the name	還有更多符合項目；請輸入更完整的名稱
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	遊戲裡大多數物品的堆疊上限是 100，所以在 x10 時會變成 1000。這個倍率套用在所有可堆疊的物品上，對武器與防具等不可堆疊的物品則完全不起作用，而遊戲中最深的堆疊會停在上方那個模組回報的上限。選擇較大的倍率會立即生效；較小的倍率則要等到下次啟動，因為已經疊好的堆疊無法被壓縮到低於目前裝的數量。
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	遊戲裡大多數物品的堆疊上限是 100，所以在 x10 時會變成 1000。這個倍率套用在所有可堆疊的物品上，對武器與防具等不可堆疊的物品則完全不起作用，而遊戲中最深的堆疊會停在上方那個模組回報的上限。倍率只會在遊戲啟動時讀取一次，所以要重新啟動遊戲才會顯示出來。
Never move	永不移動
no item by that name that is not listed already	沒有這個名稱、且尚未列在清單中的物品
none seen	尚未偵測到
not found, bound keys also reach the game	尚未找到，已綁定的按鍵仍會傳到遊戲
Not on this game version: Private Storage Master could not find the move it needs.	這個遊戲版本不支援：Private Storage Master 找不到搬移物品所需要的函式。
nothing	無
now %d of %d used	目前已用 %d/%d
Off	關閉
off	關閉
off, see the error below	關閉，詳見下方錯誤
off, the mod is disabled	關閉，該模組已停用
on XInput slot %d	位於 XInput 插槽 %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	開啟時，只會移動剛拾取到的數量，所以你原本就帶著的食物與藥水會留在背包裡。關閉時，則會連同整疊一起移動。
Only move what was picked up	只移動剛拾取的部分
Open now	立即開啟
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	請按下按鍵，需要的話可搭配 Ctrl、Shift 或 Alt（按 Escape 取消）
Private Storage expansions	私人儲物空間擴充
Private Storage Master %s for game build %s	Private Storage Master %s (遊戲版本 %s)
Private Storage Master did not hand over its defaults	Private Storage Master 沒有提供它的預設值
Private Storage Master did not hand over its store loot settings.	Private Storage Master 沒有提供它的拾取物儲存設定。
Private Storage Master on	Private Storage Master 已開啟
Private Storage Master refused the change	Private Storage Master 拒絕了這項變更
Private Storage Master: %s	Private Storage Master：%s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	同時也安裝了 PrivateStorageAnywhere.asi。兩者會變更遊戲中相同的部分，請移除那一個。
Put what Master Looter picks up into storage	把 Master Looter 拾取的東西放入儲物空間
Raising stack limits	提升堆疊上限
read from the save	從存檔讀取
Reload from the ini	從 ini 重新載入
Remove	移除
Reset to defaults	重設為預設值
Restart the game for the multiplier you picked to take effect.	重新啟動遊戲，讓你選擇的倍率生效。
Saved	已儲存
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	搜刮屍體或生物遺骸時，會一次交出它所持有的一切，模組要等到東西進了背包才看得到。開啟後：其中只要是你的物品規則、標籤、類別或價值下限會拒絕的部分，都會透過遊戲本身在你自己丟棄物品時所用的那個丟棄動作，直接放回你身邊的地上，每一疊各自成一堆。這涵蓋模組自己的搜刮，也涵蓋寵物或同伴搜刮屍體的情形，牠們拿到卻被拒絕的東西同樣會落在你身邊。你親自搜刮的屍體則會保留它給出的東西。金錢、文件、任務物品與受保護的物品都會留在背包裡。
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	搜刮你擊殺的人，每具屍體一次。動物歸在「生物遺骸」底下。搜刮所付出的東西會在你的篩選器看到之前就已到手，這點與生物遺骸相同；一般設定底下的「丟棄屍體拒收物品」則會把被拒絕的部分放回地上。
set	已設定
set this launch	本次啟動已套用
Settings file	設定檔
Show a notice when loot is stored	拾取物存入儲物空間時顯示提示
Size changes take effect the next time the game starts.	容量變更會在遊戲下次啟動時生效。
Sizes	容量
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	剝取你擊殺的動物的皮，每具屍骸一次。人歸在「屍體」底下。剝皮所得在到手之前，模組完全看不到，所以你的篩選器無法阻止它進來。如果想讓被拒絕的部分放回地上，請開啟一般設定底下的「丟棄屍體拒收物品」。
Some changes take effect the next time the game starts.	部分變更會在遊戲下次啟動時生效。
Some items reached the largest stack that mod allows, %d, and stopped there.	部分物品已達到該模組允許的最大堆疊上限 %d，因而停在該處。
Stack multiplier	堆疊倍率
Stacks	堆疊
stacks are the size the game ships	堆疊維持遊戲原生大小
Stop pets looting bodies	阻止寵物搜刮屍體
Stop pets picking up loose items	阻止寵物拾取散落物品
Storage	儲物空間
Storage keys	儲物空間按鍵
Storage sizes	儲物空間容量
Store loot	儲存拾取物
Store what your pet loots from bodies	儲存寵物從屍體搜刮到的物品
Storing loot needs a newer Private Storage Master.	儲存拾取物需要較新版本的 Private Storage Master。
That mod did not hand over its stack settings.	那個模組沒有提供它的堆疊設定。
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	寵物撿起地上的物品前，遊戲會先詢問，而這一項對此回答否。寵物會直接走過去不撿，事後也就不需要刪除任何東西。傭兵是否會問同樣的問題尚未測試過。
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	寵物搜刮屍體前，遊戲會另外詢問一次，而這一項對此回答否。如果你想要寵物能剝光屍體但不撿散落物品，或者反過來，只開啟其中一項、另一項保持關閉即可。
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	按鍵綁定已在第一次執行時從 PrivateStorageAnywhere.ini 帶過來。
the key-block toggle	按鍵攔截開關
The list is full at %d items.	清單已滿，上限為 %d 件物品。
the size dump	容量傾印
The total, purchased expansions and story slots included. The left end keeps the game's size.	包含購買的擴充格數與劇情格數在內的總數。滑桿左端維持遊戲原本的容量。
This chest holds one of each collectible, so its slots cannot be changed.	這個箱子裝著每種收藏品各一件，因此格數無法變更。
This launch	本次啟動
This tab needs a build of Private Storage Master that matches this version of Master Looter.	此分頁需要與目前這個版本的 Master Looter 相符的 Private Storage Master 版本。
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	此分頁需要 Stack Master，或是能提升堆疊上限的 Private Storage Master 版本。
Turn that on and off	開啟與關閉該功能
Waiting for a restart, or pick it again out in the world and it takes hold at once.	正在等待重新啟動，或者到遊戲世界中重新選取一次即可立即生效。
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	按住 Ctrl，或是你儲物空間按鍵所用的任何輔助鍵時，其他按鍵都會被攔截、不會傳給遊戲，這樣手滑鬆開儲物空間按鍵時才不會誤放技能。移動、Space、Tab、Enter、Escape、Alt+F4，以及遊戲本身會搭配 Ctrl 使用的按鍵（Z、Shift、+）仍然會正常傳遞。
Why	原因
working	運作中
Write the size dump to the log	把容量傾印資料寫入記錄檔
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	把每一次按鍵、開啟與關閉都寫入 PrivateStorageMaster.log，並保留最近 24 個工作階段。關閉時，記錄檔只保留啟動摘要、錯誤與容量傾印資料，並只保留最近 2 個工作階段。
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	把每一次按鍵、開啟與關閉都寫入 PrivateStorageMaster.log。關閉時，記錄檔只保留啟動摘要、錯誤與容量傾印資料。
x%d, by %s	x%d，由 %s 提供
your own camp farm (off)	你自己的營地農場 (已關閉)

# 以下三行是在 2026 年 9 月 24 日以機器翻譯新增，尚未經過人工校對。
you dropped this	你丟棄的物品
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	遊戲沒有給牠專屬物品的生物，例如螢火蟲群，由這個開關和「類別」分頁共同決定，螢火蟲群在那裡算作 insect。標籤或物品規則都管不到牠，因為沒有可以對照的物品。
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	從 Private Storage Master 1.1.4 起，Arrow 也預設在清單中，所以你撿回來的箭會留在箭袋裡。
a placed Field Pot or Bonfire	放置的野外鍋或營火
Keep the menu on screen while you play. %s brings it back.	遊玩時保持選單顯示。按 %s 重新呼叫。
Watch mode: the game has your controls. %s to interact.	監視模式：控制權由遊戲接管。按 %s 進行互動。
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	只能是單一按鍵。按住 Ctrl 或 Alt 時這些按鍵不會回應，所以 Ctrl 與 Alt 組合鍵永遠不會被讀取。
a crafting station	製作台
