# Master Looter menü metni - Türkçe. Bu bir makine çevirisidir; henüz bir
# anadil konuşucusu tarafından gözden geçirilmedi. Düzeltmeler GitHub'da
# (github.com/shin2344234/master-looter) veya Nexus sayfasında memnuniyetle
# karşılanır.
#
# Satır başına bir metin: önce İngilizcesi, bir sekme, sonra çevirisi.
# # ile başlayan satırlar yok sayılır. \n bir satır sonu anlamına gelir,
# ve sekmeden sonrası boş bırakılan bir satır İngilizce olarak kalır.
# Her %d, %s, %.1f ve benzeri yer tutucu aynı sırada kalmalıdır: çalışma
# zamanında sayılarla ve adlarla değiştirilirler, bunları değiştiren bir
# satır yüklenirken yok sayılır.
#
# Eklentinin yanına MasterLooter.tr.txt olarak kaydet; bu, eklentiye
# gömülü kopyanın yerini alır.

  bag full	  çanta dolu
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Bir türü dokunulmadan bırakmak için, dönüştüğü eşyayı Eşyalar sekmesinde asla'ya ayarla: Item_Tench, Item_Ricefish, Item_Iguana. Mod, oyunun karakter tablosundaki yaratığın kendi satırını okur, bu yüzden bir şey yakalamadan önce hangi türe baktığını bilir. Birkaç sıra dışı yaratık hâlâ model adından tahmine dayanır ve yalnızca kategoriye göre yakalanır.
Treasure and keepsakes	Hazine ve hatıralar
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Aynı anda iki tuş, asla tek başına değil: bu oyunda zaten her tuşun bir işlevi var. Mod yalnızca kumandayı okur, bu yüzden oyun her iki tuşu da görmeye devam eder. Birlikte hiçbir şey yapmayan bir çift seç, örneğin iki omuz tuşu, ya da Back ve bir ön yüz tuşu.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Bir şeyler içeren iki şey. Açtığın ve ganimet olayına nadiren yanıt veren sandıklar, kasalar ve ganimet noktaları. Ve yerdeki, işi bir şey barındırmak olan her şey: şişeler, kavanozlar, toprak çömlekler, su tulumları, vazolar ve senin yerleştirdiğin depolama kutuları. Varsayılan olarak kapalı ve kapalı demek, bir raf dolusu çömleğin durduğu yerde kalması demektir. Ödül kutuları buna dahil değildir, çünkü onlar kendi başlarına ganimettir ve Sınıflar sekmesindeki Hazine ve hatıralar başlığına aittir.\n\nBir sandıktan çıkan şey filtrelerine karşı denetlenmez. Oyun içeriği tek seferde teslim eder ve mod onu hiçbir zaman nesne olarak görmez, bu yüzden onlar için bu anahtar ya hep ya hiçtir.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Sen ayarlayana kadar atanmamış. Oyun sahipli eşya almayı hırsızlık sayar ve bunun için üzerine ödül koyar, bu yüzden bu, bir an açıp sonra tekrar kapatmak isteyeceğin bir anahtardır, bu da bir menüye pek uymaz.
Unidentified nodes	Tanımlanamayan noktalar
unidentified nodes off	tanımlanamayan noktalar kapalı
unidentified: could be a fish, a flying insect or a bird	tanımlanamadı: balık, uçan böcek veya kuş olabilir
unidentified: could be an insect or a small animal	tanımlanamadı: böcek veya küçük hayvan olabilir
unnamed item	adsız eşya
Unsellable items	Satılamaz eşyalar
Use this language	Bu dili kullan
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Oyunun kendi Al veya Çal kontrolünü kullanır; sahipli eşya bir kez gözlemlenene kadar atlanır.
using the player's own field	oyuncunun kendi alanını kullanarak
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Sebzeler, meyveler ve tahıllar: tatlı patates, arpa, lahana, elmalar, üzümler ve yetiştirilen veya toplanan diğer yiyecekler, ister bitkinin üzerinde ister serbest halde. Bunlar eskiden Yerdeki eşyalara yanıt verirdi, bu yüzden Bitkiler'i kapatmak yine de bir tarlayı boşaltıyordu: oyundaki 72 toplama yuvasından 44'ü ekin, yalnızca 28'i bitkidir.
Verbose log	Ayrıntılı günlük
Verdict	Sonuç
waiting	bekleniyor
waiting for the game to check an item	oyunun bir eşyayı kontrol etmesi bekleniyor
waiting for the game to check ownership once	oyunun sahipliği bir kez kontrol etmesi bekleniyor
Waiting for the world to load.	Dünyanın yüklenmesi bekleniyor.
Watch	İzle
Watch mode	İzleme modu
Watch mode (menu stays up, you keep playing)	İzleme modu (menü açık kalır, oynamaya devam edersin)
Watch mode: the game has your controls. %s to interact, %s to close.	İzleme modu: kontroller oyunda. Etkileşim için %s, kapatmak için %s.
Weapons and armor	Silahlar ve zırhlar
What enters the working list at all. The ranges below are clamped to it.	Çalışma listesine neyin gireceğini belirler. Aşağıdaki menziller buna göre sınırlanır.
What to collect	Ne toplanacağı
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Kolu senin için çevirir ve yukarı geleni alır, tıpkı etkileşim tuşunu basılı tuttuğunda oyunun çalıştırdığı aynı durum geçişlerini çalıştırarak. Bir kuyu hiçbir yağma olayı doğurmaz, bu yüzden bu, oyundan bir şey istenmesi değil, yakalanmış bir dizinin yeniden oynatılmasıdır. Varsayılan olarak kapalı, çünkü yanlış giden bir kuyu, kovası olmadan kalan bir kuyudur.
Wood	Odun
wood off	odun kapalı
World (actor manager)	Dünya (aktör yöneticisi)
worn by someone	biri tarafından giyiliyor
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Düşmanların ölürken bıraktığı giyilen ekipman. Ucuz ve ağır, ama bol.
worn or carried by you	senin giydiğin veya taşıdığın
worth %lld copper	%lld bakır değerinde
Wrap the swapchain	Swapchain'i sar
Write translation template	Çeviri şablonu yaz
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Eklentinin yanına, menünün bu oturumda gösterdiği her satırı tutan MasterLooter.template.txt dosyasını yazar. Önce her sekmeyi aç, çünkü bir satır ancak çizildikten sonra görünür. Her kaydın sağ tarafını çevir, MasterLooter.<language>.txt olarak kaydet ve dili buraya gir.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Şu anki ayarları \"%s\" içine yazar. Yükle, istediğini değiştir, sonra geri kaydet.
Writes the settings as they are now, named %s.	Şu anki ayarları %s adıyla yazar.
yes	evet
your rules refuse all ore, jewels and stone	kuralların madeni, mücevherleri ve taşı reddediyor
your rules refuse all stone	kuralların bütün taşı reddediyor
your rules refuse everything this node holds	kuralların bu noktanın içerdiği her şeyi reddediyor
part of a mechanism, not loose loot	bir düzeneğin parçası, yerdeki ganimet değil
yours, just out of your hand	senin, elinden yeni çıktı
%d last time	son seferde %d
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Ayarlar bir öncekinden değiştiyse, oyun her başladığında bir yedek yazılır ve son on iki tanesi, eklentinin yanındaki MasterLooter.backups içinde tutulur. Ön ayarlar MasterLooter.presets içindedir. Bir yeniden kurulumda korumak için iki klasörden birini kopyala.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Bir tuş veya kumanda kombinasyonu o depoyu her yerden açar, ve tekrar basıldığında kapatır. Başka bir deponun tuşu doğrudan ona geçer.
a Master Looter key	bir Master Looter tuşu
a Master Looter shortcut	bir Master Looter kısayolu
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Bir eşya çantaya düştükten kısa bir süre sonra, Private Storage Master onu aşağıdaki listede onu kabul eden ilk depoya taşır, tıpkı deponun başında kendin yapacağın taşıma gibi. Yalnızca Master Looter'ın aldığı şeyler taşınır, elinle aldıkların asla taşınmaz, ve bir cesetten ya da leşten gelenlerde yalnızca eşya kurallarının izin verdiği taşınır. Bir depo açıkken veya serbest oynanış dışındayken hiçbir şey taşınmaz, anahtarlar, belgeler, görev eşyaları ve asla taşınmayacaklar listesindeki her şey yerinde kalır, ve hiçbir deponun kabul etmediği şey çantada kalır.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Evcil hayvan canı ne isterse onu toplar ve oyunda bunun için hiçbir anahtar yoktur. Açık: eşya kurallarının, etiketlerinin, sınıflarının veya değer eşiğinin reddedeceği yerdeki bir eşyaya evcil hayvan uzanmadan önce ona hayır denir, ve bir cesetten aldığı ve eşya kurallarının, etiketlerinin veya sınıflarının reddettiği her şey envantere düşer düşmez silinir, bir bildirim neyin gittiğini söyler. Görev eşyaları ve korunan eşyalar asla silinmez, çantanda zaten duran hiçbir şeye de dokunulmaz.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Kendi elinle aldığın hiçbir şey asla silinmez, yanında evcil hayvan ya da paralı asker olsun ya da olmasın.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Bir cesedi toplayan bir evcil hayvan veya yoldaş, bulduğunu çantana koyar. Açıkken, eşya kuralların izin verdiği sürece bu eşyalar da Master Looter'ın kendi aldıkları gibi depoya gider. Bir evcil hayvanın aldığı serbest eşyalar oyun tarafından senin kendi aldıkların olarak bildirilir, bu yüzden onlar çantada kalır.
a seed planted in your camp farm	kamp çiftliğine ekilmiş bir tohum
Add	Ekle
add an item: type 3+ letters of its name	bir eşya ekle: adının 3+ harfini yaz
also %s	ayrıca %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	bir maden damarı, Maden damarlarını senin yerine kaz kapalıyken kazmana bırakılır
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Saniyede en fazla bir satır, her depoyu ve içine kaç tanesinin gittiğini adlandırarak. Kapalıyken hiçbir şey gösterilmez ve yalnızca günlüğe gider.
Click again to reset	Sıfırlamak için tekrar tıkla
Detailed log	Ayrıntılı günlük
Drop refused loot from bodies	Cesetlerden reddedilen yağmayı yere bırak
Each item goes to the first storage in this list that takes it.	Her eşya, bu listedeki onu kabul eden ilk depoya gider.
Empty: auto-store may move anything a storage takes.	Boş: otomatik depolama, bir deponun kabul ettiği her şeyi taşıyabilir.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Her deponun boyutu ve kaç yuvasının kullanımda olduğu, PrivateStorageMaster.log dosyasına yazılır. Bunu bir boyut bildirimine ekle.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	JSON kapasite modları için: aşağıdaki depo boyutları yok sayılır ve oyun, ya da o mod, karar verir.
game size (%d)	oyun boyutu (%d)
Game window	Oyun penceresi
hold a button, then press the one that opens it (Escape cancels)	bir tuşu basılı tut, sonra onu açan tuşa bas (Escape iptal eder)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Bir veya daha fazla tuşu basılı tut, sonra depoyu açan tuşa bas. Diğerleri basılıyken basılan tuş oyundan gizlenir.
Hold other keys back while Ctrl is down	Ctrl basılıyken diğer tuşları engelle
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Kaç Özel Depo yuvasının satın aldığın genişletmelerden ve hikayeden geldiği. Kaydırıcının toplamı bunları da sayar, bu yüzden temel boyut toplamdan bunlar çıkarılarak bulunur.
item %u	eşya %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Otomatik depolamanın her zaman çantada bıraktığı eşyalar. Varsayılan, her tür para birimidir: gümüş, para keseleri, altın külçeler, kamp fonları ve malzemeleri, jetonlar ve tahviller. Aşağıdaki Varsayılanlara sıfırla bu listeyi geri getirir.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Ayarları, eklentinin yanındaki PrivateStorageMaster.ini içinde tutulur. Buradaki değişiklikler hemen oraya kaydedilir.
Last error	Son hata
Leave every size alone	Hiçbir boyuta dokunma
left as the game has them	oyunun ayarladığı gibi
load a save to see it	görmek için bir kayıt yükle
more matches; type more of the name	daha fazla eşleşme; adın daha fazlasını yaz
Never move	Asla taşıma
no item by that name that is not listed already	o adda, zaten listelenmemiş bir eşya yok
none seen	hiç görülmedi
not found, bound keys also reach the game	bulunamadı, atanmış tuşlar oyuna da ulaşır
Not on this game version: Private Storage Master could not find the move it needs.	Bu oyun sürümünde değil: Private Storage Master ihtiyaç duyduğu taşımayı bulamadı.
nothing	hiçbir şey
now %d of %d used	şimdi %d/%d kullanımda
off, see the error below	kapalı, aşağıdaki hataya bak
off, the mod is disabled	kapalı, mod devre dışı
on XInput slot %d	XInput yuvası %d üzerinde
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Açıkken, yalnızca az önce gelen miktar taşınır, bu yüzden zaten taşıdığın yiyecek ve iksirler çantada kalır. Kapalıyken, yığının tamamı gider.
Only move what was picked up	Yalnızca alınanı taşı
Open now	Şimdi aç
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	bir tuşa bas, istersen Ctrl, Shift veya Alt ile birlikte (Escape iptal eder)
Private Storage expansions	Özel Depo genişletmeleri
Private Storage Master %s for game build %s	Private Storage Master %s, oyun sürümü %s içindir
Private Storage Master did not hand over its defaults	Private Storage Master varsayılanlarını vermedi
Private Storage Master did not hand over its store loot settings.	Private Storage Master, yağma depolama ayarlarını vermedi.
Private Storage Master on	Private Storage Master açık
Private Storage Master refused the change	Private Storage Master değişikliği reddetti
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi da kurulu. İkisi de oyunun aynı kısımlarını değiştiriyor; onu kaldır.
Put what Master Looter picks up into storage	Master Looter'ın aldıklarını depoya koy
read from the save	kayıttan okunur
Reload from the ini	ini dosyasından yeniden yükle
Remove	Kaldır
Reset to defaults	Varsayılanlara sıfırla
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Bir cesedi veya leşi aramak, tuttuğu her şeyi teslim eder, ve mod bunu ancak çantaya girdiğinde görür. Açık: eşya kurallarının, etiketlerinin, sınıflarının veya değer eşiğinin reddettiği her şey, senin bir şeyi kendi elinle yere bıraktığında oyunun kullandığı aynı bırakma ile hemen yanına yere konur, her yığın için bir küme. Bu, modun kendi aramalarını ve bir evcil hayvanın veya yoldaşın yağmaladığı cesetleri de kapsar; onların reddedilen eşyaları da yanına düşer. Kendi aradığın bir ceset, ödediğini korur. Para, belgeler, görev eşyaları ve korunan eşyalar çantada kalır.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Öldürdüğün insanları arama, ceset başına bir kez. Hayvanlar Leşler altındadır. Bir aramanın verdiği şey, tıpkı bir leş gibi, filtrelerin görmesinden önce gelir, ve Genel altındaki Cesetlerden reddedilen yağmayı yere bırak, reddettiklerini geri yere koyar.
set	ayarlı
set this launch	bu başlatmada ayarlandı
Settings file	Ayarlar dosyası
Show a notice when loot is stored	Yağma depolandığında bir bildirim göster
Size changes take effect the next time the game starts.	Boyut değişiklikleri oyun bir sonraki başladığında etkili olur.
Sizes	Boyutlar
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Öldürdüğün hayvanların derisini yüzme, leş başına bir kez. İnsanlar Cesetler altındadır. Mod, deri yüzmenin verdiğini yere düşmeden önce hiç görmez, bu yüzden filtrelerin gelmesini engelleyemez. Reddettiklerini yere geri koydurmak için, Genel altındaki Cesetlerden reddedilen yağmayı yere bırak'ı aç.
Some changes take effect the next time the game starts.	Bazı değişiklikler oyun bir sonraki başladığında etkili olur.
Stop pets looting bodies	Evcil hayvanların ceset toplamasını engelle
Stop pets picking up loose items	Evcil hayvanların serbest eşya almasını engelle
Storage	Depo
Storage keys	Depo tuşları
Storage sizes	Depo boyutları
Store loot	Yağmayı depola
Store what your pet loots from bodies	Evcil hayvanının cesetlerden topladığını depola
Storing loot needs a newer Private Storage Master.	Yağma depolamak daha yeni bir Private Storage Master gerektirir.
the size dump	boyut dökümü
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Oyun, bir evcil hayvan yerde duran bir eşyayı almadan önce sorar, ve bu hayır der. Evcil hayvan onun yanından geçer ve sonrasında hiçbir şeyin silinmesi gerekmez. Bir paralı askerin aynı soruyu sorup sormadığı denenmedi.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Oyun, bir evcil hayvan bir cesedi toplamadan önce ayrıca sorar, ve bu da hayır der. Bir evcil hayvanın cesetleri soymasını ama serbest eşya toplamamasını istiyorsan, ya da bunun tersini istiyorsan, bu ikisinden yalnızca birini aç.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Tuş atamaları ilk çalıştırmada PrivateStorageAnywhere.ini dosyasından aktarıldı.
the key-block toggle	tuş engelleme anahtarı
The list is full at %d items.	Liste %d eşya ile dolu.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Toplam, satın alınan genişletmeler ve hikaye yuvaları dahil. Sol uç, oyunun boyutunu korur.
This chest holds one of each collectible, so its slots cannot be changed.	Bu sandık her koleksiyon parçasından birini tutar, bu yüzden yuvaları değiştirilemez.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Bu sekme, Master Looter'ın bu sürümüyle eşleşen bir Private Storage Master sürümü gerektirir.
Turn that on and off	Onu aç ve kapat
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Ctrl, ya da depo tuşlarının kullandığı herhangi bir değiştirici tuş basılıyken, diğer tuşlar oyundan uzak tutulur, bu yüzden bir depo tuşundan kayma bir yetenek tetiklemez. Hareket, Space, Tab, Enter, Escape, Alt+F4 ve oyunun Ctrl ile kullandığı tuşlar (Z, Shift, +) yine de geçer.
working	çalışıyor
Write the size dump to the log	Boyut dökümünü günlüğe yaz
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Her tuş basışını, açma ve kapamayı PrivateStorageMaster.log dosyasına yazar ve son 24 oturumu tutar. Kapalıyken, günlük başlangıç özetini, hataları ve boyut dökümünü, ve son iki oturumu tutar.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Her tuş basışını, açma ve kapamayı PrivateStorageMaster.log dosyasına yazar. Kapalıyken, günlük başlangıç özetini, hataları ve boyut dökümünü tutar.
your own camp farm (off)	kendi kamp çiftliğin (kapalı)
%d of %d, the rest do not stack	%d / %d, geri kalanı yığılmaz
%s %s for game build %s	%s %s, oyun sürümü %s içindir
%s refused the change: %s	%s değişikliği reddetti: %s
Empty your big stacks before turning this down or off.	Bunu düşürmeden veya kapatmadan önce büyük yığınlarını boşalt.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Yığılabilen her eşyanın sınırı oyun başladığında katlanır. Ayar, seçtiğin anda o modun kendi ini dosyasına kaydedilir.
Item stacks: %s	Eşya yığınları: %s
Items raised	Yükseltilen eşyalar
Largest limit	En büyük sınır
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Katsayıyı düşürmek zaten oluşturduğun bir yığını küçültmez. Oyunun artık izin verdiğinden fazlasını tutan bir hane, sen bir şey çıkarana kadar içindekini korur, ve yeni sınırı aşan her şey kaybolabilir.
Off	Kapalı
off	kapalı
Raising stack limits	Yığın sınırlarını yükseltme
Restart the game for the multiplier you picked to take effect.	Seçtiğin katsayının etkili olması için oyunu yeniden başlat.
Saved	Kaydedildi
Stack multiplier	Yığın katsayısı
Stacks	Yığınlar
stacks are the size the game ships	yığınlar oyunun çıktığı haldeki boyuttadır
That mod did not hand over its stack settings.	O mod, yığın ayarlarını teslim etmedi.
This launch	Bu başlatma
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Bu sekme, Stack Master veya yığın sınırlarını yükselten bir Private Storage Master sürümü gerektirir.
Why	Neden
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Oyun çoğu şeyi 100'e kadar yığmana izin verir, bu yüzden x10'da 1000 tutar. Yığılan her şeye uygulanır, silah ve zırh gibi yığılmayanlara asla uygulanmaz, ve oyundaki en derin yığınlar, o modun yukarıda bildirdiği sınırda durur. Katsayı oyun başladığında okunur, bu yüzden görünmesi için oyunun yeniden başlatılması gerekir.
Some items reached the largest stack that mod allows, %d, and stopped there.	Bazı eşyalar o modun izin verdiği en büyük yığına, %d, ulaşıp orada durdu.
x%d, by %s	x%d, %s tarafından
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s başka bir mod için kenara çekildi, bu yüzden burada değiştirmek bir şey yapmaz. O mod, bu menünün ulaşabileceği bir mod değil, bu yüzden katsayıyı doğrudan onda ayarla.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s yığın boyutlarını ayarlayan mod değil, bu yüzden burada değiştirmek bir şey yapmaz. Bunun yerine katsayıyı şurada ayarla: %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Daha büyük bir katsayı seçilir seçilmez etkili olur. Daha küçüğü ise sonraki başlatmayı bekler.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	Oyun çoğu şeyi 100'e kadar yığmana izin verir, bu yüzden x10'da 1000 tutar. Yığılan her şeye uygulanır, silah ve zırh gibi yığılmayanlara asla uygulanmaz, ve oyundaki en derin yığınlar, o modun yukarıda bildirdiği sınırda durur. Daha büyük bir katsayı seçmek hemen etkili olur; daha küçüğü ise sonraki başlatmayı bekler, çünkü zaten oluşmuş bir yığın içindeki miktarın altına küçültülemez.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Yeniden başlatmayı bekliyor, ya da onu oyun dünyasında tekrar seç, hemen etkili olur.
you dropped this	sen yere bıraktın
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Oyunun kendine ait bir eşya vermediği bir canlı, örneğin bir ateşböceği kolonisi, bu anahtar ve Sınıflar sekmesi tarafından değerlendirilir; orada ateşböceği kolonisi insect sayılır. Hiçbir etiket veya eşya kuralı ona ulaşamaz, çünkü kuralın karşılaştırılacağı bir eşya yoktur.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Private Storage Master 1.1.4'ten beri Arrow da varsayılan olarak listede, böylece geri topladığın oklar sadakta kalır.
a placed Field Pot or Bonfire	yerleştirilmiş bir sahra kazanı ya da kamp ateşi
Keep the menu on screen while you play. %s brings it back.	Oynarken menüyü ekranda tut. %s onu geri getirir.
Watch mode: the game has your controls. %s to interact.	İzleme modu: kontroller oyunda. Etkileşim için %s.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Tek başına bir tuş. Ctrl ve Alt kombinasyonları asla okunmaz, çünkü Ctrl ya da Alt basılıyken bu tuşlar tepki vermez.
a crafting station	bir üretim istasyonu
