# Κείμενο μενού του Master Looter στα Ελληνικά. Αυτή είναι αυτόματη μετάφραση
# και δεν την έχει ελέγξει ακόμα κανένας φυσικός ομιλητής. Διορθώσεις είναι
# ευπρόσδεκτες στο GitHub (github.com/shin2344234/master-looter) ή στη σελίδα
# του mod στο Nexus.
#
# Μία γραμμή ανά κείμενο: το αγγλικό πρωτότυπο, μια στηλοθέτηση (tab) και μετά
# η μετάφραση. Γραμμές που ξεκινούν με # αγνοούνται. Το \n μέσα σε ένα κείμενο
# σημαίνει αλλαγή γραμμής. Μια γραμμή χωρίς μετάφραση μετά τη στηλοθέτηση
# εμφανίζεται στα αγγλικά, οπότε ένα μισοτελειωμένο αρχείο λειτουργεί κανονικά.
# Κάθε %d, %s, %.1f και τα λοιπά πρέπει να διατηρηθούν ακριβώς όπως είναι και
# με την ίδια σειρά: αντικαθίστανται με αριθμούς και ονόματα κατά την εκτέλεση,
# και μια γραμμή που τα αλλάζει αγνοείται αντί να ρισκάρει λάθος τιμές.
#
# Αποθήκευσέ το ως MasterLooter.el.txt δίπλα στο plugin ώστε να αντικαταστήσει
# το ενσωματωμένο αντίγραφο, και όρισε Language=el στο MasterLooter.ini ή
# πληκτρολόγησε τη γλώσσα στο General, Language.

  bag full	  τσάντα γεμάτη
Sending events	Αποστολή συμβάντων
Set	Ορισμός
Settings: %ls	Ρυθμίσεις: %ls
Show a brief notice when auto-loot is toggled	Δείξε σύντομη ειδοποίηση όταν αλλάζει το αυτόματο λουτ
Showing current overrides. Type to search all %d items.	Εμφανίζονται οι τρέχουσες παρακάμψεις. Πληκτρολόγησε για αναζήτηση σε όλα τα %d αντικείμενα.
Showing the nearest %d of %d. The rest are further away.	Εμφανίζονται τα %d πιο κοντινά από %d. Τα υπόλοιπα είναι πιο μακριά.
Skip all	Παράλειψη όλων
Skip quest equipment	Παράλειψη εξοπλισμού αποστολών
Quest equipment	Εξοπλισμός αποστολών
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Εξοπλισμός που το παιχνίδι σημειώνει ως σημαντικό και δεν αγοράζει κανένα μαγαζί, σε όλες τις κατηγορίες. Ανενεργό: τα εργαλεία αποστολών μένουν εκεί που είναι.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Εργαλεία και εξοπλισμός που το παιχνίδι σημειώνει ως σημαντικά και δεν τα αγοράζει κανένα μαγαζί: οι ψεκαστήρες λιπάσματος και λιπαντικού, τα δόρατα Kuku, τα δαχτυλίδια και τα κολιέ ανιχνευτή. 180 αντικείμενα, σχεδόν όλα αξίας ενός χάλκινου, και το να σηκώσεις ένα από το πάτωμα νωρίς μπορεί να βγάλει ένα βήμα αποστολής εκτός σειράς.\n\nΔιαβάζει τα δύο σημάδια μαζί, οπότε ένα αντικείμενο με μόνο το ένα δεν καλύπτεται. Ο ψεκαστήρας πεδίου δεν πωλείται και δεν είναι σημειωμένος ως σημαντικός, και εξακολουθεί να μαζεύεται.
Skip items shops refuse to buy	Παράλειψε αντικείμενα που τα μαγαζιά αρνούνται να αγοράσουν
Skip quest items	Παράλειψε αντικείμενα αποστολής
skip: %s	παράλειψη: %s
Small animals	Μικρά ζώα
small animals off	μικρά ζώα ανενεργά
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Κάποια αντικείμενα του κόσμου δεν έχουν αναγνώσιμο όνομα αντικειμένου. Ενεργό: πάρ' τα ούτως ή άλλως. Ανενεργό: άφησε ό,τι είναι αταύτιστο.\n\nΑυτό αφορά μόνο μεμονωμένα αντικείμενα. Ένα αντικείμενο συλλογής για το οποίο εγγυάται ο πίνακας σημείων, όπως ένας σωρός νομισμάτων ή μια στοίβα ράβδων χρυσού, λαμβάνεται όπως και να έχει οριστεί αυτό: το ότι ο πίνακας ονομάζει το prefab είναι αυτό που το ταυτοποιεί, και το αν το αντικείμενο μέσα του έχει όνομα είναι ξεχωριστό ζήτημα. Ο δικός του διακόπτης κατηγορίας εξακολουθεί να ισχύει.
someone is wearing this; taking it would copy it	κάποιος το φοράει· αν το πάρεις θα δημιουργηθεί αντίγραφο
stack at one point (storage contents)	στοίβα σε ένα σημείο (περιεχόμενα αποθήκευσης)
Status	Κατάσταση
Stop pets looting	Εμπόδισε τα κατοικίδια να μαζεύουν
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Τραπέζια, καρέκλες, κρεβάτια, χαλιά, λάμπες, κεριά, πίνακες, δοχεία και τα υπόλοιπα ενός επιπλωμένου δωματίου, είτε τα μαζεύεις από το πάτωμα είτε τα παίρνεις από τον δικό τους κόμβο αλληλεπίδρασης. Τα περισσότερα αξίζουν ένα-δύο χαλκά, αλλά τα χαλιά και τα πολυτελή κρεβάτια φτάνουν στις χιλιάδες, οπότε ενεργοποίησέ το πριν επιπλώσεις ένα σπίτι. Τα κιβώτια και τα άλλα πράγματα που κρατούν κάτι υπάγονται στα Δοχεία αντί για εδώ. Ανενεργό εξ ορισμού.
Tag	Ετικέτα
Tags	Ετικέτες
tags, any of which can be set to never in the Tags tab:	ετικέτες, καθεμία από τις οποίες μπορεί να οριστεί σε ποτέ στην καρτέλα Ετικέτες:
Take goods that belong to someone	Πάρε αγαθά που ανήκουν σε κάποιον
Take goods that belong to someone, on / off	Πάρε αγαθά που ανήκουν σε κάποιον, ενεργό / ανενεργό
Take items the database cannot name	Πάρε αντικείμενα που η βάση δεδομένων δεν μπορεί να ονομάσει
Pets and companions follow the filters	Τα κατοικίδια και οι σύντροφοι ακολουθούν τα φίλτρα
Take owned goods on / off	Πάρε ιδιόκτητα αγαθά, ενεργό / ανενεργό
take this one by hand, looting it can lock the quest	πάρ' το αυτό με το χέρι, το μάζεμά του μπορεί να κλειδώσει την αποστολή
takes effect next launch	ισχύει από την επόμενη εκκίνηση
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Η μηχανή σαρώνει γύρω σου και παίρνει ό,τι επιτρέπουν οι κανόνες. Ανενεργό σημαίνει ότι δεν παίρνεται τίποτα αυτόματα· το πλήκτρο ριπής εξακολουθεί να δουλεύει.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Το παιχνίδι γεμίζει τα δεδομένα ενός κόμβου μόνο όταν πιστεύει ότι μπορείς να τον φτάσεις. Η όπλιση του ζητάει να το κάνει αυτό από απόσταση, κάτι που επιτρέπει επίσης μια φλέβα μεταλλεύματος να συλλέγεται εκεί που στέκεται. Οι φλέβες χρειάζονται αρκετά δευτερόλεπτα για να απαντήσουν εκεί που ένας θάμνος χρειάζεται κλάσμα ενός.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Το παιχνίδι αφαιρεί τα παρμένα αντικείμενα με καθυστέρηση. Αυτό εμποδίζει το ίδιο αντικείμενο να σταλεί δύο φορές όσο ξεθωριάζει.
The game treats this as stealing and will put a bounty on you.	Το παιχνίδι το θεωρεί κλοπή και θα βάλει κεφαλή σε σένα.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Το mod δεν χτυπάει ποτέ με αξίνα. Οδηγεί την ίδια την ακολουθία σπασίματος της φλέβας, και το παιχνίδι διατρέχει μία σειρά πτώσης για αυτό εκεί που ένα πραγματικό χτύπημα διατρέχει δύο, οπότε το μπόνους του εργαλείου εξόρυξής σου δεν πληρώνει τίποτα όταν την εξόρυξη την κάνει το mod. Αυτό προσθέτει πίσω το μετάλλευμα που λείπει μέσα από το ίδιο μονοπάτι πτώσης που χρησιμοποιεί το παιχνίδι, οπότε είναι πραγματικό μετάλλευμα χυμένο στο έδαφος, όχι αντικείμενο αντιγραμμένο στην τσάντα σου. Όρισέ το σε ό,τι πληρώνει το εργαλείο σου με το χέρι μείον ένα: ένα τρυπάνι που δίνει τρία με το χέρι θέλει 2 εδώ. Ισχύει μόνο για φλέβα που έσπασε αυτό το mod, οπότε η εξόρυξη με το χέρι μένει ανέγγιχτη και τα δύο δεν μπορούν να προστεθούν μαζί.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Αυτή η συνεδρία: %ld μαζεύτηκαν, %ld συλλέχθηκαν, %ld πιάστηκαν, %ld κουφάρια
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Ξυλεία και κλαδιά στο έδαφος, και οι κόμβοι που τα δίνουν. Αυτό που περιέχουν οι περισσότεροι από αυτούς διαβάζεται από τα ίδια τα δεδομένα του παιχνιδιού, οπότε η απόρριψη της κατηγορίας wood στην καρτέλα Κατηγορίες αφήνει τα δέντρα όρθια και μαζί την ξυλεία από κάτω τους. Εκεί που το παιχνίδι δεν λέει τίποτα για έναν κόμβο, αυτός ο διακόπτης είναι ο μόνος έλεγχος που έχει.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Για να αφήσεις ένα είδος ανέγγιχτο, όρισε αυτό που γίνεται σε ποτέ στην καρτέλα Αντικείμενα: Item_Tench, Item_Ricefish, Item_Iguana. Το mod διαβάζει τη δική της γραμμή του πλάσματος στον πίνακα χαρακτήρων του παιχνιδιού, οπότε ξέρει ποιο είδος βλέπει πριν πιάσει οτιδήποτε. Μερικά ασυνήθιστα πλάσματα εξακολουθούν να μαντεύονται από το όνομα του μοντέλου τους και πιάνονται μόνο κατά κατηγορία.
Treasure and keepsakes	Θησαυρός και ενθύμια
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Δύο πλήκτρα μαζί, ποτέ ένα: κάθε μεμονωμένο πλήκτρο κάνει ήδη κάτι σε αυτό το παιχνίδι. Το mod απλώς διαβάζει το χειριστήριο, οπότε το παιχνίδι εξακολουθεί να βλέπει και τα δύο πλήκτρα. Διάλεξε ένα ζευγάρι που δεν κάνει τίποτα μαζί, όπως τα δύο πλήκτρα ώμου, ή το Back και ένα πλήκτρο όψης.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Δύο πράγματα που περιέχουν πράγματα. Τα σεντούκια, τα κιβώτια και οι κόμβοι λείας που ανοίγεις και που σπάνια απαντούν στο συμβάν μαζέματος. Και οτιδήποτε στο έδαφος έχει ως δουλειά να περιέχει κάτι: μπουκάλια, βάζα, πήλινα δοχεία, ασκιά νερού, αγγεία και τα κιβώτια αποθήκευσης που τοποθετείς εσύ. Ανενεργό εξ ορισμού, και ανενεργό σημαίνει ότι ένα ράφι με κεραμικά μένει εκεί που είναι. Τα κιβώτια ανταμοιβής δεν καλύπτονται, γιατί αυτά είναι λεία από μόνα τους και ανήκουν στο Θησαυρός και ενθύμια στην καρτέλα Κατηγορίες.\n\nΌ,τι βγαίνει από ένα σεντούκι δεν ελέγχεται με τα φίλτρα σου. Το παιχνίδι παραδίδει το περιεχόμενο μονομιάς και το mod δεν το βλέπει ποτέ ως αντικείμενα, οπότε γι' αυτά αυτός ο διακόπτης είναι όλα ή τίποτα.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Χωρίς ανάθεση μέχρι να το ορίσεις. Το παιχνίδι ονομάζει κλοπή το να παίρνεις ιδιόκτητα αγαθά και σου βάζει κεφαλή για αυτό, οπότε αυτός είναι ο διακόπτης που θες ενεργό για μια στιγμή και μετά ανενεργό ξανά, κάτι που ταιριάζει άσχημα σε ένα μενού.
Unidentified nodes	Αταύτιστοι κόμβοι
unidentified nodes off	αταύτιστοι κόμβοι ανενεργοί
unidentified: could be a fish, a flying insect or a bird	αταύτιστο: μπορεί να είναι ψάρι, πετούμενο έντομο ή πουλί
unidentified: could be an insect or a small animal	αταύτιστο: μπορεί να είναι έντομο ή μικρό ζώο
unnamed item	ανώνυμο αντικείμενο
Unsellable items	Αντικείμενα που δεν πωλούνται
Use this language	Χρήση αυτής της γλώσσας
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Χρησιμοποιεί τον δικό του έλεγχο Πάρε ή Κλέψε του παιχνιδιού· τα ιδιόκτητα αγαθά παραλείπονται μέχρι να παρατηρηθεί μία φορά.
using the player's own field	χρησιμοποιώντας το δικό του πεδίο του παίκτη
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Λαχανικά, φρούτα και δημητριακά: γλυκοπατάτα, κριθάρι, λάχανο, μήλα, σταφύλια και τα υπόλοιπα καλλιεργημένα και μαζεμένα τρόφιμα, πάνω στο φυτό ή πεσμένα ελεύθερα. Αυτά παλιότερα υπάγονταν στα Αντικείμενα στο έδαφος, γι' αυτό η απενεργοποίηση των Φυτών άδειαζε ακόμα ένα χωράφι: από τις 72 θέσεις συλλογής στο παιχνίδι, οι 44 είναι καλλιέργειες και μόνο 28 είναι φυτά.
Verbose log	Αναλυτικό αρχείο καταγραφής
Verdict	Ετυμηγορία
waiting	αναμονή
waiting for the game to check an item	αναμονή για να ελέγξει το παιχνίδι ένα αντικείμενο
waiting for the game to check ownership once	αναμονή για να ελέγξει το παιχνίδι την ιδιοκτησία μία φορά
Waiting for the world to load.	Αναμονή να φορτωθεί ο κόσμος.
Watch	Παρακολούθηση
Watch mode	Λειτουργία παρακολούθησης
Watch mode (menu stays up, you keep playing)	Λειτουργία παρακολούθησης (το μενού μένει ανοιχτό, εσύ συνεχίζεις να παίζεις)
Watch mode: the game has your controls. %s to interact, %s to close.	Λειτουργία παρακολούθησης: το παιχνίδι έχει τα χειριστήριά σου. %s για αλληλεπίδραση, %s για κλείσιμο.
Weapons and armor	Όπλα και πανοπλίες
What enters the working list at all. The ranges below are clamped to it.	Τι μπαίνει καν στη λίστα εργασίας. Οι παρακάτω εμβέλειες περιορίζονται σε αυτό.
What to collect	Τι να συλλέγεται
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Γυρίζει τη χειρολαβή για σένα και παίρνει ό,τι ανεβαίνει, οδηγώντας τις ίδιες μεταβάσεις κατάστασης που οδηγεί το παιχνίδι όταν κρατάς πατημένο το πλήκτρο αλληλεπίδρασης. Ένα πηγάδι δεν εγείρει κανένα συμβάν λουτ, οπότε αυτό είναι μια επανάληψη μιας καταγεγραμμένης ακολουθίας και όχι το παιχνίδι να του ζητείται κάτι. Ανενεργό εξ ορισμού, γιατί ένα πηγάδι που πάει στραβά μένει χωρίς τον κουβά του.
Wood	Ξύλο
wood off	ξύλο ανενεργό
World (actor manager)	Κόσμος (διαχειριστής actor)
worn by someone	φοριέται από κάποιον
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Φορεμένος εξοπλισμός που ρίχνουν οι εχθροί καθώς πεθαίνουν. Φτηνός και βαρύς, αλλά άφθονος.
worn or carried by you	φοριέται ή κουβαλιέται από σένα
worth %lld copper	αξίζει %lld χαλκό
Wrap the swapchain	Τύλιξε το swapchain
Write translation template	Εγγραφή προτύπου μετάφρασης
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Γράφει το MasterLooter.template.txt δίπλα στο plugin, με κάθε γραμμή που έχει εμφανίσει το μενού σε αυτή τη συνεδρία. Άνοιξε πρώτα κάθε καρτέλα, αφού μια γραμμή εμφανίζεται μόνο αφού έχει σχεδιαστεί. Μετάφρασε τη δεξιά πλευρά κάθε εγγραφής, αποθήκευσέ το ως MasterLooter.<γλώσσα>.txt, και βάλε αυτή τη γλώσσα εδώ.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Γράφει τις ρυθμίσεις όπως είναι τώρα μέσα στο \"%s\". Φόρτωσέ το, άλλαξε ό,τι θες, και μετά αποθήκευσέ το ξανά.
Writes the settings as they are now, named %s.	Γράφει τις ρυθμίσεις όπως είναι τώρα, με όνομα %s.
yes	ναι
your rules refuse all ore, jewels and stone	οι κανόνες σου απορρίπτουν μετάλλευμα, πολύτιμους λίθους και πέτρα
your rules refuse all stone	οι κανόνες σου απορρίπτουν κάθε πέτρα
your rules refuse everything this node holds	οι κανόνες σου απορρίπτουν ό,τι περιέχει αυτός ο κόμβος
part of a mechanism, not loose loot	τμήμα μηχανισμού, όχι ελεύθερη λεία
yours, just out of your hand	δικό σου, μόλις έξω από το χέρι σου
%d last time	%d την τελευταία φορά
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Γράφεται ένα αντίγραφο ασφαλείας όταν το παιχνίδι ξεκινά με ρυθμίσεις αλλαγμένες από την προηγούμενη φορά, και κρατιούνται τα τελευταία δώδεκα, στο MasterLooter.backups δίπλα στο plugin. Οι προεπιλογές βρίσκονται στο MasterLooter.presets. Αντέγραψε όποιον από τους δύο φακέλους θες για να τον κρατήσεις μετά από επανεγκατάσταση.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Ένας συνδυασμός πλήκτρου ή χειριστηρίου ανοίγει αυτή την αποθήκη από οπουδήποτε, και ξανά την κλείνει. Το πλήκτρο μιας άλλης αποθήκης μεταβαίνει κατευθείαν σε αυτήν.
a Master Looter key	ένα πλήκτρο του Master Looter
a Master Looter shortcut	μια συντόμευση του Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Λίγο αφού ένα αντικείμενο φτάσει στην τσάντα, το Private Storage Master το μετακινεί στην πρώτη αποθήκη παρακάτω που το δέχεται, την ίδια κίνηση που θα έκανες εσύ στην αποθήκη. Μετακινείται μόνο ό,τι μάζεψε ο Master Looter, ποτέ ό,τι μάζεψες εσύ με το χέρι, και από ένα πτώμα ή κουφάρι μόνο ό,τι επιτρέπουν οι κανόνες αντικειμένων σου. Τίποτα δεν μετακινείται όσο μια αποθήκη είναι ανοιχτή ή εκτός ελεύθερου παιχνιδιού· κλειδιά, έγγραφα, αντικείμενα αποστολής και οτιδήποτε στη λίστα «Να μην μετακινείται ποτέ» μένουν στη θέση τους, και ό,τι δεν δέχεται καμία αποθήκη μένει στην τσάντα.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Ένα κατοικίδιο μαζεύει ό,τι του αρέσει και το παιχνίδι δεν έχει κανέναν διακόπτη γι' αυτό. Ενεργό: στο κατοικίδιο λέγεται όχι πριν απλώσει το χέρι σε ένα πεσμένο αντικείμενο που οι κανόνες αντικειμένων, οι ετικέτες, οι κατηγορίες ή το κατώφλι αξίας σου απορρίπτουν, και ό,τι παίρνει από ένα πτώμα και οι κανόνες αντικειμένων, οι ετικέτες ή οι κατηγορίες σου το απορρίπτουν διαγράφεται από το απόθεμα μόλις φτάσει εκεί, με μια ειδοποίηση που λέει τι χάθηκε. Τα αντικείμενα αποστολής και τα προστατευμένα δεν διαγράφονται ποτέ, και τίποτα από όσα βρίσκονται ήδη στην τσάντα σου δεν πειράζεται.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Τίποτα από όσα μαζεύεις εσύ ο ίδιος δεν διαγράφεται ποτέ, είτε έχεις έξω κατοικίδιο ή μισθοφόρο είτε όχι.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Ένα κατοικίδιο ή ένας σύντροφος που λεηλατεί ένα πτώμα βάζει ό,τι βρήκε στην τσάντα σου. Ενεργό, αυτά τα αντικείμενα πηγαίνουν στην αποθήκη με τον ίδιο τρόπο όπως τα δικά μαζέματα του Master Looter, εφόσον οι κανόνες αντικειμένων σου τα επιτρέπουν. Τα πεσμένα αντικείμενα που μαζεύει ένα κατοικίδιο αναφέρονται από το παιχνίδι ως δικά σου μαζέματα, οπότε αυτά μένουν στην τσάντα.
a seed planted in your camp farm	ένας σπόρος φυτεμένος στο αγρόκτημα του στρατοπέδου σου
Add	Προσθήκη
add an item: type 3+ letters of its name	πρόσθεσε ένα αντικείμενο: πληκτρολόγησε 3+ γράμματα του ονόματός του
also %s	επίσης %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	μια φλέβα μεταλλεύματος, αφημένη στον αξίνα σου όσο το Εξόρυξε φλέβες μεταλλεύματος για σένα είναι ανενεργό
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Το πολύ μία γραμμή το δευτερόλεπτο, που ονομάζει κάθε αποθήκη και πόσα πήγαν σε αυτήν. Ανενεργό, τίποτα δεν εμφανίζεται και πάει μόνο στο αρχείο καταγραφής.
Click again to reset	Κάνε ξανά κλικ για επαναφορά
Detailed log	Αναλυτικό αρχείο καταγραφής
Drop refused loot from bodies	Άφησε κάτω την απορριφθείσα λεία από πτώματα
Each item goes to the first storage in this list that takes it.	Κάθε αντικείμενο πηγαίνει στην πρώτη αποθήκη αυτής της λίστας που το δέχεται.
Empty: auto-store may move anything a storage takes.	Κενό: η αυτόματη αποθήκευση μπορεί να μετακινήσει οτιδήποτε δέχεται μια αποθήκη.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Το μέγεθος κάθε αποθήκης και πόσες θέσεις χρησιμοποιούνται, γραμμένα στο PrivateStorageMaster.log. Επισύναψέ το σε μια αναφορά μεγέθους.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Για mods χωρητικότητας σε JSON: τα μεγέθη αποθήκης παρακάτω αγνοούνται και αποφασίζει το παιχνίδι, ή εκείνο το mod.
game size (%d)	μέγεθος παιχνιδιού (%d)
Game window	Παράθυρο παιχνιδιού
hold a button, then press the one that opens it (Escape cancels)	κράτα πατημένο ένα πλήκτρο, μετά πάτησε αυτό που το ανοίγει (το Escape ακυρώνει)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Κράτα πατημένα ένα ή περισσότερα πλήκτρα, μετά πάτησε αυτό που ανοίγει την αποθήκη. Το πατημένο πλήκτρο κρύβεται από το παιχνίδι όσο τα άλλα κρατιούνται.
Hold other keys back while Ctrl is down	Συγκράτησε τα άλλα πλήκτρα όσο το Ctrl είναι πατημένο
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Πόσες θέσεις Ιδιωτικής Αποθήκης προέρχονται από επεκτάσεις που αγόρασες και από την ιστορία. Το σύνολο του ρυθμιστή τις μετράει, οπότε το βασικό μέγεθος είναι το σύνολο μείον αυτές.
item %u	αντικείμενο %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Αντικείμενα που η αυτόματη αποθήκευση αφήνει πάντα στην τσάντα. Η προεπιλογή είναι κάθε νόμισμα: ασήμι, πουγκιά νομισμάτων, ράβδοι χρυσού, κεφάλαια και προμήθειες στρατοπέδου, μάρκες και ομόλογα. Η Επαναφορά προεπιλογών παρακάτω επαναφέρει αυτή τη λίστα.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Οι ρυθμίσεις του βρίσκονται στο PrivateStorageMaster.ini δίπλα στο plugin. Οι αλλαγές εδώ αποθηκεύονται εκεί αμέσως.
Last error	Τελευταίο σφάλμα
Leave every size alone	Άφησε κάθε μέγεθος ως έχει
left as the game has them	αφημένα όπως τα έχει το παιχνίδι
load a save to see it	φόρτωσε μια αποθήκευση για να το δεις
more matches; type more of the name	περισσότερες αντιστοιχίες· πληκτρολόγησε περισσότερο από το όνομα
Never move	Να μην μετακινείται ποτέ
no item by that name that is not listed already	κανένα αντικείμενο με αυτό το όνομα που να μην είναι ήδη στη λίστα
none seen	κανένα δεν εντοπίστηκε
not found, bound keys also reach the game	δεν βρέθηκε, τα αντιστοιχισμένα πλήκτρα φτάνουν επίσης στο παιχνίδι
Not on this game version: Private Storage Master could not find the move it needs.	Όχι σε αυτή την έκδοση παιχνιδιού: το Private Storage Master δεν μπόρεσε να βρει τη λειτουργία μετακίνησης που χρειάζεται.
nothing	τίποτα
now %d of %d used	τώρα %d από %d σε χρήση
off, see the error below	ανενεργό, δες το σφάλμα παρακάτω
off, the mod is disabled	ανενεργό, το mod είναι απενεργοποιημένο
on XInput slot %d	στη θέση XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Ενεργό, μετακινείται μόνο η ποσότητα που μόλις έφτασε, οπότε το φαγητό και τα φίλτρα που ήδη κουβαλούσες μένουν στην τσάντα. Ανενεργό, φεύγει όλη η στοίβα.
Only move what was picked up	Μετακίνησε μόνο ό,τι μαζεύτηκε
Open now	Άνοιξε τώρα
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	πάτησε ένα πλήκτρο, με Ctrl, Shift ή Alt αν θέλεις (το Escape ακυρώνει)
Private Storage expansions	Επεκτάσεις Ιδιωτικής Αποθήκης
Private Storage Master %s for game build %s	Private Storage Master %s για έκδοση παιχνιδιού %s
Private Storage Master did not hand over its defaults	Το Private Storage Master δεν παρέδωσε τις προεπιλογές του
Private Storage Master did not hand over its store loot settings.	Το Private Storage Master δεν παρέδωσε τις ρυθμίσεις αποθήκευσης λείας του.
Private Storage Master on	Private Storage Master ενεργό
Private Storage Master refused the change	Το Private Storage Master απέρριψε την αλλαγή
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	Το PrivateStorageAnywhere.asi είναι επίσης εγκατεστημένο. Τα δύο αλλάζουν τα ίδια κομμάτια του παιχνιδιού· αφαίρεσε εκείνο.
