# Текст меню Master Looter українською (uk). Це машинний переклад; жоден носій
# мови ще його не перевіряв. Виправлення вітаються на GitHub
# (github.com/shin2344234/master-looter) або на сторінці мода на Nexus.
#
# Один рядок на один текст: оригінал англійською, символ табуляції,
# потім переклад. Рядки, що починаються з #, ігноруються. \n означає
# розрив рядка. Якщо після табуляції нічого немає, рядок і далі
# показується англійською. Кожен %d, %s, %.1f та інший заповнювач має
# лишатися на тому самому місці і в тому самому порядку: під час
# виконання в нього підставляються числа та назви, і рядок, що змінює
# порядок заповнювачів, під час завантаження ігнорується.
#
# Файл із такою назвою поруч із MasterLooter.asi замінює вбудовану
# копію цього тексту.

  bag full	  сумка повна
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Використовує власну перевірку гри «Забрати чи вкрасти»; чуже майно пропускається, доки це не буде зафіксовано хоча б раз.
using the player's own field	за допомогою власного поля гравця
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Овочі, фрукти та зерно: батат, ячмінь, капуста, яблука, виноград та решта вирощеної й зібраної їжі, ще на рослині чи вже окремо. Раніше вони підпорядковувалися «Предметам на землі», тому вимкнення «Рослин» усе одно спустошувало поле: із 72 точок збору в грі 44 — це культури, і лише 28 — рослини.
Verbose log	Детальний журнал
Verdict	Вердикт
waiting	очікування
waiting for the game to check an item	очікування перевірки предмета грою
waiting for the game to check ownership once	очікування, поки гра хоч раз перевірить власність
Waiting for the world to load.	Очікування завантаження світу.
Watch	Спостереження
Watch mode	Режим спостереження
Watch mode (menu stays up, you keep playing)	Режим спостереження (меню лишається відкритим, ви продовжуєте грати)
Watch mode: the game has your controls. %s to interact, %s to close.	Режим спостереження: керування належить грі. %s — взаємодіяти, %s — закрити.
Weapons and armor	Зброя та броня
What enters the working list at all. The ranges below are clamped to it.	Що взагалі потрапляє до робочого списку. Радіуси нижче обмежені цим значенням.
What to collect	Що збирати
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Крутить ручку за вас і забирає те, що піднімається, запускаючи ті самі переходи станів, які запускає гра, коли ви утримуєте кнопку взаємодії. Колодязь узагалі не викликає жодної події лутання, тож це відтворення записаної послідовності, а не запит до гри. Вимкнено за замовчуванням, бо колодязь, з яким щось піде не так, — це колодязь, що залишається без свого відра.
Wood	Деревина
wood off	деревина вимкнена
World (actor manager)	Світ (менеджер акторів)
worn by someone	носить хтось
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Спорядження, яке носили вороги і яке випадає з них при смерті. Дешеве й важке, але його багато.
worn or carried by you	надягнуто чи несеться вами
worth %lld copper	варте %lld міді
Wrap the swapchain	Обгорнути swapchain
Write translation template	Записати шаблон перекладу
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Записує MasterLooter.template.txt поряд із плагіном з усіма рядками, які меню показало цієї сесії. Спершу відкрийте кожну вкладку, бо рядок з'являється лише після того, як його намальовано. Перекладіть праву частину кожного запису, збережіть як MasterLooter.<language>.txt і вкажіть цю мову тут.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Записує поточні налаштування у \"%s\". Завантажте його, змініть що завгодно, потім збережіть назад.
Writes the settings as they are now, named %s.	Записує поточні налаштування під назвою %s.
yes	так
your rules refuse all ore, jewels and stone	твої правила відхиляють руду, самоцвіти й камінь
your rules refuse all stone	твої правила відхиляють увесь камінь
your rules refuse everything this node holds	твої правила відхиляють усе, що містить ця точка
part of a mechanism, not loose loot	частина механізму, а не покинута здобич
yours, just out of your hand	ваше, щойно випало з рук
%d last time	%d минулого разу
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Резервна копія записується під час запуску гри, якщо налаштування змінилися з часу попередньої, і зберігаються останні дванадцять, у MasterLooter.backups поряд із плагіном. Пресети зберігаються в MasterLooter.presets. Скопіюйте будь-яку з цих папок, щоб зберегти її при перевстановленні.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Клавіша або комбінація на геймпаді відкриває це сховище звідусіль і, натиснута знову, закриває його. Клавіша іншого сховища перемикає прямо на нього.
a Master Looter key	клавіша Master Looter
a Master Looter shortcut	сполучення клавіш Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	За мить після того, як предмет потрапляє в сумку, Private Storage Master переносить його в перше сховище нижче, яке його приймає, — той самий рух, який ви зробили б біля сховища самі. Переноситься лише те, що підібрав Master Looter, ніколи те, що ви підібрали власноруч, а з тіла чи туші — лише те, що дозволяють ваші правила предметів. Нічого не переноситься, поки сховище відкрите або поза вільною грою, ключі, документи, предмети завдань і все зі списку «ніколи не переносити» лишаються на місці, а те, що не бере жодне сховище, залишається в сумці.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Улюбленець підбирає все, що йому заманеться, і в грі немає для цього жодного перемикача. Увімкнено: улюбленцю відмовляють ще до того, як він потягнеться до предмета на землі, який відхиляють твої правила предметів, мітки, класи чи поріг вартості, а все, що він забирає з тіла і що твої правила предметів, мітки чи класи відхиляють, видаляється з інвентарю щойно туди потрапляє, а сповіщення каже, що зникло. Предмети завдань і захищені предмети не видаляються ніколи, і нічого з того, що вже лежить у твоїй торбі, не чіпається.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Ніщо з того, що ти підбираєш сам, ніколи не видаляється, чи є поруч улюбленець або найманець, чи ні.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Улюбленець або супутник, що обшукує тіло, кладе знайдене у вашу сумку. Увімкнено: ці предмети йдуть у сховище так само, як і власні знахідки Master Looter, якщо це дозволяють ваші правила предметів. Про окремі предмети, які підбирає улюбленець, гра повідомляє як про ваші власні знахідки, тож вони лишаються в сумці.
a seed planted in your camp farm	насінина, посаджена на вашій таборовій фермі
Add	Додати
add an item: type 3+ letters of its name	додати предмет: введіть 3+ літери його назви
also %s	також %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	рудна жила, залишена вашому кайлу, поки «Видобувати рудні жили за вас» вимкнено
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Щонайбільше один рядок за секунду, із назвою кожного сховища й кількістю, що в нього потрапила. Вимкнено — нічого не показується, і це йде лише в журнал.
Click again to reset	Натисніть ще раз, щоб скинути
Detailed log	Детальний журнал
Drop refused loot from bodies	Скидати відхилений лут із тіл
Each item goes to the first storage in this list that takes it.	Кожен предмет потрапляє в перше сховище з цього списку, яке його приймає.
Empty: auto-store may move anything a storage takes.	Порожньо: автоперенесення може перенести що завгодно, що приймає сховище.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Розмір кожного сховища та кількість зайнятих слотів, записані в PrivateStorageMaster.log. Додайте цей файл до звіту про розміри.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Для JSON-модів місткості: розміри сховищ нижче ігноруються, і рішення ухвалює гра або цей мод.
game size (%d)	розмір гри (%d)
Game window	Вікно гри
hold a button, then press the one that opens it (Escape cancels)	утримуйте кнопку, потім натисніть ту, що її відкриває (Escape скасовує)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Утримуйте одну або кілька кнопок, потім натисніть ту, що відкриває сховище. Натиснута кнопка приховується від гри, поки утримуються інші.
Hold other keys back while Ctrl is down	Не пропускати інші клавіші, поки натиснуто Ctrl
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Скільки слотів Приватного сховища походить із куплених розширень і з сюжету. Підсумок повзунка враховує їх, тож базовий розмір дорівнює підсумку без них.
item %u	предмет %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Предмети, які автоперенесення завжди лишає в сумці. Типово це будь-яка валюта: срібло, гаманці з монетами, золоті злитки, кошти й припаси табору, жетони та облігації. «Скинути до типових» нижче повертає цей список.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Його налаштування зберігаються в PrivateStorageMaster.ini поруч із плагіном. Зміни тут одразу записуються туди.
Last error	Остання помилка
Leave every size alone	Залишити всі розміри без змін
left as the game has them	залишені такими, як їх визначає гра
load a save to see it	завантажте збереження, щоб побачити це
more matches; type more of the name	ще збіги; введіть більше літер назви
Never move	Ніколи не переносити
no item by that name that is not listed already	немає предмета з такою назвою, якого в списку ще немає
none seen	жодного не помічено
not found, bound keys also reach the game	не знайдено, призначені клавіші також надходять у гру
Not on this game version: Private Storage Master could not find the move it needs.	Не в цій версії гри: Private Storage Master не зміг знайти потрібну йому функцію переміщення.
nothing	нічого
now %d of %d used	тепер використано %d з %d
off, see the error below	вимкнено, дивіться помилку нижче
off, the mod is disabled	вимкнено, мод вимкнено
on XInput slot %d	на слоті XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Увімкнено: переноситься лише та кількість, що щойно надійшла, тож їжа та зілля, які ви вже носили із собою, лишаються в сумці. Вимкнено: переноситься весь стос.
Only move what was picked up	Переносити лише підібране
Open now	Відкрити зараз
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	натисніть клавішу, за бажанням із Ctrl, Shift або Alt (Escape скасовує)
Private Storage expansions	Розширення Приватного сховища
Private Storage Master %s for game build %s	Private Storage Master %s для збірки гри %s
Private Storage Master did not hand over its defaults	Private Storage Master не передав свої типові значення
Private Storage Master did not hand over its store loot settings.	Private Storage Master не передав свої налаштування збереження лута.
Private Storage Master on	Private Storage Master увімкнено
Private Storage Master refused the change	Private Storage Master відхилив зміну
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi також встановлено. Обидва змінюють ті самі частини гри; видаліть той файл.
Put what Master Looter picks up into storage	Класти те, що підбирає Master Looter, у сховище
read from the save	зчитано зі збереження
Reload from the ini	Перезавантажити з ini
Remove	Видалити
Reset to defaults	Скинути до типових
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Обшук тіла чи туші передає все, що при ньому є, і мод бачить це лише тоді, коли воно вже в сумці. Увімкнено: усе з цього, що відхиляють ваші правила предметів, мітки, класи чи поріг вартості, одразу кладеться назад на землю поруч із вами, через те саме скидання, яким користується гра, коли ви викидаєте щось самі, — одна купка на стос. Це стосується як власних обшуків мода, так і тіл, які обшукує улюбленець чи супутник: їхні відхилені предмети так само опиняються поруч із вами. Тіло, яке обшукали ви самі, лишає при собі те, що виплатило. Гроші, документи, предмети завдань і захищені предмети лишаються в сумці.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Обшук убитих вами людей, один раз на тіло. Тварини належать до пункту Туші. Те, що дає обшук, надходить ще до того, як його побачать ваші фільтри, так само як і з тушею, а «Скидати відхилений лут із тіл» у розділі Загальні кладе назад те, що вони відхиляють.
set	призначено
set this launch	призначено на цей запуск
Settings file	Файл налаштувань
Show a notice when loot is stored	Показувати повідомлення, коли лут потрапляє в сховище
Size changes take effect the next time the game starts.	Зміни розміру набувають чинності після наступного запуску гри.
Sizes	Розміри
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Білування вбитих вами тварин, один раз на тушу. Люди належать до пункту Тіла. Мод ніколи не бачить того, що дає білування, перш ніж воно надходить, тож ваші фільтри не можуть зупинити це надходження. Щоб те, що вони відхиляють, клалося назад на землю, увімкніть «Скидати відхилений лут із тіл» у розділі Загальні.
Some changes take effect the next time the game starts.	Деякі зміни набувають чинності після наступного запуску гри.
Stop pets looting bodies	Заборонити улюбленцям обшукувати тіла
Stop pets picking up loose items	Заборонити улюбленцям підбирати окремі предмети
Storage	Сховище
Storage keys	Клавіші сховища
Storage sizes	Розміри сховищ
Store loot	Зберігати лут
Store what your pet loots from bodies	Класти в сховище те, що ваш улюбленець забирає з тіл
Storing loot needs a newer Private Storage Master.	Зберігання лута потребує новішої версії Private Storage Master.
the size dump	дамп розмірів
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Гра запитує, перш ніж улюбленець візьме предмет, що лежить на землі, і це відповідає ні. Улюбленець проходить повз нього, і після цього нічого не потрібно видаляти. Чи ставить те саме питання найманець, не перевірялося.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Гра окремо запитує, перш ніж улюбленець обшукає тіло, і це відповідає ні. Увімкни один з двох перемикачів, а не інший, якщо хочеш, щоб улюбленець обшукував трупи, але не збирав окремі предмети, або навпаки.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Прив'язки клавіш було перенесено з PrivateStorageAnywhere.ini під час першого запуску.
the key-block toggle	перемикач блокування клавіш
The list is full at %d items.	Список заповнено на %d предметів.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Підсумок, включно з купленими розширеннями та сюжетними слотами. Лівий край зберігає розмір гри.
This chest holds one of each collectible, so its slots cannot be changed.	Ця скриня вміщує по одному кожного колекційного предмета, тож її слоти не можна змінити.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Ця вкладка потребує збірки Private Storage Master, яка відповідає цій версії Master Looter.
Turn that on and off	Увімкніть і вимкніть це
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Поки утримується Ctrl або будь-який інший модифікатор, який використовують ваші клавіші сховища, інші клавіші не пропускаються в гру, тож зісковзування з клавіші сховища не активує навик. Рух, Space, Tab, Enter, Escape, Alt+F4 і клавіші, які гра використовує разом із Ctrl (Z, Shift, +), і далі проходять.
working	працює
Write the size dump to the log	Записати дамп розмірів у журнал
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Записує кожне натискання клавіші, відкриття та закриття в PrivateStorageMaster.log і зберігає останні 24 сесії. Вимкнено — журнал зберігає підсумок запуску, помилки й дамп розмірів, а також останні дві сесії.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Записує кожне натискання клавіші, відкриття та закриття в PrivateStorageMaster.log. Вимкнено — журнал зберігає підсумок запуску, помилки й дамп розмірів.
your own camp farm (off)	ваша власна таборова ферма (вимкнено)
%d of %d, the rest do not stack	%d з %d, решта не складається в стос
%s %s for game build %s	%s %s для збірки гри %s
%s refused the change: %s	%s відхилив зміну: %s
Empty your big stacks before turning this down or off.	Спорожніть свої великі стоси, перш ніж знижувати це значення або вимикати його.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Ліміт кожного предмета, що складається в стос, множиться під час запуску гри. Налаштування зберігається у власному ini того мода одразу, як ви його обираєте.
Item stacks: %s	Стоси предметів: %s
Items raised	Піднято предметів
Largest limit	Найбільший ліміт
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Зниження множника не зменшує стос, який ви вже зібрали. Комірка, у якій більше, ніж зараз дозволяє гра, зберігає вміст, поки ви щось із неї не заберете, а все понад новий ліміт може бути втрачено.
Off	Вимкнено
off	вимкнено
Raising stack limits	Підвищення лімітів стосу
Restart the game for the multiplier you picked to take effect.	Перезапустіть гру, щоб обраний множник набув чинності.
Saved	Збережено
Stack multiplier	Множник стосу
Stacks	Стоси
stacks are the size the game ships	стоси мають той розмір, із яким вийшла гра
That mod did not hand over its stack settings.	Той мод не передав своїх налаштувань стосу.
This launch	Цей запуск
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Ця вкладка потребує Stack Master або збірки Private Storage Master, яка підвищує ліміти стосу.
Why	Чому
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Більшість речей у грі можна скласти в стос до 100 штук, тому при x10 у нього вміщується 1000. Множник застосовується до всього, що складається в стос, і ніколи до того, що не складається, як-от зброя та броня, а найглибші стоси в грі зупиняються на ліміті, який той мод повідомляє вище. Він зчитується під час запуску гри, тому гру потрібно перезапустити, щоб він набув чинності.
Some items reached the largest stack that mod allows, %d, and stopped there.	Деякі предмети досягли найбільшого стосу, який дозволяє той мод, %d, і зупинилися там.
x%d, by %s	x%d, від %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s відступив перед іншим модом, тому зміна тут нічого не дасть. Цей мод недоступний цьому меню, тож встановіть множник просто в ньому.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s — не той мод, що встановлює розміри стосів, тому зміна тут нічого не дасть. Натомість встановіть множник у %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Більший множник набуває чинності одразу після вибору. Менший чекає наступного запуску.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	Більшість речей у грі можна скласти в стос до 100 штук, тому при x10 у нього вміщується 1000. Множник застосовується до всього, що складається в стос, і ніколи до того, що не складається, як-от зброя та броня, а найглибші стоси в грі зупиняються на ліміті, який той мод повідомляє вище. Вибір більшого множника набуває чинності одразу; менший чекає наступного запуску, бо вже складений стос не можна зменшити менше того, що в ньому є.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Очікує на перезапуск, або оберіть його знову просто у світі гри, і він одразу набуде чинності.
you dropped this	ви це викинули
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Істоту, якій гра не дає власного предмета, наприклад колонію світлячків, оцінюють цей перемикач і вкладка «Класи», де колонія світлячків вважається класом insect. Жодне правило мітки чи предмета її не досягне, бо немає предмета, з яким його можна звірити.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Починаючи з Private Storage Master 1.1.4, у списку за замовчуванням є й Arrow, тож стріли, які ти підбираєш назад, лишаються в сагайдаку.
a placed Field Pot or Bonfire	встановлений похідний казан або багаття
Keep the menu on screen while you play. %s brings it back.	Тримати меню на екрані під час гри. %s повертає його.
Watch mode: the game has your controls. %s to interact.	Режим спостереження: керування належить грі. %s — взаємодіяти.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Одна клавіша окремо. Поєднання з Ctrl і Alt ніколи не зчитуються, бо ці клавіші мовчать, поки затиснуто Ctrl або Alt.
a crafting station	ремісницька станція
