# Tekst menu Master Looter po polsku (pl).
#
# To jest tłumaczenie maszynowe. Nikt jeszcze nie sprawdził go pod
# kątem poprawności
# językowej jako native speaker. Poprawki są mile widziane na GitHubie
# (github.com/shin2344234/master-looter) albo na stronie moda na Nexusie.
#
# Jeden wpis na wiersz: oryginał po angielsku, tabulator, a potem tłumaczenie.
# Wiersze zaczynające się od # są pomijane, \n oznacza podział wiersza, a
# wiersz bez tłumaczenia po tabulatorze pozostaje wyświetlany po angielsku,
# więc plik nieukończony w połowie da się normalnie używać.
# Każdy %d, %s, %.1f i podobny znacznik musi zostać zachowany dokładnie i w
# tej samej kolejności: w czasie działania wstawiane są tam liczby i nazwy,
# a wiersz, który je zmienia, jest ignorowany przy wczytywaniu.
#
# Plik o tej nazwie umieszczony obok MasterLooter.asi zastępuje wbudowaną
# kopię.
  bag full	  torba pełna
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Mod nigdy nie zamachuje się kilofem. Uruchamia własną sekwencję pęknięcia żyły, a gra przechodzi wtedy przez jeden wiersz upuszczenia, podczas gdy prawdziwy zamach przechodzi przez dwa, więc bonus twojego narzędzia górniczego nic nie daje, gdy to mod wydobywa rudę. Ta opcja dokłada brakującą rudę tą samą ścieżką upuszczania, której używa gra, więc jest to prawdziwa ruda wysypana na ziemię, a nie przedmiot skopiowany do twojej torby. Ustaw ją na to, co twoje narzędzie daje ręcznie, minus jeden: wiertło, które ręcznie daje trzy, chce tutaj 2. Dotyczy to tylko żyły rozbitej przez ten mod, więc wydobycie ręczne pozostaje nietknięte i oba bonusy nie mogą się sumować.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	W tej sesji: podniesiono %ld, zebrano %ld, złapano %ld, padlina: %ld
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Drewno i gałęzie na ziemi oraz punkty, które je dają. To, co zawiera większość z nich, jest odczytywane z samych danych gry, więc odrzucenie klasy wood w zakładce Klasy zostawia drzewa na miejscu, a także drewno pod nimi. Tam, gdzie gra nic nie mówi o punkcie, ten przełącznik jest jedyną kontrolą, jaką ma.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Aby zostawić jeden gatunek w spokoju, ustaw na „nigdy” to, w co się zamienia, w zakładce Przedmioty: Item_Tench, Item_Ricefish, Item_Iguana. Mod odczytuje własny wiersz stworzenia w tabeli postaci gry, więc wie, na jaki gatunek patrzy, zanim cokolwiek złapie. Kilka nietypowych stworzeń nadal opiera się na domysłach z nazwy modelu i jest łapanych tylko według kategorii.
Treasure and keepsakes	Skarby i pamiątki
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Dwa przyciski naraz, nigdy jeden: każdy pojedynczy przycisk już coś robi w tej grze. Mod tylko odczytuje pad, więc gra nadal widzi oba przyciski. Wybierz parę, która razem nic nie robi, na przykład oba przyciski na barkach albo Back i jeden z przycisków twarzy.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Dwie rzeczy, które coś w sobie mieszczą. Skrzynie, kufry i punkty łupu, które otwierasz, a które rzadko odpowiadają na zdarzenie zbierania. Oraz wszystko na ziemi, czego zadaniem jest coś mieścić: butelki, słoje, gliniane garnki, bukłaki, wazony i skrzynie na zapasy, które sam stawiasz. Domyślnie wyłączone, a wyłączone znaczy, że półka pełna ceramiki zostaje tam, gdzie stoi. Skrzynie z nagrodami nie są tym objęte, bo to łup sam w sobie i należy do Skarby i pamiątki w zakładce Klasy.\n\nTego, co wychodzi ze skrzyni, nie sprawdza się względem twoich filtrów. Gra wydaje zawartość za jednym razem, a mod nigdy nie widzi jej jako obiektów, więc dla nich ten przełącznik działa na zasadzie wszystko albo nic.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Nieprzypisane, dopóki go nie ustawisz. Gra nazywa zabieranie cudzego mienia kradzieżą i nakłada za to na ciebie nagrodę, więc to przełącznik, który chcesz włączyć na chwilę i zaraz wyłączyć, co słabo pasuje do menu.
Unidentified nodes	Nierozpoznane punkty
unidentified nodes off	nierozpoznane punkty wyłączone
unidentified: could be a fish, a flying insect or a bird	nierozpoznane: może być rybą, latającym owadem albo ptakiem
unidentified: could be an insect or a small animal	nierozpoznane: może być owadem albo małym zwierzęciem
unnamed item	przedmiot bez nazwy
Unsellable items	Przedmioty niesprzedawalne
Use this language	Użyj tego języka
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Wykorzystuje własne sprawdzenie gry Zabierz lub Ukradnij; cudze mienie jest pomijane, dopóki nie zostanie raz zaobserwowane.
using the player's own field	wykorzystując własne pole gracza
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Warzywa, owoce i zboża: bataty, jęczmień, kapusta, jabłka, winogrona i reszta uprawianej oraz zbieranej żywności, zarówno na roślinie, jak i luzem na ziemi. Kiedyś podlegały kategorii Przedmioty na ziemi, dlatego wyłączenie Roślin nadal opróżniało pole: z 72 gniazd zbierania w grze 44 to uprawy, a tylko 28 to rośliny.
Verbose log	Szczegółowy dziennik
Verdict	Werdykt
waiting	oczekiwanie
waiting for the game to check an item	czekanie, aż gra sprawdzi przedmiot
waiting for the game to check ownership once	czekanie, aż gra raz sprawdzi własność
Waiting for the world to load.	Oczekiwanie na wczytanie świata.
Watch	Obserwuj
Watch mode	Tryb obserwacji
Watch mode (menu stays up, you keep playing)	Tryb obserwacji (menu pozostaje otwarte, ty grasz dalej)
Watch mode: the game has your controls. %s to interact, %s to close.	Tryb obserwacji: gra ma kontrolę nad sterowaniem. %s, aby wejść w interakcję, %s, aby zamknąć.
Weapons and armor	Broń i zbroja
What enters the working list at all. The ranges below are clamped to it.	Decyduje o tym, co w ogóle trafia na listę roboczą. Poniższe zasięgi są do niej ograniczone.
What to collect	Co zbierać
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Kręci korbą za ciebie i zbiera to, co się pojawi, uruchamiając te same przejścia stanów, które gra uruchamia, gdy trzymasz przycisk interakcji. Studnia w ogóle nie generuje zdarzenia zbierania, więc jest to odtworzenie zarejestrowanej sekwencji, a nie proszenie gry o cokolwiek. Domyślnie wyłączone, ponieważ studnia potraktowana błędnie zostaje bez wiadra.
Wood	Drewno
wood off	drewno wyłączone
World (actor manager)	Świat (menedżer aktorów)
worn by someone	noszone przez kogoś
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Noszony ekwipunek, który wrogowie upuszczają, gdy giną. Tani i ciężki, ale liczny.
worn or carried by you	noszone lub przenoszone przez ciebie
worth %lld copper	warte %lld miedziaków
Wrap the swapchain	Opakuj swapchain
Write translation template	Zapisz szablon tłumaczenia
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Zapisuje MasterLooter.template.txt obok wtyczki, zawierający każdy wiersz, który menu pokazało w tej sesji. Otwórz najpierw wszystkie zakładki, bo wiersz pojawia się dopiero po narysowaniu. Przetłumacz prawą stronę każdego wpisu, zapisz plik jako MasterLooter.<language>.txt i wpisz ten język tutaj.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Zapisuje ustawienia w obecnym stanie do \"%s\". Wczytaj go, zmień, co chcesz, a potem zapisz ponownie.
Writes the settings as they are now, named %s.	Zapisuje ustawienia w obecnym stanie pod nazwą %s.
yes	tak
your rules refuse all ore, jewels and stone	twoje reguły odrzucają rudę, klejnoty i kamień
your rules refuse all stone	twoje reguły odrzucają cały kamień
your rules refuse everything this node holds	twoje reguły odrzucają wszystko, co zawiera ten punkt
part of a mechanism, not loose loot	część mechanizmu, nie luźny łup
yours, just out of your hand	twoje, właśnie wypuszczone z ręki
%d last time	%d ostatnim razem
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Kopia zapasowa jest zapisywana, gdy gra uruchamia się z ustawieniami zmienionymi od ostatniej, a ostatnie dwanaście jest zachowywanych, w folderze MasterLooter.backups obok wtyczki. Profile znajdują się w MasterLooter.presets. Skopiuj dowolny z tych folderów, aby zachować go po ponownej instalacji.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Kombinacja klawiszy lub kontrolera otwiera ten magazyn z dowolnego miejsca i zamyka go ponownie. Klawisz innego magazynu przełącza od razu na niego.
a Master Looter key	klawisz Master Looter
a Master Looter shortcut	skrót Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Chwilę po tym, jak przedmiot trafi do torby, Private Storage Master przenosi go do pierwszego magazynu poniżej, który go przyjmuje, dokładnie tak, jak zrobiłbyś to sam przy tym magazynie. Przenoszone jest tylko to, co podniósł Master Looter, nigdy to, co podniosłeś ręcznie, a z ciała lub padliny tylko to, na co pozwalają twoje reguły przedmiotów. Nic się nie przenosi, gdy magazyn jest otwarty lub poza swobodną rozgrywką; klucze, dokumenty, przedmioty zadaniowe i wszystko z listy Nigdy nie przenoś zostają na miejscu, a to, czego nie przyjmie żaden magazyn, zostaje w torbie.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Zwierzę zbiera, co mu się podoba, a gra nie ma na to żadnego przełącznika. Włączone: zwierzę słyszy odmowę, zanim sięgnie po luźny przedmiot, który twoje reguły przedmiotów, znaczniki, klasy albo próg wartości odrzucają, a to, co weźmie z ciała, a co twoje reguły przedmiotów, znaczniki albo klasy odrzucają, zostaje usunięte z ekwipunku zaraz po trafieniu do niego, z komunikatem mówiącym, co zniknęło. Przedmioty zadaniowe i chronione nie są usuwane nigdy, a nic, co już leży w twojej torbie, nie zostaje ruszone.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Nic, co podniesiesz sam, nigdy nie zostanie usunięte, niezależnie od tego, czy towarzyszy ci zwierzę lub najemnik.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Zwierzę lub towarzysz, który złupi ciało, kładzie to, co znalazł, do twojej torby. Włączone, te przedmioty trafiają do magazynu tak samo jak własne znaleziska Master Looter, o ile pozwalają na to twoje reguły przedmiotów. Luźne przedmioty, które podniesie zwierzę, gra zgłasza jako twoje własne znaleziska, więc te zostają w torbie.
a seed planted in your camp farm	nasiono zasadzone na twoim polu w obozie
Add	Dodaj
add an item: type 3+ letters of its name	dodaj przedmiot: wpisz 3 lub więcej liter jego nazwy
also %s	także %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	żyła rudy, zostawiona twojemu kilofowi, dopóki Wydobywaj żyły rudy za ciebie jest wyłączone
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Najwyżej jedna linia na sekundę, nazywająca każdy magazyn i ile do niego trafiło. Wyłączone, nic nie jest pokazywane i trafia to tylko do dziennika.
Click again to reset	Kliknij ponownie, aby zresetować
Detailed log	Szczegółowy dziennik
Drop refused loot from bodies	Upuszczaj odrzucony łup z ciał
Each item goes to the first storage in this list that takes it.	Każdy przedmiot trafia do pierwszego magazynu na tej liście, który go przyjmuje.
Empty: auto-store may move anything a storage takes.	Puste: automatyczne magazynowanie może przenieść wszystko, co przyjmuje magazyn.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Rozmiar każdego magazynu i liczba zajętych miejsc, zapisywane do PrivateStorageMaster.log. Dołącz go do zgłoszenia dotyczącego rozmiaru.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Dla modów pojemności JSON: poniższe rozmiary magazynów są ignorowane, a decyduje gra albo ten mod.
game size (%d)	rozmiar gry (%d)
Game window	Okno gry
hold a button, then press the one that opens it (Escape cancels)	przytrzymaj przycisk, potem naciśnij ten, który go otwiera (Escape anuluje)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Przytrzymaj jeden lub więcej przycisków, potem naciśnij ten, który otwiera magazyn. Naciśnięty przycisk jest ukrywany przed grą, dopóki pozostałe są przytrzymane.
Hold other keys back while Ctrl is down	Powstrzymuj inne klawisze, dopóki Ctrl jest wciśnięty
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Ile miejsc w Prywatnym magazynie pochodzi z kupionych rozszerzeń i z fabuły. Suma na suwaku je uwzględnia, więc rozmiar bazowy to suma pomniejszona o nie.
item %u	przedmiot %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Przedmioty, które automatyczne magazynowanie zawsze zostawia w torbie. Domyślnie to każda waluta: srebro, sakiewki monet, sztabki złota, fundusze i zapasy obozu, żetony i obligacje. Przywróć wartości domyślne poniżej przywraca tę listę.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Jego ustawienia znajdują się w PrivateStorageMaster.ini obok wtyczki. Zmiany tutaj są tam zapisywane od razu.
Last error	Ostatni błąd
Leave every size alone	Zostaw każdy rozmiar bez zmian
left as the game has them	pozostawione takie, jak ma je gra
load a save to see it	wczytaj zapis, aby to zobaczyć
more matches; type more of the name	więcej dopasowań; wpisz więcej liter nazwy
Never move	Nigdy nie przenoś
no item by that name that is not listed already	brak przedmiotu o tej nazwie, który nie jest już na liście
none seen	jeszcze nie widziano
not found, bound keys also reach the game	nie znaleziono, przypisane klawisze docierają też do gry
Not on this game version: Private Storage Master could not find the move it needs.	Nie na tej wersji gry: Private Storage Master nie znalazł potrzebnego przeniesienia.
nothing	nic
now %d of %d used	teraz użyte %d z %d
off, see the error below	wyłączone, zobacz błąd poniżej
off, the mod is disabled	wyłączone, mod jest wyłączony
on XInput slot %d	na slocie XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Włączone, przenoszona jest tylko ilość, która właśnie przybyła, więc jedzenie i mikstury, które już miałeś, zostają w torbie. Wyłączone, przenosi się cały stos.
Only move what was picked up	Przenoś tylko to, co zostało podniesione
Open now	Otwórz teraz
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	naciśnij klawisz, z Ctrl, Shift lub Alt, jeśli chcesz (Escape anuluje)
Private Storage expansions	Rozszerzenia Prywatnego magazynu
Private Storage Master %s for game build %s	Private Storage Master %s dla wersji gry %s
Private Storage Master did not hand over its defaults	Private Storage Master nie przekazał swoich wartości domyślnych
Private Storage Master did not hand over its store loot settings.	Private Storage Master nie przekazał swoich ustawień magazynowania łupu.
Private Storage Master on	Private Storage Master włączony
Private Storage Master refused the change	Private Storage Master odrzucił zmianę
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	Zainstalowano też PrivateStorageAnywhere.asi. Oba zmieniają te same części gry; usuń tamten.
Put what Master Looter picks up into storage	Umieszczaj w magazynie to, co podnosi Master Looter
read from the save	odczytane z zapisu
Reload from the ini	Wczytaj ponownie z pliku ini
Remove	Usuń
Reset to defaults	Przywróć wartości domyślne
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Przeszukanie ciała lub padliny oddaje wszystko, co posiada, a mod widzi to dopiero, gdy trafi do torby. Włączone: to, co z tego odrzucają twoje reguły przedmiotów, znaczniki, klasy albo próg wartości, jest od razu odkładane z powrotem na ziemię obok ciebie, tym samym upuszczeniem, którego gra używa, gdy sam coś upuszczasz, jedna kupka na każdy stos. Obejmuje to zarówno przeszukania samego moda, jak i ciała, które łupi zwierzę lub towarzysz, których odrzucone przedmioty również lądują obok ciebie. Ciało, które przeszukasz sam, zachowuje to, co dało. Pieniądze, dokumenty, przedmioty zadaniowe i chronione przedmioty zostają w torbie.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Przeszukiwanie zabitych przez ciebie ludzi, raz na ciało. Zwierzęta podlegają pod Truchła. To, co daje przeszukanie, dociera, zanim zobaczą to twoje filtry, tak samo jak przy truchle, a Upuszczaj odrzucony łup z ciał w Ogólnych odkłada z powrotem to, co odrzucają.
set	ustawione
set this launch	ustawione na to uruchomienie
Settings file	Plik ustawień
Show a notice when loot is stored	Pokaż powiadomienie, gdy łup zostanie zmagazynowany
Size changes take effect the next time the game starts.	Zmiany rozmiaru zaczynają obowiązywać przy następnym uruchomieniu gry.
Sizes	Rozmiary
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Oprawianie zabitych przez ciebie zwierząt, raz na truchło. Ludzie podlegają pod Ciała. Mod nigdy nie widzi tego, co daje oprawianie, zanim to dotrze, więc twoje filtry nie mogą powstrzymać tego przed przybyciem. Aby to, co odrzucają, trafiało z powrotem na ziemię, włącz Upuszczaj odrzucony łup z ciał w Ogólnych.
Some changes take effect the next time the game starts.	Niektóre zmiany zaczynają obowiązywać przy następnym uruchomieniu gry.
Stop pets looting bodies	Powstrzymaj zwierzęta przed łupieniem ciał
Stop pets picking up loose items	Powstrzymaj zwierzęta przed podnoszeniem luźnych przedmiotów
Storage	Magazyn
Storage keys	Klawisze magazynu
Storage sizes	Rozmiary magazynów
Store loot	Magazynuj łup
Store what your pet loots from bodies	Magazynuj to, co twoje zwierzę złupi z ciał
Storing loot needs a newer Private Storage Master.	Magazynowanie łupu wymaga nowszego Private Storage Master.
the size dump	zrzut rozmiarów
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Gra pyta, zanim zwierzę weźmie przedmiot leżący na ziemi, a to odpowiada nie. Zwierzę mija go, więc później nie trzeba niczego usuwać. Czy najemnikowi zadawane jest to samo pytanie, nie zostało sprawdzone.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Gra pyta osobno, zanim zwierzę złupi ciało, a to odpowiada nie. Włącz jedno z dwóch, a nie drugie, jeśli chcesz, żeby zwierzę obdzierało zwłoki, ale nie zbierało luźnych przedmiotów, albo odwrotnie.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Przypisania klawiszy zostały przeniesione z PrivateStorageAnywhere.ini przy pierwszym uruchomieniu.
the key-block toggle	przełącznik blokady klawiszy
The list is full at %d items.	Lista jest pełna przy %d przedmiotach.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Suma, wliczając kupione rozszerzenia i miejsca fabularne. Lewy koniec zachowuje rozmiar gry.
This chest holds one of each collectible, so its slots cannot be changed.	Ta skrzynia zawiera po jednym egzemplarzu każdego kolekcjonerskiego przedmiotu, więc liczby jej miejsc nie można zmienić.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Ta zakładka wymaga wersji Private Storage Master, która pasuje do tej wersji Master Looter.
Turn that on and off	Włącz to i wyłącz
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Dopóki Ctrl, lub jakikolwiek modyfikator, którego używają twoje klawisze magazynu, jest wciśnięty, inne klawisze są powstrzymywane przed dotarciem do gry, więc zsunięcie się z klawisza magazynu nie uruchamia umiejętności. Ruch, spacja, Tab, Enter, Escape, Alt+F4 oraz klawisze, których gra używa z Ctrl (Z, Shift, +), nadal docierają.
working	działa
Write the size dump to the log	Zapisz zrzut rozmiarów do dziennika
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Zapisuje każde naciśnięcie klawisza, otwarcie i zamknięcie do PrivateStorageMaster.log i zachowuje ostatnie 24 sesje. Wyłączone, dziennik zachowuje podsumowanie uruchomienia, błędy i zrzut rozmiarów oraz ostatnie dwie sesje.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Zapisuje każde naciśnięcie klawisza, otwarcie i zamknięcie do PrivateStorageMaster.log. Wyłączone, dziennik zachowuje podsumowanie uruchomienia, błędy i zrzut rozmiarów.
your own camp farm (off)	twoje własne pole w obozie (wyłączone)
%d of %d, the rest do not stack	%d z %d, reszta nie łączy się w stos
%s %s for game build %s	%s %s dla wersji gry %s
%s refused the change: %s	%s odrzucił zmianę: %s
Empty your big stacks before turning this down or off.	Opróżnij swoje duże stosy, zanim to obniżysz lub wyłączysz.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Limit każdego przedmiotu, który tworzy stos, jest mnożony przy starcie gry. Ustawienie zapisuje się we własnym ini tego moda, gdy tylko je wybierzesz.
Item stacks: %s	Stosy przedmiotów: %s
Items raised	Podniesione przedmioty
Largest limit	Największy limit
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Obniżenie mnożnika nie zmniejsza stosu, który już zbudowałeś. Slot zawierający więcej, niż teraz pozwala gra, zachowuje to, co w nim jest, dopóki czegoś z niego nie zabierzesz, a wszystko ponad nowy limit może zostać utracone.
Off	Wyłączone
off	wyłączone
Raising stack limits	Podnoszenie limitów stosu
Restart the game for the multiplier you picked to take effect.	Zrestartuj grę, aby wybrany mnożnik zaczął obowiązywać.
Saved	Zapisano
Stack multiplier	Mnożnik stosu
Stacks	Stosy
stacks are the size the game ships	stosy mają rozmiar, z jakim wydano grę
That mod did not hand over its stack settings.	Ten mod nie przekazał swoich ustawień stosu.
This launch	To uruchomienie
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Ta zakładka wymaga Stack Master lub wersji Private Storage Master, która podnosi limity stosu.
Why	Dlaczego
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Większość rzeczy gra pozwala ci ułożyć w stos do 100 sztuk, więc przy x10 mieści się ich 1000. Dotyczy wszystkiego, co tworzy stos, a nigdy tego, co go nie tworzy, jak broń i zbroja, a najgłębsze stosy w grze zatrzymują się na limicie, który ten mod podaje powyżej. Mnożnik jest odczytywany przy starcie gry, więc grę trzeba zrestartować, żeby zaczął obowiązywać.
Some items reached the largest stack that mod allows, %d, and stopped there.	Niektóre przedmioty osiągnęły największy stos, na jaki pozwala ten mod, %d, i tam się zatrzymały.
x%d, by %s	x%d, od %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s ustąpił miejsca innemu modowi, więc zmiana tego tutaj nic by nie dała. Ten mod nie jest tym, do którego to menu ma dostęp, więc ustaw mnożnik bezpośrednio w nim.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s nie jest modem ustawiającym rozmiary stosów, więc zmiana tego tutaj nic by nie dała. Zamiast tego ustaw mnożnik w %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Większy mnożnik zaczyna działać od razu, gdy go wybierzesz. Mniejszy czeka do następnego uruchomienia.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	Większość rzeczy gra pozwala ci ułożyć w stos do 100 sztuk, więc przy x10 mieści się ich 1000. Dotyczy wszystkiego, co tworzy stos, a nigdy tego, co go nie tworzy, jak broń i zbroja, a najgłębsze stosy w grze zatrzymują się na limicie, który ten mod podaje powyżej. Wybranie większego mnożnika zaczyna działać od razu; mniejszy czeka do następnego uruchomienia, ponieważ już zbudowanego stosu nie da się zmniejszyć poniżej tego, co w nim jest.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Czeka na restart, albo wybierz go ponownie w świecie gry, a zacznie działać od razu.
you dropped this	wyrzucone przez ciebie
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Stworzenie, któremu gra nie daje własnego przedmiotu, na przykład kolonię świetlików, ocenia ten przełącznik i karta Klasy, gdzie kolonia świetlików liczy się jako insect. Żadna reguła znacznika ani przedmiotu go nie dosięgnie, bo nie ma przedmiotu, z którym można by ją porównać.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Od Private Storage Master 1.1.4 domyślnie jest na niej też Arrow, więc strzały, które podniesiesz z powrotem, zostają w kołczanie.
a placed Field Pot or Bonfire	postawiony kocioł polowy lub ognisko
Keep the menu on screen while you play. %s brings it back.	Utrzymuje menu na ekranie podczas gry. %s przywraca je.
Watch mode: the game has your controls. %s to interact.	Tryb obserwacji: gra ma kontrolę nad sterowaniem. %s, aby wejść w interakcję.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Jeden klawisz osobno. Kombinacje z Ctrl i Alt nigdy nie są odczytywane, bo te klawisze milczą, gdy wciśnięty jest Ctrl lub Alt.
a crafting station	stanowisko rzemieślnicze
