# Master Looter-menyteksten på norsk bokmål (nb). Dette er en
# maskinoversettelse. Ingen som har norsk som morsmål har korrekturlest den
# ennå. Rettelser mottas gjerne på GitHub
# (github.com/shin2344234/master-looter) eller på moddens Nexus-side.
#
# Én linje per tekst: originalen på engelsk, en tabulator, så
# oversettelsen. \n er et linjeskift: behold samme antall som i
# originalen. En linje uten oversettelse etter tabulatoren vises
# fortsatt på engelsk, så en delvis ferdig fil fungerer fint.
# Behold hver %d, %s, %.1f og lignende plassholder nøyaktig som den
# står og i samme rekkefølge: de erstattes med tall og navn når
# spillet kjører, og en linje som endrer dem blir ignorert.
#
# Lagre filen som MasterLooter.<språk>.txt ved siden av
# MasterLooter.asi, for eksempel MasterLooter.nb.txt, og sett
# Language=nb i MasterLooter.ini, eller skriv inn språket under
# Generelt, Språk. En fil med dette navnet der overstyrer den
# innebygde kopien i pluginen.

  bag full	  sekken full
Use this language	Bruk dette språket
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Bruker spillets egen Take or Steal-sjekk; eide varer hoppes over til den er observert én gang.
using the player's own field	ved hjelp av spillerens eget felt
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Grønnsaker, frukt og korn: søtpotet, bygg, kål, epler, druer og resten av den dyrkede og sankede maten, på planten eller liggende løst. Disse hørte tidligere til Gjenstander på bakken, som er hvorfor det å slå av Planter likevel tømte et jorde: av de 72 innsamlingssoklene i spillet er 44 avlinger og bare 28 planter.
Verbose log	Detaljert logg
Verdict	Avgjørelse
waiting	venter
waiting for the game to check an item	venter på at spillet sjekker en gjenstand
waiting for the game to check ownership once	venter på at spillet sjekker eierskap én gang
Waiting for the world to load.	Venter på at verdenen skal laste inn.
Watch	Vis
Watch mode	Visningsmodus
Watch mode (menu stays up, you keep playing)	Visningsmodus (menyen blir stående, du fortsetter å spille)
Watch mode: the game has your controls. %s to interact, %s to close.	Visningsmodus: spillet har kontrollen din. %s for å interagere, %s for å lukke.
Weapons and armor	Våpen og rustning
What enters the working list at all. The ranges below are clamped to it.	Hva som i det hele tatt kommer inn på arbeidslisten. Avstandene under er begrenset til denne.
What to collect	Hva som skal samles inn
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Vinsjer håndtaket for deg og tar det som kommer opp, ved å kjøre de samme tilstandsovergangene spillet kjører når du holder inne interaksjonsknappen. En brønn utløser ingen loot-hendelse i det hele tatt, så dette er en avspilling av en fanget sekvens snarere enn at spillet blir spurt om noe. Av som standard, fordi en brønn den gjør feil er en brønn som blir stående uten bøtten sin.
Wood	Tre
wood off	tre av
World (actor manager)	Verden (actor manager)
worn by someone	båret av noen
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Utstyr fiender bærer og slipper når de dør. Billig og tungt, men rikelig.
worn or carried by you	båret eller holdt av deg
worth %lld copper	verdt %lld kobber
Wrap the swapchain	Pakk inn swapchainen
Write translation template	Skriv oversettelsesmal
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Skriver MasterLooter.template.txt ved siden av pluginen, med hver linje menyen har vist denne økten. Åpne alle fanene først, siden en linje bare dukker opp etter at den er tegnet. Oversett høyre side av hver oppføring, lagre den som MasterLooter.<språk>.txt, og skriv det språket her.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Skriver innstillingene slik de er nå til \"%s\". Last den inn, endre det du vil, og lagre den tilbake.
Writes the settings as they are now, named %s.	Skriver innstillingene slik de er nå, med navnet %s.
yes	ja
your rules refuse all ore, jewels and stone	reglene dine avviser malm, edelstener og stein alt sammen
your rules refuse all stone	reglene dine avviser all stein
your rules refuse everything this node holds	reglene dine avviser alt dette punktet inneholder
part of a mechanism, not loose loot	del av en mekanisme, ikke løst bytte
yours, just out of your hand	ditt, rett utenfor hånden din
%d last time	%d sist
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Én sikkerhetskopi skrives når spillet starter med innstillinger endret siden forrige gang, og de siste tolv beholdes, i MasterLooter.backups ved siden av pluginen. Forhåndsinnstillinger ligger i MasterLooter.presets. Kopier en av mappene for å beholde den ved en ominstallering.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	En tast- eller kontrollerkombinasjon åpner det lageret fra hvor som helst, og lukker det igjen. Et annet lagers tast bytter rett til det.
a Master Looter key	en Master Looter-tast
a Master Looter shortcut	en Master Looter-snarvei
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Et øyeblikk etter at en gjenstand havner i sekken, flytter Private Storage Master den til det første lageret under som tar imot den, samme flytting du selv ville gjort ved lageret. Bare det Master Looter har plukket opp, flyttes, aldri det du har plukket opp for hånd, og fra et lik eller et kadaver bare det gjenstandsreglene dine tillater. Ingenting flyttes mens et lager er åpent eller utenfor fritt spill; nøkler, dokumenter, questgjenstander og alt på listen Aldri flytt blir liggende, og det intet lager tar imot, blir i sekken.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Et kjæledyr plukker opp det det vil, og spillet har ingen bryter for det. På: et kjæledyr nektes før det strekker seg etter en løs gjenstand som gjenstandsreglene, merkelappene, klassene eller verdigrensen din avviser, og det den tar fra et lik som gjenstandsreglene, merkelappene eller klassene dine avviser, slettes fra inventaret straks det kommer inn, med en melding som sier hva som forsvant. Questgjenstander og beskyttede gjenstander slettes aldri, og ingenting som allerede ligger i sekken din, røres.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Ingenting du plukker opp selv blir noen gang slettet, enten et kjæledyr eller en leiesoldat er ute eller ikke.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Et kjæledyr eller en følgesvenn som plyndrer et lik, legger det de fant, i sekken din. På går de gjenstandene til lager på samme måte som Master Looters egne funn, så lenge gjenstandsreglene dine tillater dem. Løse gjenstander et kjæledyr plukker opp, meldes av spillet som dine egne funn, så de blir i sekken.
a seed planted in your camp farm	et frø plantet på gårdsbruket ditt i leiren
Add	Legg til
add an item: type 3+ letters of its name	legg til en gjenstand: skriv 3+ bokstaver av navnet
also %s	også %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	en malmåre, overlatt til hakken din mens Bryt malmårer for deg er av
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Høyst én linje i sekundet, som navngir hvert lager og hvor mange som gikk inn i det. Av, vises ingenting, og det går bare til loggen.
Click again to reset	Klikk igjen for å tilbakestille
Detailed log	Detaljert logg
Drop refused loot from bodies	Slipp avvist bytte fra lik
Each item goes to the first storage in this list that takes it.	Hver gjenstand går til det første lageret i denne listen som tar imot den.
Empty: auto-store may move anything a storage takes.	Tom: automatisk lagring kan flytte alt et lager tar imot.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Størrelsen på hvert lager og hvor mange plasser som er i bruk, skrevet til PrivateStorageMaster.log. Legg den ved en størrelsesrapport.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	For JSON-kapasitetsmodder: lagerstørrelsene under ignoreres, og spillet, eller den modden, bestemmer.
game size (%d)	spillstørrelse (%d)
Game window	Spillvindu
hold a button, then press the one that opens it (Escape cancels)	hold inne en knapp, trykk så den som åpner det (Escape avbryter)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Hold inne én eller flere knapper, trykk så den som åpner lageret. Den trykte knappen skjules for spillet mens de andre holdes inne.
Hold other keys back while Ctrl is down	Hold andre taster tilbake mens Ctrl er nede
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Hvor mange plasser i Privat lager som kommer fra utvidelser du har kjøpt og fra historien. Glidebryterens total teller dem med, så grunnstørrelsen er totalen minus disse.
item %u	gjenstand %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Gjenstander automatisk lagring alltid lar bli i sekken. Standarden er all valuta: sølv, myntposer, gullbarrer, leirmidler og forsyninger, tegn og obligasjoner. Tilbakestill til standard under legger den listen tilbake.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Innstillingene ligger i PrivateStorageMaster.ini ved siden av pluginen. Endringer her lagres dit med det samme.
Last error	Siste feil
Leave every size alone	La alle størrelser være
left as the game has them	latt som spillet har dem
load a save to see it	last inn et lagret spill for å se det
more matches; type more of the name	flere treff; skriv mer av navnet
Never move	Aldri flytt
no item by that name that is not listed already	ingen gjenstand med det navnet som ikke allerede er listet
none seen	ingen sett ennå
not found, bound keys also reach the game	ikke funnet, bundne taster når også spillet
Not on this game version: Private Storage Master could not find the move it needs.	Ikke på denne spillversjonen: Private Storage Master fant ikke flyttingen den trenger.
nothing	ingenting
now %d of %d used	nå %d av %d brukt
off, see the error below	av, se feilen under
off, the mod is disabled	av, modden er deaktivert
on XInput slot %d	på XInput-plass %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	På flyttes bare mengden som nettopp kom inn, så mat og drikker du allerede bar, blir i sekken. Av går hele stabelen.
Only move what was picked up	Flytt bare det som ble plukket opp
Open now	Åpne nå
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	trykk en tast, med Ctrl, Shift eller Alt om du vil (Escape avbryter)
Private Storage expansions	Utvidelser til Privat lager
Private Storage Master %s for game build %s	Private Storage Master %s for spillbygg %s
Private Storage Master did not hand over its defaults	Private Storage Master ga ikke fra seg standardene sine
Private Storage Master did not hand over its store loot settings.	Private Storage Master ga ikke fra seg innstillingene sine for lagring av bytte.
Private Storage Master on	Private Storage Master på
Private Storage Master refused the change	Private Storage Master avviste endringen
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi er også installert. De to endrer de samme delene av spillet; fjern den ene.
Put what Master Looter picks up into storage	Legg det Master Looter plukker opp, i lager
read from the save	lest fra det lagrede spillet
Reload from the ini	Last inn på nytt fra ini-filen
Remove	Fjern
Reset to defaults	Tilbakestill til standard
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Å søke et lik eller et kadaver gir fra seg alt det inneholder, og modden ser det først når det er i sekken. På: det av dette som gjenstandsreglene, merkelappene, klassene eller verdigrensen din avviser, legges rett tilbake på bakken ved siden av deg, gjennom det samme slippet spillet bruker når du selv slipper noe, én haug per stabel. Det dekker modens egne søk og likene et kjæledyr eller en følgesvenn plyndrer, der avviste gjenstander også havner ved siden av deg. Et lik du søker selv, beholder det det ga. Penger, dokumenter, questgjenstander og beskyttede gjenstander blir i sekken.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Gjennomsøking av menneskene du dreper, én gang per lik. Dyr hører under Kadavre. Det en gjennomsøking gir, kommer frem før filtrene dine ser det, akkurat som for et kadaver, og Slipp avvist bytte fra lik under Generelt legger tilbake det de avviser.
set	satt
set this launch	satt for denne oppstarten
Settings file	Innstillingsfil
Show a notice when loot is stored	Vis en melding når bytte lagres
Size changes take effect the next time the game starts.	Størrelsesendringer trer i kraft neste gang spillet starter.
Sizes	Størrelser
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Å flå dyrene du dreper, én gang per kadaver. Mennesker hører under Lik. Modden ser aldri det flåingen gir, før det kommer inn, så filtrene dine kan ikke stanse det fra å ankomme. For å få det de avviser, lagt tilbake på bakken, slå på Slipp avvist bytte fra lik under Generelt.
Some changes take effect the next time the game starts.	Noen endringer trer i kraft neste gang spillet starter.
Stop pets looting bodies	Hindre kjæledyr i å plyndre lik
Stop pets picking up loose items	Hindre kjæledyr i å plukke opp løse gjenstander
Storage	Lager
Storage keys	Lagertaster
Storage sizes	Lagerstørrelser
Store loot	Lagre bytte
Store what your pet loots from bodies	Lagre det kjæledyret ditt plyndrer fra lik
Storing loot needs a newer Private Storage Master.	Å lagre bytte krever en nyere Private Storage Master.
the size dump	størrelsesdumpen
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Spillet spør før et kjæledyr tar en gjenstand som ligger på bakken, og dette svarer nei. Kjæledyret går forbi den, og ingenting trenger å slettes etterpå. Om en leiesoldat stilles det samme spørsmålet, er ikke prøvd.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Spillet spør separat før et kjæledyr plyndrer et lik, og dette svarer nei. Slå på den ene av de to og ikke den andre hvis du vil at et kjæledyr skal plyndre lik, men ikke samle løse gjenstander, eller omvendt.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Tastebindingene ble tatt med fra PrivateStorageAnywhere.ini ved første kjøring.
the key-block toggle	bryteren for tasteblokkering
The list is full at %d items.	Listen er full med %d gjenstander.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Totalen, kjøpte utvidelser og historieplasser inkludert. Venstre ende beholder spillets størrelse.
This chest holds one of each collectible, so its slots cannot be changed.	Denne kisten inneholder ett av hvert samleobjekt, så plassene i den kan ikke endres.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Denne fanen krever en versjon av Private Storage Master som passer til denne versjonen av Master Looter.
Turn that on and off	Slå det av og på
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Mens Ctrl, eller en annen modifikator lagertastene dine bruker, holdes inne, holdes andre taster unna spillet, så en glipp fra en lagertast ikke utløser en ferdighet. Bevegelse, mellomrom, Tab, Enter, Escape, Alt+F4 og tastene spillet bruker sammen med Ctrl (Z, Shift, +) slipper likevel gjennom.
working	fungerer
Write the size dump to the log	Skriv størrelsesdumpen til loggen
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Skriver hvert tastetrykk, hver åpning og lukking til PrivateStorageMaster.log, og beholder de siste 24 øktene. Av beholder loggen oppstartssammendraget, feil og størrelsesdumpen, og de to siste øktene.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Skriver hvert tastetrykk, hver åpning og lukking til PrivateStorageMaster.log. Av beholder loggen oppstartssammendraget, feil og størrelsesdumpen.
your own camp farm (off)	ditt eget gårdsbruk i leiren (av)
%d of %d, the rest do not stack	%d av %d, resten stables ikke
%s %s for game build %s	%s %s for spillbygg %s
%s refused the change: %s	%s avviste endringen: %s
Empty your big stacks before turning this down or off.	Tøm de store stablene dine før du skrur dette ned eller av.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Grensen for alt som kan stables, multipliseres når spillet starter. Innstillingen lagres i den moddens egen ini så snart du velger den.
Item stacks: %s	Gjenstandsstabler: %s
Items raised	Gjenstander hevet
Largest limit	Høyeste grense
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Å senke multiplikatoren krymper ikke en stabel du allerede har bygd opp. En plass som holder mer enn spillet nå tillater, beholder det den har til du tar ut noe, og alt over den nye grensen kan gå tapt.
Off	Av
off	av
Raising stack limits	Heving av stabelgrenser
Restart the game for the multiplier you picked to take effect.	Start spillet på nytt for at multiplikatoren du valgte skal tre i kraft.
Saved	Lagret
Stack multiplier	Stabelmultiplikator
Stacks	Stabler
stacks are the size the game ships	stablene har størrelsen spillet ble utgitt med
That mod did not hand over its stack settings.	Den modden ga ikke fra seg sine stabelinnstillinger.
This launch	Denne oppstarten
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Denne fanen trenger Stack Master, eller en versjon av Private Storage Master som hever stabelgrensene.
Why	Hvorfor
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	De fleste ting kan du stable opptil 100 av i spillet, så ved x10 rommer de 1000. Den gjelder alt som stables, og aldri det som ikke gjør det, som våpen og rustning, og de dypeste stablene i spillet stopper ved grensen som den modden rapporterer ovenfor. Multiplikatoren leses når spillet starter, så spillet må startes på nytt før den vises.
Some items reached the largest stack that mod allows, %d, and stopped there.	Noen gjenstander nådde den største stabelen den modden tillater, %d, og stanset der.
x%d, by %s	x%d, av %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s har trådt til side for en annen mod, så å endre det her ville ikke gjort noe. Den modden er ikke en denne menyen kan nå, så still inn multiplikatoren direkte i den.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s er ikke modden som setter stabelstørrelser, så å endre det her ville ikke gjort noe. Still heller inn multiplikatoren i %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	En større multiplikator trer i kraft med én gang du velger den. En mindre venter til neste oppstart.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	De fleste ting kan du stable opptil 100 av i spillet, så ved x10 rommer de 1000. Den gjelder alt som stables, og aldri det som ikke gjør det, som våpen og rustning, og de dypeste stablene i spillet stopper ved grensen som den modden rapporterer ovenfor. Å velge en større multiplikator trer i kraft med én gang; en mindre venter til neste oppstart, fordi en stabel som allerede er bygget opp, ikke kan krympes under det den inneholder.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Venter på en omstart, eller velg den igjen ute i verden, så trer den i kraft med én gang.
you dropped this	du slapp den
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Et vesen som spillet ikke gir en egen gjenstand, som en ildflue-koloni, bedømmes av denne bryteren og av fanen Klasser, der en ildflue-koloni regnes som insect. Ingen merkelapp- eller gjenstandsregel kan nå det, fordi det ikke finnes noen gjenstand å sjekke regelen mot.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Fra og med Private Storage Master 1.1.4 står Arrow også på den som standard, så piler du plukker opp igjen blir i koggeret.
a placed Field Pot or Bonfire	en utplassert feltgryte eller et bål
Keep the menu on screen while you play. %s brings it back.	Hold menyen på skjermen mens du spiller. %s henter den tilbake.
Watch mode: the game has your controls. %s to interact.	Visningsmodus: spillet har kontrollen din. %s for å interagere.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Én tast alene. Kombinasjoner med Ctrl og Alt blir aldri lest, fordi disse tastene er stille mens Ctrl eller Alt holdes nede.
a crafting station	en håndverksstasjon
