# A Master Looter menü szövege magyarul. Ez egy gépi fordítás, és eddig még
# nem nézte át anyanyelvi beszélő. A javításokat szívesen fogadjuk a GitHubon
# (github.com/shin2344234/master-looter) vagy a mod Nexus oldalán.
#
# Soronként egy szöveg: az angol eredeti, egy tabulátor, majd a
# fordítás. A \n egy sortörést jelent. A # karakterrel kezdődő sorok
# figyelmen kívül maradnak. Egy sor, amiben a tabulátor után nincs
# semmi, angolul marad, így egy félkész fájl is tökéletesen
# használható. Minden %d, %s és hasonló jelölőt pontosan úgy kell
# megtartani, ahogy szerepel, mert futás közben ezek helyére kerülnek
# a valódi számok és nevek.
#
# Mentsd MasterLooter.<nyelv>.txt néven a plugin mellé, például
# MasterLooter.hu.txt, majd állítsd be Language=hu értékkel a
# MasterLooter.ini fájlban, vagy írd be a nyelvet az Általános fülön a
# Nyelv mezőbe. Egy ilyen nevű fájl a MasterLooter.asi mellett
# felülírja a pluginba beépített másolatot.

  bag full	  táska tele
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Ebben a munkamenetben: %ld felvéve, %ld összegyűjtve, %ld elfogva, %ld tetem
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Fa és ágak a földön, és a pontok, amelyek adják őket. Azt, amit a legtöbbjük tartalmaz, magukból a játék adataiból olvassa ki, így a wood kategória elutasítása a Kategóriák lapon állva hagyja a fákat és az alattuk lévő fát is. Ahol a játék semmit sem mond egy pontról, ott ez a kapcsoló az egyetlen vezérlő, amivel rendelkezik.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Ha egy fajt békén akarsz hagyni, állítsd a belőle lévő tárgyat sohára a Tárgyak fülön: Item_Tench, Item_Ricefish, Item_Iguana. A mod a lény saját sorát olvassa a játék karaktertáblájából, így tudja, milyen fajjal áll szemben, mielőtt bármit is elfogna. Néhány szokatlan lény esetében a modellnév alapján tippel, és csak kategória szerint fogja be őket.
Treasure and keepsakes	Kincsek és emléktárgyak
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Két gombot egyszerre, sosem egyet: ebben a játékban minden egyes gomb már csinál valamit. A mod csak leolvassa a padet, így a játék továbbra is érzékeli mindkét gombot. Válassz egy olyan párt, ami együtt semmit sem csinál, például a két vállgombot, vagy a Backet egy arcgombbal.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Két dolog, ami dolgokat tartalmaz. A ládák, rekeszek és zsákmánypontok, amelyeket kinyitsz, és amelyek ritkán válaszolnak a szedési eseményre. És minden a földön, aminek az a dolga, hogy tartalmazzon valamit: palackok, befőttesüvegek, agyagedények, víztömlők, vázák és az általad lerakott tárolóládák. Alapból kikapcsolva, és a kikapcsolva azt jelenti, hogy egy polcnyi kerámia ott marad, ahol van. A jutalomládák nem tartoznak ide, mert azok maguk is zsákmánynak számítanak, és a Kincsek és emléktárgyak alá esnek a Kategóriák lapon.\n\nAmi egy ládából kijön, azt nem veti össze a szűrőiddel. A játék egyben adja át a tartalmat, és a mod soha nem látja tárgyakként, így azoknál ez a kapcsoló mindent vagy semmit.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Nincs hozzárendelve, amíg be nem állítod. A játék a birtokolt áruk elvételét lopásnak nevezi, és vérdíjat tűz ki rád érte, ezért ez az a kapcsoló, amit egy pillanatra be, majd újra ki akarsz kapcsolni, ami rosszul illik egy menühöz.
Unidentified nodes	Azonosítatlan pontok
unidentified nodes off	azonosítatlan pontok kikapcsolva
unidentified: could be a fish, a flying insect or a bird	azonosítatlan: lehet hal, repülő rovar vagy madár
unidentified: could be an insect or a small animal	azonosítatlan: lehet rovar vagy kisállat
unnamed item	névtelen tárgy
Unsellable items	El nem adható tárgyak
Use this language	Ezt a nyelvet használd
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	A játék saját Elvétel vagy Lopás ellenőrzését használja; a birtokolt árukat kihagyjuk, amíg egyszer meg nem figyeltük.
using the player's own field	a játékos saját mezőjét használva
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Zöldségek, gyümölcsök és gabonák: édesburgonya, árpa, káposzta, alma, szőlő és a termesztett vagy gyűjtött étel többi fajtája, akár a növényen, akár szabadon heverve. Ezek régen a Földön heverő tárgyakhoz tartoztak, ezért a Növények kikapcsolása is kiürített egy mezőt: a játékban lévő 72 gyűjtőhelyből 44 termény, és csak 28 növény.
Verbose log	Részletes napló
Verdict	Döntés
waiting	várakozás
waiting for the game to check an item	várakozás, amíg a játék ellenőriz egy tárgyat
waiting for the game to check ownership once	várakozás, amíg a játék egyszer ellenőrzi a tulajdonjogot
Waiting for the world to load.	Várakozás a világ betöltésére.
Watch	Figyelés
Watch mode	Figyelő mód
Watch mode (menu stays up, you keep playing)	Figyelő mód (a menü nyitva marad, te tovább játszol)
Watch mode: the game has your controls. %s to interact, %s to close.	Figyelő mód: a játék irányítja a vezérlést. %s az interakcióhoz, %s a bezáráshoz.
Weapons and armor	Fegyverek és páncélok
What enters the working list at all. The ranges below are clamped to it.	Mi kerül egyáltalán a munkalistára. Az alábbi hatótávok ehhez vannak korlátozva.
What to collect	Mit gyűjtsünk
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Helyetted forgatja a kart, és felveszi, ami feljön, ugyanazokat az állapotátmeneteket vezérelve, amiket a játék is vezérel, amikor lenyomva tartod az interakció gombot. Egy kút egyáltalán nem vált ki lootolási eseményt, így ez egy rögzített sorozat lejátszása, nem pedig a játék megkérdezése bármiről. Alapértelmezésben kikapcsolva, mert egy elrontott kút egy olyan kút, ami a vödre nélkül marad.
Wood	Fa
wood off	fa kikapcsolva
World (actor manager)	Világ (actor manager)
worn by someone	valaki viseli
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Viselt felszerelés, amit az ellenségek haláluk közben ejtenek. Olcsó és nehéz, de bőséges.
worn or carried by you	viseled vagy nálad van
worth %lld copper	%lld réz értékű
Wrap the swapchain	Swapchain becsomagolása
Write translation template	Fordítási sablon írása
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Kiírja a MasterLooter.template.txt fájlt a plugin mellé, benne minden sorral, amit a menü ebben a munkamenetben megjelenített. Először nyisd meg az összes fület, mert egy sor csak akkor jelenik meg, ha már ki lett rajzolva. Fordítsd le minden rekord jobb oldalát, mentsd el MasterLooter.<nyelv>.txt néven, és add meg itt azt a nyelvet.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Kiírja a jelenlegi beállításokat ide: \"%s\". Töltsd be, változtasd meg, amit szeretnél, majd mentsd vissza.
Writes the settings as they are now, named %s.	Kiírja a jelenlegi beállításokat, %s néven.
yes	igen
your rules refuse all ore, jewels and stone	a szabályaid elutasítják az ércet, a drágaköveket és a követ
your rules refuse all stone	a szabályaid minden követ elutasítanak
your rules refuse everything this node holds	a szabályaid mindent elutasítanak, amit ez a pont tartalmaz
part of a mechanism, not loose loot	egy szerkezet része, nem szabadon heverő zsákmány
yours, just out of your hand	a tiéd, csak épp kicsúszott a kezedből
%d last time	%d legutóbb
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Biztonsági mentés készül, amikor a játék úgy indul, hogy a beállítások megváltoztak a legutóbbi óta, és az utolsó tizenkettő megmarad a MasterLooter.backups mappában a plugin mellett. A profilok a MasterLooter.presets mappában vannak. Másold ki bármelyik mappát, ha újratelepítés után is meg akarod tartani.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Egy billentyű vagy kontrollerkombináció bárhonnan megnyitja azt a tárhelyet, és újra megnyomva bezárja. Egy másik tárhely billentyűje egyenesen arra vált.
a Master Looter key	egy Master Looter billentyű
a Master Looter shortcut	egy Master Looter gyorsbillentyű
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Röviddel azután, hogy egy tárgy a táskába kerül, a Private Storage Master áthelyezi az alábbi listában az első olyan tárhelyre, amely elfogadja, ugyanazt a lépést, amit te magad tennél a tárhelynél. Csak az kerül áthelyezésre, amit a Master Looter szedett fel, soha az, amit te vettél fel kézzel, és egy holttestről vagy tetemről csak az, amit a tárgyszabályaid engednek. Semmi sem mozdul, amíg egy tárhely nyitva van, vagy szabad játékon kívül; a kulcsok, dokumentumok, küldetéstárgyak és minden, ami a „Soha ne mozgasd” listán van, a helyén marad, és ami egyetlen tárhely sem fogad el, a táskában marad.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	A háziállat azt szed fel, amit akar, és a játékban nincs erre semmilyen kapcsoló. Bekapcsolva: a háziállat nemet kap, mielőtt egy földön heverő tárgyért nyúlna, amelyet a tárgyszabályaid, címkéid, kategóriáid vagy az értékküszöböd elutasít, és amit egy holttestről vesz el, és a tárgyszabályaid, címkéid vagy kategóriáid elutasítják, az törlődik a felszerelésből, amint odaér, egy üzenettel arról, mi tűnt el. A küldetéstárgyak és a védett tárgyak soha nem törlődnek, és semmihez sem nyúl, ami már a táskádban van.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Semmi, amit te magad veszel fel, nem törlődik soha, akár kint van háziállat vagy zsoldos, akár nincs.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Egy háziállat vagy egy társ, amely kifoszt egy holttestet, a talált dolgokat a táskádba teszi. Bekapcsolva ezek a tárgyak ugyanúgy a tárhelyre kerülnek, mint a Master Looter saját felvételei, amíg a tárgyszabályaid megengedik őket. A földön heverő tárgyakat, amelyeket egy háziállat felszed, a játék a te saját felvételeidként jelenti, így azok a táskában maradnak.
a seed planted in your camp farm	egy mag, amelyet a tábori farmodba ültettél
Add	Hozzáadás
add an item: type 3+ letters of its name	tárgy hozzáadása: gépeld be a nevének legalább 3 betűjét
also %s	továbbá %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	egy ércér, a csákányodra hagyva, amíg az Ércerek bányászata helyetted ki van kapcsolva
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Legfeljebb egy sor másodpercenként, amely megnevezi az egyes tárhelyeket és azt, hogy mennyi került beléjük. Kikapcsolva semmi sem jelenik meg, és csak a naplóba kerül.
Click again to reset	Kattints újra a visszaállításhoz
Detailed log	Részletes napló
Drop refused loot from bodies	Ejtsd le a holttestekről elutasított zsákmányt
Each item goes to the first storage in this list that takes it.	Minden tárgy az e listán szereplő első olyan tárhelyre kerül, amely elfogadja.
Empty: auto-store may move anything a storage takes.	Üres: az automatikus tárolás bármit áthelyezhet, amit egy tárhely elfogad.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Minden tárhely mérete és a használt helyek száma, kiírva a PrivateStorageMaster.log fájlba. Csatold egy méretjelentéshez.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	JSON kapacitás-modokhoz: az alábbi tárhelyméretek figyelmen kívül maradnak, és a játék, vagy az a mod dönt.
game size (%d)	játék mérete (%d)
Game window	Játékablak
hold a button, then press the one that opens it (Escape cancels)	tartsd lenyomva a gombot, majd nyomd meg azt, amelyik megnyitja (Escape megszakítja)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Tarts lenyomva egy vagy több gombot, majd nyomd meg azt, amelyik megnyitja a tárhelyet. A megnyomott gomb el van rejtve a játék elől, amíg a többit tartod.
Hold other keys back while Ctrl is down	Tartsd vissza a többi billentyűt, amíg a Ctrl lenyomva van
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Hány Privát tárhely helyet adnak a megvásárolt bővítmények és a történet. A csúszka összege ezeket is számolja, így az alapméret az összeg mínusz ezek.
item %u	tárgy %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Azok a tárgyak, amelyeket az automatikus tárolás mindig a táskában hagy. Alapértelmezésben ez minden pénznem: ezüst, érmezacskók, aranyrudak, tábori pénzek és készletek, zsetonok és kötvények. Az alábbi Visszaállítás alapértelmezettre visszaállítja ezt a listát.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Beállításai a PrivateStorageMaster.ini fájlban vannak a plugin mellett. Az itt végzett változtatások azonnal ott mentődnek.
Last error	Utolsó hiba
Leave every size alone	Hagyj minden méretet érintetlenül
left as the game has them	úgy hagyva, ahogy a játékban vannak
load a save to see it	tölts be egy mentést, hogy lásd
more matches; type more of the name	több találat; gépelj be többet a névből
Never move	Soha ne mozgasd
no item by that name that is not listed already	nincs ilyen nevű tárgy, amely még ne szerepelne a listán
none seen	egy sem látott
not found, bound keys also reach the game	nem található, a hozzárendelt billentyűk a játékot is elérik
Not on this game version: Private Storage Master could not find the move it needs.	Nem ezen a játékverzión: a Private Storage Master nem találta meg a szükséges áthelyezési funkciót.
nothing	semmi
now %d of %d used	most %d / %d használatban
off, see the error below	kikapcsolva, lásd a hibát alább
off, the mod is disabled	kikapcsolva, a mod le van tiltva
on XInput slot %d	az XInput %d. helyén
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Bekapcsolva csak a most érkezett mennyiség kerül áthelyezésre, így az étel és a főzetek, amelyeket már nálad hordtál, a táskában maradnak. Kikapcsolva az egész köteg elmegy.
Only move what was picked up	Csak azt mozgasd, amit felszedtek
Open now	Nyisd meg most
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	nyomj meg egy billentyűt, Ctrl, Shift vagy Alt hozzáadásával ha akarod (Escape megszakítja)
Private Storage expansions	Privát tárhely bővítmények
Private Storage Master %s for game build %s	Private Storage Master %s a(z) %s játékverzióhoz
Private Storage Master did not hand over its defaults	A Private Storage Master nem adta át az alapértelmezéseit
Private Storage Master did not hand over its store loot settings.	A Private Storage Master nem adta át a zsákmánytárolási beállításait.
Private Storage Master on	Private Storage Master bekapcsolva
Private Storage Master refused the change	A Private Storage Master elutasította a változtatást
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	A PrivateStorageAnywhere.asi is telepítve van. A kettő ugyanazokat a játékrészeket módosítja; távolítsd el azt.
Put what Master Looter picks up into storage	Tedd tárhelyre, amit a Master Looter felszed
read from the save	a mentésből olvasva
Reload from the ini	Újratöltés az ini fájlból
Remove	Eltávolítás
Reset to defaults	Visszaállítás alapértelmezettre
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Egy holttest vagy tetem átkutatása átad mindent, amit tartalmaz, és a mod csak akkor látja, amikor már a táskában van. Bekapcsolva: amit ebből a tárgyszabályaid, címkéid, kategóriáid vagy az értékküszöböd elutasít, az azonnal visszakerül a földre melléd, ugyanazon az ejtésen keresztül, amelyet a játék használ, amikor te magad ejtesz el valamit, kötegenként egy rakás. Ez vonatkozik a mod saját kutatásaira, valamint azokra a holttestekre is, amelyeket egy háziállat vagy társ fosztott ki, amelyeknek elutasított tárgyai szintén melléd kerülnek. Egy holttest, amelyet te magad kutatsz át, megtartja, amit fizetett. A pénz, a dokumentumok, a küldetéstárgyak és a védett tárgyak a táskában maradnak.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	A megölt emberek átkutatása, holttestenként egyszer. Az állatok a Tetemek alá tartoznak. Amit egy átkutatás ad, az előbb érkezik meg, mint hogy a szűrőid látnák, ugyanúgy, mint egy tetemnél, és az Ejtsd le a holttestekről elutasított zsákmányt az Általános alatt visszateszi, amit elutasítanak.
set	beállítva
set this launch	erre az indításra beállítva
Settings file	Beállításfájl
Show a notice when loot is stored	Mutass üzenetet, amikor zsákmány kerül tárolásra
Size changes take effect the next time the game starts.	A méretváltozások a játék következő indításakor lépnek életbe.
Sizes	Méretek
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	A megölt állatok megnyúzása, tetemenként egyszer. Az emberek a Holttestek alá tartoznak. A mod soha nem látja, mit ad a nyúzás, mielőtt megérkezik, így a szűrőid nem tudják megakadályozni az érkezését. Ahhoz, hogy amit elutasítanak, visszakerüljön a földre, kapcsold be az Ejtsd le a holttestekről elutasított zsákmányt az Általános alatt.
Some changes take effect the next time the game starts.	Néhány változtatás a játék következő indításakor lép életbe.
Stop pets looting bodies	Akadályozd meg, hogy a háziállatok kifosszák a holttesteket
Stop pets picking up loose items	Akadályozd meg, hogy a háziállatok felszedjék a földön heverő tárgyakat
Storage	Tárhely
Storage keys	Tárhely billentyűk
Storage sizes	Tárhelyméretek
Store loot	Zsákmány tárolása
Store what your pet loots from bodies	Tárold, amit a háziállatod holttestekről zsákmányol
Storing loot needs a newer Private Storage Master.	A zsákmány tárolásához újabb Private Storage Master szükséges.
the size dump	a méretlista
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	A játék megkérdezi, mielőtt egy háziállat elvenne egy földön heverő tárgyat, és ez nemmel válaszol. A háziállat elmegy mellette, és utána semmit sem kell törölni. Hogy egy zsoldos ugyanazt a kérdést kapja-e, azt nem tesztelték.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	A játék külön megkérdezi, mielőtt egy háziállat kifosztana egy holttestet, és ez nemmel válaszol. Kapcsold be a kettő közül az egyiket a másik nélkül, ha azt akarod, hogy egy háziállat kifossza a holttesteket, de ne szedje fel a földön heverő tárgyakat, vagy fordítva.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	A billentyűkiosztások az első indításkor átkerültek a PrivateStorageAnywhere.ini fájlból.
the key-block toggle	a billentyűzár kapcsoló
The list is full at %d items.	A lista %d tárgynál megtelt.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Az összesen, a megvásárolt bővítményekkel és a történethelyekkel együtt. A bal szél megtartja a játék méretét.
This chest holds one of each collectible, so its slots cannot be changed.	Ez a láda minden gyűjthető tárgyból egyet tartalmaz, így a helyei nem módosíthatók.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Ehhez a laphoz a Master Looter e verziójával megegyező Private Storage Master verzió szükséges.
Turn that on and off	Kapcsold be és ki
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Amíg a Ctrl, vagy bármely módosító, amelyet a tárhely billentyűid használnak, lenyomva van, a többi billentyű vissza van tartva a játéktól, így egy tárhely billentyűről való lecsúszás nem indít el egy képességet. A mozgás, a Space, a Tab, az Enter, az Escape, az Alt+F4 és a Ctrl-lal együtt használt billentyűk (Z, Shift, +) továbbra is átjutnak.
working	működik
Write the size dump to the log	Írd ki a méretlistát a naplóba
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Minden billentyűlenyomást, megnyitást és bezárást kiír a PrivateStorageMaster.log fájlba, és megőrzi az utolsó 24 munkamenetet. Kikapcsolva a napló megőrzi az indítási összefoglalót, a hibákat és a méretlistát, valamint az utolsó két munkamenetet.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Minden billentyűlenyomást, megnyitást és bezárást kiír a PrivateStorageMaster.log fájlba. Kikapcsolva a napló megőrzi az indítási összefoglalót, a hibákat és a méretlistát.
your own camp farm (off)	a saját tábori farmod (kikapcsolva)
%d of %d, the rest do not stack	%d/%d, a többi nem halmozódik.
%s %s for game build %s	%s %s a(z) %s játékverzióhoz
%s refused the change: %s	A(z) %s elutasította a változtatást: %s
Empty your big stacks before turning this down or off.	Ürítsd ki a nagy rakásaidat, mielőtt lejjebb veszed vagy kikapcsolod ezt.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Minden rakásolható tárgy korlátja megszorzódik, amikor a játék elindul. A beállítás elmentődik annak a modnak a saját ini fájljába, amint kiválasztod.
Item stacks: %s	Tárgyrakások: %s
Items raised	Megemelt tárgyak
Largest limit	Legnagyobb korlát
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	A szorzó csökkentése nem zsugorítja össze a már felépített rakást. Egy hely, amely többet tartalmaz, mint amennyit a játék most megenged, megtartja a tartalmát, amíg ki nem veszel belőle valamit, és minden, ami az új korlát felett van, elveszhet.
Off	Kikapcsolva
off	kikapcsolva
Raising stack limits	Rakáskorlátok emelése
Restart the game for the multiplier you picked to take effect.	Indítsd újra a játékot, hogy a kiválasztott szorzó érvénybe lépjen.
Saved	Elmentve
Stack multiplier	Rakásszorzó
Stacks	Rakások
stacks are the size the game ships	a rakások a játék alapértelmezett méretűek
That mod did not hand over its stack settings.	Az a mod nem adta át a rakásbeállításait.
This launch	Ez az indítás
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Ehhez a laphoz a Stack Master, vagy egy olyan Private Storage Master verzió szükséges, amely emeli a rakáskorlátokat.
Why	Miért
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	A legtöbb dolgot a játék 100-as rakásban engedi tartani, így x10-nél 1000 fér belé. Mindenre vonatkozik, ami rakásba gyűjthető, és soha arra, ami nem, mint a fegyverek és páncélok, és a játék legmélyebb rakásai annál a korlátnál állnak meg, amit az a mod fentebb jelez. A szorzó a játék induláskor kerül beolvasásra, ezért a játékot újra kell indítani, mielőtt megjelenik.
Some items reached the largest stack that mod allows, %d, and stopped there.	Néhány tárgy elérte a legnagyobb rakást, amit az a mod megenged, %d, és ott megállt.
x%d, by %s	x%d, %s jóvoltából
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	A(z) %s átadta a helyét egy másik modnak, így az itteni módosítás nem tenne semmit. Az a mod nem olyan, amit ez a menü elér, ezért a szorzót közvetlenül ott állítsd be.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	A(z) %s nem az a mod, amelyik a rakásméreteket beállítja, így az itteni módosítás nem tenne semmit. Ehelyett itt állítsd be a szorzót: %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	A nagyobb szorzó a kiválasztásakor azonnal érvénybe lép. A kisebb a következő indításig vár.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	A legtöbb dolgot a játék 100-as rakásban engedi tartani, így x10-nél 1000 fér belé. Mindenre vonatkozik, ami rakásba gyűjthető, és soha arra, ami nem, mint a fegyverek és páncélok, és a játék legmélyebb rakásai annál a korlátnál állnak meg, amit az a mod fentebb jelez. A nagyobb szorzó kiválasztása azonnal érvénybe lép; a kisebb a következő indításig vár, mert egy már felépült rakást nem lehet a benne lévő mennyiség alá csökkenteni.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Újraindításra vár, vagy válaszd ki újra kint a világban, és azonnal érvénybe lép.
you dropped this	te dobtad el
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Az a lény, amelynek a játék nem ad saját tárgyat, például egy szentjánosbogár-kolónia, ettől a kapcsolótól és a Kategóriák laptól függ, ahol a szentjánosbogár-kolónia insect kategóriának számít. Semmilyen címke- vagy tárgyszabály nem éri el, mert nincs tárgy, amihez mérni lehetne.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	A Private Storage Master 1.1.4 óta alapból az Arrow is rajta van, így a visszaszedett nyilak a tegezben maradnak.
a placed Field Pot or Bonfire	lerakott tábori üst vagy tábortűz
Keep the menu on screen while you play. %s brings it back.	Tartsd a menüt a képernyőn, miközben játszol. A(z) %s visszahozza.
Watch mode: the game has your controls. %s to interact.	Figyelő mód: a játék irányítja a vezérlést. %s az interakcióhoz.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Egyetlen billentyű önmagában. A Ctrl és Alt kombinációkat soha nem olvassa be, mert ezek a billentyűk hallgatnak, amíg a Ctrl vagy az Alt le van nyomva.
a crafting station	egy készítőállomás
