# Texte du menu de Master Looter en français. Traduction automatique. Aucun
# locuteur natif ne l'a encore relue. Les corrections sont bienvenues sur
# GitHub (github.com/shin2344234/master-looter) ou sur la page Nexus du mod.
#
# Une ligne par texte : l'anglais d'origine, une tabulation, puis la
# traduction. \n représente un saut de ligne à conserver. Les lignes qui
# commencent par # sont ignorées. Une ligne sans traduction après la
# tabulation reste affichée en anglais, donc un fichier partiellement traduit
# reste utilisable.
# Tous les marqueurs %d, %s, %.1f et autres doivent rester exactement comme
# dans l'anglais et dans le même ordre : le jeu y insère des nombres et des
# noms au moment de l'affichage, et une ligne qui les modifie est ignorée au
# chargement plutôt que risquée.
# Un fichier de ce nom placé à côté de MasterLooter.asi remplace la copie
# intégrée au plugin.

  bag full	  sac plein
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Deux choses qui contiennent des choses. Les coffres, caisses et points de butin que tu ouvres, qui répondent rarement à l'événement de ramassage. Et tout ce qui, au sol, a pour rôle de contenir quelque chose : bouteilles, bocaux, pots en terre, outres, vases et les caisses de rangement que tu poses. Désactivé par défaut, et désactivé veut dire qu'une étagère de poteries reste où elle est. Les coffres de récompense ne sont pas concernés, car ce sont des butins à part entière et ils relèvent de Trésors et souvenirs dans l'onglet Classes.\n\nCe qui sort d'un coffre n'est pas confronté à tes filtres. Le jeu remet le contenu d'un seul coup et le mod ne le voit jamais comme des objets, donc pour ceux-là ce réglage est tout ou rien.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Non assigné tant que vous ne le réglez pas. Le jeu appelle vol la prise de biens appartenant à autrui et met une prime sur votre tête pour cela, donc c'est un réglage que vous voulez activer un instant puis désactiver aussitôt, ce qui se prête mal à un menu.
Unidentified nodes	Points non identifiés
unidentified nodes off	points non identifiés désactivés
unidentified: could be a fish, a flying insect or a bird	non identifié : pourrait être un poisson, un insecte volant ou un oiseau
unidentified: could be an insect or a small animal	non identifié : pourrait être un insecte ou un petit animal
unnamed item	objet sans nom
Unsellable items	Objets invendables
Use this language	Utiliser cette langue
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Utilise la propre vérification Prendre ou Voler du jeu ; les biens appartenant à autrui sont ignorés jusqu'à ce que cela ait été observé une fois.
using the player's own field	en utilisant le propre champ du joueur
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Légumes, fruits et céréales : patate douce, orge, chou, pommes, raisin et le reste de la nourriture cultivée ou cueillie, encore sur le plant ou posée au sol. Ceux-ci relevaient autrefois d'Objets au sol, ce qui explique que désactiver Plantes vidait quand même un champ : sur les 72 emplacements de récolte du jeu, 44 sont des cultures et seulement 28 sont des plantes.
Verbose log	Journal détaillé
Verdict	Verdict
waiting	en attente
waiting for the game to check an item	en attente que le jeu vérifie un objet
waiting for the game to check ownership once	en attente que le jeu vérifie la propriété une fois
Waiting for the world to load.	En attente du chargement du monde.
Watch	Observation
Watch mode	Mode observation
Watch mode (menu stays up, you keep playing)	Mode observation (le menu reste ouvert, vous continuez à jouer)
Watch mode: the game has your controls. %s to interact, %s to close.	Mode observation : le jeu a vos contrôles. %s pour interagir, %s pour fermer.
Weapons and armor	Armes et armures
What enters the working list at all. The ranges below are clamped to it.	Ce qui entre dans la liste de travail. Les portées ci-dessous y sont limitées.
What to collect	Quoi collecter
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Tourne la manivelle pour vous et prend ce qui remonte, en déclenchant les mêmes transitions d'état que le jeu déclenche quand vous maintenez le bouton d'interaction. Un puits ne déclenche aucun événement de ramassage, donc ceci rejoue une séquence capturée plutôt que de demander quoi que ce soit au jeu. Désactivé par défaut, car un puits mal géré est un puits laissé sans son seau.
Wood	Bois
wood off	bois désactivé
World (actor manager)	Monde (gestionnaire d'acteurs)
worn by someone	porté par quelqu'un
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Équipement porté que les ennemis lâchent en mourant. Bon marché et lourd, mais abondant.
worn or carried by you	porté ou transporté par vous
worth %lld copper	vaut %lld cuivre
Wrap the swapchain	Encapsuler le swapchain
Write translation template	Générer le modèle de traduction
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Écrit MasterLooter.template.txt à côté du plugin, contenant chaque ligne que le menu a affichée pendant cette session. Ouvrez d'abord chaque onglet, car une ligne n'apparaît qu'une fois qu'elle a été dessinée. Traduisez le côté droit de chaque enregistrement, enregistrez-le sous MasterLooter.<language>.txt, et indiquez cette langue ici.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Écrit les réglages tels qu'ils sont maintenant dans \"%s\". Chargez-le, changez ce que vous voulez, puis réenregistrez-le.
Writes the settings as they are now, named %s.	Écrit les réglages tels qu'ils sont maintenant, nommés %s.
yes	oui
your rules refuse all ore, jewels and stone	tes règles refusent le minerai, les gemmes et la pierre
your rules refuse all stone	tes règles refusent toute la pierre
your rules refuse everything this node holds	tes règles refusent tout ce que contient ce point
part of a mechanism, not loose loot	élément d'un mécanisme, pas un butin au sol
yours, just out of your hand	à vous, tout juste sorti de votre main
%d last time	%d la dernière fois
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Une sauvegarde est écrite quand le jeu démarre avec des réglages modifiés depuis la précédente, et les douze dernières sont conservées, dans MasterLooter.backups à côté du plugin. Les préréglages se trouvent dans MasterLooter.presets. Copiez l'un ou l'autre dossier pour le conserver lors d'une réinstallation.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Une touche ou une combinaison de manette ouvre ce stockage depuis n'importe où, et la refaire le referme. La touche d'un autre stockage y bascule directement.
a Master Looter key	une touche de Master Looter
a Master Looter shortcut	un raccourci de Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Un instant après qu'un objet arrive dans le sac, Private Storage Master le déplace vers le premier stockage ci-dessous qui l'accepte, exactement le déplacement que vous feriez vous-même au stockage. Seul ce que Master Looter a ramassé est déplacé, jamais ce que vous avez ramassé à la main, et depuis un corps ou une carcasse, seulement ce que vos règles d'objet autorisent. Rien ne bouge tant qu'un stockage est ouvert ou en dehors du jeu libre ; les clés, les documents, les objets de quête et tout ce qui figure sur la liste Ne jamais déplacer restent en place, et ce qu'aucun stockage n'accepte reste dans le sac.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Un animal ramasse ce qui lui plaît et le jeu n'a aucun réglage pour cela. Activé : on répond non à l'animal avant qu'il n'attrape un objet au sol que vos règles d'objet, étiquettes, classes ou seuil de valeur refusent, et tout ce qu'il prend sur un corps et que vos règles d'objet, étiquettes ou classes refusent est supprimé de l'inventaire dès son arrivée, avec un avis indiquant ce qui est parti. Les objets de quête et les objets protégés ne sont jamais supprimés, et rien de ce qui se trouve déjà dans votre sac n'est touché.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Rien de ce que vous ramassez vous-même n'est jamais supprimé, qu'un animal ou un mercenaire soit de sortie ou non.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Un animal ou un compagnon qui pille un corps met ce qu'il a trouvé dans votre sac. Activé, ces objets vont au stockage de la même façon que les ramassages de Master Looter lui-même, tant que vos règles d'objet les autorisent. Les objets au sol qu'un animal ramasse sont signalés par le jeu comme vos propres ramassages, donc ceux-là restent dans le sac.
a seed planted in your camp farm	une graine plantée dans votre ferme de campement
Add	Ajouter
add an item: type 3+ letters of its name	ajouter un objet : tapez 3 lettres ou plus de son nom
also %s	aussi %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	un filon de minerai, laissé à votre pioche tant que Miner les filons de minerai pour vous est désactivé
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Au plus une ligne par seconde, nommant chaque stockage et ce qui y est allé. Désactivé, rien ne s'affiche et cela va uniquement dans le journal.
Click again to reset	Cliquez à nouveau pour réinitialiser
Detailed log	Journal détaillé
Drop refused loot from bodies	Déposer le butin refusé des corps
Each item goes to the first storage in this list that takes it.	Chaque objet va au premier stockage de cette liste qui l'accepte.
Empty: auto-store may move anything a storage takes.	Vide : le rangement automatique peut déplacer tout ce qu'un stockage accepte.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	La taille de chaque stockage et le nombre d'emplacements utilisés, écrits dans PrivateStorageMaster.log. Joignez-le à un rapport de taille.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Pour les mods de capacité en JSON : les tailles de stockage ci-dessous sont ignorées, et c'est le jeu, ou ce mod, qui décide.
game size (%d)	taille du jeu (%d)
Game window	Fenêtre du jeu
hold a button, then press the one that opens it (Escape cancels)	maintenez un bouton, puis appuyez sur celui qui l'ouvre (Échap annule)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Maintenez un ou plusieurs boutons, puis appuyez sur celui qui ouvre le stockage. Le bouton pressé est caché au jeu tant que les autres sont maintenus.
Hold other keys back while Ctrl is down	Retenir les autres touches tant que Ctrl est enfoncée
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Combien d'emplacements du Stockage privé viennent des extensions que vous avez achetées et de l'histoire. Le total du curseur les compte, donc la taille de base est le total moins ceux-ci.
item %u	objet %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Objets que le rangement automatique laisse toujours dans le sac. Par défaut, ce sont toutes les monnaies : argent, bourses de pièces, lingots d'or, fonds et provisions de campement, jetons et obligations. Réinitialiser les valeurs par défaut ci-dessous rétablit cette liste.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Ses réglages se trouvent dans PrivateStorageMaster.ini à côté du plugin. Les changements faits ici y sont aussitôt enregistrés.
Last error	Dernière erreur
Leave every size alone	Laisser toutes les tailles telles quelles
left as the game has them	laissées telles que le jeu les a
load a save to see it	chargez une sauvegarde pour le voir
more matches; type more of the name	plus de correspondances ; tapez davantage du nom
Never move	Ne jamais déplacer
no item by that name that is not listed already	aucun objet portant ce nom qui ne soit pas déjà listé
none seen	aucun vu
not found, bound keys also reach the game	introuvable, les touches assignées atteignent aussi le jeu
Not on this game version: Private Storage Master could not find the move it needs.	Pas sur cette version du jeu : Private Storage Master n'a pas trouvé le déplacement dont il a besoin.
nothing	rien
now %d of %d used	maintenant %d sur %d utilisés
off, see the error below	désactivé, voir l'erreur ci-dessous
off, the mod is disabled	désactivé, le mod est désactivé
on XInput slot %d	sur l'emplacement XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Activé, seule la quantité qui vient d'arriver est déplacée, donc la nourriture et les potions que vous portiez déjà restent dans le sac. Désactivé, toute la pile part.
Only move what was picked up	Ne déplacer que ce qui a été ramassé
Open now	Ouvrir maintenant
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	appuyez sur une touche, avec Ctrl, Shift ou Alt si vous voulez (Échap annule)
Private Storage expansions	Extensions du Stockage privé
Private Storage Master %s for game build %s	Private Storage Master %s pour la version de jeu %s
Private Storage Master did not hand over its defaults	Private Storage Master n'a pas transmis ses valeurs par défaut
Private Storage Master did not hand over its store loot settings.	Private Storage Master n'a pas transmis ses réglages de stockage du butin.
Private Storage Master on	Private Storage Master activé
Private Storage Master refused the change	Private Storage Master a refusé le changement
Private Storage Master: %s	Private Storage Master : %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi est aussi installé. Les deux modifient les mêmes parties du jeu ; retirez celui-là.
Put what Master Looter picks up into storage	Mettre au stockage ce que Master Looter ramasse
read from the save	lu depuis la sauvegarde
Reload from the ini	Recharger depuis le fichier ini
Remove	Retirer
Reset to defaults	Réinitialiser les valeurs par défaut
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Fouiller un corps ou une carcasse remet tout ce qu'il contient, et le mod ne le voit qu'une fois dans le sac. Activé : tout ce que vos règles d'objet, étiquettes, classes ou seuil de valeur refusent est aussitôt redéposé au sol à côté de vous, par le même dépôt que le jeu utilise quand vous laissez tomber quelque chose vous-même, une pile par lot. Cela couvre les propres fouilles du mod ainsi que les corps qu'un animal ou un compagnon pille, dont les objets refusés atterrissent aussi à côté de vous. Un corps que vous fouillez vous-même garde ce qu'il a payé. L'argent, les documents, les objets de quête et les objets protégés restent dans le sac.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Fouiller les personnes que vous tuez, une fois par corps. Les animaux relèvent de Carcasses. Ce qu'une fouille rapporte arrive avant que vos filtres ne le voient, comme pour une carcasse, et Déposer le butin refusé des corps dans Général redépose ce qu'ils refusent.
set	défini
set this launch	défini pour ce lancement
Settings file	Fichier de réglages
Show a notice when loot is stored	Afficher un avis quand du butin est stocké
Size changes take effect the next time the game starts.	Les changements de taille prennent effet au prochain démarrage du jeu.
Sizes	Tailles
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Dépecer les animaux que vous tuez, une fois par carcasse. Les personnes relèvent de Corps. Le mod ne voit jamais ce que le dépeçage rapporte avant que cela n'arrive, donc vos filtres ne peuvent pas l'empêcher d'arriver. Pour que ce qu'ils refusent soit redéposé au sol, activez Déposer le butin refusé des corps dans Général.
Some changes take effect the next time the game starts.	Certains changements prennent effet au prochain démarrage du jeu.
Stop pets looting bodies	Empêcher les animaux de piller les corps
Stop pets picking up loose items	Empêcher les animaux de ramasser les objets au sol
Storage	Stockage
Storage keys	Touches de stockage
Storage sizes	Tailles de stockage
Store loot	Stocker le butin
Store what your pet loots from bodies	Stocker ce que votre animal pille sur les corps
Storing loot needs a newer Private Storage Master.	Stocker le butin nécessite une version plus récente de Private Storage Master.
the size dump	le relevé de taille
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Le jeu demande avant qu'un animal ne prenne un objet posé au sol, et ceci répond non. L'animal passe devant sans le prendre, et rien n'a ensuite besoin d'être supprimé. Personne n'a vérifié si un mercenaire pose la même question.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Le jeu demande séparément avant qu'un animal ne pille un corps, et ceci répond non. Activez l'un des deux sans l'autre si vous voulez qu'un animal dépouille les corps sans ramasser les objets au sol, ou l'inverse.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Les assignations de touches ont été reprises depuis PrivateStorageAnywhere.ini au premier lancement.
the key-block toggle	l'interrupteur de blocage des touches
The list is full at %d items.	La liste est pleine à %d objets.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Le total, extensions achetées et emplacements d'histoire compris. L'extrémité gauche conserve la taille du jeu.
This chest holds one of each collectible, so its slots cannot be changed.	Ce coffre contient un exemplaire de chaque collectible, donc ses emplacements ne peuvent pas être changés.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Cet onglet nécessite une version de Private Storage Master qui corresponde à cette version de Master Looter.
Turn that on and off	Activer et désactiver cela
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Tant que Ctrl, ou tout modificateur utilisé par vos touches de stockage, est maintenu, les autres touches sont retenues au jeu, afin qu'un dérapage hors d'une touche de stockage ne déclenche pas une compétence. Les déplacements, Espace, Tab, Entrée, Échap, Alt+F4 et les touches que le jeu utilise avec Ctrl (Z, Shift, +) passent quand même.
working	opérationnel
Write the size dump to the log	Écrire le relevé de taille dans le journal
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Écrit chaque pression de touche, ouverture et fermeture dans PrivateStorageMaster.log, et conserve les 24 dernières sessions. Désactivé, le journal conserve le résumé de démarrage, les erreurs et le relevé de taille, ainsi que les deux dernières sessions.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Écrit chaque pression de touche, ouverture et fermeture dans PrivateStorageMaster.log. Désactivé, le journal conserve le résumé de démarrage, les erreurs et le relevé de taille.
your own camp farm (off)	votre propre ferme de campement (désactivé)
%d of %d, the rest do not stack	%d sur %d, le reste ne s'empile pas.
%s %s for game build %s	%s %s pour la version de jeu %s
%s refused the change: %s	%s a refusé le changement : %s
Empty your big stacks before turning this down or off.	Videz vos grosses piles avant de baisser ceci ou de le désactiver.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	La limite de chaque objet empilable est multipliée au démarrage du jeu. Le réglage est enregistré dans le fichier ini propre à ce mod dès que vous le choisissez.
Item stacks: %s	Piles d'objets : %s
Items raised	Objets augmentés
Largest limit	Limite la plus élevée
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Baisser le multiplicateur ne réduit pas une pile déjà constituée. Un emplacement contenant plus que ce que le jeu autorise désormais garde son contenu jusqu'à ce que vous en retiriez une partie, et tout ce qui dépasse la nouvelle limite peut être perdu.
Off	Désactivé
off	désactivé
Raising stack limits	Augmentation des limites de piles
Restart the game for the multiplier you picked to take effect.	Redémarrez le jeu pour que le multiplicateur choisi prenne effet.
Saved	Enregistré
Stack multiplier	Multiplicateur de piles
Stacks	Piles
stacks are the size the game ships	les piles ont la taille de base du jeu
That mod did not hand over its stack settings.	Ce mod n'a pas transmis ses réglages de piles.
This launch	Ce lancement
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Cet onglet nécessite Stack Master, ou une version de Private Storage Master qui augmente les limites de piles.
Why	Pourquoi
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	La plupart des objets sont empilables jusqu'à 100 dans le jeu, donc à x10 ils en contiennent 1000. Il s'applique à tout ce qui s'empile, et jamais à ce qui ne s'empile pas, comme les armes et les armures, et les piles les plus profondes du jeu s'arrêtent à la limite que ce mod indique ci-dessus. Le multiplicateur est lu au démarrage du jeu, donc le jeu doit être redémarré avant qu'il apparaisse.
Some items reached the largest stack that mod allows, %d, and stopped there.	Certains objets ont atteint la plus grande pile que ce mod autorise, %d, et s'y sont arrêtés.
x%d, by %s	x%d, par %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s s'est effacé devant un autre mod, donc le modifier ici ne changerait rien. Ce mod n'est pas accessible depuis ce menu, réglez donc le multiplicateur directement dedans.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s n'est pas le mod qui définit les tailles de piles, donc le modifier ici ne changerait rien. Réglez plutôt le multiplicateur dans %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Un multiplicateur plus élevé prend effet dès qu'il est choisi. Un plus faible attend le prochain lancement.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	La plupart des objets sont empilables jusqu'à 100 dans le jeu, donc à x10 ils en contiennent 1000. Il s'applique à tout ce qui s'empile, et jamais à ce qui ne s'empile pas, comme les armes et les armures, et les piles les plus profondes du jeu s'arrêtent à la limite que ce mod indique ci-dessus. Choisir un multiplicateur plus élevé prend effet immédiatement ; un plus faible attend le prochain lancement, car une pile déjà constituée ne peut pas être réduite en dessous de ce qu'elle contient.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	En attente d'un redémarrage, ou choisissez-le à nouveau en jeu et il prend effet aussitôt.
you dropped this	lâché par vous
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Une créature à laquelle le jeu ne donne aucun objet propre, comme une colonie de lucioles, est jugée par cet interrupteur et par l'onglet Classes, où une colonie de lucioles compte comme insect. Aucune règle d'étiquette ou d'objet ne peut l'atteindre, car il n'y a aucun objet auquel la comparer.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Depuis Private Storage Master 1.1.4, Arrow y figure aussi par défaut, donc les flèches que vous ramassez restent dans le carquois.
a placed Field Pot or Bonfire	une marmite de campagne ou un feu de camp posé
Keep the menu on screen while you play. %s brings it back.	Garder le menu à l'écran pendant que vous jouez. %s le fait réapparaître.
Watch mode: the game has your controls. %s to interact.	Mode observation : le jeu a vos contrôles. %s pour interagir.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Une seule touche. Les combinaisons avec Ctrl et Alt ne sont jamais lues, car ces touches restent muettes tant que Ctrl ou Alt est enfoncée.
a crafting station	un poste d'artisanat
