# Master Looter 메뉴 텍스트, 한국어.
# 이 번역은 기계 번역이며,
# 아직 원어민의 검수를 거치지 않았습니다. 수정 제안은 GitHub
# (github.com/shin2344234/master-looter)나 Nexus 모드 페이지에서 환영합니다.
#
# 한 줄에 한 문자열: 영어 원문, 탭, 번역문 순서입니다. #으로 시작하는
# 줄은 무시되며, \n은 줄바꿈을 나타내고, 탭 뒤에 아무것도 없는 줄은
# 영어 그대로 표시됩니다.
# %d, %s, %.1f 등 모든 자리표시자는 순서와 형태를 그대로 유지해야
# 합니다. 실행 중 그 자리에 값이 대입되기 때문이며, 자리표시자가
# 달라진 줄은 잘못된 값을 표시하지 않도록 불러오기 단계에서 무시됩니다.
#
# 이 파일은 MasterLooter.ko.txt로 저장하여 MasterLooter.asi 옆에 두면
# 내장된 번역 대신 읽힙니다.

  bag full	  가방 가득 참
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	땅에 있는 목재와 나뭇가지, 그리고 그것을 내놓는 노드. 그 대부분이 무엇을 담고 있는지는 게임 데이터에서 직접 읽어 오므로, 분류 탭에서 wood 분류를 거부하면 나무도 서 있는 그대로 남고 그 아래의 목재도 남습니다. 게임이 노드에 대해 아무 말도 하지 않는 곳에서는 이 설정이 가진 유일한 통제 수단입니다.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	특정 종을 건드리지 않으려면 "아이템" 탭에서 해당 종이 변하는 아이템을 "절대 안 함"으로 설정하세요: Item_Tench, Item_Ricefish, Item_Iguana. 이 모드는 게임의 캐릭터 표에서 생물 고유의 행을 읽으므로 무언가를 포획하기 전에 어떤 종인지 이미 알고 있습니다. 일부 특이한 생물은 여전히 모델 이름으로 추측하며 분류로만 포획됩니다.
Treasure and keepsakes	보물과 기념품
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	반드시 버튼 두 개를 동시에, 하나만은 안 됩니다: 이 게임에서는 단일 버튼마다 이미 기능이 배정되어 있습니다. 이 모드는 패드 입력을 읽기만 하므로 게임도 두 버튼을 그대로 인식합니다. 함께 눌러도 아무 동작도 없는 조합을 고르세요. 예를 들어 양쪽 숄더 버튼, 또는 백 버튼과 페이스 버튼 하나.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	무언가를 담는 두 가지. 하나는 당신이 여는 상자와 궤짝, 전리품 노드로, 이들이 수거 처리에 응답하는 일은 드뭅니다. 다른 하나는 땅에 있으면서 무언가를 담는 것이 본분인 것들, 곧 병과 단지, 흙 항아리, 물주머니, 화병, 그리고 당신이 직접 놓는 보관함입니다. 기본값은 꺼짐이며, 꺼져 있으면 도자기가 늘어선 선반은 그 자리에 그대로 남습니다. 보상 상자는 여기에 들지 않습니다. 그것 자체가 전리품이며 분류 탭의 보물과 기념품에 속하기 때문입니다.\n\n상자에서 나온 것은 당신의 필터와 대조되지 않습니다. 게임이 내용물을 한 번에 건네주고 모드는 그것을 개별 객체로 보지 못하므로, 그것들에 대해 이 설정은 전부 아니면 전무입니다.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	설정하기 전까지는 지정되지 않습니다. 게임은 소유물을 가져가는 것을 절도로 간주해 현상금을 부과하므로, 이 스위치는 잠깐 켰다가 다시 꺼야 하는 성격이라 메뉴로 다루기에는 적합하지 않습니다.
Unidentified nodes	미확인 노드
unidentified nodes off	미확인 노드 끄기
unidentified: could be a fish, a flying insect or a bird	미확인: 물고기, 날아다니는 곤충, 또는 새일 수 있음
unidentified: could be an insect or a small animal	미확인: 곤충 또는 작은 동물일 수 있음
unnamed item	이름 없는 아이템
Unsellable items	판매 불가 아이템
Use this language	이 언어 사용
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	게임 자체의 "가져가기/훔치기" 판정을 사용합니다. 소유물은 한 번 관측되기 전까지 건너뜁니다.
using the player's own field	플레이어 자체 필드 사용
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	채소, 과일, 곡물: 고구마, 보리, 양배추, 사과, 포도 등 재배되거나 채집되는 그 밖의 식재료로, 식물에 달려 있든 떨어져 있든 포함됩니다. 예전에는 "바닥 아이템"으로 처리되었는데, 이 때문에 "식물"을 꺼도 밭이 여전히 비워지곤 했습니다. 게임의 72개 채집 소켓 중 44개가 농작물이고 식물은 28개뿐입니다.
Verbose log	상세 로그
Verdict	판정
waiting	대기 중
waiting for the game to check an item	게임이 아이템을 확인하기를 대기 중
waiting for the game to check ownership once	게임이 소유권을 한 번 확인하기를 대기 중
Waiting for the world to load.	세계가 로드되기를 기다리는 중입니다.
Watch	워치
Watch mode	워치 모드
Watch mode (menu stays up, you keep playing)	워치 모드 (메뉴 유지, 플레이는 계속)
Watch mode: the game has your controls. %s to interact, %s to close.	워치 모드: 게임이 조작을 가져갑니다. %s로 상호작용, %s로 닫기.
Weapons and armor	무기와 방어구
What enters the working list at all. The ranges below are clamped to it.	작업 목록에 아예 들어올 대상을 정합니다. 아래 범위들은 이 값을 넘지 못하도록 제한됩니다.
What to collect	수집 대상
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	손잡이를 대신 돌려 올라오는 것을 가져가며, 상호작용 버튼을 누르고 있을 때 게임이 구동하는 것과 동일한 상태 전환을 그대로 구동합니다. 우물은 루팅 이벤트를 전혀 발생시키지 않으므로, 이는 게임에 무언가를 요청하는 것이 아니라 포착된 시퀀스를 재현하는 것입니다. 기본값은 끔입니다. 잘못되면 두레박 없이 서 있는 우물이 남기 때문입니다.
Wood	목재
wood off	목재 끄기
World (actor manager)	월드 (액터 매니저)
worn by someone	누군가 착용 중
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	적이 죽으면서 떨어뜨리는 착용 장비. 값싸고 무겁지만 흔합니다.
worn or carried by you	본인이 착용 또는 소지 중
worth %lld copper	구리 %lld 가치
Wrap the swapchain	스왑체인 래핑
Write translation template	번역 템플릿 작성
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	플러그인 옆에 MasterLooter.template.txt를 기록하며, 이번 세션에서 메뉴에 표시된 모든 줄을 담습니다. 줄은 한 번 그려져야 나타나므로 먼저 모든 탭을 열어 두세요. 각 항목의 오른쪽 부분을 번역해 MasterLooter.<language>.txt로 저장한 다음, 그 언어를 여기에 입력하세요.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	현재 설정을 \"%s\"에 기록합니다. 불러온 뒤 원하는 대로 바꾸고 다시 저장하세요.
Writes the settings as they are now, named %s.	현재 설정을 %s(이)라는 이름으로 기록합니다.
yes	예
your rules refuse all ore, jewels and stone	당신의 규칙이 광석과 보석과 돌을 모두 거부합니다
your rules refuse all stone	당신의 규칙이 모든 돌을 거부합니다
your rules refuse everything this node holds	당신의 규칙이 이 노드에 든 것을 전부 거부합니다
part of a mechanism, not loose loot	장치의 일부이며 떨어진 전리품이 아닙니다
yours, just out of your hand	본인 소유, 손에서 벗어났을 뿐
%d last time	지난번 %d개
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	마지막 저장 이후로 설정이 바뀐 채로 게임이 시작되면 백업이 하나 기록되며, 플러그인 옆의 MasterLooter.backups 폴더에 최근 12개가 보관됩니다. 프리셋은 MasterLooter.presets에 있습니다. 재설치 후에도 보존하려면 두 폴더 중 필요한 것을 복사해 두세요.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	키나 컨트롤러 조합으로 어디서든 그 보관함을 열고, 다시 누르면 닫습니다. 다른 보관함의 키를 누르면 바로 그쪽으로 전환됩니다.
a Master Looter key	Master Looter 키
a Master Looter shortcut	Master Looter 단축키
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	아이템이 가방에 들어온 직후, Private Storage Master는 그것을 아래 목록에서 받아 주는 첫 보관함으로 옮깁니다. 당신이 직접 그 보관함에서 할 법한 것과 같은 이동입니다. 옮겨지는 것은 Master Looter가 주운 것뿐이며, 당신이 손으로 주운 것은 결코 옮기지 않습니다. 시신이나 사체에서 나온 것은 당신의 아이템 규칙이 허용하는 것만 옮깁니다. 보관함이 열려 있거나 자유 행동 중이 아닐 때는 아무것도 옮기지 않으며, 열쇠, 서류, 퀘스트 아이템, 절대 옮기지 않음 목록에 있는 것은 그대로 두고, 어떤 보관함도 받지 않는 것은 가방에 남습니다.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	펫은 마음에 드는 것을 아무거나 주워 가며 게임에는 이를 막을 설정이 없습니다. 켜면, 당신의 아이템 규칙, 태그, 분류, 가치 하한이 거부할 땅 위의 아이템에 펫이 손을 뻗기 전에 안 된다고 알립니다. 시신에서 가져온 것 가운데 당신의 아이템 규칙, 태그, 분류가 거부하는 것은 도착하는 즉시 소지품에서 삭제되며, 무엇이 사라졌는지 알림이 알려 줍니다. 퀘스트 아이템과 보호된 아이템은 절대 삭제되지 않으며, 이미 가방에 있던 것에는 전혀 손대지 않습니다.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	직접 주운 것은 펫이나 용병이 나와 있든 없든 절대 삭제되지 않습니다.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	펫이나 동료가 시신을 뒤져 찾은 것은 당신의 가방에 들어갑니다. 켜면, 당신의 아이템 규칙이 허용하는 한 그 아이템들도 Master Looter 자신의 수거물과 같은 방식으로 보관함에 들어갑니다. 펫이 주운 땅 위의 아이템은 게임에 의해 당신 자신의 수거물로 보고되므로, 그것들은 가방에 남습니다.
a seed planted in your camp farm	야영지 농장에 심은 씨앗
Add	추가
add an item: type 3+ letters of its name	아이템 추가: 이름을 3자 이상 입력
also %s	%s도
an ore vein, left to your pickaxe while Mine ore veins for you is off	광맥, 광맥을 대신 채굴이 꺼져 있는 동안에는 곡괭이에 맡겨짐
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	초당 최대 한 줄로, 각 보관함의 이름과 그곳에 들어간 개수를 표시합니다. 꺼짐에서는 아무것도 표시되지 않고 로그에만 기록됩니다.
Click again to reset	다시 클릭하면 초기화
Detailed log	상세 로그
Drop refused loot from bodies	시신에서 거부된 전리품을 도로 내려놓기
Each item goes to the first storage in this list that takes it.	각 아이템은 이 목록에서 그것을 받아 주는 첫 보관함으로 갑니다.
Empty: auto-store may move anything a storage takes.	비어 있음: 자동 보관은 어떤 보관함이든 받아 주는 것이라면 무엇이든 옮길 수 있습니다.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	각 보관함의 크기와 사용 중인 슬롯 수를 PrivateStorageMaster.log에 기록합니다. 용량 보고서에 첨부하세요.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	JSON 용량 모드용: 아래의 보관함 크기는 무시되며 게임이나 그 모드가 결정합니다.
game size (%d)	게임 크기 (%d)
Game window	게임 창
hold a button, then press the one that opens it (Escape cancels)	버튼을 누른 채로, 그것을 여는 버튼을 누르세요 (Escape로 취소)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	버튼을 하나 이상 누른 채로, 보관함을 여는 버튼을 누르세요. 누른 버튼은 다른 버튼이 눌려 있는 동안 게임에는 감춰집니다.
Hold other keys back while Ctrl is down	Ctrl이 눌려 있는 동안 다른 키 막기
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	구매한 확장과 스토리에서 나오는 개인 보관함 슬롯 수입니다. 슬라이더의 합계에는 이것들도 포함되므로, 기본 크기는 합계에서 이것들을 뺀 값입니다.
item %u	아이템 %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	자동 보관이 항상 가방에 남기는 아이템입니다. 기본값은 모든 화폐입니다. 은화, 동전 주머니, 금괴, 야영지 자금과 물자, 토큰과 채권입니다. 아래의 기본값으로 재설정을 누르면 이 목록이 원래대로 돌아갑니다.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	이 설정은 플러그인 옆의 PrivateStorageMaster.ini에 있습니다. 여기서의 변경 사항은 즉시 그곳에 저장됩니다.
Last error	최근 오류
Leave every size alone	모든 크기를 그대로 두기
left as the game has them	게임이 정한 그대로
load a save to see it	확인하려면 세이브를 불러오세요
more matches; type more of the name	일치하는 것이 더 있습니다. 이름을 더 입력하세요
Never move	절대 옮기지 않음
no item by that name that is not listed already	그 이름의 아이템은 모두 이미 목록에 있습니다
none seen	아직 본 적 없음
not found, bound keys also reach the game	찾을 수 없음, 배정된 키도 게임에 전달됩니다
Not on this game version: Private Storage Master could not find the move it needs.	이 게임 버전에서는 지원하지 않음: Private Storage Master가 필요한 이동 방법을 찾지 못했습니다.
nothing	없음
now %d of %d used	현재 %d/%d 사용 중
off, see the error below	꺼짐, 아래의 오류를 확인하세요
off, the mod is disabled	꺼짐, 모드가 비활성화됨
on XInput slot %d	XInput 슬롯 %d에서
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	켜면, 방금 도착한 양만 옮겨지므로 이미 가지고 있던 음식과 물약은 가방에 남습니다. 끄면, 더미 전체가 옮겨집니다.
Only move what was picked up	주운 것만 옮기기
Open now	지금 열기
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	키를 누르세요. 원한다면 Ctrl, Shift, Alt도 함께 누를 수 있습니다 (Escape로 취소)
Private Storage expansions	개인 보관함 확장
Private Storage Master %s for game build %s	게임 빌드 %s용 Private Storage Master %s
Private Storage Master did not hand over its defaults	Private Storage Master가 기본값을 건네주지 않았습니다
Private Storage Master did not hand over its store loot settings.	Private Storage Master가 전리품 보관 설정을 건네주지 않았습니다.
Private Storage Master on	Private Storage Master 켜짐
Private Storage Master refused the change	Private Storage Master가 변경을 거부했습니다
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi도 설치되어 있습니다. 둘은 게임의 같은 부분을 바꾸므로, 그것을 제거하세요.
Put what Master Looter picks up into storage	Master Looter가 줍는 것을 보관함에 넣기
read from the save	세이브에서 읽음
Reload from the ini	ini에서 다시 불러오기
Remove	제거
Reset to defaults	기본값으로 재설정
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	시신이나 사체를 수색하면 그것이 지닌 모든 것이 한꺼번에 건네지며, 모드는 그것이 가방에 들어온 뒤에야 봅니다. 켜면, 당신의 아이템 규칙, 태그, 분류, 가치 하한이 거부하는 것은 당신이 직접 무언가를 떨어뜨릴 때 게임이 쓰는 것과 같은 드롭을 통해 곧바로 당신 옆의 땅에 도로 놓입니다. 스택마다 더미 하나씩입니다. 이는 모드 자체의 수색과, 펫이나 동료가 뒤지는 시신 모두에 적용되며, 그곳에서 거부된 아이템도 마찬가지로 당신 옆에 떨어집니다. 당신이 직접 수색한 시신은 그것이 낸 것을 그대로 유지합니다. 돈, 서류, 퀘스트 아이템, 보호된 아이템은 가방에 남습니다.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	처치한 사람 수색, 시신당 한 번. 동물은 사체 항목에 속합니다. 수색으로 얻는 것은 사체와 마찬가지로 필터가 보기 전에 도착하며, 일반의 시신에서 거부된 전리품을 도로 내려놓기가 거부된 것을 도로 내려놓습니다.
set	설정됨
set this launch	이번 실행에서만 설정됨
Settings file	설정 파일
Show a notice when loot is stored	전리품이 보관되면 알림 표시
Size changes take effect the next time the game starts.	크기 변경은 다음번 게임 시작 시 적용됩니다.
Sizes	크기
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	처치한 동물의 가죽 벗기기, 사체당 한 번. 사람은 시신 항목에 속합니다. 모드는 가죽 벗기기로 얻는 것을 도착하기 전에는 전혀 보지 못하므로, 필터로는 도착을 막을 수 없습니다. 거부되는 것을 도로 땅에 내려놓으려면 일반의 시신에서 거부된 전리품을 도로 내려놓기를 켜세요.
Some changes take effect the next time the game starts.	일부 변경은 다음번 게임 시작 시 적용됩니다.
Stop pets looting bodies	펫이 시신을 뒤지지 못하게 하기
Stop pets picking up loose items	펫이 땅 위의 아이템을 줍지 못하게 하기
Storage	보관함
Storage keys	보관함 키
Storage sizes	보관함 크기
Store loot	전리품 보관
Store what your pet loots from bodies	펫이 시신에서 뒤진 것 보관하기
Storing loot needs a newer Private Storage Master.	전리품 보관에는 더 새로운 버전의 Private Storage Master가 필요합니다.
the size dump	크기 덤프
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	게임은 펫이 땅에 놓인 아이템을 가져가기 전에 허락을 구하며, 이 설정은 그것에 아니요라고 답합니다. 펫은 그것을 지나치며, 이후 삭제할 것도 생기지 않습니다. 용병에게도 같은 질문이 이루어지는지는 확인되지 않았습니다.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	게임은 펫이 시신을 뒤지기 전에도 별도로 허락을 구하며, 이 설정은 그것에 아니요라고 답합니다. 펫이 시체는 뒤지되 땅 위의 아이템은 줍지 않기를 원한다면, 또는 그 반대를 원한다면 둘 중 하나만 켜세요.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	첫 실행 시 키 배정이 PrivateStorageAnywhere.ini에서 그대로 옮겨졌습니다.
the key-block toggle	키 차단 전환
The list is full at %d items.	목록이 %d개의 아이템으로 가득 찼습니다.
The total, purchased expansions and story slots included. The left end keeps the game's size.	구매한 확장과 스토리 슬롯을 포함한 총합입니다. 왼쪽 끝은 게임의 크기를 유지합니다.
This chest holds one of each collectible, so its slots cannot be changed.	이 보관함에는 수집품이 하나씩 들어 있어, 슬롯 수를 바꿀 수 없습니다.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	이 탭은 이 버전의 Master Looter에 맞는 Private Storage Master 빌드가 필요합니다.
Turn that on and off	켜고 끄기
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Ctrl이나 보관함 키가 쓰는 다른 보조키가 눌려 있는 동안에는 다른 키가 게임으로부터 차단되므로, 보관함 키에서 손이 미끄러져도 스킬이 발동하지 않습니다. 이동, Space, Tab, Enter, Escape, Alt+F4, 그리고 게임이 Ctrl과 함께 쓰는 키(Z, Shift, +)는 그대로 전달됩니다.
working	작동 중
Write the size dump to the log	크기 덤프를 로그에 기록
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	모든 키 입력, 열기와 닫기를 PrivateStorageMaster.log에 기록하고 최근 24개 세션을 보관합니다. 꺼짐에서는 로그가 시작 요약, 오류, 크기 덤프와 최근 두 개 세션만 보관합니다.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	모든 키 입력, 열기와 닫기를 PrivateStorageMaster.log에 기록합니다. 꺼짐에서는 로그가 시작 요약, 오류, 크기 덤프만 보관합니다.
your own camp farm (off)	당신 자신의 야영지 농장 (꺼짐)
%d of %d, the rest do not stack	%d / %d, 나머지는 스택이 되지 않습니다
%s %s for game build %s	%s %s, 게임 빌드 %s용
%s refused the change: %s	%s이(가) 변경을 거부했습니다: %s
Empty your big stacks before turning this down or off.	이 값을 낮추거나 끄기 전에 큰 스택을 비우세요.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	스택이 되는 모든 아이템의 한도는 게임이 시작될 때 배율이 적용됩니다. 설정은 선택하는 즉시 그 모드 자체의 ini에 저장됩니다.
Item stacks: %s	아이템 스택: %s
Items raised	상향된 아이템
Largest limit	가장 큰 한도
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	배율을 낮춰도 이미 만들어 둔 스택은 줄어들지 않습니다. 게임이 지금 허용하는 것보다 많이 담긴 칸은 일부를 꺼내기 전까지 그대로 유지되며, 새 한도를 넘는 만큼은 사라질 수 있습니다.
Off	꺼짐
off	꺼짐
Raising stack limits	스택 한도 상향
Restart the game for the multiplier you picked to take effect.	선택한 배율을 적용하려면 게임을 재시작하세요.
Saved	저장됨
Stack multiplier	스택 배율
Stacks	스택
stacks are the size the game ships	스택이 게임 출시 크기 그대로임
That mod did not hand over its stack settings.	그 모드가 스택 설정을 넘겨주지 않았습니다.
This launch	이번 실행
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	이 탭에는 Stack Master나 스택 한도를 올리는 빌드의 Private Storage Master가 필요합니다.
Why	이유
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	게임에서는 대부분의 아이템을 100개까지 쌓을 수 있어서, x10이면 1000개까지 들어갑니다. 스택이 되는 모든 것에 적용되며, 무기와 방어구처럼 스택이 되지 않는 것에는 결코 적용되지 않습니다. 게임에서 가장 깊은 스택은 위에 표시된 그 모드의 한도에서 멈춥니다. 이 배율은 게임이 시작될 때 읽히므로, 적용되려면 게임을 재시작해야 합니다.
Some items reached the largest stack that mod allows, %d, and stopped there.	일부 아이템은 그 모드가 허용하는 가장 큰 스택인 %d에 도달해 거기서 멈췄습니다.
x%d, by %s	x%d, %s 적용
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s이(가) 다른 모드에 자리를 내주었으므로, 여기서 바꿔도 아무 효과가 없습니다. 그 모드는 이 메뉴가 접근할 수 없는 모드이니, 배율은 그 모드에서 직접 설정하세요.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s이(가) 스택 크기를 설정하는 모드가 아니므로, 여기서 바꿔도 아무 효과가 없습니다. 대신 배율을 %s에서 설정하세요.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	더 큰 배율은 선택하는 즉시 적용됩니다. 더 작은 배율은 다음 실행까지 기다립니다.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	게임에서는 대부분의 아이템을 100개까지 쌓을 수 있어서, x10이면 1000개까지 들어갑니다. 스택이 되는 모든 것에 적용되며, 무기와 방어구처럼 스택이 되지 않는 것에는 결코 적용되지 않습니다. 게임에서 가장 깊은 스택은 위에 표시된 그 모드의 한도에서 멈춥니다. 더 큰 배율을 선택하면 즉시 적용되며, 더 작은 배율은 다음 실행까지 기다립니다. 이미 쌓인 스택은 그 안에 들어있는 양보다 줄어들 수 없기 때문입니다.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	재시작을 기다리는 중이거나, 필드에서 다시 선택하면 즉시 적용됩니다.
you dropped this	직접 버린 물건
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	반딧불이 무리처럼 게임이 고유한 아이템을 주지 않는 생물은 이 스위치와 분류 탭으로 판단하며, 반딧불이 무리는 그곳에서 insect로 취급됩니다. 대조할 아이템이 없기 때문에 태그나 아이템 규칙은 닿지 않습니다.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Private Storage Master 1.1.4부터는 Arrow도 기본으로 목록에 들어 있어, 다시 주운 화살은 화살통에 남습니다.
a placed Field Pot or Bonfire	설치된 야전 솥이나 모닥불
Keep the menu on screen while you play. %s brings it back.	플레이 중에도 메뉴를 화면에 유지합니다. %s로 다시 불러옵니다.
Watch mode: the game has your controls. %s to interact.	워치 모드: 게임이 조작을 가져갑니다. %s로 상호작용.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	키 하나만 단독으로. Ctrl이나 Alt를 누르고 있는 동안 이 키들은 반응하지 않으므로 Ctrl, Alt 조합은 인식되지 않습니다.
a crafting station	제작 시설
