# Текст меню Master Looter на русском языке (ru). Машинный перевод; его пока
# не проверял живой носитель языка. Исправления приветствуются на GitHub
# (github.com/shin2344234/master-looter) или на странице мода на Nexus.
#
# Одна строка — одна фраза: сначала оригинал на английском, затем
# табуляция, затем перевод. Строки, начинающиеся с #, игнорируются. \n
# означает перенос строки внутри фразы. Если после табуляции ничего нет,
# строка остаётся на английском, поэтому недоделанный файл всё равно
# пригоден для использования.
# Каждый %d, %s, %.1f и другой заполнитель нужно сохранять в точности и
# в том же порядке — во время игры вместо них подставляются числа и
# имена, а строка с изменённым порядком заполнителей при загрузке
# игнорируется.
#
# Эта копия встроена в плагин. Чтобы изменить её без пересборки, положите
# файл с этим именем рядом с MasterLooter.asi — он в этом случае и будет
# использован вместо встроенной копии.

  bag full	  сумка заполнена
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Использует собственную проверку игры «Взять или украсть»; чужое имущество пропускается, пока это не будет замечено хотя бы раз.
using the player's own field	используя собственное поле игрока
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Овощи, фрукты и зерно: батат, ячмень, капуста, яблоки, виноград и прочая выращенная или собранная еда — как на растении, так и лежащая отдельно. Раньше это подчинялось «Предметам на земле», поэтому выключение «Растений» всё равно опустошало поле: из 72 точек сбора в игре 44 — это урожай и лишь 28 — растения.
Verbose log	Подробный журнал
Verdict	Вердикт
waiting	ожидание
waiting for the game to check an item	ожидание проверки предмета игрой
waiting for the game to check ownership once	ожидание однократной проверки владения игрой
Waiting for the world to load.	Ожидание загрузки мира.
Watch	Наблюдение
Watch mode	Режим наблюдения
Watch mode (menu stays up, you keep playing)	Режим наблюдения (меню остаётся открытым, вы продолжаете играть)
Watch mode: the game has your controls. %s to interact, %s to close.	Режим наблюдения: управление у игры. %s — взаимодействовать, %s — закрыть.
Weapons and armor	Оружие и броня
What enters the working list at all. The ranges below are clamped to it.	Что вообще попадает в рабочий список. Радиусы ниже ограничены этим значением.
What to collect	Что собирать
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Крутит ручку за вас и забирает то, что достаётся, запуская те же переходы состояний, что и игра, когда вы удерживаете кнопку взаимодействия. Колодец вообще не создаёт события лута, поэтому это воспроизведение записанной последовательности, а не обращение к игре с запросом. Выключено по умолчанию, потому что колодец, с которым что-то пошло не так, остаётся стоять без ведра.
Wood	Дерево
wood off	дерево выключено
World (actor manager)	Мир (менеджер акторов)
worn by someone	надето кем-то
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Надетое снаряжение, которое враги роняют при смерти. Дешёвое и тяжёлое, но его много.
worn or carried by you	надето или несётся вами
worth %lld copper	стоит %lld меди
Wrap the swapchain	Обернуть цепочку обмена
Write translation template	Записать шаблон перевода
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Записывает MasterLooter.template.txt рядом с плагином со всеми строками, которые меню показало за эту сессию. Сначала откройте все вкладки, поскольку строка появляется только после того, как была отрисована. Переведите правую часть каждой записи, сохраните файл как MasterLooter.<язык>.txt и укажите этот язык здесь.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Записывает текущие настройки в \"%s\". Загрузите, измените что нужно, затем сохраните обратно.
Writes the settings as they are now, named %s.	Записывает текущие настройки под именем %s.
yes	да
your rules refuse all ore, jewels and stone	твои правила отклоняют руду, самоцветы и камень
your rules refuse all stone	твои правила отклоняют весь камень
your rules refuse everything this node holds	твои правила отклоняют всё, что содержит эта точка
part of a mechanism, not loose loot	часть механизма, а не лежащая добыча
yours, just out of your hand	ваше, только что выпавшее из рук
%d last time	%d в прошлый раз
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Резервная копия записывается, когда игра запускается с настройками, изменёнными с прошлого раза, и хранятся последние двенадцать, в MasterLooter.backups рядом с плагином. Предустановки лежат в MasterLooter.presets. Скопируйте любую из папок, чтобы сохранить её при переустановке.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Комбинация клавиши или геймпада открывает это хранилище откуда угодно, и она же его закрывает. Клавиша другого хранилища переключает прямо на него.
a Master Looter key	клавиша Master Looter
a Master Looter shortcut	сочетание клавиш Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Через мгновение после того, как предмет попадает в сумку, Private Storage Master перемещает его в первое подходящее хранилище из списка ниже — то же самое перемещение, которое вы бы сделали сами у хранилища. Перемещается только то, что подобрал Master Looter, никогда то, что вы подобрали вручную, а с тела или туши — только то, что разрешают ваши правила предметов. Ничего не перемещается, пока хранилище открыто или вне свободной игры, ключи, документы, квестовые предметы и всё из списка «никогда не перемещать» остаются на месте, а то, что не принимает ни одно хранилище, остаётся в сумке.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Питомец подбирает всё, что ему вздумается, и в игре нет для этого никакого переключателя. Включено: питомцу говорят нет ещё до того, как он потянется за лежащим предметом, который отклоняют твои правила предметов, метки, классы или порог стоимости, а то, что он берёт с тела и что твои правила предметов, метки или классы отклоняют, удаляется из инвентаря сразу по прибытии, с уведомлением о том, что исчезло. Квестовые и защищённые предметы не удаляются никогда, и ничто, что уже лежит в твоей сумке, не трогается.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Ничто из того, что ты подбираешь сам, никогда не удаляется, есть ли рядом питомец или наёмник или нет.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Питомец или спутник, обыскавший тело, кладёт найденное в твою сумку. Включено — эти предметы уходят в хранилище так же, как и собственные находки Master Looter, если это разрешают твои правила предметов. Лежащие предметы, которые подбирает питомец, игра сообщает как твои собственные находки, поэтому они остаются в сумке.
a seed planted in your camp farm	семя, посаженное на твоём поле в лагере
Add	Добавить
add an item: type 3+ letters of its name	добавить предмет: введите от 3 букв его имени
also %s	также %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	рудная жила, оставленная для твоей кирки, пока Добывать рудные жилы за вас выключено
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Не больше одной строки в секунду, с именем каждого хранилища и тем, сколько в него ушло. Выключено — ничего не отображается, и это идёт только в журнал.
Click again to reset	Нажмите ещё раз, чтобы сбросить
Detailed log	Подробный журнал
Drop refused loot from bodies	Бросать на землю отклонённый лут с тел
Each item goes to the first storage in this list that takes it.	Каждый предмет уходит в первое хранилище из этого списка, которое его примет.
Empty: auto-store may move anything a storage takes.	Пусто: автоматическое перемещение может отправить в хранилище всё, что хранилище примет.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Размер каждого хранилища и сколько слотов занято, записывается в PrivateStorageMaster.log. Приложите его к отчёту о размере.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Для модов вместимости на JSON: размеры хранилищ ниже игнорируются, и решает игра или этот мод.
game size (%d)	размер игры (%d)
Game window	Окно игры
hold a button, then press the one that opens it (Escape cancels)	удерживайте кнопку, затем нажмите ту, что её открывает (Escape отменяет)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Удерживайте одну или несколько кнопок, затем нажмите ту, что открывает хранилище. Нажатая кнопка скрыта от игры, пока держатся остальные.
Hold other keys back while Ctrl is down	Удерживать остальные клавиши, пока зажат Ctrl
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Сколько слотов Личного хранилища получено из купленных дополнений и из сюжета. Итог ползунка учитывает их, так что базовый размер — это итог за вычетом них.
item %u	предмет %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Предметы, которые автоматическое перемещение всегда оставляет в сумке. По умолчанию это вся валюта: серебро, кошельки с монетами, золотые слитки, средства и припасы лагеря, жетоны и облигации. Сбросить к умолчаниям ниже возвращает этот список.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Его настройки живут в PrivateStorageMaster.ini рядом с плагином. Изменения здесь сохраняются туда же сразу.
Last error	Последняя ошибка
Leave every size alone	Не трогать ни один размер
left as the game has them	как их задаёт игра
load a save to see it	загрузите сохранение, чтобы увидеть это
more matches; type more of the name	ещё совпадения; введите больше букв имени
Never move	Никогда не перемещать
no item by that name that is not listed already	нет предмета с таким именем, который ещё не указан в списке
none seen	не замечено ни одного
not found, bound keys also reach the game	не найдено, привязанные клавиши тоже доходят до игры
Not on this game version: Private Storage Master could not find the move it needs.	Не в этой версии игры: Private Storage Master не смог найти нужное перемещение.
nothing	ничего
now %d of %d used	сейчас использовано %d из %d
off, see the error below	выключено, см. ошибку ниже
off, the mod is disabled	выключено, мод отключён
on XInput slot %d	в слоте XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Включено — перемещается только то количество, что только что прибыло, поэтому еда и зелья, которые вы уже несли, остаются в сумке. Выключено — уходит вся стопка.
Only move what was picked up	Перемещать только подобранное
Open now	Открыть сейчас
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	нажмите клавишу, с Ctrl, Shift или Alt при желании (Escape отменяет)
Private Storage expansions	Дополнения Личного хранилища
Private Storage Master %s for game build %s	Private Storage Master %s для сборки игры %s
Private Storage Master did not hand over its defaults	Private Storage Master не передал свои значения по умолчанию
Private Storage Master did not hand over its store loot settings.	Private Storage Master не передал свои настройки хранения лута.
Private Storage Master on	Private Storage Master включён
Private Storage Master refused the change	Private Storage Master отклонил изменение
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi тоже установлен. Оба мода меняют одни и те же части игры; удалите тот.
Put what Master Looter picks up into storage	Отправлять в хранилище то, что подбирает Master Looter
read from the save	считано из сохранения
Reload from the ini	Перезагрузить из ini
Remove	Удалить
Reset to defaults	Сбросить к умолчаниям
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Обыск тела или туши передаёт всё, что при нём есть, а мод видит это только тогда, когда оно уже в сумке. Включено: то, что отклоняют твои правила предметов, метки, классы или порог стоимости, кладётся обратно на землю рядом с тобой, тем же способом выпадения, которым пользуется игра, когда ты сам что-то выбрасываешь, одна кучка на стопку. Это касается как обысков самого мода, так и тел, которые обыскивает питомец или спутник, — их отклонённые предметы тоже падают рядом с тобой. Тело, которое ты обыскиваешь сам, сохраняет то, что выдало. Деньги, документы, квестовые и защищённые предметы остаются в сумке.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Обыск убитых вами людей, один раз на тело. Животные относятся к пункту Туши. То, что даёт обыск, приходит раньше, чем его увидят твои фильтры, точно так же, как с тушей, а Бросать на землю отклонённый лут с тел, в разделе Общие, кладёт обратно то, что они отклоняют.
set	задать
set this launch	задать для этого запуска
Settings file	Файл настроек
Show a notice when loot is stored	Показывать уведомление, когда лут убран в хранилище
Size changes take effect the next time the game starts.	Изменения размера вступят в силу при следующем запуске игры.
Sizes	Размеры
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Свежевание убитых вами животных, один раз на тушу. Люди относятся к пункту Тела. Мод никогда не видит, что даёт свежевание, до того, как оно попадёт к вам, так что ваши фильтры не могут остановить его прибытие. Чтобы то, что они отклоняют, клалось обратно на землю, включите Бросать на землю отклонённый лут с тел, в разделе Общие.
Some changes take effect the next time the game starts.	Некоторые изменения вступят в силу при следующем запуске игры.
Stop pets looting bodies	Запретить питомцам подбирать с тел
Stop pets picking up loose items	Запретить питомцам подбирать лежащие предметы
Storage	Хранилище
Storage keys	Клавиши хранилища
Storage sizes	Размеры хранилищ
Store loot	Хранение лута
Store what your pet loots from bodies	Хранить то, что твой питомец подбирает с тел
Storing loot needs a newer Private Storage Master.	Для хранения лута нужен более новый Private Storage Master.
the size dump	дамп размеров
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Игра спрашивает, прежде чем питомец возьмёт лежащий на земле предмет, и это отвечает нет. Питомец проходит мимо него, и после этого ничего удалять не нужно. Задаёт ли наёмник тот же вопрос, не проверялось.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Игра отдельно спрашивает, прежде чем питомец обыщет тело, и это отвечает нет. Включите одно из двух, а не другое, если хотите, чтобы питомец обирал трупы, но не собирал лежащие предметы, или наоборот.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Привязки клавиш были перенесены из PrivateStorageAnywhere.ini при первом запуске.
the key-block toggle	переключатель блокировки клавиш
The list is full at %d items.	Список заполнен, в нём %d предметов.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Итог, включая купленные дополнения и слоты сюжета. Левый край сохраняет размер игры.
This chest holds one of each collectible, so its slots cannot be changed.	В этом сундуке хранится по одному экземпляру каждого коллекционного предмета, поэтому его слоты нельзя изменить.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Этой вкладке нужна сборка Private Storage Master, совпадающая с этой версией Master Looter.
Turn that on and off	Включать и выключать это
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Пока зажат Ctrl или любой другой модификатор, который используют ваши клавиши хранилища, остальные клавиши удерживаются от игры, поэтому соскальзывание с клавиши хранилища не активирует умение. Движение, Space, Tab, Enter, Escape, Alt+F4 и клавиши, которые игра использует вместе с Ctrl (Z, Shift, +), по-прежнему доходят до игры.
working	работает
Write the size dump to the log	Записать дамп размеров в журнал
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Записывает каждое нажатие клавиши, открытие и закрытие в PrivateStorageMaster.log и хранит последние 24 сессии. Выключено — журнал хранит сводку запуска, ошибки и дамп размеров, а также последние две сессии.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Записывает каждое нажатие клавиши, открытие и закрытие в PrivateStorageMaster.log. Выключено — журнал хранит сводку запуска, ошибки и дамп размеров.
your own camp farm (off)	твоё собственное поле в лагере (выключено)
%d of %d, the rest do not stack	%d из %d, остальное не складывается в стопку
%s %s for game build %s	%s %s для сборки игры %s
%s refused the change: %s	%s отклонил изменение: %s
Empty your big stacks before turning this down or off.	Опустоши свои большие стопки, прежде чем понижать это значение или выключать его.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Лимит каждого складываемого в стопку предмета умножается при запуске игры. Настройка сохраняется в собственном ini этого мода сразу же, как только ты её выбираешь.
Item stacks: %s	Стопки предметов: %s
Items raised	Повышено предметов
Largest limit	Наибольший лимит
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Понижение множителя не уменьшает стопку, которую ты уже собрал. Ячейка, в которой больше, чем сейчас разрешает игра, сохраняет содержимое, пока ты что-нибудь из неё не возьмёшь, а всё сверх нового лимита может быть потеряно.
Off	Выключено
off	выключено
Raising stack limits	Повышение лимитов стопки
Restart the game for the multiplier you picked to take effect.	Перезапусти игру, чтобы выбранный множитель вступил в силу.
Saved	Сохранено
Stack multiplier	Множитель стопки
Stacks	Стопки
stacks are the size the game ships	стопки имеют тот размер, с которым вышла игра
That mod did not hand over its stack settings.	Этот мод не передал свои настройки стопки.
This launch	Этот запуск
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Этой вкладке нужен Stack Master или сборка Private Storage Master, повышающая лимиты стопки.
Why	Почему
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Большинство вещей в игре можно сложить в стопку до 100 штук, поэтому при x10 в неё войдёт 1000. Множитель применяется ко всему, что складывается в стопку, и никогда к тому, что не складывается, например к оружию и броне, а самые глубокие стопки в игре останавливаются на пределе, который этот мод указывает выше. Он считывается при запуске игры, поэтому игру нужно перезапустить, чтобы это вступило в силу.
Some items reached the largest stack that mod allows, %d, and stopped there.	Некоторые предметы достигли самой большой стопки, которую разрешает этот мод, %d, и остановились там.
x%d, by %s	x%d, от %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s отступил перед другим модом, поэтому изменение здесь ничего не даст. Этот мод недоступен этому меню, поэтому задай множитель прямо в нём.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s — не тот мод, что задаёт размеры стопок, поэтому изменение здесь ничего не даст. Вместо этого задай множитель в %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Больший множитель вступает в силу сразу, как только он выбран. Меньший ждёт следующего запуска.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	Большинство вещей в игре можно сложить в стопку до 100 штук, поэтому при x10 в неё войдёт 1000. Множитель применяется ко всему, что складывается в стопку, и никогда к тому, что не складывается, например к оружию и броне, а самые глубокие стопки в игре останавливаются на пределе, который этот мод указывает выше. Выбор большего множителя вступает в силу сразу; меньший ждёт следующего запуска, потому что уже собранную стопку нельзя уменьшить меньше того, что в ней лежит.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Ждёт перезапуска, или выбери его снова прямо в игровом мире, и он сразу вступит в силу.
you dropped this	вы это выбросили
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Существо, которому игра не даёт собственного предмета, например колонию светлячков, оценивают этот переключатель и вкладка «Классы», где колония светлячков считается классом insect. Никакое правило метки или предмета до него не дотянется, потому что нет предмета, с которым его можно сверить.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Начиная с Private Storage Master 1.1.4 в списке по умолчанию есть и Arrow, так что подобранные обратно стрелы остаются в колчане.
a placed Field Pot or Bonfire	установленный походный котёл или костёр
Keep the menu on screen while you play. %s brings it back.	Держит меню на экране, пока вы играете. %s возвращает его.
Watch mode: the game has your controls. %s to interact.	Режим наблюдения: управление у игры. %s — взаимодействовать.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Одна клавиша отдельно. Сочетания с Ctrl и Alt никогда не считываются, потому что эти клавиши молчат, пока зажат Ctrl или Alt.
a crafting station	ремесленная станция
