# Master Looterin valikkoteksti suomeksi. Tämä on konekäännös, jota kukaan
# äidinkielinen puhuja ei ole vielä tarkistanut. Korjaukset ovat tervetulleita
# GitHubissa (github.com/shin2344234/master-looter) tai modin Nexus-sivulla.
#
# Yksi teksti per rivi: englanninkielinen alkuperäinen, sarkainmerkki, sitten
# käännös. \n tarkoittaa rivinvaihtoa. #-merkillä alkavat rivit ohitetaan, ja
# rivi, jolla ei ole käännöstä sarkaimen jälkeen, näkyy edelleen englanniksi,
# joten keskeneräinenkin tiedosto toimii. Jokainen %d, %s, %.1f ja muu
# paikkamerkki on säilytettävä täsmälleen samassa muodossa ja järjestyksessä:
# ne korvataan ajon aikana numeroilla ja nimillä, ja rivi, joka muuttaa niitä,
# ohitetaan latauksen yhteydessä, jotta vääriä arvoja ei tulostu.
#
# Tallenna tiedostona MasterLooter.<kieli>.txt liitännäisen viereen; tämän
# nimisenä tiedosto ohittaa liitännäiseen sisäänrakennetun kopion. Aseta
# sitten Language=fi tiedostoon MasterLooter.ini, tai kirjoita kieli valikon
# General-välilehden Language-kenttään.

  bag full	  laukku täynnä
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Modi ei koskaan heiluta hakkua. Se ajaa suonen omaa murtumissekvenssiä, ja peli käy siinä läpi yhden pudotusrivin, kun oikea isku käy läpi kaksi, joten louhintatyökalusi bonus ei maksa mitään, kun modi tekee louhinnan. Tämä lisää puuttuvan malmin takaisin samaa pudotuspolkua pitkin, jota peli käyttää, joten kyseessä on oikeaa maahan valunutta malmia, ei laukkuun kopioitu esine. Aseta se siihen, mitä työkalusi maksaa käsin louhittaessa miinus yksi: pora, joka antaa käsin kolme, haluaa tähän 2. Tämä koskee vain suonta, jonka tämä modi murtaa, joten käsin louhiminen pysyy koskemattomana eivätkä kaksi voi kasautua.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Tällä pelikerralla: %ld poimittu, %ld kerätty, %ld pyydystetty, %ld raatoa
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Maassa olevat puutavara ja oksat sekä pisteet, jotka niitä tuottavat. Se mitä useimmat niistä sisältävät luetaan pelin omista tiedoista, joten luokan wood hylkääminen Luokat-välilehdellä jättää puut pystyyn ja samoin niiden alla olevan puutavaran. Siellä missä peli ei kerro pisteestä mitään, tämä kytkin on sen ainoa hallintakeino.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Jättääksesi yhden lajin rauhaan, aseta se, mihin se muuttuu, arvoon ei koskaan Esineet-välilehdellä: Item_Tench, Item_Ricefish, Item_Iguana. Modi lukee olennon oman rivin pelin hahmotaulukosta, joten se tietää, mitä lajia se katsoo, ennen kuin se saa mitään kiinni. Muutama epätavallinen olento joutuu silti arvaamaan mallinsa nimestä ja saadaan kiinni vain luokan perusteella.
Treasure and keepsakes	Aarteet ja muistoesineet
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Kaksi näppäintä samaan aikaan, ei koskaan yhtä: jokainen yksittäinen näppäin tekee jo jotain tässä pelissä. Modi vain lukee ohjainta, joten peli näkee silti molemmat näppäimet. Valitse pari, joka ei tee yhdessä mitään, kuten kaksi olkanäppäintä, tai Back ja jokin etunäppäin.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Kaksi asiaa, jotka pitävät sisällään asioita. Arkut, laatikot ja saalispisteet, jotka avaat ja jotka vastaavat ryöstötapahtumaan vain harvoin. Ja kaikki maassa oleva, jonka tehtävä on pitää sisällään jotain: pullot, purkit, saviruukut, vesileilit, maljakot ja asettamasi säilytyslaatikot. Oletuksena pois päältä, ja pois päältä tarkoittaa, että hyllyllinen keramiikkaa jää siihen missä on. Palkintolaatikot eivät kuulu tähän, sillä ne ovat saalista sinänsä ja kuuluvat kohtaan Aarteet ja muistoesineet Luokat-välilehdellä.\n\nSitä mitä arkusta tulee, ei verrata suodattimiisi. Peli luovuttaa sisällön yhdellä kertaa eikä modi näe sitä koskaan esineinä, joten niiden osalta tämä kytkin on kaikki tai ei mitään.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Sitomaton, kunnes asetat sen. Peli kutsuu omistetun tavaran ottamista varkaudeksi ja asettaa sinulle siitä etsintäkuulutuksen, joten tämä on kytkin, jonka haluat hetkeksi päälle ja sitten taas pois, mikä sopii huonosti valikkoon.
Unidentified nodes	Tunnistamattomat pisteet
unidentified nodes off	tunnistamattomat pisteet pois päältä
unidentified: could be a fish, a flying insect or a bird	tunnistamaton: voi olla kala, lentävä hyönteinen tai lintu
unidentified: could be an insect or a small animal	tunnistamaton: voi olla hyönteinen tai pieni eläin
unnamed item	nimeämätön esine
Unsellable items	Myymättömät esineet
Use this language	Käytä tätä kieltä
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Käyttää pelin omaa Ota tai varasta -tarkistusta; omistettu tavara ohitetaan, kunnes se on havaittu kerran.
using the player's own field	käyttäen pelaajan omaa kenttää
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Vihannekset, hedelmät ja vilja: bataatti, ohra, kaali, omenat, viinirypäleet ja loput viljellystä ja kerätystä ruoasta, joko kasvissa kiinni tai irti maassa. Nämä vastasivat aiemmin kohtaan Maassa olevat esineet, minkä vuoksi Kasvien kytkeminen pois päältä silti tyhjensi pellon: pelin 72 keräyspaikasta 44 on viljelykasveja ja vain 28 on kasveja.
Verbose log	Yksityiskohtainen loki
Verdict	Tulos
waiting	odottaa
waiting for the game to check an item	odottaa, että peli tarkistaa esineen
waiting for the game to check ownership once	odottaa, että peli tarkistaa omistajuuden kerran
Waiting for the world to load.	Odotetaan maailman latautumista.
Watch	Seuraa
Watch mode	Seurantatila
Watch mode (menu stays up, you keep playing)	Seurantatila (valikko pysyy näkyvissä, sinä jatkat pelaamista)
Watch mode: the game has your controls. %s to interact, %s to close.	Seurantatila: peli hallitsee ohjaimiasi. %s ollaksesi vuorovaikutuksessa, %s sulkeaksesi.
Weapons and armor	Aseet ja panssarit
What enters the working list at all. The ranges below are clamped to it.	Mikä ylipäätään pääsee työlistalle. Alla olevat kantamat rajoittuvat tähän.
What to collect	Mitä kerätä
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Kampeaa kammen puolestasi ja ottaa sen, mikä nousee ylös, ajamalla samat tilasiirtymät, joita peli ajaa, kun pidät vuorovaikutusnäppäintä pohjassa. Kaivo ei nosta lainkaan loottitapahtumaa, joten tämä on tallennetun sekvenssin toisto sen sijaan, että peliltä pyydettäisiin mitään. Oletuksena pois päältä, koska väärin menevä kaivo on kaivo, joka jää seisomaan ilman sankoaan.
Wood	Puu
wood off	puu pois päältä
World (actor manager)	Maailma (aktorien hallinta)
worn by someone	jonkun yllä
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Puetut varusteet, jotka viholliset pudottavat kuollessaan. Halpoja ja painavia, mutta runsaita.
worn or carried by you	sinun yllä tai mukanasi
worth %lld copper	arvoltaan %lld kuparia
Wrap the swapchain	Kääri swapchain
Write translation template	Kirjoita käännösmalli
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Kirjoittaa tiedoston MasterLooter.template.txt liitännäisen viereen, ja se sisältää jokaisen rivin, jonka valikko on näyttänyt tällä pelikerralla. Avaa ensin jokainen välilehti, sillä rivi ilmestyy vasta, kun se on piirretty. Käännä jokaisen tietueen oikea puoli, tallenna se nimellä MasterLooter.<kieli>.txt, ja kirjoita se kieli tähän.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Kirjoittaa asetukset sellaisina kuin ne ovat nyt tiedostoon \"%s\". Lataa se, muuta mitä haluat, ja tallenna se sitten takaisin.
Writes the settings as they are now, named %s.	Kirjoittaa asetukset sellaisina kuin ne ovat nyt, nimellä %s.
yes	kyllä
your rules refuse all ore, jewels and stone	sääntösi hylkäävät malmin, jalokivet ja kiven kaikki
your rules refuse all stone	sääntösi hylkäävät kaiken kiven
your rules refuse everything this node holds	sääntösi hylkäävät kaiken mitä tämä piste sisältää
part of a mechanism, not loose loot	osa mekanismia, ei irrallista saalista
yours, just out of your hand	sinun, juuri kädestäsi pudonnut
%d last time	%d viimeksi
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Varmuuskopio kirjoitetaan, kun peli käynnistyy asetuksilla, jotka ovat muuttuneet edellisestä kerrasta, ja viimeiset kaksitoista säilytetään kansiossa MasterLooter.backups liitännäisen vieressä. Esiasetukset ovat kansiossa MasterLooter.presets. Kopioi kumpi tahansa kansio säilyttääksesi sen uudelleenasennuksen yli.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Näppäin tai ohjainyhdistelmä avaa kyseisen varaston mistä tahansa ja sulkee sen taas. Toisen varaston näppäin vaihtaa suoraan siihen.
a Master Looter key	Master Looterin näppäin
a Master Looter shortcut	Master Looterin pikanäppäin
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Hetki sen jälkeen, kun esine saapuu laukkuun, Private Storage Master siirtää sen ensimmäiseen alla olevaan varastoon, joka ottaa sen vastaan, saman siirron, jonka tekisit itse varastolla. Vain se, minkä Master Looter on poiminut, siirretään, ei koskaan se, minkä olet poiminut käsin, ja ruumiista tai raadosta vain se, minkä esinesääntösi sallivat. Mikään ei siirry, kun varasto on auki tai vapaan pelin ulkopuolella, avaimet, asiakirjat, tehtäväesineet ja kaikki listalla Älä koskaan siirrä pysyvät paikallaan, ja se, mitä mikään varasto ei ota vastaan, jää laukkuun.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Lemmikki nostaa mitä huvittaa, eikä pelissä ole siihen mitään kytkintä. Päällä: lemmikille sanotaan ei ennen kuin se kurottaa maassa olevaan irtoesineeseen, jonka esinesääntösi, tunnisteesi, luokkasi tai arvoraja hylkäävät, ja mitä tahansa se ottaa ruumiista, jonka esinesääntösi, tunnisteesi tai luokkasi hylkäävät, poistetaan tavaraluettelosta heti sen saapuessa, ja ilmoitus kertoo, mikä katosi. Tehtäväesineitä ja suojattuja esineitä ei poisteta koskaan, eikä mihinkään laukussasi jo olevaan kosketa.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Mitään, minkä poimit itse, ei koskaan poisteta, oli lemmikki tai palkkasoturi mukana tai ei.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Lemmikki tai kumppani, joka ryöstää ruumiin, laittaa löytämänsä laukkuusi. Päällä nuo esineet menevät varastoon samalla tavalla kuin Master Looterin omat poiminnat, kunhan esinesääntösi sallivat ne. Irtoesineet, jotka lemmikki poimii, peli ilmoittaa omina poimintoinasi, joten ne pysyvät laukussa.
a seed planted in your camp farm	leirisi maatilalle istutettu siemen
Add	Lisää
add an item: type 3+ letters of its name	lisää esine: kirjoita 3+ kirjainta sen nimestä
also %s	myös %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	malmisuoni, joka jätetään hakullesi, kun Louhi malmisuonet puolestasi on pois päältä
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Enintään yksi rivi sekunnissa, joka nimeää kunkin varaston ja kuinka monta meni siihen. Pois päältä mitään ei näytetä, ja se menee vain lokiin.
Click again to reset	Napsauta uudelleen nollataksesi
Detailed log	Yksityiskohtainen loki
Drop refused loot from bodies	Pudota hylätty lootti ruumiista
Each item goes to the first storage in this list that takes it.	Jokainen esine menee ensimmäiseen tämän listan varastoon, joka ottaa sen vastaan.
Empty: auto-store may move anything a storage takes.	Tyhjä: automaattinen varastointi voi siirtää mitä tahansa, minkä varasto ottaa vastaan.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Jokaisen varaston koko ja kuinka monta paikkaa on käytössä, kirjoitettu tiedostoon PrivateStorageMaster.log. Liitä se kokoraporttiin.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	JSON-kapasiteettimodeille: alla olevat varastokoot ohitetaan, ja peli tai kyseinen modi päättää.
game size (%d)	pelin koko (%d)
Game window	Peli-ikkuna
hold a button, then press the one that opens it (Escape cancels)	pidä näppäintä pohjassa ja paina sitten sitä, joka avaa sen (Escape peruuttaa)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Pidä yhtä tai useampaa näppäintä pohjassa ja paina sitten sitä, joka avaa varaston. Painettu näppäin piilotetaan peliltä, kun muita pidetään pohjassa.
Hold other keys back while Ctrl is down	Pidätä muut näppäimet, kun Ctrl on pohjassa
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Kuinka monta Yksityisen varaston paikkaa tulee ostamistasi laajennuksista ja tarinasta. Liukusäätimen kokonaismäärä laskee ne mukaan, joten peruskoko on kokonaismäärä miinus nämä.
item %u	esine %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Esineet, jotka automaattinen varastointi jättää aina laukkuun. Oletuksena tämä on jokainen valuutta: hopea, kolikkopussit, kultaharkot, leirin varat ja tarvikkeet, merkit ja joukkovelkakirjat. Palauta oletusarvot alla palauttaa tämän listan.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Sen asetukset ovat tiedostossa PrivateStorageMaster.ini liitännäisen vieressä. Tässä tehdyt muutokset tallennetaan sinne heti.
Last error	Viimeisin virhe
Leave every size alone	Jätä kaikki koot ennalleen
left as the game has them	jätetty sellaisiksi kuin peli ne pitää
load a save to see it	lataa tallennus nähdäksesi sen
more matches; type more of the name	lisää osumia; kirjoita enemmän nimestä
Never move	Älä koskaan siirrä
no item by that name that is not listed already	ei esinettä tällä nimellä, jota ei jo ole listattu
none seen	ei nähty yhtään
not found, bound keys also reach the game	ei löytynyt, sidotut näppäimet tavoittavat myös pelin
Not on this game version: Private Storage Master could not find the move it needs.	Ei tässä pelin versiossa: Private Storage Master ei löytänyt tarvitsemaansa siirtoa.
nothing	ei mitään
now %d of %d used	nyt %d/%d käytössä
off, see the error below	pois päältä, katso virhe alla
off, the mod is disabled	pois päältä, modi on poistettu käytöstä
on XInput slot %d	XInput-paikassa %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Päällä siirretään vain juuri saapunut määrä, joten ruoka ja juomat, joita jo kannoit, pysyvät laukussa. Pois päältä koko pino menee.
Only move what was picked up	Siirrä vain se, mikä poimittiin
Open now	Avaa nyt
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	paina näppäintä, halutessasi yhdessä Ctrl-, Shift- tai Alt-näppäimen kanssa (Escape peruuttaa)
Private Storage expansions	Yksityisen varaston laajennukset
Private Storage Master %s for game build %s	Private Storage Master %s, pelin versio %s
Private Storage Master did not hand over its defaults	Private Storage Master ei luovuttanut oletusarvojaan
Private Storage Master did not hand over its store loot settings.	Private Storage Master ei luovuttanut lootin varastointiasetuksiaan.
Private Storage Master on	Private Storage Master päällä
Private Storage Master refused the change	Private Storage Master hylkäsi muutoksen
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi on myös asennettuna. Molemmat muuttavat samoja pelin osia; poista se.
Put what Master Looter picks up into storage	Laita se, minkä Master Looter poimii, varastoon
read from the save	luettu tallennuksesta
Reload from the ini	Lataa uudelleen ini-tiedostosta
Remove	Poista
Reset to defaults	Palauta oletusarvot
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Ruumiin tai raadon tutkiminen luovuttaa kaiken, mitä se sisältää, ja modi näkee sen vasta, kun se on laukussa. Päällä: se niistä, mitkä esinesääntösi, tunnisteesi, luokkasi tai arvoraja hylkäävät, laitetaan suoraan takaisin maahan viereesi, samalla pudotuksella, jota peli käyttää, kun pudotat jotain itse, yksi kasa per pino. Tämä kattaa modin omat tutkimiset ja ruumiit, jotka lemmikki tai kumppani ryöstää, joiden hylätyt esineet putoavat myös viereesi. Ruumis, jonka tutkit itse, säilyttää sen, minkä se maksoi. Rahat, asiakirjat, tehtäväesineet ja suojatut esineet pysyvät laukussa.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Tappamiesi ihmisten tutkiminen, kerran ruumista kohden. Eläimet kuuluvat kohtaan Raadot. Tutkimisen tuotto saapuu ennen kuin suodattimesi näkevät sen, aivan kuten raadon kohdalla, ja Pudota hylätty lootti ruumiista kohdassa Yleiset laittaa takaisin sen, minkä ne hylkäävät.
set	asetettu
set this launch	asetettu tällä käynnistyskerralla
Settings file	Asetustiedosto
Show a notice when loot is stored	Näytä ilmoitus, kun lootti varastoidaan
Size changes take effect the next time the game starts.	Kokomuutokset astuvat voimaan seuraavalla kerralla, kun peli käynnistyy.
Sizes	Koot
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Tappamiesi eläinten nylkeminen, kerran raatoa kohden. Ihmiset kuuluvat kohtaan Ruumiit. Modi ei koskaan näe, mitä nylkeminen tuottaa, ennen kuin se saapuu, joten suodattimesi eivät voi estää sen saapumista. Jos haluat, että se, minkä ne hylkäävät, laitetaan takaisin maahan, kytke päälle Pudota hylätty lootti ruumiista kohdassa Yleiset.
Some changes take effect the next time the game starts.	Jotkin muutokset astuvat voimaan seuraavalla kerralla, kun peli käynnistyy.
Stop pets looting bodies	Estä lemmikkejä ryöstämästä ruumiita
Stop pets picking up loose items	Estä lemmikkejä poimimasta irtoesineitä
Storage	Varasto
Storage keys	Varastonäppäimet
Storage sizes	Varastokoot
Store loot	Varastoi lootti
Store what your pet loots from bodies	Varastoi se, minkä lemmikkisi ryöstää ruumiista
Storing loot needs a newer Private Storage Master.	Lootin varastointi vaatii uudemman Private Storage Masterin.
the size dump	kokotuloste
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Peli kysyy ennen kuin lemmikki ottaa maassa makaavan esineen, ja tämä vastaa ei. Lemmikki kävelee sen ohi eikä mitään tarvitse poistaa jälkikäteen. Kysyykö palkkasoturi samaa kysymystä, ei ole testattu.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Peli kysyy erikseen ennen kuin lemmikki ryöstää ruumiin, ja tämä vastaa ei. Kytke toinen näistä kahdesta päälle ja toinen ei, jos haluat lemmikin riisuvan ruumiita mutta ei poimivan irtoesineitä, tai päinvastoin.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Näppäinsidonnat tuotiin tiedostosta PrivateStorageAnywhere.ini ensimmäisellä käynnistyskerralla.
the key-block toggle	näppäinesto-kytkin
The list is full at %d items.	Lista on täynnä %d esineen kohdalla.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Kokonaismäärä, mukaan lukien ostetut laajennukset ja tarinan paikat. Vasen pää säilyttää pelin koon.
This chest holds one of each collectible, so its slots cannot be changed.	Tämä arkku sisältää yhden jokaista keräilyesinettä, joten sen paikkoja ei voi muuttaa.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Tämä välilehti tarvitsee Private Storage Masterin version, joka vastaa tätä Master Looterin versiota.
Turn that on and off	Kytke se päälle ja pois
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Kun Ctrl tai mikä tahansa muunnosnäppäin, jota varastonäppäimesi käyttävät, on pohjassa, muut näppäimet pidätetään peliltä, joten varastonäppäimeltä lipsahtaminen ei laukaise kykyä. Liikkuminen, välilyönti, Tab, Enter, Escape, Alt+F4 ja näppäimet, joita peli käyttää Ctrl:n kanssa (Z, Shift, +), pääsevät silti läpi.
working	toimii
Write the size dump to the log	Kirjoita kokotuloste lokiin
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Kirjoittaa jokaisen näppäimen painalluksen, avaamisen ja sulkemisen tiedostoon PrivateStorageMaster.log, ja säilyttää viimeiset 24 pelikertaa. Pois päältä loki säilyttää käynnistysyhteenvedon, virheet ja kokotulosteen, sekä viimeiset kaksi pelikertaa.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Kirjoittaa jokaisen näppäimen painalluksen, avaamisen ja sulkemisen tiedostoon PrivateStorageMaster.log. Pois päältä loki säilyttää käynnistysyhteenvedon, virheet ja kokotulosteen.
your own camp farm (off)	oma leirisi maatila (pois päältä)
%d of %d, the rest do not stack	%d/%d, loput eivät pinoudu.
%s %s for game build %s	%s %s, pelin versio %s
%s refused the change: %s	%s kieltäytyi muutoksesta: %s
Empty your big stacks before turning this down or off.	Tyhjennä suuret pinosi ennen kuin pienennät tätä tai kytket sen pois.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Jokaisen pinoutuvan esineen raja kerrotaan pelin käynnistyessä. Asetus tallennetaan kyseisen modin omaan ini-tiedostoon heti, kun valitset sen.
Item stacks: %s	Esinepinot: %s
Items raised	Korotetut esineet
Largest limit	Suurin raja
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Kertoimen pienentäminen ei kutista jo koottua pinoa. Paikka, jossa on enemmän kuin peli nyt sallii, säilyttää sisältönsä, kunnes otat siitä jotain pois, ja kaikki uuden rajan yli voi kadota.
Off	Pois
off	pois
Raising stack limits	Pinorajojen korottaminen
Restart the game for the multiplier you picked to take effect.	Käynnistä peli uudelleen, jotta valitsemasi kerroin astuu voimaan.
Saved	Tallennettu
Stack multiplier	Pinokerroin
Stacks	Pinot
stacks are the size the game ships	pinot ovat pelin oletuskokoisia
That mod did not hand over its stack settings.	Se modi ei luovuttanut pino-asetuksiaan.
This launch	Tämä käynnistys
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Tämä välilehti tarvitsee Stack Masterin tai Private Storage Masterin version, joka korottaa pinorajoja.
Why	Miksi
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Useimpia asioita peli antaa pinota 100 kappaletta, joten x10:llä niitä mahtuu 1000. Se koskee kaikkea, mikä pinoutuu, eikä koskaan sitä, mikä ei, kuten aseita ja panssareita, ja pelin syvimmät pinot pysähtyvät rajaan, jonka se modi ilmoittaa yllä. Kerroin luetaan pelin käynnistyessä, joten peli täytyy käynnistää uudelleen, ennen kuin se näkyy.
Some items reached the largest stack that mod allows, %d, and stopped there.	Jotkin esineet saavuttivat suurimman pinon, jonka se modi sallii, %d, ja pysähtyivät siihen.
x%d, by %s	x%d, tekijänä %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s väistyi toisen modin tieltä, joten sen muuttaminen täällä ei tekisi mitään. Se modi ei ole sellainen, johon tämä valikko yltää, joten aseta kerroin suoraan siihen.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s ei ole modi, joka asettaa pinokoot, joten sen muuttaminen täällä ei tekisi mitään. Aseta kerroin sen sijaan kohteessa %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Suurempi kerroin tulee voimaan heti, kun se valitaan. Pienempi odottaa seuraavaan käynnistykseen asti.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	Useimpia asioita peli antaa pinota 100 kappaletta, joten x10:llä niitä mahtuu 1000. Se koskee kaikkea, mikä pinoutuu, eikä koskaan sitä, mikä ei, kuten aseita ja panssareita, ja pelin syvimmät pinot pysähtyvät rajaan, jonka se modi ilmoittaa yllä. Suuremman kertoimen valinta tulee voimaan heti; pienempi odottaa seuraavaan käynnistykseen asti, koska jo kasattua pinoa ei voi pienentää sen sisällön alle.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Odottaa uudelleenkäynnistystä, tai valitse se uudelleen pelimaailmassa, niin se tulee voimaan heti.
you dropped this	pudotit tämän itse
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Olennon, jolle peli ei anna omaa esinettä, kuten tulikärpäsyhdyskunnan, ratkaisevat tämä kytkin ja Luokat-välilehti, jolla tulikärpäsyhdyskunta lasketaan luokkaan insect. Mikään tunniste- tai esinesääntö ei ulotu siihen, koska ei ole esinettä, johon sääntöä voisi verrata.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Private Storage Master 1.1.4:stä lähtien listalla on oletuksena myös Arrow, joten takaisin poimimasi nuolet jäävät viiniin.
a placed Field Pot or Bonfire	paikalleen asetettu kenttäpata tai nuotio
