# ข้อความเมนูของ Master Looter ภาษาไทย
# นี่คือคำแปลด้วยเครื่อง ยังไม่มี
# เจ้าของภาษาตรวจทานเลย ยินดีรับคำแก้ไขที่ GitHub
# (github.com/shin2344234/master-looter) หรือที่หน้า Nexus ของม็อด
#
# หนึ่งบรรทัดต่อหนึ่งข้อความ: ภาษาอังกฤษต้นฉบับ ตามด้วยแท็บ แล้วตามด้วยคำแปล
# บรรทัดที่ขึ้นต้นด้วย # จะถูกข้าม \n หมายถึงการขึ้นบรรทัดใหม่ และบรรทัดที่ไม่มี
# คำแปลต่อจากแท็บจะยังคงแสดงเป็นภาษาอังกฤษ ซึ่งใช้งานได้ตามปกติแม้แปลไม่ครบ
# ต้องคงสัญลักษณ์ %d, %s, %.1f และอื่น ๆ ไว้ตามลำดับเดิมเสมอ เพราะค่าตัวเลขและ
# ชื่อจะถูกแทนที่ลงไปตอนเกมทำงาน บรรทัดที่เปลี่ยนสัญลักษณ์เหล่านี้จะถูกข้ามไป
#
# ไฟล์นี้เมื่อวางไว้ชื่อ MasterLooter.th.txt ข้างปลั๊กอิน จะแทนที่ชุดคำแปลที่
# มากับตัวปลั๊กอินโดยอัตโนมัติ

  bag full	  กระเป๋าเต็ม
Show a brief notice when auto-loot is toggled	แสดงข้อความสั้น ๆ เมื่อสลับลูทอัตโนมัติ
Showing current overrides. Type to search all %d items.	กำลังแสดงการแทนที่ปัจจุบัน พิมพ์เพื่อค้นหาไอเทมทั้งหมด %d รายการ
Showing the nearest %d of %d. The rest are further away.	กำลังแสดง %d รายการที่ใกล้ที่สุดจากทั้งหมด %d รายการ ที่เหลืออยู่ไกลกว่านี้
Skip all	ข้ามทั้งหมด
Skip quest equipment	ข้ามอุปกรณ์เควส
Quest equipment	อุปกรณ์เควส
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	อุปกรณ์ที่เกมทำเครื่องหมายว่าสำคัญและไม่มีร้านไหนรับซื้อ ครอบคลุมทุกประเภท ปิดไว้แล้วเครื่องมือเควสจะถูกทิ้งไว้ที่เดิม
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	เครื่องมือและอุปกรณ์ที่เกมทำเครื่องหมายว่าสำคัญและไม่มีร้านไหนรับซื้อ ได้แก่ เครื่องพ่นปุ๋ยและเครื่องพ่นน้ำมันหล่อลื่น หอกคุคุ แหวนและสร้อยคอลาดตระเวน รวม 180 ชิ้น เกือบทั้งหมดมีค่าเพียงเหรียญทองแดงเดียว และการเก็บขึ้นมาจากพื้นเร็วเกินไปอาจทำให้ขั้นตอนของเควสสลับลำดับ\n\nระบบอ่านเครื่องหมายทั้งสองอย่างร่วมกัน ของที่มีเพียงอย่างเดียวจึงไม่เข้าข่าย เครื่องพ่นภาคสนามขายไม่ได้แต่ไม่ได้ทำเครื่องหมายว่าสำคัญ จึงยังถูกเก็บอยู่
Skip items shops refuse to buy	ข้ามไอเทมที่ร้านค้าไม่รับซื้อ
Skip quest items	ข้ามไอเทมเควสต์
skip: %s	ข้าม: %s
Small animals	สัตว์ขนาดเล็ก
small animals off	สัตว์ขนาดเล็ก: ปิด
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	วัตถุในโลกเกมบางชิ้นไม่มีชื่อไอเทมที่อ่านได้ เปิด: เก็บไปเลย ปิด: เว้นสิ่งที่ระบุไม่ได้ทั้งหมดไว้\n\nข้อนี้ใช้กับไอเทมที่วางอยู่เท่านั้น ของที่หยิบได้ซึ่งตารางโหนดรับรองไว้ เช่น กองเหรียญหรือกองแท่งทอง จะถูกเก็บไม่ว่าตั้งค่านี้ไว้อย่างไร เพราะการที่ตารางระบุชื่อ prefab ไว้คือสิ่งที่บอกว่ามันคืออะไร ส่วนไอเทมข้างในจะมีชื่อหรือไม่เป็นคนละเรื่องกัน สวิตช์หมวดหมู่ของมันเองยังคงมีผลอยู่
someone is wearing this; taking it would copy it	มีคนสวมใส่สิ่งนี้อยู่ การหยิบมาจะทำให้เกิดของซ้ำ
stack at one point (storage contents)	กองรวมที่จุดเดียว (เนื้อหาคลังเก็บ)
Status	สถานะ
Stop pets looting	ห้ามสัตว์เลี้ยงเก็บของ
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	โต๊ะ, เก้าอี้, เตียง, พรม, โคมไฟ, เทียน, ภาพวาด, หม้อ และของที่เหลือในห้องที่ตกแต่งไว้ ไม่ว่าจะเก็บจากพื้นหรือเก็บจากจุดโต้ตอบของมันเอง ส่วนใหญ่มีค่าแค่หนึ่งหรือสองทองแดง แต่พรมและเตียงหรูอาจมีมูลค่าถึงหลักพัน จึงควรเปิดสวิตช์นี้ก่อนตกแต่งบ้าน หีบและสิ่งอื่นที่เก็บของไว้ข้างในจะขึ้นกับสวิตช์กล่องแทน ปิดไว้เป็นค่าเริ่มต้น
Tag	แท็ก
Tags	แท็ก
tags, any of which can be set to never in the Tags tab:	แท็กใดก็ได้ ที่สามารถตั้งเป็นไม่เลยได้ในแท็บแท็ก:
Take goods that belong to someone	เก็บของที่มีเจ้าของ
Take goods that belong to someone, on / off	เก็บของที่มีเจ้าของ เปิด / ปิด
Take items the database cannot name	เก็บไอเทมที่ฐานข้อมูลระบุชื่อไม่ได้
Pets and companions follow the filters	สัตว์เลี้ยงและเพื่อนร่วมทางทำตามตัวกรอง
Take owned goods on / off	เก็บของมีเจ้าของ เปิด / ปิด
take this one by hand, looting it can lock the quest	หยิบชิ้นนี้ด้วยมือ การเก็บอัตโนมัติอาจทำให้เควสต์ค้าง
takes effect next launch	มีผลตอนเปิดเกมครั้งถัดไป
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	เอนจินจะสแกนรอบตัวคุณและเก็บของตามที่กฎอนุญาต ปิด หมายความว่าจะไม่มีอะไรถูกเก็บอัตโนมัติเลย ปุ่มเก็บรวดยังใช้งานได้อยู่
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	เกมจะเติมข้อมูลของจุดเก็บของก็ต่อเมื่อคิดว่าคุณเอื้อมถึงมันได้ การกระตุ้นคือการขอให้เกมทำแบบนั้นจากระยะไกล ซึ่งเป็นสิ่งเดียวกับที่ทำให้เก็บเกี่ยวสายแร่ได้ตรงที่มันอยู่ สายแร่ใช้เวลาหลายวินาทีในการตอบสนอง ขณะที่พุ่มไม้ใช้เวลาแค่เสี้ยวเดียว
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	เกมจะลบวัตถุที่ถูกเก็บไปหน่วงเวลาหนึ่ง สิ่งนี้ป้องกันไม่ให้วัตถุเดียวกันถูกส่งซ้ำสองครั้งระหว่างที่มันกำลังจางหาย
The game treats this as stealing and will put a bounty on you.	เกมจะถือว่านี่คือการขโมยและจะตั้งค่าหัวรางวัลให้คุณ
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	มอดจะไม่มีวันเหวี่ยงอีเต้าเอง มันขับเคลื่อนลำดับการแตกของสายแร่เอง และเกมจะเดินแถวของหล่นเพียงแถวเดียวสำหรับกรณีนี้ ในขณะที่การเหวี่ยงจริงเดินสองแถว จึงทำให้โบนัสของเครื่องมือขุดของคุณไม่จ่ายอะไรเลยเมื่อมอดเป็นคนขุด สิ่งนี้เพิ่มแร่ที่ขาดหายไปกลับคืนผ่านเส้นทางการหล่นเดียวกับที่เกมใช้ จึงเป็นแร่จริงที่กระจายอยู่บนพื้น ไม่ใช่ไอเทมที่ถูกก็อปปี้เข้ากระเป๋า ตั้งค่าให้เท่ากับสิ่งที่เครื่องมือของคุณจ่ายเมื่อขุดด้วยมือลบหนึ่ง: สว่านที่ให้สามชิ้นเมื่อขุดด้วยมือ ต้องการค่า 2 ที่นี่ มันใช้ได้เฉพาะกับสายแร่ที่มอดนี้ทุบเท่านั้น การขุดด้วยมือจึงไม่ได้รับผลกระทบและทั้งสองอย่างไม่สามารถซ้อนกันได้
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	เซสชันนี้: เก็บแล้ว %ld ชิ้น, เก็บเกี่ยวแล้ว %ld ชิ้น, จับได้แล้ว %ld ตัว, ซากสัตว์ %ld ตัว
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	ไม้ซุงและกิ่งไม้บนพื้น รวมถึงจุดเก็บของที่ให้ของเหล่านั้น สิ่งที่ส่วนใหญ่ของมันมีอยู่ข้างในนั้นอ่านมาจากข้อมูลของตัวเกมเอง ดังนั้นการปฏิเสธประเภท wood ในแท็บประเภทจะทำให้ต้นไม้ยังคงยืนอยู่ และไม้ที่อยู่ใต้ต้นก็เช่นกัน ในที่ที่เกมไม่ได้บอกอะไรเกี่ยวกับจุดเก็บของเลย สวิตช์นี้คือการควบคุมเพียงอย่างเดียวที่มันมี
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	หากต้องการเว้นสัตว์บางชนิดไว้ ให้ตั้งค่าสิ่งที่มันกลายเป็นเป็นไม่เลยในแท็บไอเทม: Item_Tench, Item_Ricefish, Item_Iguana มอดอ่านแถวของสิ่งมีชีวิตนั้นในตารางตัวละครของเกมเอง จึงรู้ว่ากำลังเจอสัตว์ชนิดใดก่อนจะจับมันด้วยซ้ำ สัตว์แปลก ๆ บางชนิดยังคงต้องเดาจากชื่อโมเดลของมัน และถูกจับตามหมวดหมู่เท่านั้น
Treasure and keepsakes	สมบัติและของที่ระลึก
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	กดสองปุ่มพร้อมกันเสมอ ห้ามปุ่มเดียว เพราะทุกปุ่มเดี่ยวมีหน้าที่ของตัวเองอยู่แล้วในเกมนี้ มอดอ่านค่าจากเกมแพดเท่านั้น เกมจึงยังคงเห็นทั้งสองปุ่มอยู่ เลือกคู่ปุ่มที่ไม่ทำอะไรเมื่อกดพร้อมกัน เช่นปุ่มบ่าทั้งสองข้าง หรือ Back กับปุ่มหน้าใดปุ่มหนึ่ง
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	สองสิ่งที่บรรจุของ อย่างแรกคือหีบ ลัง และจุดชุดของรางวัลที่คุณเปิด ซึ่งไม่ค่อยตอบสนองต่อเหตุการณ์เก็บของ อย่างที่สองคือสิ่งใดก็ตามบนพื้นที่มีหน้าที่บรรจุอะไรบางอย่าง ได้แก่ ขวด โหล หม้อดิน ถุงน้ำ แจกัน และกล่องเก็บของที่คุณวางเอง ปิดไว้เป็นค่าเริ่มต้น และปิดหมายความว่าชั้นวางเครื่องปั้นดินเผาทั้งชั้นจะถูกทิ้งไว้ที่เดิม กล่องรางวัลไม่รวมอยู่ในนี้ เพราะกล่องเหล่านั้นเป็นของรางวัลในตัวเอง และอยู่ภายใต้สมบัติและของที่ระลึกในแท็บประเภท\n\nสิ่งที่ออกมาจากหีบจะไม่ถูกนำไปตรวจกับตัวกรองของคุณ เกมจะส่งของข้างในมาให้ทีเดียวทั้งหมด และม็อดไม่เคยเห็นมันในฐานะวัตถุแยกชิ้น ดังนั้นสำหรับของเหล่านั้น สวิตช์นี้จึงเป็นแบบเอาทั้งหมดหรือไม่เอาเลย
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	ยังไม่ได้ผูกจนกว่าคุณจะตั้งค่า เกมเรียกการเก็บของมีเจ้าของว่าการขโมยและจะตั้งค่าหัวรางวัลให้คุณ สวิตช์นี้จึงเหมาะกับการเปิดชั่วครู่แล้วปิดกลับ ซึ่งไม่ค่อยเข้ากับรูปแบบเมนูนัก
Unidentified nodes	จุดเก็บของที่ยังไม่ระบุชนิด
unidentified nodes off	จุดเก็บของที่ยังไม่ระบุชนิด: ปิด
unidentified: could be a fish, a flying insect or a bird	ไม่ระบุชนิด: อาจเป็นปลา, แมลงบิน หรือ นก
unidentified: could be an insect or a small animal	ไม่ระบุชนิด: อาจเป็นแมลงหรือสัตว์ขนาดเล็ก
unnamed item	ไอเทมไม่มีชื่อ
Unsellable items	ไอเทมขายไม่ได้
Use this language	ใช้ภาษานี้
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	ใช้การตรวจสอบเก็บหรือขโมยของเกมเอง ของที่มีเจ้าของจะถูกข้ามไปจนกว่าจะถูกสังเกตเห็นหนึ่งครั้ง
using the player's own field	ใช้ข้อมูลฟิลด์ของผู้เล่นเอง
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	ผัก, ผลไม้ และธัญพืช: มันเทศ, ข้าวบาร์เลย์, กะหล่ำปลี, แอปเปิล, องุ่น และอาหารเพาะปลูกหรือเก็บป่าอื่น ๆ ไม่ว่าจะอยู่บนต้นหรือวางอยู่ตามพื้น สิ่งเหล่านี้เคยขึ้นกับสวิตช์ไอเทมบนพื้น จึงเป็นเหตุผลที่ปิดสวิตช์พืชแล้วทุ่งนายังว่างเปล่าอยู่ดี: จาก 72 ช่องเก็บเกี่ยวในเกม 44 ช่องเป็นพืชผลทางการเกษตร มีเพียง 28 ช่องเท่านั้นที่เป็นพืช
Verbose log	บันทึกละเอียด
Verdict	ผลตัดสิน
waiting	กำลังรอ
waiting for the game to check an item	กำลังรอเกมตรวจสอบไอเทม
waiting for the game to check ownership once	กำลังรอเกมตรวจสอบความเป็นเจ้าของครั้งแรก
Waiting for the world to load.	กำลังรอโลกเกมโหลด
Watch	เฝ้าดู
Watch mode	โหมดเฝ้าดู
Watch mode (menu stays up, you keep playing)	โหมดเฝ้าดู (เมนูค้างอยู่ คุณเล่นต่อได้)
Watch mode: the game has your controls. %s to interact, %s to close.	โหมดเฝ้าดู: เกมควบคุมอยู่ กด %s เพื่อโต้ตอบ กด %s เพื่อปิด
Weapons and armor	อาวุธและชุดเกราะ
What enters the working list at all. The ranges below are clamped to it.	สิ่งที่จะเข้ารายการทำงานเลย ระยะด้านล่างถูกจำกัดไว้ด้วยค่านี้
What to collect	สิ่งที่จะเก็บ
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	หมุนด้ามให้คุณและรับสิ่งที่ได้ขึ้นมา โดยขับเคลื่อนการเปลี่ยนสถานะเดียวกับที่เกมทำเมื่อคุณกดปุ่มโต้ตอบค้างไว้ บ่อน้ำไม่สร้างเหตุการณ์ลูทใด ๆ เลย นี่จึงเป็นการเล่นซ้ำลำดับที่จับไว้ได้ ไม่ใช่การขอสิ่งใดจากเกม ปิดไว้เป็นค่าเริ่มต้น เพราะบ่อน้ำที่ทำผิดพลาดคือบ่อน้ำที่เหลือทิ้งไว้โดยไม่มีถัง
Wood	ไม้
wood off	ไม้: ปิด
World (actor manager)	โลกเกม (actor manager)
worn by someone	สวมใส่โดยผู้อื่น
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	อุปกรณ์สวมใส่ที่ศัตรูทำหล่นตอนตาย ราคาถูกแต่หนัก ทว่ามีเยอะ
worn or carried by you	สวมใส่หรือถืออยู่โดยคุณ
worth %lld copper	มูลค่า %lld ทองแดง
Wrap the swapchain	ห่อ swapchain
Write translation template	เขียนเทมเพลตคำแปล
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	เขียน MasterLooter.template.txt ไว้ข้างปลั๊กอิน โดยมีทุกบรรทัดที่เมนูแสดงในเซสชันนี้ ควรเปิดทุกแท็บก่อน เพราะบรรทัดจะปรากฏก็ต่อเมื่อถูกวาดแล้วเท่านั้น แปลฝั่งขวาของแต่ละรายการ บันทึกเป็น MasterLooter.<language>.txt แล้วใส่ชื่อภาษานั้นที่นี่
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	เขียนการตั้งค่าปัจจุบันลงใน \"%s\" โหลดมันขึ้นมา แก้ไขตามต้องการ แล้วบันทึกกลับ
Writes the settings as they are now, named %s.	เขียนการตั้งค่าปัจจุบัน ตั้งชื่อว่า %s
yes	ใช่
your rules refuse all ore, jewels and stone	กฎของคุณปฏิเสธทั้งแร่ อัญมณี และหิน
your rules refuse all stone	กฎของคุณปฏิเสธหินทั้งหมด
your rules refuse everything this node holds	กฎของคุณปฏิเสธทุกอย่างที่จุดเก็บของนี้มีอยู่
part of a mechanism, not loose loot	เป็นส่วนหนึ่งของกลไก ไม่ใช่ของที่ตกอยู่
yours, just out of your hand	ของคุณเอง เพิ่งหลุดจากมือไป
%d last time	%d ครั้งก่อนหน้า
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	ข้อมูลสำรองจะถูกเขียนเมื่อเกมเริ่มทำงานและการตั้งค่าเปลี่ยนไปจากครั้งก่อน โดยเก็บไว้สิบสองชุดล่าสุด ในโฟลเดอร์ MasterLooter.backups ข้างปลั๊กอิน พรีเซ็ตอยู่ใน MasterLooter.presets คัดลอกโฟลเดอร์ใดโฟลเดอร์หนึ่งไว้เพื่อรักษาไว้ข้ามการติดตั้งใหม่
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	ปุ่มหรือคอมโบคอนโทรลเลอร์จะเปิดคลังนั้นได้จากทุกที่ และกดซ้ำเพื่อปิด ปุ่มของคลังอื่นจะสลับไปที่คลังนั้นทันที
a Master Looter key	ปุ่มของ Master Looter
a Master Looter shortcut	ทางลัดของ Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	ไม่นานหลังจากไอเทมมาถึงกระเป๋า Private Storage Master จะย้ายมันไปยังคลังแรกด้านล่างที่รับมันได้ ซึ่งเป็นการย้ายแบบเดียวกับที่คุณจะทำเองที่คลัง มีเพียงของที่ Master Looter เก็บมาเท่านั้นที่จะถูกย้าย ไม่ใช่ของที่คุณเก็บด้วยมือ และจากศพหรือซากสัตว์จะย้ายเฉพาะสิ่งที่กฎไอเทมของคุณอนุญาตเท่านั้น จะไม่มีการย้ายใด ๆ ขณะเปิดคลังอยู่หรือขณะอยู่นอกโหมดเล่นอิสระ กุญแจ เอกสาร ไอเทมเควสต์ และสิ่งใดก็ตามในรายการห้ามย้ายจะอยู่กับที่เสมอ และสิ่งที่ไม่มีคลังใดรับจะยังคงอยู่ในกระเป๋า
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	สัตว์เลี้ยงจะเก็บอะไรก็ได้ตามใจมัน และตัวเกมไม่มีสวิตช์สำหรับเรื่องนี้เลย เมื่อเปิด: สัตว์เลี้ยงจะถูกบอกว่าไม่ก่อนที่มันจะเอื้อมไปหยิบไอเทมที่ตกอยู่บนพื้นซึ่งกฎไอเทม แท็ก ประเภท หรือขั้นต่ำของมูลค่าที่คุณตั้งไว้ปฏิเสธ และสิ่งที่มันเก็บจากศพซึ่งถูกกฎไอเทม แท็ก หรือประเภทปฏิเสธจะถูกลบออกจากกระเป๋าทันทีที่เข้ามา พร้อมข้อความบอกว่าอะไรหายไป ไอเทมเควสต์และไอเทมที่ถูกป้องกันจะไม่ถูกลบเด็ดขาด และของที่อยู่ในกระเป๋าอยู่แล้วจะไม่ถูกแตะต้อง
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	ของที่คุณเก็บเองจะไม่ถูกลบเลย ไม่ว่าจะมีสัตว์เลี้ยงหรือทหารรับจ้างออกมาด้วยหรือไม่
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	สัตว์เลี้ยงหรือเพื่อนร่วมทางที่เก็บของจากศพจะใส่สิ่งที่พบลงในกระเป๋าของคุณ เมื่อเปิด ไอเทมเหล่านั้นจะถูกย้ายไปยังคลังแบบเดียวกับของที่ Master Looter เก็บเอง ตราบใดที่กฎไอเทมของคุณอนุญาต ไอเทมที่ตกอยู่บนพื้นซึ่งสัตว์เลี้ยงเก็บนั้น เกมจะรายงานว่าเป็นของที่คุณเก็บเอง จึงยังคงอยู่ในกระเป๋า
a seed planted in your camp farm	เมล็ดพันธุ์ที่ปลูกไว้ในฟาร์มแคมป์ของคุณ
Add	เพิ่ม
add an item: type 3+ letters of its name	เพิ่มไอเทม: พิมพ์ชื่ออย่างน้อย 3 ตัวอักษรของมัน
also %s	และ %s ด้วย
an ore vein, left to your pickaxe while Mine ore veins for you is off	สายแร่ ที่ปล่อยให้เป็นหน้าที่ของอีเต้าคุณขณะที่ปิดสวิตช์ทุบสายแร่ให้คุณ
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	แสดงได้มากสุดหนึ่งบรรทัดต่อวินาที ระบุชื่อคลังแต่ละแห่งและจำนวนที่ถูกใส่เข้าไป ปิด จะไม่แสดงอะไรเลยและบันทึกลงในล็อกเท่านั้น
Click again to reset	คลิกอีกครั้งเพื่อรีเซ็ต
Detailed log	บันทึกละเอียด
Drop refused loot from bodies	ทำของที่ถูกปฏิเสธจากศพหล่นคืนพื้น
Each item goes to the first storage in this list that takes it.	แต่ละไอเทมจะไปยังคลังแรกในรายการนี้ที่รับมันได้
Empty: auto-store may move anything a storage takes.	ว่างเปล่า: การเก็บอัตโนมัติสามารถย้ายอะไรก็ได้ที่คลังรับได้
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	ขนาดของคลังทุกแห่งและจำนวนช่องที่ใช้ไป จะถูกเขียนลงใน PrivateStorageMaster.log แนบไฟล์นี้ไปกับรายงานเรื่องขนาด
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	สำหรับมอดที่ปรับความจุด้วย JSON: ขนาดคลังด้านล่างจะถูกเพิกเฉย และเกมหรือมอดนั้นจะเป็นผู้ตัดสินใจแทน
game size (%d)	ขนาดของเกม (%d)
Game window	หน้าต่างเกม
hold a button, then press the one that opens it (Escape cancels)	กดปุ่มค้างไว้ แล้วกดปุ่มที่ใช้เปิดมัน (Escape เพื่อยกเลิก)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	กดปุ่มอย่างน้อยหนึ่งปุ่มค้างไว้ แล้วกดปุ่มที่ใช้เปิดคลัง ปุ่มที่กดจะถูกซ่อนจากเกมในขณะที่ปุ่มอื่นยังถูกกดค้างอยู่
Hold other keys back while Ctrl is down	กันปุ่มอื่นไว้ขณะกด Ctrl ค้าง
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	จำนวนช่องคลังส่วนตัวที่ได้มาจากส่วนขยายที่คุณซื้อและจากเนื้อเรื่อง ยอดรวมของแถบเลื่อนนับรวมช่องเหล่านี้ด้วย ดังนั้นขนาดพื้นฐานคือยอดรวมลบด้วยจำนวนนี้
item %u	ไอเทม %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	ไอเทมที่การเก็บอัตโนมัติจะปล่อยไว้ในกระเป๋าเสมอ ค่าเริ่มต้นคือสกุลเงินทุกชนิด: เงิน, ถุงเหรียญ, แท่งทอง, กองทุนและเสบียงแคมป์, โทเคน และพันธบัตร รีเซ็ตเป็นค่าเริ่มต้นด้านล่างเพื่อนำรายการนั้นกลับมา
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	การตั้งค่าของมันอยู่ใน PrivateStorageMaster.ini ข้างปลั๊กอิน การเปลี่ยนแปลงที่นี่จะถูกบันทึกไว้ที่นั่นทันที
Last error	ข้อผิดพลาดล่าสุด
Leave every size alone	ไม่แตะต้องขนาดใด ๆ เลย
left as the game has them	ปล่อยไว้ตามที่เกมกำหนด
load a save to see it	โหลดเซฟเพื่อดู
more matches; type more of the name	ยังมีรายการที่ตรงกันอีก พิมพ์ชื่อให้มากขึ้น
Never move	ไม่ย้ายเลย
no item by that name that is not listed already	ไม่มีไอเทมชื่อนั้นที่ยังไม่อยู่ในรายการ
none seen	ยังไม่พบเลย
not found, bound keys also reach the game	ไม่พบ ปุ่มที่ผูกไว้จะส่งผลถึงเกมด้วย
Not on this game version: Private Storage Master could not find the move it needs.	ไม่รองรับเกมเวอร์ชันนี้: Private Storage Master หาฟังก์ชันการย้ายที่ต้องใช้ไม่พบ
nothing	ไม่มีอะไร
now %d of %d used	ตอนนี้ใช้ไป %d จาก %d
off, see the error below	ปิด ดูข้อผิดพลาดด้านล่าง
off, the mod is disabled	ปิด มอดถูกปิดใช้งาน
on XInput slot %d	บนช่อง XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	เปิด จะย้ายเฉพาะจำนวนที่เพิ่งได้มาเท่านั้น ดังนั้นอาหารและยาที่คุณพกอยู่แล้วจะยังอยู่ในกระเป๋า ปิด จะย้ายทั้งกองไป
Only move what was picked up	ย้ายเฉพาะของที่เพิ่งเก็บมา
Open now	เปิดตอนนี้
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	กดปุ่ม พร้อม Ctrl, Shift หรือ Alt ได้ถ้าต้องการ (Escape เพื่อยกเลิก)
Private Storage expansions	ส่วนขยายคลังส่วนตัว
Private Storage Master %s for game build %s	Private Storage Master %s สำหรับเกมบิลด์ %s
Private Storage Master did not hand over its defaults	Private Storage Master ไม่ได้ส่งมอบค่าเริ่มต้นของมัน
Private Storage Master did not hand over its store loot settings.	Private Storage Master ไม่ได้ส่งมอบการตั้งค่าการเก็บของลงคลัง
Private Storage Master on	Private Storage Master เปิดอยู่
