# Текст на менюто на Master Looter на български език. Това е машинен превод.
# Никой носител на езика все още не го е проверявал; поправки са добре дошли в
# GitHub (github.com/shin2344234/master-looter) или на страницата на мода в
# Nexus.
#
# По един ред на текст: английският оригинал, табулация, после превода.
# Редове, започващи с #, се пренебрегват. \n означава нов ред, а ред без
# превод след табулацията остава на английски, така че недовършен файл
# си е напълно използваем.
#
# Всеки заместител като %d, %s или %.1f трябва да остане точно както е
# написан и в същия ред: тези места се запълват с числа и имена по време
# на изпълнение, а ред, който ги променя, се пренебрегва, за да не се
# отпечата грешна стойност.
#
# Запази файла като MasterLooter.bg.txt до MasterLooter.asi, за да замени
# вградената в плъгина версия.

  bag full	  чантата е пълна
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Зеленчуци, плодове и зърно: сладък картоф, ечемик, зеле, ябълки, грозде и останалата отгледана или набрана храна, на растението или лежаща разпръсната. Преди те отговаряха на Предмети на земята, затова изключването на Растения все пак изпразваше поле: от 72-те точки за бране в играта 44 са култури и само 28 са растения.
Verbose log	Подробен дневник
Verdict	Присъда
waiting	изчаква
waiting for the game to check an item	чака играта да провери предмет
waiting for the game to check ownership once	чака играта да провери собствеността веднъж
Waiting for the world to load.	Изчаква се светът да се зареди.
Watch	Наблюдение
Watch mode	Режим на наблюдение
Watch mode (menu stays up, you keep playing)	Режим на наблюдение (менюто остава отворено, а ти продължаваш да играеш)
Watch mode: the game has your controls. %s to interact, %s to close.	Режим на наблюдение: играта държи контролите ти. %s за взаимодействие, %s за затваряне.
Weapons and armor	Оръжия и брони
What enters the working list at all. The ranges below are clamped to it.	Какво изобщо влиза в работния списък. Обхватите по-долу са ограничени спрямо него.
What to collect	Какво да се събира
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Върти дръжката вместо теб и взима каквото излезе, като задейства същите преходи на състояние, които играта задейства, когато задържиш бутона за взаимодействие. Кладенец изобщо не вдига събитие за лут, затова това е повторение на заснета последователност, а не молба към играта за каквото и да било. Изключено по подразбиране, защото сгрешен кладенец е кладенец, оставен без кофата си.
Wood	Дърво
wood off	дървото изключено
World (actor manager)	Свят (мениджър на актьори)
worn by someone	носено от някого
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Носена екипировка, която враговете изпускат, докато умират. Евтина и тежка, но изобилна.
worn or carried by you	носено или пренасяно от теб
worth %lld copper	струва %lld мед
Wrap the swapchain	Обвий swapchain-а
Write translation template	Запиши шаблон за превод
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Записва MasterLooter.template.txt до плъгина, съдържащ всеки ред, който менюто е показало в тази сесия. Отвори всеки раздел първо, защото ред се появява едва след като е бил изчертан. Преведи дясната страна на всеки запис, запази го като MasterLooter.<language>.txt и посочи този език тук.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Записва настройките такива, каквито са сега, в \"%s\". Зареди го, промени каквото искаш, после го запази обратно.
Writes the settings as they are now, named %s.	Записва настройките такива, каквито са сега, под името %s.
yes	да
your rules refuse all ore, jewels and stone	правилата ти отхвърлят рудата, скъпоценните камъни и камъка
your rules refuse all stone	правилата ти отхвърлят всичкия камък
your rules refuse everything this node holds	правилата ти отхвърлят всичко, което съдържа тази точка
part of a mechanism, not loose loot	част от механизъм, а не разпиляна плячка
yours, just out of your hand	твое, току-що изпуснато от ръката ти
%d last time	%d последния път
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Резервно копие се записва, когато играта стартира с настройки, променени след последното, а последните дванайсет се пазят в MasterLooter.backups до плъгина. Пресетите се намират в MasterLooter.presets. Копирай която и да е от двете папки, за да я запазиш след преинсталиране.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Клавиш или комбинация на контролера отваря този склад отвсякъде и отново го затваря. Клавишът на друг склад превключва направо към него.
a Master Looter key	клавиш на Master Looter
a Master Looter shortcut	клавишна комбинация на Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Малко след като предмет попадне в чантата, Private Storage Master го премества в първия склад по-долу, който го приема, същото движение, което би направил ти на склада. Премества се само това, което Master Looter е вдигнал, никога това, което си вдигнал на ръка, а от тяло или труп само това, което правилата ти за предмети позволяват. Нищо не се премества, докато склад е отворен или извън свободна игра, ключове, документи, предмети за мисии и всичко от списъка Никога не премествай остават на място, а това, което никой склад не приема, остава в чантата.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Домашен любимец грабва каквото поиска, а играта няма превключвател за това. Включено: на любимеца се казва не, преди да посегне към свободен предмет на земята, който правилата ти за предмети, етикети, класове или праг на стойност отхвърлят, а каквото вземе от тяло, което правилата ти за предмети, етикети или класове отхвърлят, се изтрива от инвентара веднага щом попадне там, със съобщение какво е отпаднало. Предметите за мисии и защитените предмети не се изтриват никога, и нищо, което вече е в чантата ти, не се докосва.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Нищо, което вдигнеш сам, никога не се изтрива, независимо дали има навън любимец или наемник.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Домашен любимец или спътник, който плячкоса тяло, слага намереното в чантата ти. Включено, тези предмети отиват в склад по същия начин, както собствените вдигания на Master Looter, стига правилата ти за предмети да ги позволяват. Свободните предмети, които любимец вдига, играта отчита като твои собствени вдигания, затова те остават в чантата.
a seed planted in your camp farm	семе, засято на твоята лагерна ферма
Add	Добави
add an item: type 3+ letters of its name	добави предмет: напиши 3+ букви от името му
also %s	също %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	рудна жила, оставена на твоята кирка, докато Копай рудните жили вместо теб е изключено
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Най-много един ред в секунда, назоваващ всеки склад и колко са отишли в него. Изключено, нищо не се показва и отива само в дневника.
Click again to reset	Кликни отново, за да нулираш
Detailed log	Подробен дневник
Drop refused loot from bodies	Пускай отхвърления лут от телата
Each item goes to the first storage in this list that takes it.	Всеки предмет отива в първия склад от този списък, който го приема.
Empty: auto-store may move anything a storage takes.	Празно: автоматичното прибиране може да премества всичко, което склад приема.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Размерът на всеки склад и колко слота се използват, записани в PrivateStorageMaster.log. Приложи го към доклад за размер.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	За JSON модове за капацитет: размерите на складовете по-долу се пренебрегват и играта, или този мод, решава.
game size (%d)	размер на играта (%d)
Game window	Прозорец на играта
hold a button, then press the one that opens it (Escape cancels)	задръж бутон, после натисни този, който го отваря (Escape отменя)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Задръж един или повече бутона, после натисни този, който отваря склада. Натиснатият бутон се скрива от играта, докато другите са задържани.
Hold other keys back while Ctrl is down	Задържай другите клавиши, докато Ctrl е натиснат
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Колко слота за Личен склад идват от закупени разширения и от сюжета. Общият брой на плъзгача ги брои, затова базовият размер е общото минус тях.
item %u	предмет %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Предмети, които автоматичното прибиране винаги оставя в чантата. По подразбиране това е всяка валута: сребро, кесии с монети, златни кюлчета, лагерни средства и провизии, жетони и облигации. Нулирай до подразбиране по-долу връща този списък.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Настройките му живеят в PrivateStorageMaster.ini до плъгина. Промените тук се записват там веднага.
Last error	Последна грешка
Leave every size alone	Остави всички размери непроменени
left as the game has them	оставени такива, каквито ги има играта
load a save to see it	зареди запис, за да го видиш
more matches; type more of the name	още съвпадения; напиши повече от името
Never move	Никога не премествай
no item by that name that is not listed already	няма предмет с това име, който вече не е в списъка
none seen	не е видян нито един
not found, bound keys also reach the game	не е намерено, обвързаните клавиши стигат и до играта
Not on this game version: Private Storage Master could not find the move it needs.	Не и на тази версия на играта: Private Storage Master не успя да намери движението, от което се нуждае.
nothing	нищо
now %d of %d used	сега %d от %d използвани
off, see the error below	изключено, виж грешката по-долу
off, the mod is disabled	изключено, модът е деактивиран
on XInput slot %d	на XInput слот %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Включено, премества се само количеството, което току-що е пристигнало, затова храната и отварите, които вече си носил, остават в чантата. Изключено, отива целият куп.
Only move what was picked up	Премествай само вдигнатото
Open now	Отвори сега
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	натисни клавиш, по желание с Ctrl, Shift или Alt (Escape отменя)
Private Storage expansions	Разширения на Личния склад
Private Storage Master %s for game build %s	Private Storage Master %s за билд %s на играта
Private Storage Master did not hand over its defaults	Private Storage Master не предаде стойностите си по подразбиране
Private Storage Master did not hand over its store loot settings.	Private Storage Master не предаде настройките си за прибиране на лут.
Private Storage Master on	Private Storage Master включен
Private Storage Master refused the change	Private Storage Master отказа промяната
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi също е инсталиран. Двата променят едни и същи части от играта; премахни него.
Put what Master Looter picks up into storage	Слагай това, което Master Looter вдига, в склад
read from the save	прочетено от записа
Reload from the ini	Презареди от ini файла
Remove	Премахни
Reset to defaults	Нулирай до подразбиране
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Претърсването на тяло или труп предава всичко, което съдържа, а модът го вижда едва щом попадне в чантата. Включено: това от тях, което правилата ти за предмети, етикети, класове или праг на стойност отхвърлят, се поставя директно обратно на земята до теб, чрез същото изпускане, което играта използва, когато сам изпуснеш нещо, по една купчина на всеки куп. Това обхваща собствените претърсвания на мода и телата, които любимец или спътник плячкосва, чиито отхвърлени предмети също кацат до теб. Тяло, което претърсиш сам, запазва това, което е платило. Пари, документи, предмети за мисии и защитени предмети остават в чантата.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Претърсване на убитите от теб хора, веднъж на тяло. Животните са под Трупове. Това, което претърсването дава, пристига, преди филтрите ти да го видят, точно както при труп, а Пускай отхвърления лут от телата под Общи връща обратно това, което те отхвърлят.
set	зададено
set this launch	зададено при това стартиране
Settings file	Файл с настройки
Show a notice when loot is stored	Показвай съобщение, когато лут бъде прибран
Size changes take effect the next time the game starts.	Промените в размера влизат в сила следващия път, когато играта стартира.
Sizes	Размери
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Одиране на убитите от теб животни, веднъж на труп. Хората са под Тела. Модът никога не вижда какво дава одирането, преди да пристигне, затова филтрите ти не могат да спрат пристигането му. За да върнеш обратно на земята това, което те отхвърлят, включи Пускай отхвърления лут от телата под Общи.
Some changes take effect the next time the game starts.	Някои промени влизат в сила следващия път, когато играта стартира.
Stop pets looting bodies	Спри любимците да плячкосват тела
Stop pets picking up loose items	Спри любимците да вдигат свободни предмети
Storage	Склад
Storage keys	Клавиши за склад
Storage sizes	Размери на складовете
Store loot	Прибирай лут
Store what your pet loots from bodies	Прибирай това, което любимецът ти плячкосва от тела
Storing loot needs a newer Private Storage Master.	Прибирането на лут изисква по-нова версия на Private Storage Master.
the size dump	извадката за размера
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Играта пита, преди любимец да вземе предмет, лежащ на земята, и това отговаря не. Любимецът минава покрай него и после не се налага нищо да се изтрива. Дали наемник задава същия въпрос, не е проверено.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Играта пита отделно, преди любимец да плячкоса тяло, и това отговаря не. Включи едното от двете, но не другото, ако искаш любимец да съблича трупове, но да не събира свободни предмети, или обратното.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Клавишните обвързвания бяха пренесени от PrivateStorageAnywhere.ini при първото стартиране.
the key-block toggle	превключвателят за блокиране на клавиши
The list is full at %d items.	Списъкът е пълен при %d предмета.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Общото, включени закупените разширения и слотовете от сюжета. Левият край запазва размера на играта.
This chest holds one of each collectible, so its slots cannot be changed.	Този сандък съдържа по един от всеки колекционерски предмет, затова слотовете му не могат да се променят.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Този раздел се нуждае от версия на Private Storage Master, която съответства на тази версия на Master Looter.
Turn that on and off	Включи и изключи това
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Докато Ctrl, или всеки модификатор, който клавишите ти за склад използват, е задържан, другите клавиши се задържат от играта, затова подхлъзване от клавиш за склад не задейства умение. Движение, Space, Tab, Enter, Escape, Alt+F4 и клавишите, които играта използва с Ctrl (Z, Shift, +), все пак преминават.
working	работи
Write the size dump to the log	Запиши извадката за размера в дневника
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Записва всяко натискане на клавиш, отваряне и затваряне в PrivateStorageMaster.log и пази последните 24 сесии. Изключено, дневникът пази обобщението при стартиране, грешките и извадката за размера, както и последните две сесии.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Записва всяко натискане на клавиш, отваряне и затваряне в PrivateStorageMaster.log. Изключено, дневникът пази обобщението при стартиране, грешките и извадката за размера.
your own camp farm (off)	твоята собствена лагерна ферма (изключено)
%d of %d, the rest do not stack	%d от %d, останалите не се трупат.
%s %s for game build %s	%s %s за билд %s на играта
%s refused the change: %s	%s отказа промяната: %s
Empty your big stacks before turning this down or off.	Изпразни големите си стекове, преди да намалиш или изключиш това.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Лимитът на всеки предмет, който се трупа на стекове, се умножава при стартиране на играта. Настройката се записва в собствения ini файл на този мод веднага щом я избереш.
Item stacks: %s	Стекове от предмети: %s
Items raised	Повишени предмети
Largest limit	Най-голям лимит
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Намаляването на множителя не смалява стек, който вече си натрупал. Слот, който съдържа повече от позволеното сега от играта, запазва съдържанието си, докато не извадиш част от него, а всичко над новия лимит може да бъде изгубено.
Off	Изключено
off	изключено
Raising stack limits	Повишаване на лимитите на стековете
Restart the game for the multiplier you picked to take effect.	Рестартирай играта, за да влезе в сила избраният от теб множител.
Saved	Записано
Stack multiplier	Множител на стековете
Stacks	Стекове
stacks are the size the game ships	стековете са с оригиналния размер на играта
That mod did not hand over its stack settings.	Този мод не предаде настройките си за стекове.
This launch	Това стартиране
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Този раздел се нуждае от Stack Master или от версия на Private Storage Master, която повишава лимитите на стековете.
Why	Защо
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	За повечето неща играта позволява стекове до 100, така че при x10 те побират 1000. Прилага се към всичко, което се трупа на стекове, и никога към това, което не се трупа, като оръжия и брони, а най-дълбоките стекове в играта спират при лимита, който този мод съобщава по-горе. Множителят се прочита при стартиране на играта, затова тя трябва да бъде рестартирана, преди да се отрази.
Some items reached the largest stack that mod allows, %d, and stopped there.	Някои предмети достигнаха най-големия стек, който този мод позволява, %d, и спряха дотам.
x%d, by %s	x%d, от %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s отстъпи място на друг мод, затова промяната тук няма да свърши нищо. Този мод не е такъв, до който това меню има достъп, затова задай множителя направо в него.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s не е модът, който задава размерите на стековете, затова промяната тук няма да свърши нищо. Вместо това задай множителя в %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	По-големият множител влиза в сила веднага щом бъде избран. По-малкият изчаква следващото стартиране.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	За повечето неща играта позволява стекове до 100, така че при x10 те побират 1000. Прилага се към всичко, което се трупа на стекове, и никога към това, което не се трупа, като оръжия и брони, а най-дълбоките стекове в играта спират при лимита, който този мод съобщава по-горе. Избирането на по-голям множител влиза в сила веднага; по-малкият изчаква следващото стартиране, защото вече натрупан стек не може да бъде смален под наличното в него.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Чака рестартиране, или го избери пак навън в света и влиза в сила веднага.
you dropped this	ти го пусна на земята
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Същество, на което играта не дава собствен предмет, като колония светулки, се преценява от този превключвател и от раздела Класове, където колонията светулки се води insect. Никое правило за етикет или предмет не може да го достигне, защото няма предмет, спрямо който да се провери.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	От Private Storage Master 1.1.4 и Arrow е в списъка по подразбиране, така че стрелите, които събереш обратно, остават в колчана.
a placed Field Pot or Bonfire	поставен полеви котел или огън
Keep the menu on screen while you play. %s brings it back.	Задръж менюто на екрана, докато играеш. %s го връща обратно.
Watch mode: the game has your controls. %s to interact.	Режим на наблюдение: играта държи контролите ти. %s за взаимодействие.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Един клавиш самостоятелно. Комбинации с Ctrl и Alt никога не се разпознават, защото тези клавиши мълчат, докато Ctrl или Alt е натиснат.
