# Master Looterメニューのテキスト、日本語。
# この翻訳は機械翻訳で、まだネイティブスピーカーによる
# 確認を受けていません。修正はGitHub（github.com/shin2344234/master-looter）または
# Nexusのページで歓迎します。
#
# 1行につき1つの文字列：英語原文、タブ、翻訳の順に並んでいます。#で始まる行は無視されます。
# \nは改行を表し、タブの後に何もない行はそのまま英語で表示されるため、翻訳が途中の
# ファイルでも問題なく使えます。
# %d、%s、%.1fなどのプレースホルダーはすべて元の順序のまま、そのまま残してください。
# 実行時に数値や名前に置き換えられるため、これらが変わった行は読み込み時に無視され、
# 誤った表示を防ぎます。
# このファイルの内容はプラグインに内蔵されています。再ビルドせずに変更するには、
# MasterLooter.asiの隣に同じ名前のファイルを置いてください。そちらが優先して読み込まれます。

  bag full	  バッグが満杯
using the player's own field	プレイヤー自身のフィールドを使用中
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	野菜、果物、穀物：さつまいも、大麦、キャベツ、りんご、ぶどうなど、栽培または採取される食料全般で、植えられている状態でも落ちている状態でも対象です。これらはかつて「地面のアイテム」の対象でした。そのため「植物」をオフにしても畑が空になっていたのはこのためです。ゲーム内の72個の採集ソケットのうち、44個が農作物で、植物はわずか28個です。
Verbose log	詳細ログ
Verdict	判定
waiting	待機中
waiting for the game to check an item	ゲームによるアイテムの確認を待機中
waiting for the game to check ownership once	ゲームによる所有権確認を待機中
Waiting for the world to load.	ワールドの読み込みを待機中です。
Watch	監視
Watch mode	監視モード
Watch mode (menu stays up, you keep playing)	監視モード（メニュー表示中もプレイ継続）
Watch mode: the game has your controls. %s to interact, %s to close.	監視モード：操作はゲーム側にあります。%sで対話、%sで閉じます。
Weapons and armor	武器と防具
What enters the working list at all. The ranges below are clamped to it.	そもそも対象リストに入るかどうかを決めます。下の各範囲はこれによって制限されます。
What to collect	収集対象
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	ハンドルを代わりに回し、汲み上がったものを取得します。対話ボタンを押し続けたときにゲームが行うのと同じ状態遷移を実行することで実現しています。井戸はルートイベントを一切発生させないため、これはゲームに何かを要求するのではなく、記録済みの手順を再生しているだけです。失敗した井戸はバケツを失ったまま放置されるため、初期値はオフです。
Wood	木材
wood off	木材オフ
World (actor manager)	ワールド（アクターマネージャー）
worn by someone	誰かが装備中
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	敵が死亡時に落とす装備品。安価で重いものの、数は豊富です。
worn or carried by you	自分が装備または所持
worth %lld copper	価値 %lld 銅貨
Wrap the swapchain	スワップチェーンをラップする
Write translation template	翻訳テンプレートを書き出す
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	プラグイン横にMasterLooter.template.txtを書き出し、このセッションでメニューに表示されたすべての行を収めます。行は描画されて初めて現れるため、先に全てのタブを開いてください。各項目の右側を翻訳し、MasterLooter.<language>.txtとして保存し、その言語名をここに入力してください。
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	現在の設定を\"%s\"へ書き込みます。読み込んで好きに変更し、再度保存してください。
Writes the settings as they are now, named %s.	現在の設定を%sという名前で書き込みます。
yes	はい
your rules refuse all ore, jewels and stone	あなたのルールは鉱石、宝石、石をすべて拒否しています
your rules refuse all stone	あなたのルールは石をすべて拒否しています
your rules refuse everything this node holds	あなたのルールはこの採集ポイントの中身をすべて拒否しています
part of a mechanism, not loose loot	仕掛けの一部で、落ちている戦利品ではありません
yours, just out of your hand	自分のもの、手から離れただけ
%d last time	前回は%d
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	前回から設定が変わった状態でゲームを起動すると1つバックアップが書き込まれ、直近12個がプラグイン横のMasterLooter.backupsに保存されます。プリセットはMasterLooter.presetsにあります。再インストールをまたいで残したい場合はどちらかのフォルダをコピーしてください。
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	キーまたはコントローラーの組み合わせでその保管庫をどこからでも開け、もう一度押すと閉じます。別の保管庫のキーはそちらへ直接切り替えます。
a Master Looter key	Master Looterのキー
a Master Looter shortcut	Master Looterのショートカット
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	アイテムがバッグに入った直後、Private Storage Masterはそれを受け入れる最初の保管庫、つまり自分でその保管庫で行うのと同じ移動先に移します。移されるのはMaster Looterが拾ったものだけで、あなたが自分の手で拾ったものは対象外です。遺体や死骸からのものは、あなたのアイテムルールが許すものだけが対象です。保管庫が開いている間や自由行動中でない間は何も移動せず、鍵、書類、クエストアイテム、「絶対に移動しない」リストにあるものはそのままで、どの保管庫も受け入れないものはバッグに残ります。
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	ペットは好きなものを拾ってしまい、ゲーム側にそれを止める設定はありません。オンにすると、あなたのアイテムルール、タグ、クラス、価値の下限が拒否する地面のアイテムにペットが手を伸ばす前に、それは断られます。遺体からあなたのアイテムルール、タグ、クラスに拒否されるものを持ち帰った場合は、届いた時点で持ち物から削除され、何が消えたかを通知が知らせます。クエストアイテムと保護されたアイテムは決して削除されず、すでにバッグに入っているものには一切手を付けません。
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	自分で拾ったものは、ペットや傭兵が出ているかどうかにかかわらず、決して削除されません。
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	ペットや仲間が遺体を漁って見つけたものはあなたのバッグに入ります。オンにすると、あなたのアイテムルールが許す限り、それらのアイテムもMaster Looter自身の回収品と同じように保管庫へ送られます。ペットが拾った地面のアイテムはゲームによってあなた自身の回収として報告されるため、そちらはバッグに残ります。
a seed planted in your camp farm	野営地の畑に植えた種
Add	追加
add an item: type 3+ letters of its name	アイテムを追加: 名前を3文字以上入力
also %s	%sも
an ore vein, left to your pickaxe while Mine ore veins for you is off	鉱脈。「鉱脈を代わりに採掘する」がオフの間はつるはしに任される
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	多くて1秒に1行、それぞれの保管庫の名前と入った個数を表示します。オフでは何も表示されず、ログにのみ記録されます。
Click again to reset	もう一度クリックしてリセット
Detailed log	詳細ログ
Drop refused loot from bodies	遺体から拒否された戦利品を地面に戻す
Each item goes to the first storage in this list that takes it.	各アイテムはこのリストの中で最初に受け入れる保管庫へ送られます。
Empty: auto-store may move anything a storage takes.	空欄: 自動格納は保管庫が受け入れるものなら何でも移動できます。
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	各保管庫のサイズと使用中のスロット数をPrivateStorageMaster.logに書き込みます。サイズに関する報告に添付してください。
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	JSON容量modの場合: 下のサイズ設定は無視され、ゲームかそのmodが決めます。
game size (%d)	ゲームのサイズ (%d)
Game window	ゲームウィンドウ
hold a button, then press the one that opens it (Escape cancels)	ボタンを押したままにして、それを開くボタンを押す (Escapeでキャンセル)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	1つ以上のボタンを押したままにして、保管庫を開くボタンを押します。押されたボタンは、他のボタンが押されている間ゲームからは隠されます。
Hold other keys back while Ctrl is down	Ctrlが押されている間は他のキーを止める
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	購入した拡張とストーリーから得られる個人保管庫のスロット数。スライダーの合計にはこれらも含まれるため、基本サイズは合計からこれらを引いた値です。
item %u	アイテム %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	自動格納が常にバッグに残すアイテム。既定はあらゆる通貨です。銀貨、コインポーチ、金塊、野営地の資金と物資、トークンと証書。下の「既定値にリセット」でこのリストを戻します。
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	その設定はプラグイン横のPrivateStorageMaster.iniにあります。ここでの変更は即座にそこへ保存されます。
Last error	直近のエラー
Leave every size alone	すべてのサイズをそのままにする
left as the game has them	ゲームの値のまま
load a save to see it	セーブを読み込むと確認できます
more matches; type more of the name	一致が他にもあります。名前をさらに入力してください
Never move	絶対に移動しない
no item by that name that is not listed already	すでに一覧にないその名前のアイテムはありません
none seen	まだ見ていません
not found, bound keys also reach the game	見つかりません。割り当て済みのキーもゲームに届きます
Not on this game version: Private Storage Master could not find the move it needs.	このゲームバージョンでは非対応: Private Storage Masterは必要な移動先を見つけられませんでした。
nothing	なし
now %d of %d used	現在%d/%d使用中
off, see the error below	オフ、下のエラーを参照
off, the mod is disabled	オフ、modが無効です
on XInput slot %d	XInputスロット%d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	オンでは、届いたばかりの量だけが移動し、すでに持っていた食料や薬はバッグに残ります。オフでは、スタック全体が移動します。
Only move what was picked up	拾ったものだけを移動する
Open now	今すぐ開く
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	キーを押してください。必要ならCtrl、Shift、Altも併用できます (Escapeでキャンセル)
Private Storage expansions	個人保管庫の拡張
Private Storage Master %s for game build %s	Private Storage Master %s (対応ゲームビルド %s)
Private Storage Master did not hand over its defaults	Private Storage Masterが既定値を渡しませんでした
Private Storage Master did not hand over its store loot settings.	Private Storage Masterが戦利品の格納設定を渡しませんでした。
Private Storage Master on	Private Storage Master有効
Private Storage Master refused the change	Private Storage Masterが変更を拒否しました
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asiも導入されています。両者はゲームの同じ部分を変更するため、そちらを削除してください。
Put what Master Looter picks up into storage	Master Looterが拾ったものを保管庫に入れる
read from the save	セーブから読み込み済み
Reload from the ini	iniから再読み込み
Remove	削除
Reset to defaults	既定値にリセット
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	遺体や死骸を調べると、その中身がすべて渡され、modはバッグに入って初めてそれを見ます。オンにすると、あなたのアイテムルール、タグ、クラス、価値の下限が拒否するものは、自分で何かを落としたときにゲームが使うのと同じドロップ処理を通じて、すぐにあなたの脇の地面に戻されます。スタックごとに1つの山になります。これはmod自身の調査と、ペットや仲間が漁る遺体の両方に適用され、それらで拒否されたアイテムもあなたの脇に落ちます。自分で調べた遺体は、支払われたものをそのまま保持します。お金、書類、クエストアイテム、保護されたアイテムはバッグに残ります。
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	倒した人を調べる操作、遺体ごとに一回。動物は「死骸」の扱いです。調べて得られるものは、死骸のときと同じくフィルターに見られる前に届き、「一般」にある「遺体から拒否された戦利品を地面に戻す」が拒否されたものを地面に戻します。
set	設定済み
set this launch	今回の起動のみ設定
Settings file	設定ファイル
Show a notice when loot is stored	戦利品が格納されたら通知する
Size changes take effect the next time the game starts.	サイズの変更は次回のゲーム起動時に反映されます。
Sizes	サイズ
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	倒した動物の皮剥ぎ、死骸ごとに一回。人は「遺体」の扱いです。modは皮剥ぎで得られるものを届く前には一切見ないため、フィルターで到着を止めることはできません。拒否されるものを地面に戻すには、「一般」の「遺体から拒否された戦利品を地面に戻す」をオンにしてください。
Some changes take effect the next time the game starts.	一部の変更は次回のゲーム起動時に反映されます。
Stop pets looting bodies	ペットが遺体を漁るのを止める
Stop pets picking up loose items	ペットが地面のアイテムを拾うのを止める
Storage	保管庫
Storage keys	保管庫のキー
Storage sizes	保管庫のサイズ
Store loot	戦利品を格納する
Store what your pet loots from bodies	ペットが遺体から漁るものを格納する
Storing loot needs a newer Private Storage Master.	戦利品の格納には新しいバージョンのPrivate Storage Masterが必要です。
the size dump	サイズダンプ
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	ゲームは、ペットが地面にあるアイテムを取る前に許可を求め、これはそれにいいえと答えます。ペットはそれを素通りするため、後で削除する必要も生じません。傭兵にも同じ問いが行われるかどうかは未検証です。
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	ゲームは、ペットが遺体を漁る前にも別途許可を求め、これはそれにいいえと答えます。ペットに死体を漁らせたいが地面のアイテムは集めさせたくない場合、あるいはその逆の場合は、二つのうち一方だけをオンにしてください。
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	キー割り当ては初回起動時にPrivateStorageAnywhere.iniから引き継がれました。
the key-block toggle	キーブロックの切り替え
The list is full at %d items.	リストは%d個のアイテムで満杯です。
The total, purchased expansions and story slots included. The left end keeps the game's size.	購入した拡張とストーリーのスロットを含めた合計です。左端はゲームのサイズを保ちます。
This chest holds one of each collectible, so its slots cannot be changed.	この宝箱にはコレクションアイテムが1種類ずつ入っているため、スロット数は変更できません。
This tab needs a build of Private Storage Master that matches this version of Master Looter.	このタブには、このバージョンのMaster Looterに対応したPrivate Storage Masterのビルドが必要です。
Turn that on and off	オンとオフを切り替える
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Ctrl、または保管庫のキーが使う修飾キーが押されている間、他のキーはゲームから遠ざけられるため、保管庫のキーから指が滑ってもスキルは発動しません。移動、Space、Tab、Enter、Escape、Alt+F4、そしてゲームがCtrlと併用するキー(Z、Shift、+)はそのまま届きます。
working	動作中
Write the size dump to the log	サイズダンプをログに書き込む
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	すべてのキー入力、開閉をPrivateStorageMaster.logに書き込み、直近24セッションを保持します。オフでは、ログは起動時の概要、エラー、サイズダンプ、そして直近2セッションのみを保持します。
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	すべてのキー入力、開閉をPrivateStorageMaster.logに書き込みます。オフでは、ログは起動時の概要、エラー、サイズダンプのみを保持します。
your own camp farm (off)	あなた自身の野営地の畑 (オフ)
%d of %d, the rest do not stack	%d/%d、残りはスタックしません。
%s %s for game build %s	%s %s (対応ゲームビルド %s)
%s refused the change: %s	%sが変更を拒否しました：%s
Empty your big stacks before turning this down or off.	これを下げたりオフにしたりする前に、大きなスタックを空にしてください。
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	スタック可能なすべてのアイテムの上限は、ゲーム起動時に倍率分だけ掛け合わされます。設定は選んだ時点でそのMODの独自のiniに保存されます。
Item stacks: %s	アイテムスタック：%s
Items raised	引き上げられたアイテム
Largest limit	最大上限
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	倍率を下げても、すでに積み上がったスタックは縮小されません。ゲームが現在許可する数を超えて入っているスロットは、一部を取り出すまでその中身を保持し続け、新しい上限を超える分は失われる可能性があります。
Off	オフ
off	オフ
Raising stack limits	スタック上限の引き上げ
Restart the game for the multiplier you picked to take effect.	選んだ倍率を反映させるには、ゲームを再起動してください。
Saved	保存済み
Stack multiplier	スタック倍率
Stacks	スタック
stacks are the size the game ships	スタックはゲーム出荷時のサイズです
That mod did not hand over its stack settings.	そのMODはスタック設定を渡しませんでした。
This launch	今回の起動
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	このタブにはStack Master、またはスタック上限を引き上げるPrivate Storage Masterのビルドが必要です。
Why	理由
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	ほとんどのものはゲーム内で100までスタックできるので、x10なら1000個入ります。スタックできるものすべてに適用され、武器や防具のようにスタックできないものには一切適用されません。ゲーム内で最も深いスタックは、上に表示されているそのMODの上限で止まります。この倍率はゲーム起動時に読み込まれるため、反映されるにはゲームを再起動する必要があります。
Some items reached the largest stack that mod allows, %d, and stopped there.	一部のアイテムはそのMODが許可する最大スタック数(%d)に達し、そこで止まりました。
x%d, by %s	x%d、%sによる
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%sは別のMODに道を譲ったので、ここで変更しても何も起きません。そのMODはこのメニューが扱えない相手なので、倍率は直接そちらで設定してください。
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%sはスタックサイズを設定するMODではないので、ここで変更しても何も起きません。代わりに%sで倍率を設定してください。
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	大きい倍率を選ぶとすぐに反映されます。小さい倍率は次回起動まで反映されません。
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	ほとんどのものはゲーム内で100までスタックできるので、x10なら1000個入ります。スタックできるものすべてに適用され、武器や防具のようにスタックできないものには一切適用されません。ゲーム内で最も深いスタックは、上に表示されているそのMODの上限で止まります。 大きい倍率を選ぶとすぐに反映されますが、小さい倍率は次回起動まで反映されません。すでに積み上がったスタックは、中身より小さく減らせないためです。
Waiting for a restart, or pick it again out in the world and it takes hold at once.	再起動待ちか、フィールドでもう一度選べばすぐに反映されます。
you dropped this	自分で捨てたもの
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	ホタルの群れのように、ゲームが専用のアイテムを与えていない生き物は、このスイッチとクラスタブで判定されます。ホタルの群れはそこでinsectとして扱われます。照らし合わせるアイテムがないため、タグやアイテムのルールは届きません。
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Private Storage Master 1.1.4 からは Arrow も初期状態でリストに入っているため、拾い直した矢は矢筒に残ります。
a placed Field Pot or Bonfire	設置された野外鍋か焚き火
Keep the menu on screen while you play. %s brings it back.	プレイ中もメニューを画面に表示したままにします。%sで呼び戻します。
Watch mode: the game has your controls. %s to interact.	監視モード：操作はゲーム側にあります。%sで対話します。
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	キーは単独で1つ。CtrlやAltを押している間はこれらのキーが反応しないため、CtrlやAltとの組み合わせは読み取られません。
a crafting station	製作設備
