# Text menu Master Looter v češtině. Toto je strojový překlad a zatím ho
# nezkontroloval žádný rodilý mluvčí. Opravy jsou vítány na GitHubu
# (github.com/shin2344234/master-looter) nebo na stránce modu na Nexusu.
#
# Jeden řádek na text: anglický originál, tabulátor a pak překlad.
# Řádky začínající # se ignorují. \n znamená zalomení řádku, a řádek bez
# překladu za tabulátorem zůstává zobrazen anglicky.
# Každé %d, %s, %.1f a podobné zástupné symboly musí zůstat na stejném
# místě a ve stejném pořadí jako v angličtině, protože se za běhu
# nahrazují hodnotami; řádek, který je změní, se při načítání ignoruje.
#
# Soubor s tímto názvem umístěný vedle MasterLooter.asi přepíše vestavěnou
# kopii.

  bag full	  batoh plný
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Dvě věci, které něco obsahují. Truhly, bedny a uzly s kořistí, které otevíráš a které na událost sbírání odpovídají jen zřídka. A cokoli na zemi, jehož úkolem je něco obsahovat: lahve, sklenice, hliněné hrnce, měchy na vodu, vázy a bedny na zásoby, které sám postavíš. Ve výchozím stavu vypnuto, a vypnuto znamená, že police plná keramiky zůstane tam, kde je. Truhly s odměnou sem nepatří, protože ty jsou kořistí samy o sobě a spadají pod Poklady a suvenýry v záložce Třídy.\n\nTo, co vyjde z truhly, se proti tvým filtrům neprověřuje. Hra předá obsah najednou a mod ho nikdy nevidí jako objekty, takže pro ty je tento přepínač všechno nebo nic.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Nepřiřazeno, dokud si to nenastavíš. Hra považuje braní vlastněných věcí za krádež a dá za to na tebe odměnu, takže tohle je přepínač, který chceš na chvíli zapnout a zase vypnout, což se do menu moc nehodí.
Unidentified nodes	Neidentifikované uzly
unidentified nodes off	neidentifikované uzly vypnuty
unidentified: could be a fish, a flying insect or a bird	neidentifikováno: může to být ryba, létající hmyz nebo pták
unidentified: could be an insect or a small animal	neidentifikováno: může to být hmyz nebo malé zvíře
unnamed item	nepojmenovaný předmět
Unsellable items	Neprodejné předměty
Use this language	Použít tento jazyk
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Používá vlastní kontrolu hry \"Take or Steal\"; vlastněné věci se přeskakují, dokud nebyla aspoň jednou pozorována.
using the player's own field	pomocí hráčova vlastního pole
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Zelenina, ovoce a obilí: batáty, ječmen, zelí, jablka, hrozny a zbytek pěstované i sbírané potravy, ať už na rostlině nebo volně ležící. Tohle dřív spadalo pod Předměty na zemi, a proto vypnutí Rostlin pořád vyprázdnilo pole: ze 72 sběrných slotů ve hře je 44 plodin a jen 28 rostlin.
Verbose log	Podrobný log
Verdict	Verdikt
waiting	čeká se
waiting for the game to check an item	čeká se, až hra zkontroluje předmět
waiting for the game to check ownership once	čeká se, až hra jednou zkontroluje vlastnictví
Waiting for the world to load.	Čeká se na načtení světa.
Watch	Sledování
Watch mode	Režim sledování
Watch mode (menu stays up, you keep playing)	Režim sledování (menu zůstává otevřené, ty dál hraješ)
Watch mode: the game has your controls. %s to interact, %s to close.	Režim sledování: hra má tvé ovládání. %s pro interakci, %s pro zavření.
Weapons and armor	Zbraně a zbroj
What enters the working list at all. The ranges below are clamped to it.	Co se vůbec dostane do pracovního seznamu. Rozsahy níže jsou tímhle omezené.
What to collect	Co sbírat
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Otočí klikou za tebe a vezme, co vytáhne, tím, že spouští stejné přechody stavu, jaké spouští hra, když držíš tlačítko interakce. Studna nevyvolává vůbec žádnou loot událost, takže jde o přehrání zachycené sekvence, ne o to, že by se hra o něco žádala. Ve výchozím stavu vypnuto, protože studna, kterou to pokazí, je studna, co zůstane stát bez kbelíku.
Wood	Dřevo
wood off	dřevo vypnuto
World (actor manager)	Svět (actor manager)
worn by someone	nošeno někým
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Nošené vybavení, které nepřátelé upustí, když zemřou. Levné a těžké, ale je ho hodně.
worn or carried by you	nošeno nebo neseno tebou
worth %lld copper	hodnota %lld měďáků
Wrap the swapchain	Zabalit swapchain
Write translation template	Zapsat překladovou šablonu
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Zapíše MasterLooter.template.txt vedle pluginu, obsahující každý řádek, který menu v této relaci zobrazilo. Nejdřív otevři všechny záložky, protože řádek se objeví, až jakmile je vykreslen. Přelož pravou stranu každého záznamu, ulož to jako MasterLooter.<jazyk>.txt a ten jazyk zadej sem.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Zapíše nastavení tak, jak je teď, do \"%s\". Načti ho, změň, co chceš, a pak ho zase ulož.
Writes the settings as they are now, named %s.	Zapíše nastavení tak, jak je teď, pod názvem %s.
yes	ano
your rules refuse all ore, jewels and stone	tvá pravidla odmítají rudu, drahokamy i kámen
your rules refuse all stone	tvá pravidla odmítají veškerý kámen
your rules refuse everything this node holds	tvá pravidla odmítají vše, co tento uzel obsahuje
part of a mechanism, not loose loot	součást mechanismu, ne volná kořist
yours, just out of your hand	tvoje, právě ti to vypadlo z ruky
%d last time	%d naposledy
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Záloha se zapíše, když hra nastartuje s nastaveními změněnými od té poslední, a posledních dvanáct se uchovává ve složce MasterLooter.backups vedle pluginu. Presety leží v MasterLooter.presets. Kteroukoli složku zkopíruj, pokud si to chceš uchovat i přes přeinstalaci.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Klávesa nebo kombinace na ovladači otevře dané úložiště odkudkoli a znovu ho zavře. Klávesa jiného úložiště na něj přepne rovnou.
a Master Looter key	klávesa Master Looteru
a Master Looter shortcut	klávesová zkratka Master Looteru
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Chvíli poté, co předmět dorazí do batohu, ho Private Storage Master přesune do prvního úložiště níže, které ho přijme, stejný přesun, jaký bys udělal ty sám u úložiště. Přesouvá se jen to, co sebral Master Looter, nikdy to, co jsi sebral rukou, a z těla nebo mršiny jen to, co tvá pravidla předmětů dovolují. Nic se nepřesouvá, dokud je úložiště otevřené nebo mimo volnou hru, klíče, dokumenty, questovní předměty a vše na seznamu Nikdy nepřesouvat zůstávají na místě, a to, co žádné úložiště nepřijme, zůstává v batohu.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Mazlíček sbírá, co se mu zlíbí, a hra na to nemá žádný přepínač. Zapnuto: mazlíčkovi se řekne ne, než sáhne po volném předmětu na zemi, který tvá pravidla předmětů, štítky, třídy nebo hranice hodnoty odmítají, a cokoli vezme z těla, co tvá pravidla předmětů, štítky nebo třídy odmítají, se smaže z inventáře hned, jak tam dorazí, s hlášením, co zmizelo. Questovní a chráněné předměty se nemažou nikdy a ničeho, co už v tašce máš, se to nedotkne.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Nic, co sebereš sám, se nikdy nesmaže, ať už je venku mazlíček, nebo žoldák.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Mazlíček nebo společník, který vyplení tělo, dá to, co našel, do tvého batohu. Zapnuto, tyto předměty jdou do úložiště stejně jako vlastní úlovky Master Looteru, pokud je tvá pravidla předmětů dovolují. Volné předměty, které mazlíček sebere, hra hlásí jako tvé vlastní úlovky, takže ty zůstávají v batohu.
a seed planted in your camp farm	semeno zaseté na tvé táborové farmě
Add	Přidat
add an item: type 3+ letters of its name	přidej předmět: napiš 3+ písmena jeho názvu
also %s	také %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	rudná žíla, ponechaná tvému krumpáči, dokud je Těžit rudné žíly za tebe vypnuto
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Nejvýše jeden řádek za sekundu, jmenující každé úložiště a kolik do něj šlo. Vypnuto, nic se nezobrazí a jde to jen do logu.
Click again to reset	Klikni znovu pro reset
Detailed log	Podrobný log
Drop refused loot from bodies	Upustit odmítnutý loot z těl
Each item goes to the first storage in this list that takes it.	Každý předmět jde do prvního úložiště v tomto seznamu, které ho přijme.
Empty: auto-store may move anything a storage takes.	Prázdné: automatické ukládání může přesunout cokoli, co úložiště přijme.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Velikost každého úložiště a kolik slotů se používá, zapsáno do PrivateStorageMaster.log. Přilož ho k hlášení o velikosti.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Pro JSON mody kapacity: velikosti úložišť níže jsou ignorovány a rozhoduje hra, nebo ten mod.
game size (%d)	velikost hry (%d)
Game window	Okno hry
hold a button, then press the one that opens it (Escape cancels)	podrž tlačítko, pak stiskni to, které ho otevře (Escape zruší)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Podrž jedno nebo více tlačítek, pak stiskni to, které otevře úložiště. Stisknuté tlačítko je před hrou skryté, dokud jsou ostatní držená.
Hold other keys back while Ctrl is down	Zadržet ostatní klávesy, dokud je Ctrl stisknutý
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Kolik slotů Osobního úložiště pochází z koupených rozšíření a z příběhu. Celkový počet na posuvníku je počítá, takže základní velikost je celek mínus tyto.
item %u	předmět %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Předměty, které automatické ukládání vždy nechává v batohu. Výchozí je každá měna: stříbro, měšce s mincemi, zlaté cihly, táborové fondy a zásoby, žetony a dluhopisy. Obnovit výchozí níže vrátí tento seznam.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Jeho nastavení žijí v PrivateStorageMaster.ini vedle pluginu. Změny zde se tam ukládají okamžitě.
Last error	Poslední chyba
Leave every size alone	Ponechat všechny velikosti beze změny
left as the game has them	ponechané tak, jak je má hra
load a save to see it	načti uloženou hru, abys to viděl
more matches; type more of the name	další shody; napiš víc z názvu
Never move	Nikdy nepřesouvat
no item by that name that is not listed already	žádný předmět s tímto názvem, který by už nebyl v seznamu
none seen	žádné nezaznamenáno
not found, bound keys also reach the game	nenalezeno, přiřazené klávesy se dostanou i ke hře
Not on this game version: Private Storage Master could not find the move it needs.	Ne na této verzi hry: Private Storage Master nenašel pohyb, který potřebuje.
nothing	nic
now %d of %d used	nyní %d z %d použito
off, see the error below	vypnuto, viz chyba níže
off, the mod is disabled	vypnuto, mod je deaktivován
on XInput slot %d	na XInput slotu %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Zapnuto, přesune se jen množství, které právě dorazilo, takže jídlo a lektvary, které jsi už nosil, zůstanou v batohu. Vypnuto, jde celá hromádka.
Only move what was picked up	Přesouvat jen to, co bylo sebráno
Open now	Otevřít teď
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	stiskni klávesu, případně s Ctrl, Shift nebo Alt (Escape zruší)
Private Storage expansions	Rozšíření Osobního úložiště
Private Storage Master %s for game build %s	Private Storage Master %s pro herní build %s
Private Storage Master did not hand over its defaults	Private Storage Master nepředal své výchozí hodnoty
Private Storage Master did not hand over its store loot settings.	Private Storage Master nepředal svá nastavení pro ukládání lootu.
Private Storage Master on	Private Storage Master zapnutý
Private Storage Master refused the change	Private Storage Master odmítl změnu
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi je také nainstalován. Oba mění stejné části hry; odstraň ten druhý.
Put what Master Looter picks up into storage	Ukládat to, co Master Looter sebere, do úložiště
read from the save	přečteno z uložené hry
Reload from the ini	Znovu načíst z ini
Remove	Odebrat
Reset to defaults	Obnovit výchozí
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Prohledání těla nebo mršiny předá vše, co obsahuje, a mod to uvidí, až to bude v batohu. Zapnuto: to z toho, co tvá pravidla předmětů, štítky, třídy nebo hranice hodnoty odmítají, se položí rovnou zpátky na zem vedle tebe, stejným upuštěním, jaké hra používá, když upustíš něco sám, jedna hromádka na hromadu. Pokrývá to vlastní prohledávání modu i těla, která vyplení mazlíček nebo společník, jejichž odmítnuté předměty přistanou vedle tebe také. Tělo, které prohledáš sám, si nechá, co vyplatilo. Peníze, dokumenty, questovní předměty a chráněné předměty zůstávají v batohu.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Prohledávání lidí, které zabiješ, jednou na tělo. Zvířata jsou pod Mršiny. Co prohledání vynese, dorazí dřív, než to tvé filtry uvidí, stejně jako u mršiny, a Upustit odmítnutý loot z těl v Obecné položí zpátky to, co odmítají.
set	nastaveno
set this launch	nastaveno při tomto spuštění
Settings file	Soubor nastavení
Show a notice when loot is stored	Zobrazit hlášení, když je loot uložen
Size changes take effect the next time the game starts.	Změny velikosti se projeví při příštím spuštění hry.
Sizes	Velikosti
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Stahování zvířat, která zabiješ, jednou na mršinu. Lidé jsou pod Těla. Mod nikdy nevidí, co stahování vynese, dřív, než to dorazí, takže tvé filtry to nemohou zastavit. Aby se to, co odmítají, položilo zpátky na zem, zapni Upustit odmítnutý loot z těl v Obecné.
Some changes take effect the next time the game starts.	Některé změny se projeví při příštím spuštění hry.
Stop pets looting bodies	Zabránit mazlíčkům plenit těla
Stop pets picking up loose items	Zabránit mazlíčkům sbírat volné předměty
Storage	Úložiště
Storage keys	Klávesy úložiště
Storage sizes	Velikosti úložišť
Store loot	Ukládat loot
Store what your pet loots from bodies	Ukládat to, co tvůj mazlíček vyplení z těl
Storing loot needs a newer Private Storage Master.	Ukládání lootu vyžaduje novější Private Storage Master.
the size dump	výpis velikostí
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Hra se zeptá, než mazlíček vezme předmět ležící na zemi, a tohle odpoví ne. Mazlíček ho mine a nic se pak nemusí mazat. Jestli žoldnéř klade stejnou otázku, nebylo testováno.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Hra se zeptá zvlášť, než mazlíček vyplení tělo, a tohle odpoví ne. Zapni jedno ze dvou a ne druhé, pokud chceš, aby mazlíček obíral mrtvoly, ale nesbíral volné předměty, nebo naopak.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Přiřazení kláves byla převzata z PrivateStorageAnywhere.ini při prvním spuštění.
the key-block toggle	přepínač blokování kláves
The list is full at %d items.	Seznam je plný při %d předmětech.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Celkový počet, včetně koupených rozšíření a slotů z příběhu. Levý konec ponechává velikost hry.
This chest holds one of each collectible, so its slots cannot be changed.	Tato truhla obsahuje jeden kus od každého sběratelského předmětu, takže její sloty nelze změnit.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Tato záložka potřebuje verzi Private Storage Master, která odpovídá této verzi Master Looteru.
Turn that on and off	Zapni a vypni to
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Dokud je držen Ctrl, nebo jakýkoli modifikátor, který tvé klávesy úložiště používají, ostatní klávesy jsou zadrženy před hrou, takže sklouznutí z klávesy úložiště nespustí dovednost. Pohyb, mezerník, Tab, Enter, Escape, Alt+F4 a klávesy, které hra používá s Ctrl (Z, Shift, +), stále projdou.
working	funguje
Write the size dump to the log	Zapsat výpis velikostí do logu
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Zapisuje každý stisk klávesy, otevření a zavření do PrivateStorageMaster.log a uchovává posledních 24 relací. Vypnuto, log uchovává souhrn při spuštění, chyby a výpis velikostí, a poslední dvě relace.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Zapisuje každý stisk klávesy, otevření a zavření do PrivateStorageMaster.log. Vypnuto, log uchovává souhrn při spuštění, chyby a výpis velikostí.
your own camp farm (off)	tvá vlastní táborová farma (vypnuto)
%d of %d, the rest do not stack	%d z %d, zbytek se nehromadí.
%s %s for game build %s	%s %s pro herní build %s
%s refused the change: %s	%s odmítl změnu: %s
Empty your big stacks before turning this down or off.	Vyprázdni své velké hromady, než tohle snížíš nebo vypneš.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Limit každého předmětu, který se dá hromadit, se při startu hry vynásobí. Nastavení se uloží do vlastního ini souboru toho modu, jakmile ho vybereš.
Item stacks: %s	Hromady předmětů: %s
Items raised	Zvýšené předměty
Largest limit	Největší limit
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Snížení násobitele nezmenší hromadu, kterou už máš postavenou. Slot, který obsahuje víc, než teď hra dovoluje, si podrží svůj obsah, dokud z něj něco nevezmeš, a cokoli nad nový limit může být ztraceno.
Off	Vypnuto
off	vypnuto
Raising stack limits	Zvyšování limitů hromad
Restart the game for the multiplier you picked to take effect.	Restartuj hru, aby se projevil násobitel, který jsi vybral.
Saved	Uloženo
Stack multiplier	Násobitel hromad
Stacks	Hromady
stacks are the size the game ships	hromady mají výchozí velikost hry
That mod did not hand over its stack settings.	Ten mod nepředal svá nastavení hromad.
This launch	Toto spuštění
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Tato záložka potřebuje Stack Master nebo verzi Private Storage Master, která zvyšuje limity hromad.
Why	Proč
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	U většiny věcí ti hra dovolí hromadu 100 kusů, takže při x10 pojme 1000. Platí pro všechno, co se dá hromadit, a nikdy pro to, co ne, jako zbraně a brnění, a nejhlubší hromady ve hře se zastaví na limitu, který ten mod hlásí výše. Násobitel se načte při startu hry, takže hru je nutné restartovat, než se projeví.
Some items reached the largest stack that mod allows, %d, and stopped there.	Některé předměty dosáhly největší hromady, kterou ten mod dovoluje, %d, a zastavily se tam.
x%d, by %s	x%d, od %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s ustoupil jinému modu, takže změna zde by nic neudělala. Ten mod není takový, na který toto menu dosáhne, takže nastav násobitel přímo v něm.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s není mod, který nastavuje velikosti hromad, takže změna zde by nic neudělala. Nastav násobitel místo toho v %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Větší násobitel se projeví okamžitě, jakmile ho zvolíš. Menší počká na další spuštění.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	U většiny věcí ti hra dovolí hromadu 100 kusů, takže při x10 pojme 1000. Platí pro všechno, co se dá hromadit, a nikdy pro to, co ne, jako zbraně a brnění, a nejhlubší hromady ve hře se zastaví na limitu, který ten mod hlásí výše. Volba většího násobitele se projeví okamžitě; menší počká na další spuštění, protože už nahromaděnou hromadu nelze zmenšit pod to, co v ní je.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Čeká na restart, nebo ho zvol znovu venku ve světě a projeví se okamžitě.
you dropped this	zahozeno tebou
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Tvora, kterému hra nedává žádný vlastní předmět, například kolonii světlušek, posuzuje tento přepínač a karta Třídy, kde se kolonie světlušek počítá jako insect. Žádné pravidlo štítku ani předmětu na něj nedosáhne, protože není předmět, podle kterého by se dalo posoudit.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Od Private Storage Master 1.1.4 je na něm ve výchozím stavu i Arrow, takže šípy, které znovu sebereš, zůstanou v toulci.
a placed Field Pot or Bonfire	postavený polní kotlík nebo táborák
Keep the menu on screen while you play. %s brings it back.	Nech menu na obrazovce, zatímco hraješ. %s ho vrátí zpět.
Watch mode: the game has your controls. %s to interact.	Režim sledování: hra má tvé ovládání. %s pro interakci.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Jedna samostatná klávesa. Kombinace s Ctrl a Alt se nikdy nenačtou, protože tyto klávesy mlčí, dokud je Ctrl nebo Alt stisknutý.
a crafting station	výrobní stanoviště
