# Văn bản menu của Master Looter bằng tiếng Việt. Đây là bản dịch máy; chưa có
# người nói tiếng Việt bản ngữ nào kiểm tra lại bản dịch này. Góp ý sửa lỗi
# xin gửi trên GitHub (github.com/shin2344234/master-looter) hoặc trên trang
# Nexus của mod.
#
# Mỗi dòng gồm một chuỗi: bản gốc tiếng Anh, một dấu tab, rồi đến bản dịch.
# Dòng bắt đầu bằng # bị bỏ qua. \n là một dấu xuống dòng. Một dòng không có
# phần dịch sau dấu tab sẽ tiếp tục hiển thị bằng tiếng Anh, nên một tệp
# dịch dở vẫn dùng được bình thường. Giữ nguyên mọi ký hiệu %d, %s, %.1f và
# tương tự, đúng thứ tự như trong bản gốc: chúng được thay bằng số và tên
# lúc trò chơi đang chạy.
#
# Lưu tệp này với tên MasterLooter.vi.txt cạnh MasterLooter.asi để nó ghi
# đè lên bản dịch có sẵn trong plugin.

  bag full	  túi đồ đầy
The game treats this as stealing and will put a bounty on you.	Trò chơi coi đây là hành vi trộm cắp và sẽ treo tiền thưởng truy nã bạn.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Mod không bao giờ vung cuốc chim. Nó kích hoạt chuỗi vỡ riêng của vỉa quặng, và trò chơi chỉ chạy qua một hàng rơi cho việc đó, trong khi một cú vung thật chạy qua hai hàng, nên phần thưởng của công cụ khai thác không trả gì khi mod tự khai thác. Tùy chọn này cộng lại số quặng còn thiếu qua đúng đường rơi mà trò chơi dùng, nên đó là quặng thật đổ ra mặt đất, không phải một vật phẩm được sao chép vào túi đồ bạn. Hãy đặt nó bằng số quặng công cụ của bạn trả khi khai thác tay trừ đi một: một cây khoan cho ba khi khai thác tay thì cần đặt 2 ở đây. Nó chỉ áp dụng cho một vỉa quặng do mod này đập vỡ, nên việc khai thác bằng tay không bị ảnh hưởng và hai khoản này không thể cộng dồn.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Phiên này: %ld đã nhặt, %ld đã thu thập, %ld đã bắt, %ld xác thú
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Gỗ và cành cây dưới đất, cùng các điểm cho ra chúng. Phần lớn trong số đó chứa gì được đọc ngay từ dữ liệu của trò chơi, nên từ chối loại wood ở thẻ Loại sẽ để cây đứng nguyên và cả gỗ nằm dưới gốc. Ở nơi trò chơi không nói gì về một điểm, công tắc này là cách kiểm soát duy nhất mà nó có.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Để một loài được yên, hãy đặt quy tắc cho vật phẩm mà nó biến thành về “không bao giờ” trong tab Vật phẩm: Item_Tench, Item_Ricefish, Item_Iguana. Mod đọc chính hàng dữ liệu của sinh vật đó trong bảng nhân vật của trò chơi, nên nó biết đang nhìn vào loài nào trước khi bắt bất cứ thứ gì. Một vài sinh vật khác thường vẫn phải đoán qua tên mô hình của chúng và chỉ bị bắt theo loại.
Treasure and keepsakes	Kho báu và vật kỷ niệm
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Hai nút cùng lúc, không bao giờ một nút: từng nút đơn lẻ đã có tác dụng riêng trong trò chơi này. Mod chỉ đọc tay cầm, nên trò chơi vẫn nhận được cả hai nút. Hãy chọn một cặp không làm gì khi bấm cùng nhau, như hai nút vai, hoặc Back cùng một nút mặt trước.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Hai thứ chứa đồ. Rương, thùng và điểm chiến lợi phẩm mà bạn mở, vốn hiếm khi đáp lại sự kiện nhặt đồ. Và bất cứ thứ gì dưới đất có nhiệm vụ chứa đồ: chai, lọ, nồi đất, túi nước, bình hoa và những thùng chứa do bạn đặt xuống. Mặc định tắt, và tắt nghĩa là một kệ đầy đồ gốm vẫn nằm nguyên chỗ cũ. Hộp phần thưởng không thuộc diện này, vì chúng tự thân là chiến lợi phẩm và thuộc về Kho báu và vật kỷ niệm ở thẻ Loại.\n\nThứ lấy ra từ một cái rương không được đối chiếu với bộ lọc của bạn. Trò chơi giao toàn bộ phần bên trong trong một lần và mod không bao giờ thấy chúng như những đối tượng riêng, nên với chúng thì công tắc này là được tất cả hoặc không gì cả.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Chưa gán phím cho đến khi bạn thiết lập nó. Trò chơi gọi việc lấy tài sản của người khác là trộm cắp và sẽ treo tiền thưởng truy nã bạn vì việc đó, nên đây là công tắc bạn sẽ muốn bật trong chốc lát rồi tắt lại ngay, điều không hợp với một menu lắm.
Unidentified nodes	Điểm chưa xác định
unidentified nodes off	điểm chưa xác định tắt
unidentified: could be a fish, a flying insect or a bird	chưa xác định: có thể là cá, côn trùng biết bay hoặc chim
unidentified: could be an insect or a small animal	chưa xác định: có thể là côn trùng hoặc động vật nhỏ
unnamed item	vật phẩm không tên
Unsellable items	Vật phẩm không thể bán
Use this language	Dùng ngôn ngữ này
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Dùng chính kiểm tra Take or Steal của trò chơi; tài sản của người khác bị bỏ qua cho đến khi được quan sát một lần.
using the player's own field	dùng trường dữ liệu riêng của người chơi
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Rau củ, trái cây và ngũ cốc: khoai lang, lúa mạch, bắp cải, táo, nho và những thực phẩm canh tác hoặc hái lượm khác, dù còn trên cây hay nằm rời rạc. Những thứ này từng thuộc mục Vật phẩm trên mặt đất, đó là lý do tắt Cây cỏ vẫn khiến một cánh đồng bị vét sạch: trong số 72 điểm thu hoạch của trò chơi, 44 là cây trồng và chỉ 28 là cây cỏ.
Verbose log	Nhật ký chi tiết
Verdict	Kết luận
waiting	đang chờ
waiting for the game to check an item	đang chờ trò chơi kiểm tra một vật phẩm
waiting for the game to check ownership once	đang chờ trò chơi kiểm tra quyền sở hữu một lần
Waiting for the world to load.	Đang chờ thế giới tải xong.
Watch	Theo dõi
Watch mode	Chế độ theo dõi
Watch mode (menu stays up, you keep playing)	Chế độ theo dõi (menu vẫn hiện, bạn tiếp tục chơi)
Watch mode: the game has your controls. %s to interact, %s to close.	Chế độ theo dõi: trò chơi đang nắm quyền điều khiển của bạn. %s để tương tác, %s để đóng.
Weapons and armor	Vũ khí và giáp
What enters the working list at all. The ranges below are clamped to it.	Quyết định thứ gì được đưa vào danh sách làm việc. Các phạm vi bên dưới bị giới hạn theo nó.
What to collect	Thứ cần thu thập
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Tự quay tay quay cho bạn và lấy những gì kéo lên được, bằng cách kích hoạt đúng những chuyển đổi trạng thái mà trò chơi kích hoạt khi bạn giữ nút tương tác. Một cái giếng không tạo ra sự kiện loot nào cả, nên đây là phát lại một chuỗi đã ghi lại chứ không phải yêu cầu trò chơi làm gì. Mặc định là tắt, vì một cái giếng bị xử lý sai là một cái giếng đứng đó mà không còn xô.
Wood	Gỗ
wood off	gỗ tắt
World (actor manager)	Thế giới (actor manager)
worn by someone	đang được người khác mặc
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Trang bị đang mặc mà kẻ địch thả ra khi chết. Rẻ và nặng, nhưng có nhiều.
worn or carried by you	bạn đang mặc hoặc mang theo
worth %lld copper	đáng giá %lld đồng
Wrap the swapchain	Bọc swapchain
Write translation template	Ghi mẫu bản dịch
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Ghi MasterLooter.template.txt cạnh plugin, chứa mọi dòng menu đã hiển thị trong phiên này. Hãy mở hết các tab trước, vì một dòng chỉ xuất hiện sau khi đã được vẽ ra. Dịch phần bên phải của mỗi bản ghi, lưu thành MasterLooter.<language>.txt, rồi điền ngôn ngữ đó vào đây.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Ghi các thiết lập hiện tại vào \"%s\". Hãy tải nó lên, thay đổi những gì bạn muốn, rồi lưu lại.
Writes the settings as they are now, named %s.	Ghi các thiết lập hiện tại, đặt tên là %s.
yes	có
your rules refuse all ore, jewels and stone	quy tắc của bạn từ chối quặng, đá quý và đá
your rules refuse all stone	quy tắc của bạn từ chối mọi loại đá
your rules refuse everything this node holds	quy tắc của bạn từ chối mọi thứ điểm này chứa
part of a mechanism, not loose loot	một phần của cơ cấu, không phải chiến lợi phẩm rơi rớt
yours, just out of your hand	của bạn, vừa rời khỏi tay bạn
%d last time	%d lần trước
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Một bản sao lưu được ghi khi trò chơi khởi động với các thiết lập đã thay đổi so với lần sao lưu trước, và mười hai bản gần nhất được giữ lại, trong MasterLooter.backups cạnh plugin. Các cấu hình nằm trong MasterLooter.presets. Sao chép một trong hai thư mục để giữ lại qua một lần cài lại.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Một phím hoặc tổ hợp tay cầm sẽ mở kho chứa đó từ bất cứ đâu, và bấm lại sẽ đóng nó. Phím của một kho chứa khác sẽ chuyển thẳng sang kho đó.
a Master Looter key	một phím của Master Looter
a Master Looter shortcut	một phím tắt của Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Một lúc sau khi vật phẩm vào túi đồ, Private Storage Master sẽ chuyển nó vào kho chứa đầu tiên bên dưới nhận nó, giống hệt thao tác bạn sẽ làm tại kho chứa đó. Chỉ những gì Master Looter nhặt được mới bị chuyển đi, không bao giờ là thứ bạn tự tay nhặt, và từ một thi thể hay xác thú thì chỉ những gì quy tắc vật phẩm của bạn cho phép. Không gì bị chuyển trong khi một kho chứa đang mở hoặc ngoài chế độ chơi tự do, chìa khóa, tài liệu, vật phẩm nhiệm vụ và bất cứ thứ gì trong danh sách Không bao giờ chuyển sẽ được giữ nguyên, và thứ không kho chứa nào nhận sẽ ở lại trong túi đồ.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Thú cưng nhặt bất cứ thứ gì nó thích và trò chơi không có công tắc nào cho việc đó. Bật: thú cưng được báo không trước khi nó với tới một vật phẩm rơi rớt mà quy tắc vật phẩm, thẻ, loại hoặc ngưỡng giá trị của bạn từ chối, và bất cứ thứ gì nó lấy từ một thi thể mà quy tắc vật phẩm, thẻ hoặc loại của bạn từ chối đều bị xóa khỏi túi đồ ngay khi vào, kèm một thông báo cho biết thứ gì đã mất. Vật phẩm nhiệm vụ và vật phẩm được bảo vệ không bao giờ bị xóa, và không thứ gì đã nằm sẵn trong túi bị đụng đến.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Không thứ gì bạn tự tay nhặt bị xóa, dù có thú cưng hay lính đánh thuê đi cùng hay không.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Một thú cưng hoặc bạn đồng hành lục soát một thi thể sẽ đặt những gì tìm được vào túi đồ của bạn. Bật, những vật phẩm đó sẽ vào kho chứa giống như cách những vật phẩm Master Looter tự nhặt vẫn vào, miễn là quy tắc vật phẩm của bạn cho phép chúng. Vật phẩm rơi rớt mà thú cưng nhặt được trò chơi báo cáo như thể chính bạn đã nhặt, nên những thứ đó vẫn ở lại trong túi đồ.
a seed planted in your camp farm	một hạt giống được trồng trong nông trại tại trại của bạn
Add	Thêm
add an item: type 3+ letters of its name	thêm một vật phẩm: gõ từ 3 ký tự trở lên của tên vật phẩm đó
also %s	cũng %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	một vỉa quặng, được để lại cho cuốc chim của bạn trong khi Tự động khai thác vỉa quặng cho bạn đang tắt
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Nhiều nhất một dòng mỗi giây, nêu tên từng kho chứa và có bao nhiêu món đã vào đó. Tắt, không gì được hiển thị và chỉ được ghi vào nhật ký.
Click again to reset	Nhấp lại để đặt lại
Detailed log	Nhật ký chi tiết
Drop refused loot from bodies	Thả loot bị từ chối từ thi thể
Each item goes to the first storage in this list that takes it.	Mỗi vật phẩm sẽ vào kho chứa đầu tiên trong danh sách này nhận nó.
Empty: auto-store may move anything a storage takes.	Trống: tính năng Cất loot có thể chuyển bất cứ thứ gì mà một kho chứa nhận vào kho đó.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Kích thước của từng kho chứa và có bao nhiêu ô đang được dùng, được ghi vào PrivateStorageMaster.log. Đính kèm tệp đó khi báo cáo về kích thước.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Đối với các mod chỉnh dung lượng bằng JSON: kích thước kho chứa bên dưới bị bỏ qua và trò chơi, hoặc mod đó, sẽ quyết định.
game size (%d)	kích thước của trò chơi (%d)
Game window	Cửa sổ trò chơi
hold a button, then press the one that opens it (Escape cancels)	giữ một nút, rồi nhấn nút mở nó (Escape để hủy)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Giữ một hoặc nhiều nút, rồi nhấn nút mở kho chứa đó. Nút vừa nhấn sẽ bị ẩn khỏi trò chơi trong khi các nút còn lại đang được giữ.
Hold other keys back while Ctrl is down	Giữ các phím khác lại trong khi Ctrl đang được nhấn
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Có bao nhiêu ô kho chứa riêng đến từ các gói mở rộng bạn đã mua và từ cốt truyện. Tổng trên thanh trượt tính luôn cả những ô này, nên kích thước gốc là tổng đó trừ đi số ô này.
item %u	vật phẩm %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Những vật phẩm mà tính năng Cất loot luôn để lại trong túi đồ. Mặc định là mọi loại tiền tệ: bạc, túi tiền xu, thỏi vàng, quỹ và vật tư trại, token và trái phiếu. Đặt lại về mặc định bên dưới sẽ khôi phục danh sách đó.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Các thiết lập của nó nằm trong PrivateStorageMaster.ini cạnh plugin. Thay đổi ở đây được lưu vào đó ngay lập tức.
Last error	Lỗi gần nhất
Leave every size alone	Để nguyên mọi kích thước
left as the game has them	để nguyên như trò chơi đặt
load a save to see it	tải một bản lưu để xem nó
more matches; type more of the name	còn các kết quả khớp khác; gõ thêm phần tên
Never move	Không bao giờ chuyển
no item by that name that is not listed already	không có vật phẩm nào mang tên đó mà chưa có trong danh sách
none seen	chưa thấy cái nào
not found, bound keys also reach the game	không tìm thấy, các phím đã gán cũng vẫn đến được trò chơi
Not on this game version: Private Storage Master could not find the move it needs.	Không có trên phiên bản trò chơi này: Private Storage Master không tìm thấy thao tác di chuyển mà nó cần.
nothing	không có gì
now %d of %d used	hiện dùng %d trong %d
off, see the error below	tắt, xem lỗi bên dưới
off, the mod is disabled	tắt, mod đang bị vô hiệu hóa
on XInput slot %d	trên khe XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Bật, chỉ số lượng vừa mới vào được chuyển đi, nên thức ăn và thuốc bạn đã mang theo từ trước vẫn ở lại trong túi đồ. Tắt, cả chồng đồ sẽ được chuyển đi.
Only move what was picked up	Chỉ chuyển những gì đã nhặt được
Open now	Mở ngay
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	nhấn một phím, kèm Ctrl, Shift hoặc Alt nếu bạn muốn (Escape để hủy)
Private Storage expansions	Mở rộng kho chứa riêng
Private Storage Master %s for game build %s	Private Storage Master %s cho bản dựng trò chơi %s
Private Storage Master did not hand over its defaults	Private Storage Master không trả về các giá trị mặc định của nó
Private Storage Master did not hand over its store loot settings.	Private Storage Master không trả về các thiết lập Cất loot của nó.
Private Storage Master on	Private Storage Master đang bật
Private Storage Master refused the change	Private Storage Master từ chối thay đổi đó
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi cũng đang được cài đặt. Cả hai đều thay đổi cùng những phần của trò chơi; hãy gỡ bỏ mod đó.
Put what Master Looter picks up into storage	Cất những gì Master Looter nhặt được vào kho chứa
read from the save	đọc từ bản lưu
Reload from the ini	Tải lại từ tệp ini
Remove	Loại bỏ
Reset to defaults	Đặt lại về mặc định
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Lục soát một thi thể hoặc một xác thú sẽ trao ra mọi thứ nó mang, và mod chỉ thấy được sau khi đã vào túi đồ. Bật: bất cứ thứ gì trong số đó mà quy tắc vật phẩm, thẻ, loại hoặc ngưỡng giá trị của bạn từ chối sẽ được đặt thẳng xuống đất bên cạnh bạn, qua đúng thao tác thả mà trò chơi dùng khi chính bạn thả một thứ gì đó, một đống cho mỗi chồng đồ. Điều này bao gồm cả những lần mod tự lục soát lẫn những thi thể mà một thú cưng hoặc bạn đồng hành lục soát, mà vật phẩm bị từ chối của chúng cũng sẽ rơi xuống bên cạnh bạn. Một thi thể bạn tự tay lục soát thì giữ nguyên những gì nó trả. Tiền, tài liệu, vật phẩm nhiệm vụ và vật phẩm được bảo vệ vẫn ở lại trong túi đồ.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Lục soát những người bạn giết, một lần cho mỗi thi thể. Động vật thuộc mục Xác thú. Thứ lục soát mang lại đến trước khi bộ lọc của bạn kịp thấy nó, giống như với xác thú, và Thả loot bị từ chối từ thi thể dưới mục Chung sẽ đặt lại xuống đất những gì bị từ chối.
set	đã đặt
set this launch	đã đặt cho lần khởi động này
Settings file	Tệp thiết lập
Show a notice when loot is stored	Hiện thông báo khi loot được cất vào kho
Size changes take effect the next time the game starts.	Thay đổi kích thước có hiệu lực từ lần khởi động trò chơi kế tiếp.
Sizes	Kích thước
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Lột da những con vật bạn giết, một lần cho mỗi xác. Con người thuộc mục Thi thể. Mod không bao giờ thấy thứ lột da mang lại trước khi nó đến, nên bộ lọc của bạn không thể ngăn nó đến. Để những gì bị từ chối được đặt lại xuống đất, hãy bật Thả loot bị từ chối từ thi thể dưới mục Chung.
Some changes take effect the next time the game starts.	Một số thay đổi có hiệu lực từ lần khởi động trò chơi kế tiếp.
Stop pets looting bodies	Ngăn thú cưng lục soát thi thể
Stop pets picking up loose items	Ngăn thú cưng nhặt vật phẩm rơi rớt
Storage	Kho chứa
Storage keys	Phím kho chứa
Storage sizes	Kích thước kho chứa
Store loot	Cất loot
Store what your pet loots from bodies	Cất những gì thú cưng của bạn lục soát được từ thi thể
Storing loot needs a newer Private Storage Master.	Việc cất loot cần một bản Private Storage Master mới hơn.
the size dump	bản kê dung lượng
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Trò chơi hỏi trước khi một thú cưng lấy một vật phẩm rơi rớt dưới đất, và cái này trả lời không. Thú cưng đi ngang qua nó và sau đó không có gì cần phải xóa. Việc lính đánh thuê có bị hỏi cùng câu hỏi đó hay không thì chưa được thử.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Trò chơi hỏi riêng trước khi một thú cưng lục soát một thi thể, và cái này trả lời không. Hãy bật một trong hai cái mà không bật cái kia nếu bạn muốn thú cưng lục soát xác nhưng không nhặt vật phẩm rơi rớt, hoặc ngược lại.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Các gán phím đã được mang sang từ PrivateStorageAnywhere.ini trong lần chạy đầu tiên.
the key-block toggle	công tắc chặn phím
The list is full at %d items.	Danh sách đã đầy ở %d vật phẩm.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Tổng số, đã bao gồm các ô từ gói mở rộng đã mua và từ cốt truyện. Đầu bên trái giữ nguyên kích thước của trò chơi.
This chest holds one of each collectible, so its slots cannot be changed.	Rương này chứa một món của mỗi loại vật phẩm sưu tầm, nên số ô của nó không thể thay đổi.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Thẻ này cần một bản dựng Private Storage Master khớp với phiên bản Master Looter này.
Turn that on and off	Bật rồi tắt nó lại
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Trong khi Ctrl, hoặc bất kỳ phím bổ trợ nào mà phím kho chứa của bạn dùng, đang được giữ, các phím khác bị giữ lại không cho tới trò chơi, để việc trượt tay khỏi một phím kho chứa không kích hoạt một kỹ năng. Di chuyển, Space, Tab, Enter, Escape, Alt+F4 và các phím mà trò chơi dùng cùng Ctrl (Z, Shift, +) vẫn được cho qua.
working	đang hoạt động
Write the size dump to the log	Ghi bản kê dung lượng vào nhật ký
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Ghi lại mọi lần nhấn phím, mở và đóng vào PrivateStorageMaster.log, và giữ lại 24 phiên gần nhất. Tắt, nhật ký chỉ giữ tóm tắt khởi động, lỗi và bản kê dung lượng, cùng hai phiên gần nhất.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Ghi lại mọi lần nhấn phím, mở và đóng vào PrivateStorageMaster.log. Tắt, nhật ký chỉ giữ tóm tắt khởi động, lỗi và bản kê dung lượng.
your own camp farm (off)	nông trại riêng của bạn (tắt)
%d of %d, the rest do not stack	%d trên %d, phần còn lại không xếp chồng
%s %s for game build %s	%s %s cho bản dựng trò chơi %s
%s refused the change: %s	%s đã từ chối thay đổi: %s
Empty your big stacks before turning this down or off.	Hãy dọn trống các chồng đồ lớn của bạn trước khi giảm hoặc tắt mục này.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Giới hạn của mỗi vật phẩm có thể xếp chồng được nhân lên khi trò chơi khởi động. Thiết lập này được lưu vào tệp ini riêng của mod đó ngay khi bạn chọn nó.
Item stacks: %s	Chồng vật phẩm: %s
Items raised	Vật phẩm được nâng
Largest limit	Giới hạn lớn nhất
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Giảm hệ số nhân không làm nhỏ lại một chồng bạn đã xếp sẵn. Một ô chứa nhiều hơn mức trò chơi hiện cho phép vẫn giữ nguyên những gì trong đó cho tới khi bạn lấy bớt ra, và bất cứ thứ gì vượt quá giới hạn mới đều có thể mất.
Off	Tắt
off	tắt
Raising stack limits	Nâng giới hạn chồng đồ
Restart the game for the multiplier you picked to take effect.	Khởi động lại trò chơi để hệ số nhân bạn chọn có hiệu lực.
Saved	Đã lưu
Stack multiplier	Hệ số nhân chồng đồ
Stacks	Chồng đồ
stacks are the size the game ships	các chồng đồ có kích thước như lúc trò chơi phát hành
That mod did not hand over its stack settings.	Mod đó đã không trao lại các thiết lập chồng đồ của nó.
This launch	Lần khởi động này
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Thẻ này cần Stack Master, hoặc một bản dựng Private Storage Master có nâng giới hạn chồng đồ.
Why	Vì sao
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Hầu hết mọi thứ trò chơi cho phép bạn xếp chồng tới 100, nên ở x10 chúng chứa được 1000. Nó áp dụng cho mọi thứ có thể xếp chồng, và không bao giờ áp dụng cho thứ không xếp chồng được, như vũ khí và áo giáp, và những chồng đồ sâu nhất trong trò chơi dừng lại ở giới hạn mà mod đó báo cáo ở trên. Hệ số nhân được đọc khi trò chơi khởi động, nên phải khởi động lại trò chơi thì nó mới có hiệu lực.
Some items reached the largest stack that mod allows, %d, and stopped there.	Một số vật phẩm đã đạt tới chồng đồ lớn nhất mà mod đó cho phép, %d, và dừng lại ở đó.
x%d, by %s	x%d, bởi %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s đã nhường chỗ cho một mod khác, nên việc thay đổi nó ở đây sẽ chẳng có tác dụng gì. Mod đó không phải là mod mà menu này có thể chạm tới, nên hãy đặt hệ số nhân trực tiếp ở đó.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s không phải là mod đặt kích thước chồng đồ, nên việc thay đổi nó ở đây sẽ chẳng có tác dụng gì. Thay vào đó, hãy đặt hệ số nhân ở %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Hệ số nhân lớn hơn có hiệu lực ngay khi bạn chọn nó. Hệ số nhỏ hơn phải chờ đến lần khởi động sau.
