# Testo del menu di Master Looter in italiano.
#
# Questa è una traduzione automatica: nessun madrelingua l'ha ancora
# rivista. Le correzioni sono
# benvenute su GitHub (github.com/shin2344234/master-looter) o sulla
# pagina Nexus del mod.
#
# Una riga per ogni testo: l'originale in inglese, una tabulazione, poi
# la traduzione. \n rappresenta un a capo. Le righe che iniziano con #
# vengono ignorate. Una riga senza traduzione dopo la tabulazione resta
# visualizzata in inglese, quindi un file a metà è comunque utilizzabile.
# Ogni %d, %s, %.1f e gli altri segnaposto devono restare esattamente
# come sono e nello stesso ordine dell'originale inglese: vengono
# sostituiti con numeri e nomi a runtime, e una riga che li altera viene
# ignorata invece di rischiare valori sbagliati.
#
# Salva come MasterLooter.<lingua>.txt accanto al plugin, per esempio
# MasterLooter.it.txt, poi imposta Language=it in MasterLooter.ini oppure
# digita la lingua in Generale, Lingua. Un file con questo nome accanto a
# MasterLooter.asi sostituisce la copia incorporata nel plugin.

  bag full	  borsa piena
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Due cose che contengono cose. Le casse, i bauli e i punti di bottino che apri, che di rado rispondono all'evento di saccheggio. E qualsiasi cosa a terra il cui compito è contenere qualcosa: bottiglie, barattoli, pentole di terracotta, otri, vasi e le casse di deposito che posi tu. Disattivato per impostazione predefinita, e disattivato vuol dire che uno scaffale di ceramiche resta dov'è. Le casse premio non rientrano, perché quelle sono bottino a pieno titolo e appartengono a Tesori e ricordi nella scheda Classi.\n\nQuello che esce da una cassa non viene confrontato con i tuoi filtri. Il gioco consegna il contenuto in un colpo solo e la mod non lo vede mai come oggetti, quindi per quelli questo interruttore è tutto o niente.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Non associato finché non lo imposti. Il gioco chiama furto il prendere beni altrui e ti mette una taglia per questo, quindi è l'interruttore che vuoi attivare per un istante e poi disattivare di nuovo, il che si adatta male a un menu.
Unidentified nodes	Punti non identificati
unidentified nodes off	punti non identificati disattivati
unidentified: could be a fish, a flying insect or a bird	non identificato: potrebbe essere un pesce, un insetto volante o un uccello
unidentified: could be an insect or a small animal	non identificato: potrebbe essere un insetto o un piccolo animale
unnamed item	oggetto senza nome
Unsellable items	Oggetti invendibili
Use this language	Usa questa lingua
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Usa il controllo Prendi o Ruba del gioco stesso; i beni altrui vengono saltati finché non è stato osservato una volta.
using the player's own field	usando il campo del giocatore stesso
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Verdure, frutta e cereali: patata dolce, orzo, cavolo, mele, uva e il resto del cibo coltivato o raccolto, sulla pianta o sparso a terra. Un tempo rispondevano a Oggetti a terra, ed è per questo che disattivare Piante svuotava comunque un campo: dei 72 punti di raccolta del gioco, 44 sono colture e solo 28 sono piante.
Verbose log	Log dettagliato
Verdict	Verdetto
waiting	in attesa
waiting for the game to check an item	in attesa che il gioco controlli un oggetto
waiting for the game to check ownership once	in attesa che il gioco controlli la proprietà una volta
Waiting for the world to load.	In attesa che il mondo si carichi.
Watch	Osserva
Watch mode	Modalità osservazione
Watch mode (menu stays up, you keep playing)	Modalità osservazione (il menu resta aperto, tu continui a giocare)
Watch mode: the game has your controls. %s to interact, %s to close.	Modalità osservazione: il gioco ha i tuoi controlli. %s per interagire, %s per chiudere.
Weapons and armor	Armi e armature
What enters the working list at all. The ranges below are clamped to it.	Cosa entra nella lista di lavoro. I raggi sottostanti sono limitati a questo valore.
What to collect	Cosa raccogliere
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Gira la manovella al posto tuo e prende ciò che sale, azionando le stesse transizioni di stato che il gioco aziona quando tieni premuto il tasto di interazione. Un pozzo non genera alcun evento di loot, quindi questa è la riproduzione di una sequenza catturata, non una richiesta fatta al gioco. Disattivato per impostazione predefinita, perché un pozzo sbagliato è un pozzo lasciato in piedi senza il suo secchio.
Wood	Legno
wood off	legno disattivato
World (actor manager)	Mondo (gestore degli attori)
worn by someone	indossato da qualcuno
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Equipaggiamento indossato che i nemici lasciano cadere quando muoiono. Economico e pesante, ma abbondante.
worn or carried by you	indossato o portato da te
worth %lld copper	vale %lld rame
Wrap the swapchain	Incapsula lo swapchain
Write translation template	Scrivi il modello di traduzione
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Scrive MasterLooter.template.txt accanto al plugin, con tutte le righe che il menu ha mostrato in questa sessione. Apri prima ogni scheda, perché una riga compare solo dopo essere stata disegnata. Traduci il lato destro di ogni record, salvalo come MasterLooter.<language>.txt, e indica qui quella lingua.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Scrive le impostazioni così come sono ora in \"%s\". Caricalo, cambia ciò che vuoi, poi risalvalo.
Writes the settings as they are now, named %s.	Scrive le impostazioni così come sono ora, chiamandole %s.
yes	sì
your rules refuse all ore, jewels and stone	le tue regole rifiutano minerale, gemme e pietra
your rules refuse all stone	le tue regole rifiutano tutta la pietra
your rules refuse everything this node holds	le tue regole rifiutano tutto ciò che contiene questo punto
part of a mechanism, not loose loot	parte di un meccanismo, non bottino sciolto
yours, just out of your hand	tuo, appena uscito dalla tua mano
%d last time	%d l'ultima volta
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Un backup viene scritto quando il gioco si avvia con impostazioni cambiate rispetto all'ultimo, e gli ultimi dodici vengono conservati, in MasterLooter.backups accanto al plugin. I preset si trovano in MasterLooter.presets. Copia entrambe le cartelle per conservarle attraverso una reinstallazione.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Una combinazione di tasti o del controller apre quel deposito da qualsiasi punto, e la richiude di nuovo. Il tasto di un altro deposito passa direttamente a quello.
a Master Looter key	un tasto di Master Looter
a Master Looter shortcut	una scorciatoia di Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Un istante dopo che un oggetto arriva nella borsa, Private Storage Master lo sposta nel primo deposito qui sotto che lo accetta, la stessa mossa che faresti tu al deposito. Viene spostato solo ciò che ha raccolto Master Looter, mai ciò che hai raccolto tu a mano, e da un corpo o da una carcassa solo ciò che le tue regole sugli oggetti permettono. Nulla si sposta mentre un deposito è aperto o fuori dal gioco libero; chiavi, documenti, oggetti di missione e tutto ciò che è nell'elenco Non spostare mai restano al loro posto, e ciò che nessun deposito accetta resta nella borsa.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Un animale saccheggia quello che gli pare e il gioco non ha alcun interruttore per questo. Attivo: a un animale viene detto di no prima che allunghi la zampa verso un oggetto sciolto che le tue regole sugli oggetti, le etichette, le classi o la soglia di valore rifiutano, e qualsiasi cosa prenda da un corpo che le tue regole sugli oggetti, le etichette o le classi rifiutano viene cancellata dall'inventario appena arriva, con un avviso che dice che cosa è sparito. Gli oggetti di missione e quelli protetti non vengono mai cancellati, e nulla di ciò che è già nella tua borsa viene toccato.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Niente di ciò che raccogli tu stesso viene mai eliminato, che ci sia fuori un animale o un mercenario oppure no.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Un animale o un compagno che saccheggia un corpo mette ciò che ha trovato nella tua borsa. Attivo, quegli oggetti vanno in deposito allo stesso modo delle raccolte di Master Looter, purché le tue regole sugli oggetti li permettano. Gli oggetti sciolti che un animale raccoglie vengono segnalati dal gioco come tue raccolte, quindi quelli restano nella borsa.
a seed planted in your camp farm	un seme piantato nel tuo orto del campo
Add	Aggiungi
add an item: type 3+ letters of its name	aggiungi un oggetto: digita almeno 3 lettere del suo nome
also %s	anche %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	una vena di minerale, lasciata al tuo piccone mentre Estrae le vene di minerale al posto tuo è disattivato
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Al massimo una riga al secondo, che indica ogni deposito e quanti oggetti vi sono finiti. Disattivato, non viene mostrato nulla e va solo nel log.
Click again to reset	Fai di nuovo clic per azzerare
Detailed log	Log dettagliato
Drop refused loot from bodies	Lascia a terra il bottino rifiutato dai corpi
Each item goes to the first storage in this list that takes it.	Ogni oggetto va al primo deposito in questo elenco che lo accetta.
Empty: auto-store may move anything a storage takes.	Vuoto: lo stoccaggio automatico può spostare qualsiasi cosa un deposito accetti.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	La dimensione di ogni deposito e quanti slot sono in uso, scritte in PrivateStorageMaster.log. Allegalo a una segnalazione sulle dimensioni.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Per le mod di capacità basate su JSON: le dimensioni dei depositi qui sotto vengono ignorate e decide il gioco, o quella mod.
game size (%d)	dimensione di gioco (%d)
Game window	Finestra di gioco
hold a button, then press the one that opens it (Escape cancels)	tieni premuto un pulsante, poi premi quello che lo apre (Esc annulla)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Tieni premuto uno o più pulsanti, poi premi quello che apre il deposito. Il pulsante premuto viene nascosto al gioco finché gli altri restano premuti.
Hold other keys back while Ctrl is down	Trattieni gli altri tasti mentre Ctrl è premuto
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Quanti slot del Deposito personale derivano dalle espansioni che hai comprato e dalla storia. Il totale del cursore li conta, quindi la dimensione base è il totale meno questi.
item %u	oggetto %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Oggetti che lo stoccaggio automatico lascia sempre nella borsa. Il valore predefinito è ogni valuta: argento, borse di monete, lingotti d'oro, fondi e rifornimenti del campo, gettoni e titoli. Ripristina i valori predefiniti qui sotto rimette a posto quell'elenco.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Le sue impostazioni si trovano in PrivateStorageMaster.ini accanto al plugin. Le modifiche qui vengono salvate lì all'istante.
Last error	Ultimo errore
Leave every size alone	Lascia stare ogni dimensione
left as the game has them	lasciate come le ha il gioco
load a save to see it	carica un salvataggio per vederlo
more matches; type more of the name	più corrispondenze; digita altre lettere del nome
Never move	Non spostare mai
no item by that name that is not listed already	nessun oggetto con quel nome che non sia già elencato
none seen	nessuno visto
not found, bound keys also reach the game	non trovato, i tasti assegnati raggiungono anche il gioco
Not on this game version: Private Storage Master could not find the move it needs.	Non su questa versione del gioco: Private Storage Master non è riuscito a trovare la mossa di cui ha bisogno.
nothing	nulla
now %d of %d used	ora %d di %d usati
off, see the error below	disattivato, vedi l'errore qui sotto
off, the mod is disabled	disattivato, la mod è disabilitata
on XInput slot %d	sullo slot XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Attivo, viene spostata solo la quantità appena arrivata, così cibo e pozioni che già portavi restano nella borsa. Disattivato, va via l'intera pila.
Only move what was picked up	Sposta solo ciò che è stato raccolto
Open now	Apri ora
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	premi un tasto, con Ctrl, Shift o Alt se vuoi (Esc annulla)
Private Storage expansions	Espansioni del Deposito personale
Private Storage Master %s for game build %s	Private Storage Master %s per la build di gioco %s
Private Storage Master did not hand over its defaults	Private Storage Master non ha fornito i suoi valori predefiniti
Private Storage Master did not hand over its store loot settings.	Private Storage Master non ha fornito le sue impostazioni di deposito del bottino.
Private Storage Master on	Private Storage Master attivo
Private Storage Master refused the change	Private Storage Master ha rifiutato la modifica
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	È installato anche PrivateStorageAnywhere.asi. I due modificano le stesse parti del gioco; rimuovi quello.
Put what Master Looter picks up into storage	Metti in deposito ciò che Master Looter raccoglie
read from the save	letto dal salvataggio
Reload from the ini	Ricarica dall'ini
Remove	Rimuovi
Reset to defaults	Ripristina i valori predefiniti
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Perquisire un corpo o una carcassa consegna tutto ciò che contiene, e la mod lo vede solo una volta che è nella borsa. Attivo: tutto ciò che le tue regole sugli oggetti, le etichette, le classi o la soglia di valore rifiutano viene rimesso subito a terra accanto a te, tramite lo stesso rilascio che il gioco usa quando lasci cadere qualcosa tu stesso, un mucchio per ogni pila. Copre sia le perquisizioni della mod sia i corpi che un animale o un compagno saccheggia, i cui oggetti rifiutati atterrano anch'essi accanto a te. Un corpo che perquisisci tu stesso mantiene ciò che ha dato. Denaro, documenti, oggetti di missione e oggetti protetti restano nella borsa.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Perquisire le persone che uccidi, una volta per corpo. Gli animali rientrano in Carcasse. Ciò che frutta una perquisizione arriva prima che i tuoi filtri lo vedano, come per una carcassa, e Lascia a terra il bottino rifiutato dai corpi in Generale rimette giù ciò che rifiutano.
set	impostato
set this launch	impostato per questo avvio
Settings file	File delle impostazioni
Show a notice when loot is stored	Mostra un avviso quando il bottino viene depositato
Size changes take effect the next time the game starts.	Le modifiche alle dimensioni hanno effetto al prossimo avvio del gioco.
Sizes	Dimensioni
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Scuoiare gli animali che uccidi, una volta per carcassa. Le persone rientrano in Corpi. La mod non vede mai ciò che frutta lo scuoiamento prima che arrivi, quindi i tuoi filtri non possono impedirne l'arrivo. Per far rimettere a terra ciò che rifiutano, attiva Lascia a terra il bottino rifiutato dai corpi in Generale.
Some changes take effect the next time the game starts.	Alcune modifiche hanno effetto al prossimo avvio del gioco.
Stop pets looting bodies	Impedire agli animali di saccheggiare i corpi
Stop pets picking up loose items	Impedire agli animali di raccogliere oggetti sciolti
Storage	Deposito
Storage keys	Tasti dei depositi
Storage sizes	Dimensioni dei depositi
Store loot	Deposita il bottino
Store what your pet loots from bodies	Deposita ciò che il tuo animale saccheggia dai corpi
Storing loot needs a newer Private Storage Master.	Depositare il bottino richiede una versione più recente di Private Storage Master.
the size dump	il dump delle dimensioni
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Il gioco chiede il permesso prima che un animale prenda un oggetto a terra, e questo risponde no. L'animale gli passa oltre e dopo non serve cancellare nulla. Se un mercenario ponga la stessa domanda non è stato verificato.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Il gioco chiede separatamente il permesso prima che un animale saccheggi un corpo, e questo risponde no. Attiva uno dei due e non l'altro se vuoi che un animale spogli i cadaveri ma non raccolga oggetti sciolti, o il contrario.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Le associazioni dei tasti sono state riportate da PrivateStorageAnywhere.ini al primo avvio.
the key-block toggle	l'interruttore del blocco dei tasti
The list is full at %d items.	L'elenco è pieno con %d oggetti.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Il totale, espansioni comprate e slot della storia inclusi. L'estremità sinistra mantiene la dimensione del gioco.
This chest holds one of each collectible, so its slots cannot be changed.	Questo baule contiene un esemplare di ogni oggetto da collezione, quindi i suoi slot non possono essere modificati.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Questa scheda richiede una build di Private Storage Master che corrisponda a questa versione di Master Looter.
Turn that on and off	Attivalo e disattivalo
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Finché Ctrl, o qualsiasi modificatore usato dai tuoi tasti dei depositi, resta premuto, gli altri tasti vengono trattenuti dal gioco, così uno scivolone da un tasto di deposito non attiva un'abilità. Movimento, Spazio, Tab, Invio, Esc, Alt+F4 e i tasti che il gioco usa con Ctrl (Z, Shift, +) passano comunque.
working	funzionante
Write the size dump to the log	Scrivi il dump delle dimensioni nel log
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Scrive ogni pressione di tasto, apertura e chiusura in PrivateStorageMaster.log, e conserva le ultime 24 sessioni. Disattivato, il log conserva il riepilogo di avvio, gli errori e il dump delle dimensioni, e le ultime due sessioni.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Scrive ogni pressione di tasto, apertura e chiusura in PrivateStorageMaster.log. Disattivato, il log conserva il riepilogo di avvio, gli errori e il dump delle dimensioni.
your own camp farm (off)	il tuo orto del campo (disattivato)
%d of %d, the rest do not stack	%d di %d, il resto non si impila.
%s %s for game build %s	%s %s per la build di gioco %s
%s refused the change: %s	%s ha rifiutato la modifica: %s
Empty your big stacks before turning this down or off.	Svuota le tue pile grandi prima di abbassare questo valore o disattivarlo.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Il limite di ogni oggetto impilabile viene moltiplicato all'avvio del gioco. L'impostazione viene salvata nel file ini di quel mod non appena la scegli.
Item stacks: %s	Pile di oggetti: %s
Items raised	Oggetti aumentati
Largest limit	Limite più alto
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Abbassare il moltiplicatore non riduce una pila già costruita. Uno slot che contiene più di quanto il gioco ora consenta mantiene ciò che ha finché non ne togli una parte, e tutto ciò che supera il nuovo limite può andare perso.
Off	Disattivato
off	disattivato
Raising stack limits	Aumento dei limiti delle pile
Restart the game for the multiplier you picked to take effect.	Riavvia il gioco perché il moltiplicatore scelto abbia effetto.
Saved	Salvato
Stack multiplier	Moltiplicatore delle pile
Stacks	Pile
stacks are the size the game ships	le pile hanno la dimensione con cui il gioco viene distribuito
That mod did not hand over its stack settings.	Quel mod non ha fornito le sue impostazioni delle pile.
This launch	Questo avvio
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Questa scheda richiede Stack Master, oppure una build di Private Storage Master che aumenta i limiti delle pile.
Why	Perché
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	La maggior parte degli oggetti si può impilare fino a 100, quindi a x10 ne contengono 1000. Si applica a tutto ciò che si impila, e mai a ciò che non lo fa, come armi e armature, e le pile più profonde del gioco si fermano al limite che quel mod indica sopra. Il moltiplicatore viene letto all'avvio del gioco, quindi il gioco deve essere riavviato prima che si veda.
Some items reached the largest stack that mod allows, %d, and stopped there.	Alcuni oggetti hanno raggiunto la pila più grande che quel mod consente, %d, e si sono fermati lì.
x%d, by %s	x%d, di %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s si è fatto da parte per un altro mod, quindi modificarlo qui non farebbe nulla. Quel mod non è uno che questo menu può raggiungere, quindi imposta il moltiplicatore direttamente lì.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s non è il mod che imposta le dimensioni delle pile, quindi modificarlo qui non farebbe nulla. Imposta invece il moltiplicatore in %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Un moltiplicatore più alto ha effetto non appena viene scelto. Uno più basso attende il prossimo avvio.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	La maggior parte degli oggetti si può impilare fino a 100, quindi a x10 ne contengono 1000. Si applica a tutto ciò che si impila, e mai a ciò che non lo fa, come armi e armature, e le pile più profonde del gioco si fermano al limite che quel mod indica sopra. Scegliere un moltiplicatore più alto ha effetto subito; uno più basso attende il prossimo avvio, perché una pila già formata non può essere ridotta sotto quanto contiene.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	In attesa di un riavvio, oppure scegli di nuovo fuori nel mondo di gioco e ha effetto subito.
you dropped this	l'hai lasciato cadere tu
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Una creatura a cui il gioco non dà un oggetto proprio, come una colonia di lucciole, è giudicata da questo interruttore e dalla scheda Classi, dove una colonia di lucciole conta come insect. Nessuna regola di etichetta o oggetto può raggiungerla, perché non c'è alcun oggetto con cui confrontarla.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Da Private Storage Master 1.1.4 c'è di serie anche Arrow, così le frecce che raccogli di nuovo restano nella faretra.
a placed Field Pot or Bonfire	una pentola da campo o un falò piazzato
Keep the menu on screen while you play. %s brings it back.	Tiene il menu a schermo mentre giochi. %s lo richiama.
Watch mode: the game has your controls. %s to interact.	Modalità osservazione: il gioco ha i tuoi controlli. %s per interagire.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Un solo tasto. Le combinazioni con Ctrl e Alt non vengono mai lette, perché questi tasti restano muti mentre Ctrl o Alt è premuto.
a crafting station	una postazione di creazione
