# Master Looter-menyns text på svenska. Maskinöversatt. Ingen som talar
# svenska som modersmål har granskat den här filen än. Rättelser tas gärna
# emot på GitHub (github.com/shin2344234/master-looter) eller på moddens
# Nexus-sida.
#
# En rad per text: originalet på engelska, ett tabbtecken, sedan
# översättningen. Rader som börjar med # ignoreras. \n betyder ett
# radbyte i texten. En rad utan översättning efter tabbtecknet visas
# på engelska. Behåll alla %d, %s, %.1f och liknande exakt som de
# står och i samma ordning: de fylls i med siffror och namn när
# spelet körs.
#
# En fil med det här namnet bredvid MasterLooter.asi ersätter den
# inbyggda kopian.

  bag full	  väska full
Watch mode: the game has your controls. %s to interact, %s to close.	Bevakningsläge: spelet har dina kontroller. %s för att interagera, %s för att stänga.
Weapons and armor	Vapen och rustning
What enters the working list at all. The ranges below are clamped to it.	Vad som över huvud taget kommer in i arbetslistan. Avstånden nedan begränsas till det.
What to collect	Vad som ska samlas in
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Vevar handtaget åt dig och tar det som kommer upp, genom att driva samma tillståndsövergångar som spelet driver när du håller ner interagera-knappen. En brunn ger aldrig upphov till någon loot-händelse alls, så det här är en uppspelning av en fångad sekvens snarare än att spelet tillfrågas om något. Av som standard, eftersom en brunn den gör fel blir en brunn som står kvar utan sin hink.
Wood	Trä
wood off	trä av
World (actor manager)	Värld (aktörshanterare)
worn by someone	bärs av någon
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Buren utrustning som fiender tappar när de dör. Billigt och tungt, men rikligt.
worn or carried by you	bärs av dig
worth %lld copper	värt %lld koppar
Wrap the swapchain	Linda in swapchain
Write translation template	Skriv översättningsmall
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Skriver MasterLooter.template.txt bredvid pluginen, med varje rad menyn har visat denna session. Öppna varje flik först, eftersom en rad bara dyker upp när den har ritats. Översätt högerkolumnen i varje post, spara den som MasterLooter.<språk>.txt, och ange det språket här.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Skriver inställningarna som de är nu till \"%s\". Läs in den, ändra vad du vill, och spara sedan tillbaka den.
Writes the settings as they are now, named %s.	Skriver inställningarna som de är nu, med namnet %s.
yes	ja
your rules refuse all ore, jewels and stone	dina regler nekar malm, ädelstenar och sten allihop
your rules refuse all stone	dina regler nekar all sten
your rules refuse everything this node holds	dina regler nekar allt den här noden innehåller
part of a mechanism, not loose loot	del av en mekanism, inte löst byte
yours, just out of your hand	ditt, nyss ur handen
%d last time	%d senast
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	En säkerhetskopia skrivs när spelet startar och inställningarna har ändrats sedan den senaste, och de senaste tolv behålls, i MasterLooter.backups bredvid pluginen. Förinställningar ligger i MasterLooter.presets. Kopiera endera mappen för att behålla den vid en ominstallation.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	En tangent- eller handkontrollskombination öppnar det förrådet varifrån som helst, och stänger det igen. Ett annat förråds tangent växlar direkt till det.
a Master Looter key	en Master Looter-tangent
a Master Looter shortcut	en Master Looter-genväg
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	En liten stund efter att ett föremål hamnat i väskan flyttar Private Storage Master det till det första förrådet nedan som tar emot det, samma flytt du själv skulle göra vid förrådet. Bara det Master Looter plockat upp flyttas, aldrig det du plockat upp för hand, och från en kropp eller ett kadaver bara det dina föremålsregler tillåter. Inget flyttas medan ett förråd är öppet eller utanför fri lek, nycklar, dokument, uppdragsföremål och allt som står på listan över det som aldrig flyttas ligger kvar, och det som inget förråd tar emot blir kvar i väskan.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Ett husdjur plockar upp vad det vill och spelet har ingen inställning för det. På: ett husdjur nekas innan det sträcker sig efter ett löst föremål som dina föremålsregler, etiketter, klasser eller värdegräns nekar, och det den tar från en kropp som dina föremålsregler, etiketter eller klasser nekar raderas ur inventariet så snart det kommer in, med ett meddelande som säger vad som försvann. Uppdragsföremål och skyddade föremål raderas aldrig, och inget som redan ligger i din väska rörs.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Inget du plockar upp själv raderas någonsin, oavsett om ett husdjur eller en legosoldat är ute.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Ett husdjur eller en följeslagare som plundrar en kropp lägger det den hittar i din väska. På: de föremålen går till förråd på samma sätt som Master Looters egna upplock, så länge dina föremålsregler tillåter dem. Lösa föremål ett husdjur plockar upp rapporteras av spelet som dina egna upplock, så de blir kvar i väskan.
a seed planted in your camp farm	ett frö planterat i din lägerodling
Add	Lägg till
add an item: type 3+ letters of its name	lägg till ett föremål: skriv minst 3 bokstäver av namnet
also %s	även %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	en malmåder, lämnad åt din hacka medan Bryter malmådror åt dig är av
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Högst en rad i sekunden, som namnger varje förråd och hur mycket som gick in i det. Av visas inget, och det går bara till loggen.
Click again to reset	Klicka igen för att återställa
Detailed log	Detaljerad logg
Drop refused loot from bodies	Släpp nekat byte från kroppar
Each item goes to the first storage in this list that takes it.	Varje föremål går till det första förrådet i listan som tar emot det.
Empty: auto-store may move anything a storage takes.	Tomt: den automatiska lagringen kan flytta vad som helst ett förråd tar emot.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Varje förråds storlek och hur många platser som används, skrivet till PrivateStorageMaster.log. Bifoga den till en storleksrapport.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	För JSON-kapacitetsmoddar: förrådsstorlekarna nedan ignoreras och spelet, eller den modden, avgör.
game size (%d)	spelets storlek (%d)
Game window	Spelfönster
hold a button, then press the one that opens it (Escape cancels)	håll in en knapp, tryck sedan på den som öppnar den (Escape avbryter)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Håll in en eller flera knappar, tryck sedan på den som öppnar förrådet. Den intryckta knappen döljs för spelet medan de andra hålls in.
Hold other keys back while Ctrl is down	Håll tillbaka andra tangenter medan Ctrl hålls ned
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Hur många platser i Privat förråd som kommer från expansioner du köpt och från handlingen. Reglagets totalsumma räknar med dem, så grundstorleken är totalsumman minus dessa.
item %u	föremål %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Föremål som den automatiska lagringen alltid lämnar kvar i väskan. Standarden är alla valutor: silver, myntpåsar, guldtackor, lägerkassa och förnödenheter, polletter och obligationer. Återställ till standard nedan lägger tillbaka den listan.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Dess inställningar finns i PrivateStorageMaster.ini bredvid pluginen. Ändringar här sparas dit direkt.
Last error	Senaste fel
Leave every size alone	Lämna alla storlekar orörda
left as the game has them	kvar som spelet har dem
load a save to see it	läs in ett sparat spel för att se det
more matches; type more of the name	fler träffar; skriv mer av namnet
Never move	Flytta aldrig
no item by that name that is not listed already	inget föremål med det namnet som inte redan är tillagt
none seen	inga sedda
not found, bound keys also reach the game	hittades inte, bundna tangenter når även spelet
Not on this game version: Private Storage Master could not find the move it needs.	Inte på den här spelversionen: Private Storage Master kunde inte hitta flytten den behöver.
nothing	inget
now %d of %d used	nu %d av %d använda
off, see the error below	av, se felet nedan
off, the mod is disabled	av, modden är inaktiverad
on XInput slot %d	på XInput-plats %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	På flyttas bara den mängd som just kom in, så mat och eliksirer du redan bar på blir kvar i väskan. Av flyttas hela stacken.
Only move what was picked up	Flytta bara det som plockades upp
Open now	Öppna nu
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	tryck på en tangent, med Ctrl, Shift eller Alt om du vill (Escape avbryter)
Private Storage expansions	Expansioner för Privat förråd
Private Storage Master %s for game build %s	Private Storage Master %s för spelbygge %s
Private Storage Master did not hand over its defaults	Private Storage Master lämnade inte över sina standardvärden
Private Storage Master did not hand over its store loot settings.	Private Storage Master lämnade inte över sina inställningar för att lagra byte.
Private Storage Master on	Private Storage Master på
Private Storage Master refused the change	Private Storage Master nekade ändringen
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi är också installerad. De två ändrar samma delar av spelet; ta bort den.
Put what Master Looter picks up into storage	Lägg det Master Looter plockar upp i förråd
read from the save	läs från det sparade spelet
Reload from the ini	Läs om från ini-filen
Remove	Ta bort
Reset to defaults	Återställ till standard
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Att genomsöka en kropp eller ett kadaver lämnar över allt den håller, och modden ser det först när det är i väskan. På: allt av det som dina föremålsregler, etiketter, klasser eller värdegräns nekar läggs direkt tillbaka på marken bredvid dig, på samma sätt som när du själv släpper något, en hög per stapel. Det gäller både moddens egna genomsökningar och de kroppar ett husdjur eller en följeslagare plundrar, vars nekade föremål också hamnar bredvid dig. En kropp du genomsöker själv behåller det den betalade ut. Pengar, dokument, uppdragsföremål och skyddade föremål blir kvar i väskan.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Genomsökning av människorna du dödar, en gång per kropp. Djur hör under Kadaver. Vad en genomsökning ger kommer in innan dina filter ser det, precis som ett kadaver, och Släpp nekat byte från kroppar under Allmänt lägger tillbaka det de nekar.
set	ange
set this launch	inställda för den här starten
Settings file	Inställningsfil
Show a notice when loot is stored	Visa ett meddelande när byte lagras
Size changes take effect the next time the game starts.	Storleksändringar träder i kraft nästa gång spelet startar.
Sizes	Storlekar
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Flåning av djuren du dödar, en gång per kadaver. Människor hör under Kroppar. Modden ser aldrig vad flåning ger innan det landar, så dina filter kan inte hindra det från att komma in. För att få det de nekar tillbaka på marken, slå på Släpp nekat byte från kroppar under Allmänt.
Some changes take effect the next time the game starts.	Vissa ändringar träder i kraft nästa gång spelet startar.
Stop pets looting bodies	Hindra husdjur från att plundra kroppar
Stop pets picking up loose items	Hindra husdjur från att plocka upp lösa föremål
Storage	Förråd
Storage keys	Förrådstangenter
Storage sizes	Förrådsstorlekar
Store loot	Lagra byte
Store what your pet loots from bodies	Lagra det ditt husdjur plundrar från kroppar
Storing loot needs a newer Private Storage Master.	Att lagra byte kräver en nyare Private Storage Master.
the size dump	storleksdumpen
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Spelet frågar innan ett husdjur tar ett föremål som ligger på marken, och det här svarar nej. Husdjuret går förbi det och inget behöver raderas efteråt. Om en legosoldat ställer samma fråga är inte prövat.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Spelet frågar separat innan ett husdjur plundrar en kropp, och det här svarar nej. Slå på den ena men inte den andra om du vill att ett husdjur ska tömma kroppar men inte samla lösa föremål, eller tvärtom.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Tangentbindningarna fördes över från PrivateStorageAnywhere.ini vid den första körningen.
the key-block toggle	tangentspärrbrytaren
The list is full at %d items.	Listan är full vid %d föremål.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Totalsumman, inräknat köpta expansioner och platser från handlingen. Den vänstra änden behåller spelets storlek.
This chest holds one of each collectible, so its slots cannot be changed.	Den här kistan rymmer ett av varje samlarföremål, så dess platser kan inte ändras.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Den här fliken kräver en version av Private Storage Master som matchar den här versionen av Master Looter.
Turn that on and off	Slå på och av det
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Medan Ctrl, eller någon modifierare dina förrådstangenter använder, hålls ned, hindras andra tangenter från att nå spelet, så att ett halkat tryck bredvid en förrådstangent inte utlöser en förmåga. Förflyttning, Space, Tab, Enter, Escape, Alt+F4 och de tangenter spelet använder med Ctrl (Z, Shift, +) går fortfarande igenom.
working	fungerar
Write the size dump to the log	Skriv storleksdumpen till loggen
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Skriver varje tangenttryckning, öppning och stängning till PrivateStorageMaster.log, och behåller de senaste 24 sessionerna. Av behåller loggen startsammanfattningen, fel och storleksdumpen, samt de senaste två sessionerna.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Skriver varje tangenttryckning, öppning och stängning till PrivateStorageMaster.log. Av behåller loggen startsammanfattningen, fel och storleksdumpen.
your own camp farm (off)	din egen lägerodling (av)
%d of %d, the rest do not stack	%d av %d, resten staplas inte
%s %s for game build %s	%s %s för spelbygge %s
%s refused the change: %s	%s nekade ändringen: %s
Empty your big stacks before turning this down or off.	Töm dina stora staplar innan du sänker eller stänger av det här.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Gränsen för allt som kan staplas multipliceras när spelet startar. Inställningen sparas i den moddens egen ini så snart du väljer den.
Item stacks: %s	Föremålsstaplar: %s
Items raised	Föremål höjda
Largest limit	Högsta gräns
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Att sänka multiplikatorn krymper inte en stapel du redan byggt upp. En plats som håller mer än vad spelet nu tillåter behåller det den har tills du tar ut något, och allt över den nya gränsen kan gå förlorat.
Off	Av
off	av
Raising stack limits	Höjning av stapelgränser
Restart the game for the multiplier you picked to take effect.	Starta om spelet för att multiplikatorn du valde ska börja gälla.
Saved	Sparat
Stack multiplier	Stapelmultiplikator
Stacks	Staplar
stacks are the size the game ships	staplarna har den storlek spelet levereras med
That mod did not hand over its stack settings.	Den modden gav inte ifrån sig sina stapelinställningar.
This launch	Den här starten
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Den här fliken behöver Stack Master, eller en version av Private Storage Master som höjer stapelgränserna.
Why	Varför
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	De flesta saker kan du stapla upp till 100 av i spelet, så vid x10 rymmer de 1000. Den gäller allt som staplas, och aldrig det som inte gör det, som vapen och rustning, och de djupaste staplarna i spelet stannar vid gränsen som den modden rapporterar ovan. Multiplikatorn läses när spelet startar, så spelet måste startas om innan den syns.
Some items reached the largest stack that mod allows, %d, and stopped there.	Vissa föremål nådde den största stapeln som den modden tillåter, %d, och stannade där.
x%d, by %s	x%d, av %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s har trätt åt sidan för en annan mod, så att ändra det här skulle inte göra något. Den modden är inte en som den här menyn kan nå, så ställ in multiplikatorn direkt i den.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s är inte modden som sätter stapelstorlekar, så att ändra det här skulle inte göra något. Ställ istället in multiplikatorn i %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	En större multiplikator träder i kraft så snart du väljer den. En mindre väntar till nästa start.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	De flesta saker kan du stapla upp till 100 av i spelet, så vid x10 rymmer de 1000. Den gäller allt som staplas, och aldrig det som inte gör det, som vapen och rustning, och de djupaste staplarna i spelet stannar vid gränsen som den modden rapporterar ovan. Att välja en större multiplikator träder i kraft direkt; en mindre väntar till nästa start, eftersom en stapel som redan är byggd inte kan krympas under det den innehåller.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Väntar på en omstart, eller välj den igen ute i världen, så träder den i kraft direkt.
you dropped this	du släppte den
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	En varelse som spelet inte ger ett eget föremål, till exempel en eldflugekoloni, bedöms av den här brytaren och av fliken Klasser, där en eldflugekoloni räknas som insect. Ingen etikett- eller föremålsregel kan nå den, eftersom det inte finns något föremål att pröva regeln mot.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Sedan Private Storage Master 1.1.4 finns Arrow också med som standard, så pilar du plockar upp igen stannar i kogret.
a placed Field Pot or Bonfire	en utplacerad fältgryta eller en lägereld
Keep the menu on screen while you play. %s brings it back.	Håll menyn kvar på skärmen medan du spelar. %s tar tillbaka den.
Watch mode: the game has your controls. %s to interact.	Bevakningsläge: spelet har dina kontroller. %s för att interagera.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	En tangent för sig. Kombinationer med Ctrl och Alt läses aldrig, eftersom de här tangenterna är tysta medan Ctrl eller Alt hålls nere.
a crafting station	en hantverksstation
