# Texto do menu do Master Looter em Português do Brasil (pt-BR). Tradução e
# revisão por Kyo-70.
#
# As linhas acrescentadas depois da tradução inicial também foram revisadas
# e harmonizadas com a terminologia brasileira do jogo.
# Correções são bem-vindas no GitHub
# (github.com/shin2344234/master-looter) ou na página do mod no Nexus.
#
# Uma linha por texto: o original em inglês, uma tabulação e a tradução.
# Linhas iniciadas por # são ignoradas, \n representa uma quebra de linha e
# uma linha sem tradução após a tabulação continua sendo exibida em inglês.
# Todo %d, %s, %.1f e demais marcadores deve permanecer na mesma ordem, pois
# seus valores são inseridos durante a execução. Linhas que alteram esses
# marcadores são ignoradas ao carregar para evitar valores incorretos.
#
# Esta cópia é incorporada ao plugin. Para alterá-la sem recompilar, coloque
# um arquivo com este nome ao lado de MasterLooter.asi.

  bag full	  bolsa cheia
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Madeira e galhos no chão, além dos pontos que os fornecem. O conteúdo da maioria desses pontos é lido diretamente dos dados do jogo; portanto, recusar a classe wood na aba Classes deixa tanto as árvores quanto a madeira sob elas intocadas. Quando o jogo não informa o conteúdo de um ponto, esta opção é o único controle disponível.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Para deixar uma espécie em paz, defina como “nunca” o item em que ela se transforma na aba Itens: Item_Tench, Item_Ricefish, Item_Iguana. O mod lê a linha da própria criatura na tabela de personagens do jogo, então sabe qual espécie está observando antes de capturá-la. Para algumas criaturas incomuns, ele ainda precisa deduzir pelo nome do modelo, e elas são capturadas apenas pela categoria.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Ferramentas e equipamentos marcados pelo jogo como importantes e que nenhuma loja compra: o Pulverizador de fertilizante, o Pulverizador de lubrificante, lanças Kuku, anéis e colares de batedor. São 180 itens, quase todos valendo apenas uma moeda de cobre; coletar um deles do chão antes da hora pode quebrar a sequência de uma missão.\n\nA opção exige as duas marcações ao mesmo tempo, portanto não abrange itens que possuam apenas uma delas. O Pulverizador de Campo não pode ser vendido, mas não está marcado como importante e, por isso, ainda será coletado.
Treasure and keepsakes	Tesouros e lembranças
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Dois botões ao mesmo tempo, nunca apenas um: cada botão já tem uma função neste jogo. O mod somente lê o controle, então o jogo ainda recebe ambos os botões. Escolha uma combinação que não faça nada em conjunto, como os dois botões superiores, ou Voltar com um botão frontal.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Dois tipos de objetos que contêm itens: os baús, caixotes e pontos com conjuntos de saque que você abre, os quais raramente respondem ao evento de saque; e qualquer objeto no chão cuja função seja armazenar algo, como garrafas, frascos, jarros de barro, odres, vasos e caixas de armazenamento posicionáveis. Desativado por padrão; quando desativado, uma prateleira de peças de cerâmica permanece intacta. Caixas de recompensa não são incluídas, pois já são itens de saque e pertencem a Tesouros e lembranças na aba Classes.\n\nO conteúdo retirado de um baú não é verificado pelos filtros. O jogo entrega tudo de uma só vez, e o mod nunca vê esses conteúdos como objetos separados; portanto, para baús, esta opção funciona em modo tudo ou nada.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Sem atribuição até você configurá-la. O jogo considera a coleta de bens alheios um roubo e coloca uma recompensa pela sua captura; portanto, este é um controle que você vai querer ativar por um instante e desativar logo depois, algo pouco prático em um menu.
Unidentified nodes	Pontos não identificados
unidentified nodes off	pontos não identificados desativados
unidentified: could be a fish, a flying insect or a bird	não identificado: pode ser peixe, inseto voador ou ave
unidentified: could be an insect or a small animal	não identificado: pode ser inseto ou animal pequeno
unnamed item	item sem nome
Unsellable items	Itens invendáveis
Use this language	Usar este idioma
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Usa a verificação “Pegar ou Roubar” do próprio jogo; bens alheios são ignorados até que ela tenha sido observada uma vez.
using the player's own field	usando o campo do próprio jogador
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Legumes, frutas e grãos: batata-doce, cevada, repolho, maçãs, uvas e outros alimentos cultivados ou encontrados, ainda na planta ou soltos pelo chão. Antes eles respondiam a Itens no chão, por isso desativar Plantas ainda esvaziava um campo: dos 72 pontos de coleta do jogo, 44 são cultivos e apenas 28 são plantas.
Verbose log	Registro detalhado
Verdict	Veredito
waiting	aguardando
waiting for the game to check an item	aguardando o jogo verificar um item
waiting for the game to check ownership once	aguardando o jogo verificar a propriedade uma vez
Waiting for the world to load.	Aguardando o mundo carregar.
Watch	Observar
Watch mode	Modo de observação
Watch mode (menu stays up, you keep playing)	Modo de observação (o menu permanece aberto e você continua jogando)
Watch mode: the game has your controls. %s to interact, %s to close.	Modo de observação: o jogo está com seus controles. %s para interagir, %s para fechar.
Weapons and armor	Armas e armaduras
What enters the working list at all. The ranges below are clamped to it.	Define o que entra na lista de trabalho. Os alcances abaixo são limitados por este valor.
What to collect	O que coletar
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Gira a manivela por você e recolhe o que subir, acionando as mesmas transições de estado que o jogo usa quando você mantém o botão de interação pressionado. Um poço não gera evento de saque algum, então isto reproduz uma sequência capturada em vez de solicitar algo ao jogo. Desativado por padrão, pois um poço processado incorretamente pode ficar sem o balde.
Wood	Madeira
wood off	madeira desativada
World (actor manager)	Mundo (gerenciador de atores)
worn by someone	usado por alguém
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Equipamentos usados que os inimigos deixam cair ao morrer. Baratos e pesados, mas abundantes.
worn or carried by you	usado ou carregado por você
worth %lld copper	vale %lld moedas de cobre
Wrap the swapchain	Encapsular o swapchain
Write translation template	Gerar modelo de tradução
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Grava MasterLooter.template.txt ao lado do plugin com todas as linhas exibidas pelo menu nesta sessão. Abra primeiro todas as abas, pois uma linha só aparece depois de ser desenhada. Traduza o lado direito de cada registro, salve como MasterLooter.<language>.txt e informe esse idioma aqui.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Grava as configurações atuais em \"%s\". Carregue, altere o que quiser e salve novamente.
Writes the settings as they are now, named %s.	Grava as configurações atuais com o nome %s.
yes	sim
your rules refuse all ore, jewels and stone	suas regras recusam todos os minérios, todas as gemas e todas as pedras
your rules refuse all stone	suas regras recusam todas as pedras
your rules refuse everything this node holds	suas regras recusam tudo o que este ponto contém
yours, just out of your hand	seu, recém-saído da sua mão
