# Master Looter-menuteksten på dansk (da). Maskinoversat. Ingen indfødt
# dansktalende har gennemgået oversættelsen endnu. Rettelser modtages gerne på
# GitHub (github.com/shin2344234/master-looter) eller på moddets Nexus-side.
#
# Én linje pr. tekst: den engelske original, et tabulatortegn og
# oversættelsen. Linjer, der starter med #, ignoreres. \n betyder et
# linjeskift. En linje uden oversættelse efter tabulatoren vises fortsat
# på engelsk, så en delvist færdig fil sagtens kan bruges.
# Hold hvert %d, %s, %.1f og lignende pladsholder præcis som det står og
# i samme rækkefølge: de udfyldes med tal og navne, når spillet kører, og
# en linje, der ændrer dem, ignoreres i stedet for at blive brugt forkert.
#
# Gem filen som MasterLooter.da.txt ved siden af MasterLooter.asi; den
# tilsidesætter den indbyggede kopi i pluginet.

  bag full	  tasken er fuld
Use this language	Brug dette sprog
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Bruger spillets eget Tag eller Stjæl-tjek; ejede varer springes over, indtil det er observeret én gang.
using the player's own field	ved brug af spillerens eget felt
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Grøntsager, frugt og korn: sød kartoffel, byg, kål, æbler, druer og resten af den dyrkede og indsamlede mad, på planten eller liggende løst. Disse hørte tidligere under Genstande på jorden, hvilket er grunden til, at det stadig tømte en mark at slå Planter fra: af de 72 indsamlingssokler i spillet er 44 afgrøder og kun 28 planter.
Verbose log	Detaljeret log
Verdict	Afgørelse
waiting	venter
waiting for the game to check an item	venter på, at spillet tjekker en genstand
waiting for the game to check ownership once	venter på, at spillet tjekker ejerskab én gang
Waiting for the world to load.	Venter på, at verdenen indlæses.
Watch	Overvåg
Watch mode	Overvågningstilstand
Watch mode (menu stays up, you keep playing)	Overvågningstilstand (menuen bliver oppe, du bliver ved med at spille)
Watch mode: the game has your controls. %s to interact, %s to close.	Overvågningstilstand: spillet har dine kontroller. %s for at interagere, %s for at lukke.
Weapons and armor	Våben og rustning
What enters the working list at all. The ranges below are clamped to it.	Hvad der overhovedet kommer på arbejdslisten. Afstandene nedenfor er begrænset af den.
What to collect	Hvad der skal indsamles
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Drejer håndtaget for dig og tager det, der kommer op, ved at drive de samme tilstandsovergange, spillet driver, når du holder interaktionsknappen nede. En brønd udløser slet ingen loot-hændelse, så dette er en genafspilning af en indfanget sekvens frem for at spillet bliver bedt om noget. Fra som standard, fordi en brønd, det går galt for, er en brønd, der står tilbage uden sin spand.
Wood	Træ
wood off	træ fra
World (actor manager)	Verden (actor manager)
worn by someone	båret af nogen
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Udstyr, fjender bar, og som de dropper, når de dør. Billigt og tungt, men rigeligt.
worn or carried by you	båret eller medbragt af dig
worth %lld copper	%lld kobber værd
Wrap the swapchain	Indpak swapchain'et
Write translation template	Skriv oversættelsesskabelon
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Skriver MasterLooter.template.txt ved siden af plugin'et med alle linjer, menuen har vist i denne session. Åbn alle faner først, da en linje kun vises, når den er blevet tegnet. Oversæt højresiden af hver post, gem den som MasterLooter.<language>.txt, og angiv det sprog her.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Skriver indstillingerne, som de er nu, ind i \"%s\". Indlæs den, ret hvad du vil, og gem den så igen.
Writes the settings as they are now, named %s.	Skriver indstillingerne, som de er nu, med navnet %s.
yes	ja
your rules refuse all ore, jewels and stone	dine regler afviser malm, ædelsten og sten alle sammen
your rules refuse all stone	dine regler afviser al sten
your rules refuse everything this node holds	dine regler afviser alt, hvad dette punkt indeholder
part of a mechanism, not loose loot	del af en mekanisme, ikke løst bytte
yours, just out of your hand	din, lige ude af din hånd
%d last time	%d sidst
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	En sikkerhedskopi skrives, når spillet starter med indstillinger, der er ændret siden den sidste, og de sidste tolv gemmes i MasterLooter.backups ved siden af plugin'et. Forudindstillinger ligger i MasterLooter.presets. Kopiér en af mapperne for at beholde den ved en geninstallation.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	En tast eller controllerkombination åbner det lager hvor som helst fra, og lukker det igen. Et andet lagers tast skifter direkte til det.
a Master Looter key	en Master Looter-tast
a Master Looter shortcut	en Master Looter-genvej
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Et øjeblik efter en genstand lander i tasken, flytter Private Storage Master den til det første lager nedenfor, der tager imod den, det samme træk, du selv ville gøre ved lageret. Kun det, Master Looter har samlet op, flyttes, aldrig det, du har samlet op med hånden, og fra et lig eller et kadaver kun det, dine genstandsregler tillader. Intet flyttes, mens et lager er åbent eller uden for fri leg, nøgler, dokumenter, questgenstande og alt på listen Flyt aldrig bliver liggende, og det, intet lager tager imod, bliver i tasken.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Et kæledyr samler op, hvad det har lyst til, og spillet har ingen kontakt til det. Til: et kæledyr bliver sagt nej til, før det rækker ud efter en løs genstand på jorden, som dine genstandsregler, mærkater, klasser eller værdigrænse afviser, og hvad det end tager fra et lig, som dine genstandsregler, mærkater eller klasser afviser, slettes fra inventaret, så snart det lander, med en meddelelse, der fortæller, hvad der gik. Questgenstande og beskyttede genstande slettes aldrig, og intet, der allerede ligger i din taske, røres.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Intet, du selv samler op, bliver nogensinde slettet, uanset om et kæledyr eller en lejesoldat er ude.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Et kæledyr eller en ledsager, der plyndrer et lig, lægger det, det fandt, i din taske. Til går de genstande til lager på samme måde som Master Looters egne opsamlinger, så længe dine genstandsregler tillader dem. Løse genstande, et kæledyr samler op, meldes af spillet som dine egne opsamlinger, så de bliver i tasken.
a seed planted in your camp farm	et frø plantet på din lejrgård
Add	Tilføj
add an item: type 3+ letters of its name	tilføj en genstand: skriv 3+ bogstaver af dens navn
also %s	også %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	en malmåre, overladt til din hakke, mens Miner malmårer for dig er fra
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Højst én linje i sekundet, der navngiver hvert lager og hvor mange der gik i det. Fra vises intet, og det går kun til loggen.
Click again to reset	Klik igen for at nulstille
Detailed log	Detaljeret log
Drop refused loot from bodies	Smid afvist loot fra lig
Each item goes to the first storage in this list that takes it.	Hver genstand går til det første lager på denne liste, der tager imod den.
Empty: auto-store may move anything a storage takes.	Tomt: automatisk lagring kan flytte alt, et lager tager imod.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Størrelsen på hvert lager og hvor mange pladser der er i brug, skrevet til PrivateStorageMaster.log. Vedhæft den til en størrelsesrapport.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	For JSON-kapacitetsmods: lagerstørrelserne nedenfor ignoreres, og spillet, eller det mod, bestemmer.
game size (%d)	spilstørrelse (%d)
Game window	Spilvindue
hold a button, then press the one that opens it (Escape cancels)	hold en knap nede, tryk derefter på den, der åbner det (Escape annullerer)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Hold en eller flere knapper nede, tryk derefter på den, der åbner lageret. Den trykkede knap skjules for spillet, mens de andre holdes nede.
Hold other keys back while Ctrl is down	Hold andre taster tilbage, mens Ctrl er nede
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Hvor mange pladser til Personligt lager kommer fra udvidelser, du har købt, og fra historien. Skyderens total tæller dem med, så grundstørrelsen er totalen minus disse.
item %u	genstand %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Genstande, automatisk lagring altid lader blive i tasken. Standarden er enhver valuta: sølv, møntpunge, guldbarrer, lejrmidler og forsyninger, mærker og obligationer. Nulstil til standard nedenfor sætter den liste tilbage.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Dets indstillinger findes i PrivateStorageMaster.ini ved siden af pluginet. Ændringer her gemmes der med det samme.
Last error	Sidste fejl
Leave every size alone	Lad alle størrelser være
left as the game has them	efterladt som spillet har dem
load a save to see it	indlæs en gemt fil for at se det
more matches; type more of the name	flere resultater; skriv mere af navnet
Never move	Flyt aldrig
no item by that name that is not listed already	ingen genstand med det navn, der ikke allerede er på listen
none seen	ingen set
not found, bound keys also reach the game	ikke fundet, bundne taster når også spillet
Not on this game version: Private Storage Master could not find the move it needs.	Ikke på denne spilversion: Private Storage Master kunne ikke finde det træk, den skal bruge.
nothing	intet
now %d of %d used	nu %d af %d brugt
off, see the error below	fra, se fejlen nedenfor
off, the mod is disabled	fra, moddet er deaktiveret
on XInput slot %d	på XInput-plads %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Til flyttes kun den mængde, der lige er ankommet, så mad og eliksirer, du allerede bar, bliver i tasken. Fra går hele stakken.
Only move what was picked up	Flyt kun det, der blev samlet op
Open now	Åbn nu
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	tryk på en tast, med Ctrl, Shift eller Alt hvis du vil (Escape annullerer)
Private Storage expansions	Personligt lager-udvidelser
Private Storage Master %s for game build %s	Private Storage Master %s til spilbuild %s
Private Storage Master did not hand over its defaults	Private Storage Master afleverede ikke sine standardværdier
Private Storage Master did not hand over its store loot settings.	Private Storage Master afleverede ikke sine indstillinger for lagring af loot.
Private Storage Master on	Private Storage Master til
Private Storage Master refused the change	Private Storage Master afviste ændringen
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi er også installeret. De to ændrer de samme dele af spillet; fjern den.
Put what Master Looter picks up into storage	Læg det, Master Looter samler op, i lager
read from the save	læst fra den gemte fil
Reload from the ini	Genindlæs fra ini'en
Remove	Fjern
Reset to defaults	Nulstil til standard
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	At gennemsøge et lig eller et kadaver afleverer alt, det rummer, og moddet ser det først, når det er i tasken. Til: hvad af det, dine genstandsregler, mærkater, klasser eller værdigrænse afviser, lægges direkte tilbage på jorden ved siden af dig, gennem samme fald, spillet bruger, når du selv taber noget, én bunke pr. stak. Det dækker moddets egne gennemsøgninger og de lig, et kæledyr eller en ledsager plyndrer, hvis afviste genstande også lander ved siden af dig. Et lig, du selv gennemsøger, beholder, hvad det gav. Penge, dokumenter, questgenstande og beskyttede genstande bliver i tasken.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Gennemsøgning af de mennesker, du dræber, én gang pr. lig. Dyr hører under Kadavere. Hvad en gennemsøgning giver, ankommer, før dine filtre ser det, ligesom med et kadaver, og Smid afvist loot fra lig under Generelt lægger det, de afviser, tilbage.
set	sat
set this launch	sat ved denne opstart
Settings file	Indstillingsfil
Show a notice when loot is stored	Vis en meddelelse, når loot bliver lagret
Size changes take effect the next time the game starts.	Størrelsesændringer træder i kraft, næste gang spillet starter.
Sizes	Størrelser
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Flåning af de dyr, du dræber, én gang pr. kadaver. Mennesker hører under Lig. Moddet ser aldrig, hvad flåning giver, før det lander, så dine filtre kan ikke stoppe det i at ankomme. For at få det, de afviser, lagt tilbage på jorden, så slå Smid afvist loot fra lig under Generelt til.
Some changes take effect the next time the game starts.	Nogle ændringer træder i kraft, næste gang spillet starter.
Stop pets looting bodies	Forhindr kæledyr i at plyndre lig
Stop pets picking up loose items	Forhindr kæledyr i at samle løse genstande op
Storage	Lager
Storage keys	Lagertaster
Storage sizes	Lagerstørrelser
Store loot	Lagr loot
Store what your pet loots from bodies	Lagr det, dit kæledyr plyndrer fra lig
Storing loot needs a newer Private Storage Master.	Lagring af loot kræver en nyere Private Storage Master.
the size dump	størrelsesdumpet
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Spillet spørger, før et kæledyr tager en genstand, der ligger på jorden, og dette svarer nej. Kæledyret går forbi den, og intet skal slettes bagefter. Om en lejesvend stiller det samme spørgsmål, er ikke testet.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Spillet spørger separat, før et kæledyr plyndrer et lig, og dette svarer nej. Slå én af de to til og ikke den anden, hvis du vil have et kæledyr til at plyndre lig, men ikke samle løse genstande op, eller omvendt.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Tastebindingerne blev overført fra PrivateStorageAnywhere.ini ved første kørsel.
the key-block toggle	kontakten til tasteblokering
The list is full at %d items.	Listen er fuld ved %d genstande.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Totalen, købte udvidelser og historiepladser inklusive. Venstre ende bevarer spillets størrelse.
This chest holds one of each collectible, so its slots cannot be changed.	Denne kiste rummer ét af hver samleobjekt, så dens pladser kan ikke ændres.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Denne fane kræver en build af Private Storage Master, der matcher denne version af Master Looter.
Turn that on and off	Slå det til og fra
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Mens Ctrl, eller enhver modifikator, dine lagertaster bruger, holdes nede, holdes andre taster tilbage fra spillet, så et glip fra en lagertast ikke udløser en evne. Bevægelse, mellemrum, Tab, Enter, Escape, Alt+F4 og de taster, spillet bruger med Ctrl (Z, Shift, +), går stadig igennem.
working	fungerer
Write the size dump to the log	Skriv størrelsesdumpet til loggen
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Skriver hvert tastetryk, hver åbning og lukning til PrivateStorageMaster.log, og gemmer de sidste 24 sessioner. Fra gemmer loggen opstartsresuméet, fejl og størrelsesdumpet, samt de sidste to sessioner.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Skriver hvert tastetryk, hver åbning og lukning til PrivateStorageMaster.log. Fra gemmer loggen opstartsresuméet, fejl og størrelsesdumpet.
your own camp farm (off)	din egen lejrgård (fra)
%d of %d, the rest do not stack	%d af %d, resten stakker ikke.
%s %s for game build %s	%s %s til spilbuild %s
%s refused the change: %s	%s afviste ændringen: %s
Empty your big stacks before turning this down or off.	Tøm dine store stakke, før du sætter dette ned eller slår det fra.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Grænsen for hver genstand, der kan stakkes, ganges op, når spillet starter. Indstillingen gemmes i det mods egen ini-fil, så snart du vælger den.
Item stacks: %s	Genstandsstakke: %s
Items raised	Genstande hævet
Largest limit	Største grænse
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	At sænke multiplikatoren skrumper ikke en stak, du allerede har bygget. En plads, der indeholder mere, end spillet nu tillader, beholder det, den har, indtil du tager noget ud, og alt over den nye grænse kan gå tabt.
Off	Fra
off	fra
Raising stack limits	Hæver stakgrænser
Restart the game for the multiplier you picked to take effect.	Genstart spillet, så multiplikatoren, du valgte, træder i kraft.
Saved	Gemt
Stack multiplier	Stakmultiplikator
Stacks	Stakke
stacks are the size the game ships	stakkene har den størrelse, spillet leveres med
That mod did not hand over its stack settings.	Det mod afleverede ikke sine stakindstillinger.
This launch	Denne opstart
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Denne fane kræver Stack Master, eller en build af Private Storage Master, der hæver stakgrænser.
Why	Hvorfor
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	De fleste ting kan du stable 100 af i spillet, så ved x10 rummer de 1000. Det gælder for alt, der kan stakkes, og aldrig for det, der ikke kan, som våben og rustning, og de dybeste stakke i spillet stopper ved den grænse, det mod rapporterer ovenfor. Multiplikatoren læses, når spillet starter, så spillet skal genstartes, før den vises.
Some items reached the largest stack that mod allows, %d, and stopped there.	Nogle genstande nåede den største stak, det mod tillader, %d, og stoppede der.
x%d, by %s	x%d, af %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s har trådt til side for en anden mod, så det ville ikke gøre noget at ændre det her. Den mod er ikke en, denne menu kan nå, så indstil multiplikatoren direkte i den.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s er ikke den mod, der sætter stakstørrelser, så det ville ikke gøre noget at ændre det her. Indstil i stedet multiplikatoren i %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	En større multiplikator træder i kraft, så snart du vælger den. En mindre venter til næste opstart.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	De fleste ting kan du stable 100 af i spillet, så ved x10 rummer de 1000. Det gælder for alt, der kan stakkes, og aldrig for det, der ikke kan, som våben og rustning, og de dybeste stakke i spillet stopper ved den grænse, det mod rapporterer ovenfor. At vælge en større multiplikator træder i kraft med det samme; en mindre venter til næste opstart, fordi en stak, der allerede er bygget op, ikke kan gøres mindre end det, den indeholder.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Venter på en genstart, eller vælg den igen ude i verden, så træder den i kraft med det samme.
you dropped this	du smed det
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Et væsen, som spillet ikke giver sin egen genstand, såsom en ildfluekoloni, bedømmes af denne kontakt og af fanen Klasser, hvor en ildfluekoloni tæller som insect. Ingen mærkat- eller genstandsregel kan nå det, fordi der ikke er nogen genstand at holde reglen op imod.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Siden Private Storage Master 1.1.4 er Arrow også på den som standard, så pile, du samler op igen, bliver i koggeret.
a placed Field Pot or Bonfire	en opstillet feltgryde eller et bål
Keep the menu on screen while you play. %s brings it back.	Hold menuen på skærmen, mens du spiller. %s bringer den tilbage.
Watch mode: the game has your controls. %s to interact.	Overvågningstilstand: spillet har dine kontroller. %s for at interagere.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Én tast alene. Kombinationer med Ctrl og Alt bliver aldrig læst, fordi disse taster er tavse, mens Ctrl eller Alt holdes nede.
a crafting station	en håndværksstation
