# Menütext von Master Looter auf Deutsch (de). Maschinelle Übersetzung. Noch
# kein Muttersprachler hat sie geprüft. Korrekturen sind willkommen, auf
# GitHub (github.com/shin2344234/master-looter) oder auf der Nexus-Seite des
# Mods.
#
# Eine Zeile pro Text: das englische Original, ein Tabulator, dann die
# Übersetzung. \n steht für einen Zeilenumbruch. Zeilen, die mit # beginnen,
# werden ignoriert. Bleibt eine Zeile nach dem Tabulator leer, wird
# weiterhin der englische Text angezeigt.
# Jedes %d, %s, %.1f und die anderen Platzhalter muss genau in derselben
# Reihenfolge erhalten bleiben: sie werden zur Laufzeit durch Zahlen und
# Namen ersetzt, und eine Zeile, die sie verändert, wird beim Laden
# ignoriert, um keine falschen Werte zu riskieren.
#
# Eine Datei mit diesem Namen neben MasterLooter.asi überschreibt die im
# Plugin eingebaute Kopie.

  bag full	  Tasche voll
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Der Mod schwingt nie eine Spitzhacke. Er steuert die eigene Bruchsequenz der Ader an, und das Spiel durchläuft dabei eine Abwurfreihe, wo ein echter Schlag zwei durchläuft, sodass der Bonus deines Abbauwerkzeugs nichts einbringt, wenn der Mod abbaut. Das fügt das fehlende Erz über denselben Abwurfpfad wieder hinzu, den das Spiel benutzt, also ist es echtes Erz, das auf dem Boden verstreut wird, kein Gegenstand, der in deine Tasche kopiert wird. Stelle es auf das ein, was dein Werkzeug von Hand zahlt, minus eins: ein Bohrer, der von Hand drei gibt, will hier 2. Das gilt nur für eine Ader, die dieser Mod aufgebrochen hat, also bleibt der Abbau von Hand unberührt, und die beiden können sich nicht stapeln.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Diese Sitzung: %ld aufgehoben, %ld gesammelt, %ld gefangen, %ld Kadaver
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Holz und Äste am Boden sowie die Punkte, die sie abwerfen. Was die meisten davon enthalten, wird aus den Spieldaten selbst gelesen, also lässt das Ablehnen der Klasse wood im Reiter Klassen die Bäume stehen und ebenso das Holz darunter. Wo das Spiel nichts über einen Punkt sagt, ist dieser Schalter die einzige Kontrolle, die er hat.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Um eine Art in Ruhe zu lassen, setze im Tab Gegenstände, wozu sie wird, auf nie: Item_Tench, Item_Ricefish, Item_Iguana. Der Mod liest die eigene Zeile der Kreatur in der Charaktertabelle des Spiels, sodass er weiß, welche Art er vor sich hat, bevor er etwas fängt. Ein paar ungewöhnliche Kreaturen greifen weiterhin auf das Raten anhand ihres Modellnamens zurück und werden nur nach Kategorie gefangen.
Treasure and keepsakes	Schätze und Andenken
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Zwei Tasten gleichzeitig, nie nur eine: Jede einzelne Taste macht in diesem Spiel schon etwas. Der Mod liest nur das Pad mit, das Spiel sieht also weiterhin beide Tasten. Wähle ein Paar, das zusammen nichts bewirkt, etwa die beiden Schultertasten oder Back und eine Frontaltaste.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Zwei Dinge, die Dinge enthalten. Die Truhen, Kisten und Ablage-Punkte, die du öffnest und die selten auf das Loot-Ereignis reagieren. Und alles am Boden, dessen Aufgabe es ist, etwas zu enthalten: Flaschen, Gläser, Tontöpfe, Wasserschläuche, Vasen und die Vorratskisten, die du aufstellst. Standardmäßig aus, und aus heißt, dass ein Regal voll Töpferware stehen bleibt, wo es steht. Belohnungskisten fallen nicht darunter, denn die sind Beute für sich und gehören zu Schätze und Andenken im Reiter Klassen.\n\nWas aus einer Truhe kommt, wird nicht gegen deine Filter geprüft. Das Spiel übergibt den Inhalt in einem Zug, und der Mod sieht ihn nie als Objekte, also ist dieser Schalter dafür ganz oder gar nicht.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Nicht belegt, bis du sie festlegst. Das Spiel nennt das Mitnehmen fremden Eigentums Diebstahl und setzt dafür ein Kopfgeld auf dich, also ist das ein Schalter, den du kurz an- und gleich wieder ausschalten willst, was schlecht zu einem Menü passt.
Unidentified nodes	Unidentifizierte Punkte
unidentified nodes off	unidentifizierte Punkte aus
unidentified: could be a fish, a flying insect or a bird	unidentifiziert: könnte ein Fisch, ein fliegendes Insekt oder ein Vogel sein
unidentified: could be an insect or a small animal	unidentifiziert: könnte ein Insekt oder ein Kleintier sein
unnamed item	unbenannter Gegenstand
Unsellable items	Unverkäufliche Gegenstände
Use this language	Diese Sprache verwenden
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Nutzt die eigene Mitnehmen-oder-Stehlen-Prüfung des Spiels; fremdes Eigentum wird übersprungen, bis sie einmal beobachtet wurde.
using the player's own field	über das eigene Feld des Spielers
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Gemüse, Obst und Getreide: Süßkartoffel, Gerste, Kohl, Äpfel, Trauben und der Rest der angebauten und gesammelten Nahrung, an der Pflanze oder lose herumliegend. Diese unterstanden früher Gegenstände am Boden, weshalb Pflanzen auszuschalten trotzdem ein Feld leerte: von den 72 Sammelplätzen im Spiel sind 44 Feldfrüchte und nur 28 Pflanzen.
Verbose log	Ausführliches Log
Verdict	Urteil
waiting	wartet
waiting for the game to check an item	wartet darauf, dass das Spiel einen Gegenstand prüft
waiting for the game to check ownership once	wartet darauf, dass das Spiel das Eigentum einmal prüft
Waiting for the world to load.	Wartet darauf, dass die Welt lädt.
Watch	Beobachten
Watch mode	Beobachtungsmodus
Watch mode (menu stays up, you keep playing)	Beobachtungsmodus (Menü bleibt offen, du spielst weiter)
Watch mode: the game has your controls. %s to interact, %s to close.	Beobachtungsmodus: Das Spiel hat deine Steuerung. %s zum Interagieren, %s zum Schließen.
Weapons and armor	Waffen und Rüstung
What enters the working list at all. The ranges below are clamped to it.	Was überhaupt in die Arbeitsliste aufgenommen wird. Die Reichweiten unten sind darauf begrenzt.
What to collect	Was gesammelt werden soll
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Dreht die Kurbel für dich und nimmt, was hochkommt, indem er dieselben Zustandsübergänge ansteuert, die das Spiel ansteuert, wenn du die Interaktionstaste hältst. Ein Brunnen löst überhaupt kein Loot-Ereignis aus, das hier ist also die Wiedergabe einer aufgezeichneten Abfolge statt einer Anfrage an das Spiel. Standardmäßig aus, denn ein Brunnen, bei dem das schiefgeht, bleibt ohne seinen Eimer stehen.
Wood	Holz
wood off	Holz aus
World (actor manager)	Welt (Akteur-Manager)
worn by someone	von jemandem getragen
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Getragene Ausrüstung, die Gegner beim Sterben fallen lassen. Billig und schwer, aber reichlich vorhanden.
worn or carried by you	von dir getragen oder bei dir
worth %lld copper	wert %lld Kupfer
Wrap the swapchain	Swapchain umschließen
Write translation template	Übersetzungsvorlage schreiben
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Schreibt MasterLooter.template.txt neben das Plugin, mit jeder Zeile, die das Menü in dieser Sitzung gezeigt hat. Öffne zuerst jeden Tab, denn eine Zeile erscheint erst, nachdem sie gezeichnet wurde. Übersetze die rechte Seite jedes Eintrags, speichere sie als MasterLooter.<language>.txt und trage diese Sprache hier ein.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Schreibt die Einstellungen so, wie sie jetzt sind, in \"%s\". Lade sie, ändere, was du willst, und speichere sie dann wieder.
Writes the settings as they are now, named %s.	Schreibt die Einstellungen so, wie sie jetzt sind, unter dem Namen %s.
yes	ja
your rules refuse all ore, jewels and stone	deine Regeln lehnen Erz, Edelsteine und Stein allesamt ab
your rules refuse all stone	deine Regeln lehnen jeden Stein ab
your rules refuse everything this node holds	deine Regeln lehnen alles ab, was dieser Punkt enthält
part of a mechanism, not loose loot	Teil eines Mechanismus, keine lose Beute
yours, just out of your hand	deins, gerade aus deiner Hand
%d last time	%d letztes Mal
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Ein Backup wird geschrieben, wenn das Spiel mit seit dem letzten Mal geänderten Einstellungen startet, und die letzten zwölf bleiben erhalten, in MasterLooter.backups neben dem Plugin. Presets liegen in MasterLooter.presets. Kopiere einen der beiden Ordner, um ihn über eine Neuinstallation hinweg zu behalten.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Eine Tasten- oder Controller-Kombination öffnet dieses Lager von überall, und noch einmal schließt es wieder. Die Taste eines anderen Lagers wechselt direkt zu diesem.
a Master Looter key	eine Taste von Master Looter
a Master Looter shortcut	eine Tastenkombination von Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Kurz nachdem ein Gegenstand in der Tasche ankommt, verschiebt Private Storage Master ihn in das erste Lager unten, das ihn annimmt, genau die Bewegung, die du selbst am Lager machen würdest. Nur was Master Looter aufgehoben hat, wird verschoben, nie was du von Hand aufgehoben hast, und von einer Leiche oder einem Kadaver nur, was deine Gegenstandsregeln erlauben. Nichts wird verschoben, solange ein Lager offen ist oder außerhalb des freien Spiels; Schlüssel, Dokumente, Quest-Gegenstände und alles auf der Liste „Nie verschieben“ bleiben liegen, und was kein Lager annimmt, bleibt in der Tasche.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Ein Haustier sammelt ein, was es will, und das Spiel hat keinen Schalter dafür. An: Dem Haustier wird Nein gesagt, bevor es nach einem herumliegenden Gegenstand greift, den deine Gegenstandsregeln, Markierungen, Klassen oder die Wertuntergrenze ablehnen, und alles, was es von einer Leiche nimmt und das deine Gegenstandsregeln, Markierungen oder Klassen ablehnen, wird aus dem Inventar gelöscht, sobald es dort ankommt, mit einem Hinweis, was verschwunden ist. Quest- und geschützte Gegenstände werden nie gelöscht, und nichts, was schon in deiner Tasche liegt, wird angerührt.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Nichts, was du selbst aufhebst, wird je gelöscht, ob ein Haustier oder ein Söldner unterwegs ist oder nicht.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Ein Haustier oder ein Begleiter, das eine Leiche plündert, legt den Fund in deine Tasche. An gehen diese Gegenstände genauso ins Lager wie Master Looters eigene Funde, solange deine Gegenstandsregeln sie erlauben. Herumliegende Gegenstände, die ein Haustier aufhebt, meldet das Spiel als deine eigenen Funde, also bleiben die in der Tasche.
a seed planted in your camp farm	eine Saat, die in deiner Lagerfarm gepflanzt ist
Add	Hinzufügen
add an item: type 3+ letters of its name	einen Gegenstand hinzufügen: 3+ Buchstaben seines Namens eingeben
also %s	auch %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	eine Erzader, deiner Spitzhacke überlassen, solange Erzadern für dich abbauen aus ist
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	Höchstens eine Zeile pro Sekunde, die jedes Lager nennt und wie viel hineinging. Aus, wird nichts angezeigt und es geht nur ins Log.
Click again to reset	Erneut klicken, um zurückzusetzen
Detailed log	Detailliertes Log
Drop refused loot from bodies	Abgelehnte Beute von Leichen fallen lassen
Each item goes to the first storage in this list that takes it.	Jeder Gegenstand geht ins erste Lager dieser Liste, das ihn annimmt.
Empty: auto-store may move anything a storage takes.	Leer: die automatische Einlagerung darf alles verschieben, was ein Lager annimmt.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	Die Größe jedes Lagers und wie viele Plätze belegt sind, geschrieben in PrivateStorageMaster.log. Füge es einem Größenbericht bei.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Für JSON-Kapazitätsmods: die Lagergrößen unten werden ignoriert, und das Spiel oder dieser Mod entscheidet.
game size (%d)	Spielgröße (%d)
Game window	Spielfenster
hold a button, then press the one that opens it (Escape cancels)	eine Taste halten, dann die drücken, die es öffnet (Escape bricht ab)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Eine oder mehrere Tasten halten, dann die drücken, die das Lager öffnet. Die gedrückte Taste wird dem Spiel verborgen, solange die anderen gehalten werden.
Hold other keys back while Ctrl is down	Andere Tasten zurückhalten, solange Ctrl gedrückt ist
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Wie viele Plätze des Privatlagers aus gekauften Erweiterungen und aus der Story stammen. Die Gesamtzahl des Reglers zählt sie mit, also ist die Grundgröße die Gesamtzahl abzüglich dieser.
item %u	Gegenstand %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Gegenstände, die die automatische Einlagerung immer in der Tasche lässt. Standardmäßig ist das jede Währung: Silber, Münzbeutel, Goldbarren, Lagerkasse und -vorräte, Wertmarken und Anleihen. Auf Standard zurücksetzen unten stellt diese Liste wieder her.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	Seine Einstellungen liegen in PrivateStorageMaster.ini neben dem Plugin. Änderungen hier werden dort sofort gespeichert.
Last error	Letzter Fehler
Leave every size alone	Alle Größen unangetastet lassen
left as the game has them	so gelassen, wie das Spiel sie hat
load a save to see it	einen Spielstand laden, um es zu sehen
more matches; type more of the name	weitere Treffer; mehr vom Namen eingeben
Never move	Nie verschieben
no item by that name that is not listed already	kein Gegenstand mit diesem Namen, der nicht schon aufgeführt ist
none seen	keine gesehen
not found, bound keys also reach the game	nicht gefunden, belegte Tasten erreichen auch das Spiel
Not on this game version: Private Storage Master could not find the move it needs.	Nicht auf dieser Spielversion: Private Storage Master konnte die Verschiebefunktion nicht finden, die es braucht.
nothing	nichts
now %d of %d used	jetzt %d von %d belegt
off, see the error below	aus, siehe Fehler unten
off, the mod is disabled	aus, der Mod ist deaktiviert
on XInput slot %d	auf XInput-Slot %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	An wird nur die Menge verschoben, die gerade angekommen ist, sodass Essen und Tränke, die du schon bei dir trägst, in der Tasche bleiben. Aus geht der ganze Stapel.
Only move what was picked up	Nur verschieben, was aufgehoben wurde
Open now	Jetzt öffnen
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	eine Taste drücken, mit Ctrl, Shift oder Alt wenn du willst (Escape bricht ab)
Private Storage expansions	Privatlager-Erweiterungen
Private Storage Master %s for game build %s	Private Storage Master %s für Spiel-Build %s
Private Storage Master did not hand over its defaults	Private Storage Master hat seine Standardwerte nicht übergeben
Private Storage Master did not hand over its store loot settings.	Private Storage Master hat seine Einlagerungs-Einstellungen nicht übergeben.
Private Storage Master on	Private Storage Master an
Private Storage Master refused the change	Private Storage Master hat die Änderung abgelehnt
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi ist ebenfalls installiert. Beide ändern dieselben Teile des Spiels; entferne jenes.
Put what Master Looter picks up into storage	Was Master Looter aufhebt, ins Lager legen
read from the save	aus dem Spielstand gelesen
Reload from the ini	Aus der ini neu laden
Remove	Entfernen
Reset to defaults	Auf Standard zurücksetzen
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Eine Leiche oder einen Kadaver zu durchsuchen übergibt alles, was er trägt, und der Mod sieht es erst, sobald es in der Tasche ist. An: was davon deine Gegenstandsregeln, Markierungen, Klassen oder die Wertuntergrenze ablehnen, wird sofort neben dir auf den Boden zurückgelegt, durch denselben Fallenlassen-Vorgang, den das Spiel nutzt, wenn du selbst etwas fallen lässt, ein Stapel pro Stapel. Das gilt für die eigenen Durchsuchungen des Mods ebenso wie für Leichen, die ein Haustier oder ein Begleiter plündert, deren abgelehnte Gegenstände ebenfalls neben dir landen. Eine Leiche, die du selbst durchsuchst, behält, was sie ausgezahlt hat. Geld, Dokumente, Quest-Gegenstände und geschützte Gegenstände bleiben in der Tasche.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Die Menschen zu durchsuchen, die du tötest, einmal pro Leiche. Tiere laufen unter Kadaver. Was eine Durchsuchung auszahlt, kommt an, bevor deine Filter es sehen, genau wie bei einem Kadaver, und Abgelehnte Beute von Leichen fallen lassen unter Allgemein legt zurück, was sie ablehnen.
set	gesetzt
set this launch	für diesen Start gesetzt
Settings file	Einstellungsdatei
Show a notice when loot is stored	Einen Hinweis zeigen, wenn Beute eingelagert wird
Size changes take effect the next time the game starts.	Größenänderungen wirken sich beim nächsten Spielstart aus.
Sizes	Größen
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Häuten der Tiere, die du tötest, einmal pro Kadaver. Menschen laufen unter Leichen. Der Mod sieht nie, was das Häuten auszahlt, bevor es ankommt, also können deine Filter es nicht am Ankommen hindern. Damit das, was sie ablehnen, auf den Boden zurückgelegt wird, schalte Abgelehnte Beute von Leichen fallen lassen unter Allgemein ein.
Some changes take effect the next time the game starts.	Manche Änderungen wirken sich beim nächsten Spielstart aus.
Stop pets looting bodies	Haustiere am Plündern von Leichen hindern
Stop pets picking up loose items	Haustiere am Aufheben herumliegender Gegenstände hindern
Storage	Lager
Storage keys	Lagertasten
Storage sizes	Lagergrößen
Store loot	Beute einlagern
Store what your pet loots from bodies	Einlagern, was dein Haustier von Leichen plündert
Storing loot needs a newer Private Storage Master.	Das Einlagern von Beute braucht eine neuere Version von Private Storage Master.
the size dump	der Größen-Dump
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	Das Spiel fragt, bevor ein Haustier einen am Boden liegenden Gegenstand nimmt, und dies beantwortet mit Nein. Das Haustier geht daran vorbei, und danach muss nichts gelöscht werden. Ob ein Söldner dieselbe Frage stellt, wurde nicht getestet.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	Das Spiel fragt getrennt, bevor ein Haustier eine Leiche plündert, und dies beantwortet mit Nein. Schalte eines der beiden ein und nicht das andere, wenn du willst, dass ein Haustier Leichen ausplündert, aber keine herumliegenden Gegenstände sammelt, oder umgekehrt.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	Die Tastenbelegungen wurden beim ersten Start aus PrivateStorageAnywhere.ini übernommen.
the key-block toggle	der Tastensperr-Schalter
The list is full at %d items.	Die Liste ist bei %d Gegenständen voll.
The total, purchased expansions and story slots included. The left end keeps the game's size.	Die Gesamtzahl, gekaufte Erweiterungen und Story-Plätze eingerechnet. Das linke Ende behält die Größe des Spiels.
This chest holds one of each collectible, so its slots cannot be changed.	Diese Truhe enthält je ein Exemplar jedes Sammelobjekts, daher können ihre Plätze nicht geändert werden.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Dieser Reiter braucht eine Version von Private Storage Master, die zu dieser Version von Master Looter passt.
Turn that on and off	Das ein- und ausschalten
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Solange Ctrl, oder ein anderer Modifikator, den deine Lagertasten verwenden, gehalten wird, werden andere Tasten vom Spiel ferngehalten, sodass ein Abrutschen von einer Lagertaste keine Fähigkeit auslöst. Bewegung, Leertaste, Tab, Enter, Escape, Alt+F4 und die Tasten, die das Spiel mit Ctrl nutzt (Z, Shift, +), kommen trotzdem durch.
working	funktioniert
Write the size dump to the log	Den Größen-Dump ins Log schreiben
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Schreibt jeden Tastendruck, jedes Öffnen und Schließen in PrivateStorageMaster.log und behält die letzten 24 Sitzungen. Aus behält das Log die Startzusammenfassung, Fehler und den Größen-Dump sowie die letzten zwei Sitzungen.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Schreibt jeden Tastendruck, jedes Öffnen und Schließen in PrivateStorageMaster.log. Aus behält das Log die Startzusammenfassung, Fehler und den Größen-Dump.
your own camp farm (off)	deine eigene Lagerfarm (aus)
%d of %d, the rest do not stack	%d von %d, der Rest stapelt sich nicht.
%s %s for game build %s	%s %s für Spiel-Build %s
%s refused the change: %s	%s hat die Änderung abgelehnt: %s
Empty your big stacks before turning this down or off.	Leere deine großen Stapel, bevor du das hier verringerst oder ausschaltest.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	Das Limit jedes stapelbaren Gegenstands wird beim Spielstart vervielfacht. Die Einstellung wird in der eigenen ini-Datei dieses Mods gespeichert, sobald du sie wählst.
Item stacks: %s	Gegenstandsstapel: %s
Items raised	Erhöhte Gegenstände
Largest limit	Größtes Limit
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Ein niedrigerer Multiplikator lässt einen bereits aufgebauten Stapel nicht schrumpfen. Ein Platz, der mehr enthält, als das Spiel jetzt erlaubt, behält seinen Inhalt, bis du etwas davon herausnimmst, und alles über dem neuen Limit kann verloren gehen.
Off	Aus
off	aus
Raising stack limits	Stapellimits erhöhen
Restart the game for the multiplier you picked to take effect.	Starte das Spiel neu, damit der gewählte Multiplikator wirkt.
Saved	Gespeichert
Stack multiplier	Stapelmultiplikator
Stacks	Stapel
stacks are the size the game ships	die Stapel haben die Größe, mit der das Spiel ausgeliefert wird
That mod did not hand over its stack settings.	Der Mod hat seine Stapel-Einstellungen nicht übergeben.
This launch	Dieser Start
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Dieser Reiter braucht Stack Master oder eine Version von Private Storage Master, die Stapellimits erhöht.
Why	Warum
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Die meisten Dinge lässt dich das Spiel bis 100 stapeln, also fassen sie bei x10 dann 1000. Der Multiplikator gilt für alles, was sich stapelt, und nie für das, was sich nicht stapelt, wie Waffen und Rüstungen, und die tiefsten Stapel im Spiel enden am Limit, das der Mod oben meldet. Er wird beim Start des Spiels gelesen, daher muss das Spiel neu gestartet werden, bevor er sich zeigt.
Some items reached the largest stack that mod allows, %d, and stopped there.	Manche Gegenstände erreichten den größten Stapel, den der Mod erlaubt, %d, und blieben dort stehen.
x%d, by %s	x%d, von %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s ist einem anderen Mod gewichen, also würde eine Änderung hier nichts bewirken. Dieser Mod ist keiner, den dieses Menü erreichen kann, also stelle den Multiplikator direkt dort ein.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s ist nicht der Mod, der die Stapelgrößen festlegt, also würde eine Änderung hier nichts bewirken. Stelle den Multiplikator stattdessen in %s ein.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Ein größerer Multiplikator wirkt sich sofort aus, sobald du ihn wählst. Ein kleinerer wartet bis zum nächsten Start.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	Die meisten Dinge lässt dich das Spiel bis 100 stapeln, also fassen sie bei x10 dann 1000. Der Multiplikator gilt für alles, was sich stapelt, und nie für das, was sich nicht stapelt, wie Waffen und Rüstungen, und die tiefsten Stapel im Spiel enden am Limit, das der Mod oben meldet. Ein größerer Multiplikator wirkt sich sofort aus, sobald er gewählt wird; ein kleinerer wartet bis zum nächsten Start, weil ein bereits aufgebauter Stapel nicht unter das schrumpfen kann, was er enthält.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	Wartet auf einen Neustart, oder wähle ihn draußen in der Welt erneut und er wirkt sofort.
you dropped this	von dir fallen gelassen
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Ein Wesen, dem das Spiel keinen eigenen Gegenstand gibt, etwa eine Glühwürmchenkolonie, wird von diesem Schalter und vom Reiter Klassen beurteilt, wo eine Glühwürmchenkolonie als insect zählt. Keine Markierungs- oder Gegenstandsregel erreicht es, weil es keinen Gegenstand gibt, an dem sie geprüft werden könnte.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Seit Private Storage Master 1.1.4 steht standardmäßig auch Arrow darauf, sodass Pfeile, die du wieder aufhebst, im Köcher bleiben.
a placed Field Pot or Bonfire	ein aufgestellter Feldtopf oder ein Lagerfeuer
Keep the menu on screen while you play. %s brings it back.	Behält das Menü beim Spielen auf dem Bildschirm. %s holt es zurück.
Watch mode: the game has your controls. %s to interact.	Beobachtungsmodus: Das Spiel hat deine Steuerung. %s zum Interagieren.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Eine einzelne Taste. Kombinationen mit Strg und Alt werden nie erkannt, weil diese Tasten stumm bleiben, solange Strg oder Alt gedrückt ist.
a crafting station	eine Handwerksstation
