# Texto do menu do Master Looter em português europeu (pt-PT). Tradução
# automática; ainda não foi revista por um falante nativo. Correções são
# bem-vindas no GitHub (github.com/shin2344234/master-looter) ou na página do
# mod no Nexus.
#
# Uma linha por texto: o original em inglês, uma tabulação e a tradução.
# Linhas iniciadas por # são ignoradas. \n representa uma quebra de linha, e
# uma linha sem tradução depois da tabulação fica em inglês, por isso um
# ficheiro por acabar continua perfeitamente utilizável.
# Todo o %d, %s, %.1f e outros marcadores tem de se manter exatamente como
# aparece e pela mesma ordem: são substituídos por números e nomes durante a
# execução, e uma linha que os altere é ignorada ao carregar.
#
# Um ficheiro com este nome ao lado de MasterLooter.asi substitui a cópia
# incorporada no plugin.

  bag full	  mochila cheia
Use this language	Usar este idioma
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Usa a verificação de Apanhar ou Roubar do próprio jogo; os bens alheios são ignorados até ela ter sido observada uma vez.
using the player's own field	usando o próprio campo do jogador
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Legumes, fruta e cereais: batata-doce, cevada, couve, maçãs, uvas e o resto da comida cultivada ou recolhida, na planta ou solta pelo chão. Estes costumavam responder a Itens no chão, por isso desativar Plantas continuava a esvaziar um campo: dos 72 pontos de recolha do jogo, 44 são cultivos e só 28 são plantas.
Verbose log	Registo detalhado
Verdict	Veredito
waiting	a aguardar
waiting for the game to check an item	a aguardar que o jogo verifique um item
waiting for the game to check ownership once	a aguardar que o jogo verifique a propriedade uma vez
Waiting for the world to load.	A aguardar que o mundo carregue.
Watch	Observar
Watch mode	Modo de observação
Watch mode (menu stays up, you keep playing)	Modo de observação (o menu fica no ecrã e tu continuas a jogar)
Watch mode: the game has your controls. %s to interact, %s to close.	Modo de observação: o jogo tem os teus controlos. %s para interagir, %s para fechar.
Weapons and armor	Armas e armadura
What enters the working list at all. The ranges below are clamped to it.	Define o que sequer entra na lista de trabalho. Os alcances abaixo ficam limitados a isto.
What to collect	O que recolher
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Gira a manivela por ti e apanha o que vier, acionando as mesmas transições de estado que o jogo aciona quando manténs o botão de interação premido. Um poço não gera evento de saque nenhum, por isso isto é a repetição de uma sequência captada, e não o jogo a ser-lhe pedido seja o que for. Desativado por predefinição, porque um poço que corra mal é um poço que fica sem o balde.
Wood	Madeira
wood off	madeira desativada
World (actor manager)	Mundo (gestor de atores)
worn by someone	usado por alguém
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Equipamento usado que os inimigos largam ao morrer. Barato e pesado, mas abundante.
worn or carried by you	usado ou transportado por ti
worth %lld copper	vale %lld moedas de cobre
Wrap the swapchain	Encapsular o swapchain
Write translation template	Gerar modelo de tradução
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Grava o MasterLooter.template.txt ao lado do plugin, com todas as linhas que o menu mostrou nesta sessão. Abre primeiro todos os separadores, já que uma linha só aparece depois de ter sido desenhada. Traduz o lado direito de cada registo, guarda-o como MasterLooter.<language>.txt e põe esse idioma aqui.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Grava as definições como estão agora em \"%s\". Carrega-o, muda o que quiseres e depois guarda-o de novo.
Writes the settings as they are now, named %s.	Grava as definições como estão agora, com o nome %s.
yes	sim
your rules refuse all ore, jewels and stone	as tuas regras recusam minério, gemas e pedra
your rules refuse all stone	as tuas regras recusam toda a pedra
your rules refuse everything this node holds	as tuas regras recusam tudo o que este ponto contém
part of a mechanism, not loose loot	parte de um mecanismo, não um saque solto
yours, just out of your hand	teu, acabado de sair da tua mão
%d last time	%d da última vez
A backup is written when the game starts with settings changed since the last one, and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	É gravada uma cópia de segurança quando o jogo arranca com definições alteradas desde a última, e as últimas doze são mantidas, em MasterLooter.backups ao lado do plugin. As predefinições ficam em MasterLooter.presets. Copia qualquer uma das pastas para as manteres após uma reinstalação.
A key or controller combo opens that storage from anywhere, and again closes it. Another storage's key switches straight to it.	Uma combinação de tecla ou de comando abre esse armazenamento de qualquer lugar, e volta a fechá-lo. A tecla de outro armazenamento muda logo para ele.
a Master Looter key	uma tecla do Master Looter
a Master Looter shortcut	um atalho do Master Looter
A moment after an item lands in the bag, Private Storage Master moves it into the first storage below that takes it, the same move you would make at the storage. Only what Master Looter picked up is moved, never what you picked up by hand, and from a body or a carcass only what your item rules allow. Nothing moves while a storage is open or outside free play, keys, documents, quest items and anything on the never-move list stay put, and what no storage takes stays in the bag.	Um instante depois de um item chegar à mochila, o Private Storage Master move-o para o primeiro armazenamento abaixo que o aceite, o mesmo movimento que farias tu no armazenamento. Só o que o Master Looter apanhou é movido, nunca o que apanhaste à mão, e de um corpo ou de uma carcaça só o que as tuas regras de itens permitirem. Nada se move enquanto um armazenamento está aberto ou fora do jogo livre, as chaves, os documentos, os itens de missão e tudo na lista de nunca mover ficam onde estão, e o que nenhum armazenamento aceitar fica na mochila.
A pet loots whatever it likes and the game has no switch for it. On: a pet is told no before it reaches for a loose item your item rules, tags, classes or value floor refuse, and whatever it takes from a body that your item rules, tags or classes refuse is deleted from the inventory as it lands, with a notice saying what went. Quest and protected items are never deleted, and nothing already in your bag is touched.	Um animal saqueia o que lhe apetece e o jogo não tem qualquer interruptor para isso. Ativado: diz-se não ao animal antes de ele se aproximar de um item solto que as tuas regras de itens, etiquetas, classes ou limite de valor recusam, e o que ele tirar de um corpo que as tuas regras de itens, etiquetas ou classes recusem é apagado do inventário assim que chega, com um aviso a dizer o que desapareceu. Os itens de missão e os protegidos nunca são apagados, e nada do que já está na tua mochila é tocado.
Nothing you pick up yourself is ever deleted, whether or not a pet or a mercenary is out.	Nada do que tu próprio apanhas é alguma vez apagado, esteja ou não fora um animal ou um mercenário.
A pet or a companion that loots a body puts what it found in your bag. On, those items go to storage the same way as Master Looter's own pickups, as long as your item rules allow them. Loose items a pet picks up are reported by the game as your own pickups, so those stay in the bag.	Um animal ou um companheiro que saqueia um corpo põe o que encontrou na tua mochila. Ativado, esses itens vão para o armazenamento da mesma forma que as apanhas do próprio Master Looter, desde que as tuas regras de itens o permitam. Os itens soltos que um animal apanha são comunicados pelo jogo como sendo as tuas próprias apanhas, por isso esses ficam na mochila.
a seed planted in your camp farm	uma semente plantada na tua quinta do acampamento
Add	Adicionar
add an item: type 3+ letters of its name	adicionar um item: escreve 3+ letras do nome
also %s	também %s
an ore vein, left to your pickaxe while Mine ore veins for you is off	um veio de minério, deixado para a tua picareta enquanto Minerar veios de minério por ti estiver desativado
At most one line a second, naming each storage and how many went into it. Off, nothing is shown and it goes to the log only.	No máximo uma linha por segundo, dando o nome de cada armazenamento e quantos foram para lá. Desativado, nada é mostrado e só vai para o registo.
Click again to reset	Clica outra vez para repor
Detailed log	Registo detalhado
Drop refused loot from bodies	Largar no chão o saque recusado dos corpos
Each item goes to the first storage in this list that takes it.	Cada item vai para o primeiro armazenamento desta lista que o aceite.
Empty: auto-store may move anything a storage takes.	Vazio: a arrumação automática pode mover para lá tudo o que um armazenamento aceitar.
Every storage's size and how many slots are in use, written to PrivateStorageMaster.log. Attach it to a size report.	O tamanho de cada armazenamento e quantos espaços estão em uso, escrito em PrivateStorageMaster.log. Anexa-o a um relatório de tamanho.
For JSON capacity mods: the storage sizes below are ignored and the game, or that mod, decides.	Para mods de capacidade em JSON: os tamanhos de armazenamento abaixo são ignorados e é o jogo, ou esse mod, que decide.
game size (%d)	tamanho do jogo (%d)
Game window	Janela do jogo
hold a button, then press the one that opens it (Escape cancels)	mantém um botão premido, depois prime o que o abre (Escape cancela)
Hold one or more buttons, then press the one that opens the storage. The pressed button is hidden from the game while the others are held.	Mantém um ou mais botões premidos, depois prime o que abre o armazenamento. O botão premido fica escondido do jogo enquanto os outros estão premidos.
Hold other keys back while Ctrl is down	Bloquear as outras teclas enquanto Ctrl estiver premido
How many Private Storage slots come from expansions you bought and from the story. The slider's total counts them, so the base size is the total less these.	Quantos espaços de Armazenamento Privado vêm de expansões que compraste e da história. O total do cursor conta-os, por isso o tamanho base é o total menos estes.
item %u	item %u
Items auto-store always leaves in the bag. The default is every currency: silver, coin pouches, gold bars, camp funds and supplies, tokens and bonds. Reset to defaults below puts that list back.	Itens que a arrumação automática deixa sempre na mochila. A predefinição é toda a moeda: prata, bolsas de moedas, barras de ouro, fundos e mantimentos do acampamento, fichas e títulos. Repor predefinições abaixo devolve essa lista.
Its settings live in PrivateStorageMaster.ini beside the plugin. Changes here are saved there at once.	As suas definições vivem em PrivateStorageMaster.ini ao lado do plugin. As alterações aqui são gravadas lá de imediato.
Last error	Último erro
Leave every size alone	Não mexer em nenhum tamanho
left as the game has them	como o jogo os tem
load a save to see it	carrega um jogo guardado para o ver
more matches; type more of the name	mais resultados; escreve mais do nome
Never move	Nunca mover
no item by that name that is not listed already	nenhum item com esse nome que já não esteja listado
none seen	nenhum visto
not found, bound keys also reach the game	não encontrado, as teclas atribuídas também chegam ao jogo
Not on this game version: Private Storage Master could not find the move it needs.	Não nesta versão do jogo: o Private Storage Master não conseguiu encontrar o movimento de que precisa.
nothing	nada
now %d of %d used	agora %d de %d usados
off, see the error below	desativado, vê o erro abaixo
off, the mod is disabled	desligado, o mod está desativado
on XInput slot %d	no slot XInput %d
On, only the amount that just arrived is moved, so food and potions you already carried stay in the bag. Off, the whole stack goes.	Ativado, só é movida a quantidade que acabou de chegar, por isso a comida e as poções que já transportavas ficam na mochila. Desativado, vai a pilha toda.
Only move what was picked up	Mover só o que foi apanhado
Open now	Abrir agora
press a key, with Ctrl, Shift or Alt if you want (Escape cancels)	prime uma tecla, com Ctrl, Shift ou Alt se quiseres (Escape cancela)
Private Storage expansions	Expansões de Armazenamento Privado
Private Storage Master %s for game build %s	Private Storage Master %s para a versão %s do jogo
Private Storage Master did not hand over its defaults	O Private Storage Master não entregou as suas predefinições
Private Storage Master did not hand over its store loot settings.	O Private Storage Master não entregou as suas definições de guardar saque.
Private Storage Master on	Private Storage Master ligado
Private Storage Master refused the change	O Private Storage Master recusou a alteração
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	O PrivateStorageAnywhere.asi também está instalado. Os dois alteram as mesmas partes do jogo; remove esse.
Put what Master Looter picks up into storage	Pôr no armazenamento o que o Master Looter apanha
read from the save	lido do jogo guardado
Reload from the ini	Recarregar do ini
Remove	Remover
Reset to defaults	Repor predefinições
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	Revistar um corpo ou uma carcaça entrega tudo o que contém, e o mod só o vê depois de estar na mochila. Ativado: o que as tuas regras de itens, etiquetas, classes ou limite de valor recusarem é posto de volta no chão ao teu lado, pela mesma queda que o jogo usa quando tu próprio largas algo, um monte por pilha. Isto abrange tanto as revistas do próprio mod como os corpos saqueados por um animal ou companheiro, cujos itens recusados também caem ao teu lado. Um corpo que revistes tu mesmo mantém o que pagou. Dinheiro, documentos, itens de missão e itens protegidos ficam na mochila.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	Revistar as pessoas que matas, uma vez por corpo. Os animais ficam em Carcaças. O que uma revista rende chega antes de os teus filtros o verem, tal como uma carcaça, e Largar no chão o saque recusado dos corpos, em Geral, volta a pôr no chão o que recusarem.
set	definir
set this launch	definir para este arranque
Settings file	Ficheiro de definições
Show a notice when loot is stored	Mostrar um aviso quando o saque é guardado
Size changes take effect the next time the game starts.	As alterações de tamanho só têm efeito no próximo arranque do jogo.
Sizes	Tamanhos
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	Esfolar os animais que matas, uma vez por carcaça. As pessoas ficam em Corpos. O mod nunca vê o que o esfolamento rende antes de chegar, por isso os teus filtros não o podem impedir de chegar. Para que o que recusarem seja posto de volta no chão, ativa Largar no chão o saque recusado dos corpos, em Geral.
Some changes take effect the next time the game starts.	Algumas alterações só têm efeito no próximo arranque do jogo.
Stop pets looting bodies	Impedir os animais de saquear corpos
Stop pets picking up loose items	Impedir os animais de apanhar itens soltos
Storage	Armazenamento
Storage keys	Teclas de armazenamento
Storage sizes	Tamanhos de armazenamento
Store loot	Guardar saque
Store what your pet loots from bodies	Guardar o que o teu animal saqueia de corpos
Storing loot needs a newer Private Storage Master.	Guardar saque precisa de um Private Storage Master mais recente.
the size dump	o despejo de tamanhos
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	O jogo pergunta antes de um animal tirar um item que está no chão, e isto responde que não. O animal passa por ele e nada precisa de ser apagado depois. Se um mercenário faz a mesma pergunta não foi testado.
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	O jogo pergunta em separado antes de um animal saquear um corpo, e isto responde que não. Ativa um dos dois e não o outro se quiseres um animal a despir cadáveres mas não a recolher itens soltos, ou o contrário.
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	As atribuições de teclas foram trazidas de PrivateStorageAnywhere.ini na primeira execução.
the key-block toggle	a opção de bloquear teclas
The list is full at %d items.	A lista está cheia com %d itens.
The total, purchased expansions and story slots included. The left end keeps the game's size.	O total, incluindo expansões compradas e vagas da história. A ponta esquerda mantém o tamanho do jogo.
This chest holds one of each collectible, so its slots cannot be changed.	Esta arca guarda um de cada colecionável, por isso os seus espaços não podem ser alterados.
This tab needs a build of Private Storage Master that matches this version of Master Looter.	Este separador precisa de uma versão do Private Storage Master que corresponda a esta versão do Master Looter.
Turn that on and off	Ligar e desligar isso
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	Enquanto Ctrl, ou qualquer modificador que as tuas teclas de armazenamento usem, estiver premido, as outras teclas são bloqueadas ao jogo, por isso um deslize de uma tecla de armazenamento não dispara uma habilidade. O movimento, Space, Tab, Enter, Escape, Alt+F4 e as teclas que o jogo usa com Ctrl (Z, Shift, +) continuam a passar.
working	a funcionar
Write the size dump to the log	Escrever o despejo de tamanhos no registo
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	Grava cada tecla premida, abertura e fecho em PrivateStorageMaster.log, e mantém as últimas 24 sessões. Desativado, o registo mantém o resumo de arranque, os erros e o despejo de tamanhos, e as últimas duas sessões.
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	Grava cada tecla premida, abertura e fecho em PrivateStorageMaster.log. Desativado, o registo mantém o resumo de arranque, os erros e o despejo de tamanhos.
your own camp farm (off)	a tua própria quinta do acampamento (desativado)
%d of %d, the rest do not stack	%d de %d, o resto não empilha
%s %s for game build %s	%s %s para a versão %s do jogo
%s refused the change: %s	%s recusou a alteração: %s
Empty your big stacks before turning this down or off.	Esvazia as tuas pilhas grandes antes de baixares isto ou o desativares.
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	O limite de cada item empilhável é multiplicado quando o jogo arranca. A definição é guardada no ini do próprio mod assim que a escolhes.
Item stacks: %s	Pilhas de itens: %s
Items raised	Itens aumentados
Largest limit	Maior limite
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	Baixar o multiplicador não reduz uma pilha que já tenhas formado. Um espaço com mais do que o jogo agora permite mantém o que tem até tirares algo, e o que ultrapassar o novo limite pode perder-se.
Off	Desativado
off	desativado
Raising stack limits	Aumento dos limites de pilha
Restart the game for the multiplier you picked to take effect.	Reinicia o jogo para que o multiplicador que escolheste faça efeito.
Saved	Guardado
Stack multiplier	Multiplicador de pilha
Stacks	Pilhas
stacks are the size the game ships	as pilhas têm o tamanho com que o jogo é lançado
That mod did not hand over its stack settings.	Esse mod não entregou as suas definições de pilha.
This launch	Este arranque
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	Este separador precisa do Stack Master, ou de uma versão do Private Storage Master que aumente os limites de pilha.
Why	Porquê
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	Na maioria das coisas, o jogo deixa-te empilhar até 100, por isso a x10 cabem 1000. Aplica-se a tudo o que empilha, e nunca ao que não empilha, como armas e armaduras, e as pilhas mais fundas do jogo param no limite que esse mod indica acima. O multiplicador é lido quando o jogo arranca, por isso o jogo tem de ser reiniciado para que se note.
Some items reached the largest stack that mod allows, %d, and stopped there.	Alguns itens chegaram à maior pilha que esse mod permite, %d, e ficaram lá.
x%d, by %s	x%d, por %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s deu lugar a outro mod, por isso alterá-lo aqui não faria nada. Esse mod está fora do alcance deste menu, por isso define o multiplicador diretamente nele.
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s não é o mod que define os tamanhos de pilha, por isso alterá-lo aqui não faria nada. Em vez disso, define o multiplicador em %s.
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	Um multiplicador maior entra em vigor assim que o escolhes. Um mais pequeno espera pelo próximo arranque.
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	Na maioria das coisas, o jogo deixa-te empilhar até 100, por isso a x10 cabem 1000. Aplica-se a tudo o que empilha, e nunca ao que não empilha, como armas e armaduras, e as pilhas mais fundas do jogo param no limite que esse mod indica acima. Escolher um multiplicador maior entra em vigor de imediato; um mais pequeno espera pelo próximo arranque, porque uma pilha já formada não pode ser reduzida abaixo do que contém.
Waiting for a restart, or pick it again out in the world and it takes hold at once.	À espera de um reinício, ou escolhe-o de novo lá fora no mundo e entra em vigor de imediato.
you dropped this	largaste isto
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	Uma criatura a que o jogo não dá um item próprio, como uma colónia de pirilampos, é julgada por este interruptor e pelo separador Classes, onde uma colónia de pirilampos conta como insect. Nenhuma regra de etiqueta ou item a consegue alcançar, porque não há item com que a comparar.
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	Desde o Private Storage Master 1.1.4 o Arrow também está na lista por predefinição, por isso as flechas que voltas a apanhar ficam na aljava.
a placed Field Pot or Bonfire	uma panela de campanha ou fogueira colocada
Keep the menu on screen while you play. %s brings it back.	Mantém o menu no ecrã enquanto jogas. %s traz-o de volta.
Watch mode: the game has your controls. %s to interact.	Modo de observação: o jogo tem os teus controlos. %s para interagir.
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	Uma tecla sozinha. Combinações com Ctrl e Alt nunca são lidas, porque estas teclas ficam inativas enquanto Ctrl ou Alt estiver premido.
